gene_name	gene_id
MT-TF	ENSG00000210049
MT-RNR1	ENSG00000211459
MT-TV	ENSG00000210077
MT-RNR2	ENSG00000210082
MT-TL1	ENSG00000209082
MT-ND1	ENSG00000198888
MT-TI	ENSG00000210100
MT-TQ	ENSG00000210107
MT-TM	ENSG00000210112
MT-ND2	ENSG00000198763
MT-TW	ENSG00000210117
MT-TA	ENSG00000210127
MT-TN	ENSG00000210135
MT-TC	ENSG00000210140
MT-TY	ENSG00000210144
MT-CO1	ENSG00000198804
MT-TS1	ENSG00000210151
MT-TD	ENSG00000210154
MT-CO2	ENSG00000198712
MT-TK	ENSG00000210156
MT-ATP8	ENSG00000228253
MT-ATP6	ENSG00000198899
MT-CO3	ENSG00000198938
MT-TG	ENSG00000210164
MT-ND3	ENSG00000198840
MT-TR	ENSG00000210174
MT-ND4L	ENSG00000212907
MT-ND4	ENSG00000198886
MT-TH	ENSG00000210176
MT-TS2	ENSG00000210184
MT-TL2	ENSG00000210191
MT-ND5	ENSG00000198786
MT-ND6	ENSG00000198695
MT-TE	ENSG00000210194
MT-CYB	ENSG00000198727
MT-TT	ENSG00000210195
MT-TP	ENSG00000210196
	ENSG00000271254
	ENSG00000280538
	ENSG00000278457
	ENSG00000278704
INTS3	ENSG00000262826
	ENSG00000278294
	ENSG00000281806
	ENSG00000281362
KIR2DL3	ENSG00000273947
	ENSG00000275151
LILRP2	ENSG00000274861
KIR2DL4	ENSG00000276779
	ENSG00000279969
LINC02109	ENSG00000274882
LILRP1	ENSG00000274339
KIR3DL2	ENSG00000273735
KIR2DL1	ENSG00000276820
KIR3DL1	ENSG00000273775
KIR2DS3	ENSG00000278306
KIR2DS4	ENSG00000274324
KIR3DL3	ENSG00000276433
KIR2DL4	ENSG00000275732
	ENSG00000277995
	ENSG00000274130
KIR2DL2	ENSG00000278731
LILRP1	ENSG00000277921
KIR2DL3	ENSG00000277554
KIR3DL3	ENSG00000277620
	ENSG00000276970
KIR2DL4	ENSG00000278074
KIR3DL1	ENSG00000277272
KIR2DL4	ENSG00000276044
KIR2DL4	ENSG00000277355
KIR2DS4	ENSG00000274714
KIR2DS4	ENSG00000274807
PCMTD2	ENSG00000280663
NCR1	ENSG00000277334
KIR3DL1	ENSG00000276379
LILRP2	ENSG00000275442
KIR3DP1	ENSG00000276518
KIR2DS2	ENSG00000278152
KIR2DL3	ENSG00000277484
KIR2DL4	ENSG00000273575
KIR2DL1	ENSG00000273510
KIR2DL4	ENSG00000275237
KIR3DP1	ENSG00000275751
FCAR	ENSG00000276858
KIR2DL1	ENSG00000277616
KIR3DL1	ENSG00000275717
OPRL1	ENSG00000277044
LILRP1	ENSG00000273670
KIR2DL2	ENSG00000277251
KIR2DP1	ENSG00000274476
NPBWR2	ENSG00000277339
	ENSG00000277456
KIR2DL4	ENSG00000278606
	ENSG00000280695
MYT1	ENSG00000276876
KIR3DL1	ENSG00000276501
KIR3DL3	ENSG00000276328
LILRP2	ENSG00000273755
	ENSG00000262025
	ENSG00000263275
	ENSG00000262299
KIR2DL2	ENSG00000275407
GEMIN2P1	ENSG00000262767
GATAD2B	ENSG00000261992
KIR2DL1	ENSG00000278805
KIR2DL1	ENSG00000274692
KIR2DS4	ENSG00000277345
KIR3DL2	ENSG00000276424
KRT20	ENSG00000263057
KIR2DS4	ENSG00000273526
KIR3DL3	ENSG00000275062
KIR3DL1	ENSG00000276423
KIR3DL3	ENSG00000275433
KRTAP3-1	ENSG00000262068
FCAR	ENSG00000273738
KIR3DP1	ENSG00000278786
KRTAP3-2	ENSG00000263296
KIR3DL1	ENSG00000274948
KRTAP4-9	ENSG00000262121
	ENSG00000263130
SLC27A3	ENSG00000263163
DNAH10	ENSG00000281935
KRTAP2-4	ENSG00000263091
KIR2DS4	ENSG00000276885
	ENSG00000264450
KIR3DL3	ENSG00000274696
KIR3DP1	ENSG00000274163
LILRP2	ENSG00000274842
KRT23	ENSG00000263309
KIR3DL1	ENSG00000275786
KIR3DP1	ENSG00000277835
LILRP1	ENSG00000277070
KIR3DL1	ENSG00000278427
KIR2DS4	ENSG00000274406
KIR2DS5	ENSG00000276676
FCAR	ENSG00000276985
KIR2DS4	ENSG00000277078
KIR2DP1	ENSG00000277376
KIR2DL1	ENSG00000275276
KIR3DL3	ENSG00000276084
KIR2DS2	ENSG00000276258
KIR3DL1	ENSG00000275659
KIR2DL5B	ENSG00000275946
KIR2DL4	ENSG00000274189
LILRP2	ENSG00000277267
KIR3DL2	ENSG00000277982
KIR3DS1	ENSG00000276534
LILRP2	ENSG00000274120
KIR2DS2	ENSG00000276425
KIR2DS1	ENSG00000275421
KIR2DS3	ENSG00000275047
	ENSG00000278345
KIR3DL3	ENSG00000275172
KIR2DL1	ENSG00000275080
KIR3DL2	ENSG00000275511
LILRP1	ENSG00000275112
KIR2DS2	ENSG00000274518
	ENSG00000276013
KIR2DL2	ENSG00000277725
KIR2DL4	ENSG00000274945
	ENSG00000274009
KIR2DP1	ENSG00000274942
KIR3DL2	ENSG00000274722
KIR3DP1	ENSG00000278051
KIR3DL2	ENSG00000278850
KIR3DL1	ENSG00000273518
KIR2DS4	ENSG00000275351
KIR2DL1	ENSG00000274782
	ENSG00000275018
KIR2DL1	ENSG00000277833
	ENSG00000262994
	ENSG00000269823
	ENSG00000262710
	ENSG00000262469
CCDC92	ENSG00000275035
	ENSG00000276295
	ENSG00000275531
KIR3DP1	ENSG00000276035
LILRP1	ENSG00000276001
KIR2DS3	ENSG00000277193
KIR3DP1	ENSG00000277176
LILRP2	ENSG00000275289
KIR2DL5A	ENSG00000276392
KIR2DS3	ENSG00000277650
KIR2DL4	ENSG00000277964
KIR2DP1	ENSG00000274851
KIR3DL1	ENSG00000276329
KRT40	ENSG00000262845
KIR3DP1	ENSG00000276212
KIR2DL2	ENSG00000273661
KIR3DP1	ENSG00000273688
LILRP1	ENSG00000273881
KIR2DL3	ENSG00000274830
LILRP2	ENSG00000274826
LILRP1	ENSG00000274271
LILRP1	ENSG00000276099
	ENSG00000277940
LILRP1	ENSG00000277570
KIR2DL5A	ENSG00000274676
KIR2DL2	ENSG00000273578
	ENSG00000276306
KIR2DL3	ENSG00000278369
KIR2DL4	ENSG00000274955
KIR3DL2	ENSG00000276004
KIR2DL4	ENSG00000275699
KIR3DS1	ENSG00000276498
KRTAP1-1	ENSG00000262808
	ENSG00000262731
KIR2DL5B	ENSG00000274707
KIR2DL4	ENSG00000274193
KRTAP4-11	ENSG00000263229
	ENSG00000262487
KRTAP2-5P	ENSG00000262376
KRTAP1-3	ENSG00000262347
KRTAP4-16	ENSG00000262520
KIR2DL3	ENSG00000275008
KRT12	ENSG00000263243
	ENSG00000281954
KIR2DS3	ENSG00000275599
KIR2DL3	ENSG00000274402
KRTAP1-5	ENSG00000261862
KRT39	ENSG00000262164
LILRP2	ENSG00000276247
KIR3DS1	ENSG00000274283
KIR3DP1	ENSG00000275255
LILRP2	ENSG00000273528
KIR3DL3	ENSG00000276086
KIR2DS5	ENSG00000274243
NCR1	ENSG00000275521
KIR3DL1	ENSG00000275486
KIR2DL5B	ENSG00000278414
KIR3DL2	ENSG00000278474
KIR3DL3	ENSG00000273502
KRTAP3-4P	ENSG00000262616
KRTAP2-1	ENSG00000261852
KIR2DL3	ENSG00000276590
KIR3DL3	ENSG00000274480
KRTAP3-3	ENSG00000263101
KIR2DL1	ENSG00000275750
KIR3DL2	ENSG00000278710
KRTAP2-3	ENSG00000262862
KRTAP4-12	ENSG00000263236
KRTAP1-4	ENSG00000263242
	ENSG00000266286
	ENSG00000261968
KIR3DL3	ENSG00000274724
KIR2DS1	ENSG00000273603
KIR2DL5A	ENSG00000275596
	ENSG00000278360
KIR2DS2	ENSG00000276139
LILRP2	ENSG00000273922
LILRP2	ENSG00000274788
