Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
TNMD	BRICD4, ChM1L, myodulin, TEM, tendin	ENSG00000000005	Tenomodulin	Q9H2S6	X	100584936-100599885	Predicted membrane proteins				Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in some		adipose tissue: 21.1;breast: 12.9;seminal vesicle: 26.1	Cell type enriched	Detected in some	8	Adipocytes: 73.2	Low cancer specificity	Detected in some			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in some	6	testis cancer: 1.2;Uterine cancer: 1.3	Skeletal muscle - Fibroblasts	Low region specificity	Detected in many			Low region specificity	Detected in many			HPA034961, HPA055634	Uncertain										Cluster 46: Fibroblasts - ECM organization	Cluster 6: BEWO - Unknown function	Cluster 66: Endothelial cells - Angiogenesis			HPA034961: AB_10670285, HPA055634: AB_2682868	unprognostic (3.60e-2)		unprognostic (9.84e-3)	unprognostic (3.19e-2)	unprognostic (7.77e-3)		unprognostic (2.42e-1)			unprognostic (2.15e-1)	unprognostic (2.36e-2)	unprognostic (1.37e-1)	unprognostic (9.40e-2)	unprognostic (9.60e-4)	unprognostic (6.82e-2)	unprognostic (5.67e-2)	unprognostic (1.48e-1)	Adipocytes
SEMA3G	FLJ00014, sem2	ENSG00000010319	Semaphorin 3G	Q9NS98	3	52433035-52445103	Predicted secreted proteins				Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		adipose tissue: 80.1;breast: 64.2	Cell type enriched	Detected in some	5	Adipocytes: 138.2	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Immune cell enriched	Detected in single	15	T-reg: 1.4	Lineage enriched	Detected in single	15	T-cells: 1.4	Low cancer specificity	Detected in many			Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Endothelial cells, Colon - Endothelial cells, Heart muscle - Endothelial cells, Prostate - Endothelial cells, Stomach - Endothelial cells	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA001761	Uncertain				Secreted to blood				5600000	Cluster 4: T-regs - Cell cycle regulation	Cluster 82: Adipose tissue - ECM organization	Cluster 59: Fibroblasts - Metabolism	Cluster 66: Endothelial cells - Angiogenesis			HPA001761: AB_1079902	unprognostic (2.10e-2)	unprognostic (1.49e-1)	unprognostic (7.08e-2)	unprognostic (1.47e-2)	unprognostic (2.85e-1)	unprognostic (5.79e-4)	unprognostic (5.20e-3)	unprognostic (9.14e-2)	unprognostic (5.54e-2)	unprognostic (5.64e-2)	unprognostic (1.34e-3)	unprognostic (4.14e-1)	prognostic favorable (8.86e-5)	unprognostic (5.63e-2)	unprognostic (2.93e-2)	unprognostic (1.32e-1)	unprognostic (1.14e-1)	Adipocytes
KIF25	KNSL3	ENSG00000125337	Kinesin family member 25	Q9UIL4	6	167996241-168045095	Predicted intracellular proteins		Motor protein		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level	Tissue enhanced	Detected in some		adipose tissue: 3.1;brain: 4.2;retina: 2.5	Cell type enriched	Detected in some	4	Adipocytes: 147.6	Cancer enhanced	Detected in some		testis cancer: 1.3	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected								Not detected	Not detected			HPA046153	Uncertain										Cluster 69: Cerebellum - Gene expression regulation	Cluster 11: Lymphoma - Adaptive immune response	Cluster 66: Endothelial cells - Angiogenesis			HPA046153: AB_10960550	unprognostic (1.11e-1)	unprognostic (9.32e-3)	unprognostic (1.39e-1)	unprognostic (6.65e-2)	unprognostic (1.60e-1)	unprognostic (4.46e-3)	unprognostic (1.66e-3)	unprognostic (2.27e-2)	unprognostic (1.19e-1)	unprognostic (1.42e-2)	unprognostic (1.07e-3)	unprognostic (2.45e-1)	unprognostic (7.08e-5)	unprognostic (1.55e-2)	unprognostic (5.09e-2)	unprognostic (1.15e-1)	unprognostic (1.77e-3)	Adipocytes
TCF15	bHLHa40, EC2, PARAXIS	ENSG00000125878	Transcription factor 15	Q12870	20	603797-610398	Predicted intracellular proteins, Transcription factors	Differentiation, Transcription, Transcription regulation	Activator, Developmental protein, DNA-binding		Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Tissue enhanced	Detected in some		heart muscle: 27.8;skeletal muscle: 13.2;tongue: 9.1	Cell type enriched	Detected in some	6	Adipocytes: 195.7	Cancer enhanced	Detected in many		testis cancer: 3.2	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		testis cancer: 3.0	Adipose visceral - Endothelial cells, Kidney - Endothelial cells, Liver - Vascular Endothelial cells, Prostate - Endothelial cells	Not detected	Not detected			Not detected	Not detected			HPA050998, HPA060221	Approved		Supported	Nuclear speckles							Cluster 38: Heart - Muscle contraction	Cluster 62: Granulocytes - Innate immune response	Cluster 66: Endothelial cells - Angiogenesis	Nuclear speckles		HPA050998: AB_2681302, HPA060221: AB_2684225	unprognostic (2.12e-2)	unprognostic (1.96e-2)	unprognostic (1.58e-2)	unprognostic (3.55e-2)	unprognostic (1.29e-1)	unprognostic (4.62e-2)	unprognostic (5.57e-2)	unprognostic (2.33e-1)	unprognostic (2.81e-1)	prognostic unfavorable (3.25e-4)	unprognostic (1.52e-1)	unprognostic (9.43e-2)	unprognostic (1.27e-3)	unprognostic (7.21e-2)	unprognostic (8.56e-2)	unprognostic (5.11e-1)	unprognostic (6.99e-2)	Adipocytes
TIMP4		ENSG00000157150	TIMP metallopeptidase inhibitor 4	Q99727	3	12153068-12158912	Plasma proteins, Predicted secreted proteins		Metalloenzyme inhibitor, Metalloprotease inhibitor, Protease inhibitor		Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	Tissue enhanced	Detected in many		adipose tissue: 177.7;breast: 119.6	Cell type enriched	Detected in many	6	Adipocytes: 319.2	Cancer enriched	Detected in many	13	glioma: 66.4	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in many			Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Thyroid - Thyroid glandular cells	Region enhanced	Detected in all		cerebellum: 106.1	Region enriched	Detected in all	9	cerebellum: 47.7						Secreted to extracellular matrix						Cluster 82: Adipose tissue - ECM organization	Cluster 59: Fibroblasts - Metabolism	Cluster 66: Endothelial cells - Angiogenesis				unprognostic (2.99e-2)	unprognostic (5.14e-3)	unprognostic (1.02e-2)	unprognostic (2.10e-1)	unprognostic (2.09e-2)	unprognostic (1.97e-4)	unprognostic (9.33e-3)	unprognostic (4.26e-3)	unprognostic (1.36e-1)	unprognostic (1.74e-2)	unprognostic (3.78e-1)	unprognostic (6.81e-2)	unprognostic (4.99e-3)	unprognostic (1.28e-1)	unprognostic (1.05e-2)	unprognostic (6.66e-5)	unprognostic (2.86e-1)	Adipocytes
CD300LG	CLM9, Trem4	ENSG00000161649	CD300 molecule like family member g	Q6UXG3	17	43847148-43863639	CD markers, Predicted intracellular proteins, Predicted membrane proteins	Immunity	Receptor		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		adipose tissue: 133.6;breast: 111.8;placenta: 58.6	Cell type enriched	Detected in some	11	Adipocytes: 512.0	Low cancer specificity	Detected in single			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Testis - Sertoli cells	Not detected	Not detected			Low region specificity	Detected in all												1400000	Cluster 11: Basophils - Unknown function	Cluster 82: Adipose tissue - ECM organization	Cluster 29: TT & NCI-H1385 - Synaptic signal transduction	Cluster 66: Endothelial cells - Angiogenesis				unprognostic (2.38e-2)	unprognostic (2.06e-3)	unprognostic (2.63e-1)	unprognostic (2.72e-1)	unprognostic (3.18e-1)	unprognostic (2.73e-1)	unprognostic (1.40e-4)	unprognostic (1.77e-1)	unprognostic (1.33e-1)	unprognostic (2.01e-2)	unprognostic (4.08e-3)	unprognostic (8.69e-4)	unprognostic (2.12e-5)	unprognostic (1.30e-3)	unprognostic (1.45e-1)	unprognostic (1.76e-2)	unprognostic (1.57e-1)	Adipocytes
RBP7	CRBPIV	ENSG00000162444	Retinol binding protein 7	Q96R05	1	9997206-10016021	Predicted intracellular proteins	Transport			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in all		adipose tissue: 401.0;breast: 394.6	Cell type enriched	Detected in many	14	Adipocytes: 3341.3	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Immune cell enhanced	Detected in many		classical monocyte: 311.5;neutrophil: 344.7	Group enriched	Detected in many	31	granulocytes: 344.7;monocytes: 311.5	Low cancer specificity	Detected in many			Adipose visceral - Endothelial cells, Breast - Endothelial cells, Colon - Endothelial cells	Low region specificity	Detected in some			Low region specificity	Detected in single			HPA034749	Enhanced		Uncertain	Nuclear speckles,Cytosol						Cluster 25: Monocytes - Inflammatory response	Cluster 82: Adipose tissue - ECM organization	Cluster 47: Retina - Visual perception	Cluster 66: Endothelial cells - Angiogenesis	Nuclear speckles, Cytosol		HPA034749: AB_10602084	unprognostic (1.93e-3)	unprognostic (1.50e-1)	prognostic unfavorable (2.49e-4)	unprognostic (9.59e-2)	unprognostic (2.31e-1)	unprognostic (6.28e-2)	unprognostic (1.39e-2)	unprognostic (1.85e-1)	unprognostic (1.05e-3)	unprognostic (2.24e-1)	unprognostic (1.46e-2)	unprognostic (7.90e-2)	unprognostic (5.07e-2)	unprognostic (2.38e-2)	unprognostic (2.93e-1)	unprognostic (1.15e-1)	unprognostic (1.61e-2)	Adipocytes
BTNL9	BTN8, FLJ32535	ENSG00000165810	Butyrophilin like 9	Q6UXG8	5	181040225-181061521	Predicted membrane proteins				Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in all		adipose tissue: 250.8;breast: 200.0	Cell type enriched	Detected in many	6	Adipocytes: 805.4	Low cancer specificity	Detected in many			Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		lymphoma: 12.8	Adipose visceral - Endothelial cells	Not detected	Not detected			Not detected	Not detected			HPA043429			Approved	Nuclear membrane,Vesicles						Cluster 19: B-cells - Humoral immune response	Cluster 82: Adipose tissue - ECM organization	Cluster 64: Lymphoma - Humoral immune response	Cluster 66: Endothelial cells - Angiogenesis	Nuclear membrane	Vesicles	HPA043429: AB_10961264	unprognostic (2.69e-1)	unprognostic (1.44e-2)	unprognostic (5.76e-2)	prognostic unfavorable (7.51e-4)	unprognostic (2.07e-1)	unprognostic (1.43e-1)	prognostic favorable (1.55e-9)	unprognostic (2.15e-2)	unprognostic (8.51e-2)	unprognostic (1.78e-1)	unprognostic (1.93e-3)	unprognostic (1.38e-1)	unprognostic (1.03e-1)	unprognostic (2.71e-2)	unprognostic (3.43e-1)	unprognostic (2.50e-1)	unprognostic (4.56e-2)	Adipocytes
FABP4	A-FABP, aP2	ENSG00000170323	Fatty acid binding protein 4	P15090	8	81478419-81483236	Cancer-related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	Transport		Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in many	12	adipose tissue: 3787.4;breast: 2195.7	Cell type enriched	Detected in many	15	Adipocytes: 20433.7	Group enriched	Detected in all	7	breast cancer: 42.1;cervical cancer: 141.7;head and neck cancer: 133.8;urothelial cancer: 65.5	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in many	5	Bladder cancer: 195.3;Rhabdoid: 55.5	Adipose subcutaneous - Adipocytes (Subcutaneous), Breast - Adipocytes (Breast), Colon - Endothelial cells	Not detected	Not detected			Low region specificity	Detected in many			HPA002188, CAB024961	Enhanced								22000000		Cluster 82: Adipose tissue - ECM organization	Cluster 59: Fibroblasts - Metabolism	Cluster 66: Endothelial cells - Angiogenesis			CAB024961: , HPA002188: AB_1078822	unprognostic (4.81e-2)	unprognostic (2.30e-3)	unprognostic (1.64e-3)	unprognostic (2.63e-2)	unprognostic (2.58e-1)	unprognostic (8.70e-3)	unprognostic (1.78e-3)	unprognostic (1.67e-1)	unprognostic (2.00e-1)	unprognostic (2.36e-1)	unprognostic (9.32e-2)	unprognostic (1.56e-1)	unprognostic (8.76e-2)	unprognostic (1.13e-3)	unprognostic (4.48e-2)	unprognostic (2.26e-2)	unprognostic (1.39e-1)	Adipocytes
GPIHBP1	GPI-HBP1, LOC338328	ENSG00000277494	Glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1	Q8IV16	8	143213218-143217170	Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins	Transport		Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		adipose tissue: 90.7;breast: 54.5	Cell type enriched	Detected in some	4	Adipocytes: 332.9	Low cancer specificity	Detected in many			Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Stomach - Endothelial cells	Not detected	Not detected			Low region specificity	Detected in all			HPA066302	Enhanced				Intracellular and membrane						Cluster 57: Non-specific - Angiogenesis	Cluster 40: Non-specific - Enzymes	Cluster 66: Endothelial cells - Angiogenesis			HPA066302: AB_2685654	unprognostic (2.05e-1)	unprognostic (3.11e-2)	unprognostic (1.71e-3)	unprognostic (2.43e-3)	unprognostic (1.58e-1)	unprognostic (9.50e-2)	unprognostic (1.75e-3)	unprognostic (8.01e-2)	unprognostic (2.04e-1)	unprognostic (1.30e-1)	unprognostic (9.31e-2)	unprognostic (8.69e-2)	unprognostic (5.06e-3)	unprognostic (9.65e-3)	unprognostic (1.41e-1)	unprognostic (5.96e-2)	unprognostic (2.85e-3)	Adipocytes
