Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
AGPAT4	dJ473J16.2, LPAAT-delta	ENSG00000026652	1-acylglycerol-3-phosphate O-acyltransferase 4	Q9NRZ5	6	161129967-161274061	Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins	Lipid biosynthesis, Lipid metabolism, Phospholipid biosynthesis, Phospholipid metabolism	Acyltransferase, Transferase		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	4	brain: 51.3	Cell type enriched	Detected in many	4	Oligodendrocytes: 384.8	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in many			Low lineage specificity	Detected in many			Low cancer specificity	Detected in many			Heart muscle - Fibroblasts, Thyroid - Fibroblasts	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA053287, HPA060525	Approved		Approved	Nucleoli,Golgi apparatus,Vesicles						Cluster 36: GdT-cells - Adaptive immune response	Cluster 70: Brain - Nervous system development	Cluster 3: HUVEC & TIME - Signal transduction	Cluster 8: Oligodendrocytes - Myelin sheath organization	Golgi apparatus	Nucleoli, Vesicles	HPA053287: AB_2682101, HPA060525: AB_2684306	unprognostic (5.69e-2)	prognostic unfavorable (1.45e-4)	unprognostic (1.73e-1)	unprognostic (3.43e-2)	unprognostic (4.14e-2)	unprognostic (6.67e-3)	unprognostic (1.94e-4)	unprognostic (1.05e-1)	unprognostic (3.42e-2)	unprognostic (2.77e-2)	unprognostic (1.76e-3)	unprognostic (1.67e-1)	prognostic unfavorable (4.08e-4)	unprognostic (1.82e-2)	unprognostic (8.87e-2)	unprognostic (3.63e-4)	unprognostic (5.51e-2)	Oligodendrocytes
VRK2		ENSG00000028116	VRK serine/threonine kinase 2	Q86Y07	2	57907629-58159920	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Host-virus interaction	Kinase, Serine/threonine-protein kinase, Transferase		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enriched	Detected in many	9	Oligodendrocytes: 510.5	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in all			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all			Testis - Early spermatids	Low region specificity	Detected in all			Low region specificity	Detected in all			CAB046459, HPA047503	Approved		Supported	Endoplasmic reticulum						Cluster 19: B-cells - Humoral immune response	Cluster 70: Brain - Nervous system development	Cluster 45: Non-specific - Cell proliferation	Cluster 8: Oligodendrocytes - Myelin sheath organization	Endoplasmic reticulum		CAB046459: AB_1858773, HPA047503: AB_2680071	unprognostic (1.87e-1)	unprognostic (5.84e-2)	unprognostic (4.65e-2)	unprognostic (1.33e-3)	unprognostic (1.27e-1)	unprognostic (1.60e-2)	prognostic unfavorable (6.32e-6)	unprognostic (3.90e-2)	unprognostic (4.76e-2)	unprognostic (2.96e-2)	prognostic unfavorable (4.65e-4)	unprognostic (1.36e-1)	prognostic unfavorable (4.66e-5)	unprognostic (3.48e-1)	unprognostic (1.62e-1)	unprognostic (2.99e-1)	unprognostic (3.56e-1)	Oligodendrocytes
FUT8		ENSG00000033170	Fucosyltransferase 8	Q9BYC5	14	65410592-65744121	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins		Glycosyltransferase, Transferase	Congenital disorder of glycosylation, Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		brain: 64.3	Cell type enriched	Detected in many	4	Oligodendrocytes: 962.0	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in many			Group enriched	Detected in many	5	B-cells: 15.6;NK-cells: 14.8;T-cells: 10.0	Low cancer specificity	Detected in all			Testis - Spermatocytes	Low region specificity	Detected in all			Low region specificity	Detected in all			CAB017129, HPA043410	Enhanced		Approved	Nucleoplasm,Golgi apparatus,Cytosol						Cluster 43: B-cells - Humoral immune response	Cluster 70: Brain - Nervous system development	Cluster 46: Non-specific - Unknown function	Cluster 8: Oligodendrocytes - Myelin sheath organization	Golgi apparatus	Nucleoplasm, Cytosol	CAB017129: , HPA043410: AB_2678467	unprognostic (1.67e-1)	unprognostic (1.63e-1)	unprognostic (3.28e-2)	unprognostic (1.65e-3)	unprognostic (2.10e-1)	unprognostic (5.61e-2)	unprognostic (1.41e-1)	unprognostic (8.81e-2)	unprognostic (2.00e-2)	unprognostic (1.33e-3)	unprognostic (8.09e-2)	unprognostic (1.94e-1)	unprognostic (1.04e-3)	unprognostic (1.40e-1)	unprognostic (2.94e-1)	unprognostic (1.40e-1)	unprognostic (8.28e-3)	Oligodendrocytes
PLEKHH1	KIAA1200	ENSG00000054690	Pleckstrin homology, MyTH4 and FERM domain containing H1	Q9ULM0	14	67533290-67589612	Predicted intracellular proteins				Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	Tissue enriched	Detected in many	4	brain: 158.0	Cell type enriched	Detected in many	8	Oligodendrocytes: 573.6	Low cancer specificity	Detected in many			Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		prostate cancer: 14.7	Prostate - Prostate glandular cells, Testis - Sertoli cells	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA047707, HPA051964	Uncertain		Approved	Centrosome							Cluster 70: Brain - Nervous system development	Cluster 24: Prostate cancer - Lipid metabolism	Cluster 8: Oligodendrocytes - Myelin sheath organization	Centrosome		HPA047707: AB_2680126, HPA051964: AB_2681675	unprognostic (2.47e-2)	unprognostic (9.57e-2)	unprognostic (3.94e-2)	prognostic favorable (8.03e-5)	unprognostic (4.74e-1)	unprognostic (9.15e-3)	unprognostic (8.43e-5)	unprognostic (1.54e-2)	unprognostic (2.28e-1)	unprognostic (4.14e-2)	unprognostic (3.72e-2)	unprognostic (1.85e-1)	prognostic favorable (4.03e-7)	unprognostic (1.49e-1)	unprognostic (1.15e-2)	unprognostic (1.13e-1)	prognostic favorable (2.26e-4)	Oligodendrocytes
SLC44A1	CD92, CDW92, CHTL1, CTL1	ENSG00000070214	Solute carrier family 44 member 1	Q8WWI5	9	105244622-105439171	CD markers, Disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters	Transport		Neurodegeneration	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in all		brain: 284.9	Cell type enriched	Detected in all	9	Oligodendrocytes: 2307.3	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in many			Low lineage specificity	Detected in many			Low cancer specificity	Detected in all			Liver - Hepatocytes	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA064714, HPA074007	Enhanced		Supported	Nucleoplasm,Mitochondria					99000	Cluster 24: B-cells - Unknown function	Cluster 70: Brain - Nervous system development	Cluster 59: Fibroblasts - Metabolism	Cluster 8: Oligodendrocytes - Myelin sheath organization	Mitochondria	Nucleoplasm	HPA064714: AB_2685334, HPA074007: 	unprognostic (3.49e-1)	unprognostic (2.25e-1)	unprognostic (1.27e-1)	unprognostic (6.54e-3)	unprognostic (4.77e-2)	unprognostic (1.74e-2)	unprognostic (2.21e-2)	prognostic unfavorable (4.49e-4)	unprognostic (2.48e-1)	unprognostic (1.95e-1)	unprognostic (1.64e-3)	unprognostic (6.20e-2)	prognostic favorable (1.85e-4)	unprognostic (2.13e-1)	unprognostic (2.07e-1)	unprognostic (1.33e-1)	unprognostic (2.07e-2)	Oligodendrocytes
TESK2		ENSG00000070759	Testis associated actin remodelling kinase 2	Q96S53	1	45343883-45491163	Enzymes, Plasma proteins, Predicted intracellular proteins		Kinase, Serine/threonine-protein kinase, Transferase, Tyrosine-protein kinase		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enriched	Detected in many	4	Oligodendrocytes: 210.4	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in all			Low lineage specificity	Detected in all			Low cancer specificity	Detected in many			Prostate - Prostate glandular cells, Skin - Keratinocyte (other), Testis - Early spermatids	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA027257, HPA063869	Uncertain		Enhanced	Nucleoplasm						Cluster 14: Monocytes - Unknown function	Cluster 69: Cerebellum - Gene expression regulation	Cluster 16: Skin cancer - Melanocyte processes	Cluster 8: Oligodendrocytes - Myelin sheath organization	Nucleoplasm		HPA027257: AB_10602477, HPA063869: AB_2685137	unprognostic (2.95e-1)	prognostic favorable (2.22e-4)	unprognostic (3.90e-2)	unprognostic (5.04e-3)	unprognostic (6.03e-2)	unprognostic (1.87e-3)	unprognostic (3.22e-2)	unprognostic (1.43e-2)	unprognostic (5.15e-2)	unprognostic (2.96e-1)	unprognostic (2.28e-1)	unprognostic (2.86e-1)	unprognostic (4.36e-2)	unprognostic (2.49e-2)	unprognostic (1.13e-1)	unprognostic (4.37e-2)	unprognostic (2.01e-1)	Oligodendrocytes
PDE8A	HsT19550	ENSG00000073417	Phosphodiesterase 8A	O60658	15	84980440-85139145	Enzymes, Metabolic proteins, Predicted intracellular proteins		Hydrolase		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enriched	Detected in many	7	Oligodendrocytes: 914.3	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in some			Low lineage specificity	Detected in many			Low cancer specificity	Detected in all			Skeletal muscle - Endothelial cells	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA007722	Approved		Approved	Golgi apparatus						Cluster 39: Non-specific - mRNA processing	Cluster 45: Intestine - Brush border	Cluster 40: Non-specific - Enzymes	Cluster 8: Oligodendrocytes - Myelin sheath organization	Golgi apparatus		HPA007722: AB_1855130	unprognostic (1.68e-1)	unprognostic (2.83e-2)	unprognostic (4.81e-2)	unprognostic (4.97e-2)	unprognostic (6.25e-2)	unprognostic (3.47e-2)	unprognostic (2.97e-2)	unprognostic (3.94e-2)	unprognostic (1.03e-1)	unprognostic (2.45e-1)	unprognostic (8.99e-3)	unprognostic (2.75e-2)	unprognostic (3.42e-1)	unprognostic (3.72e-1)	unprognostic (4.26e-1)	unprognostic (1.31e-1)	unprognostic (1.94e-2)	Oligodendrocytes
FRYL	AF4p12, DKFZp686E205, KIAA0826, MOR2	ENSG00000075539	FRY like transcription coactivator	O94915	4	48497357-48780322	Disease related genes, Predicted intracellular proteins	Transcription, Transcription regulation			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		brain: 81.5	Cell type enriched	Detected in all	5	Oligodendrocytes: 1084.3	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Immune cell enriched	Detected in many	5	basophil: 13.5	Lineage enriched	Detected in all	5	granulocytes: 13.5	Low cancer specificity	Detected in all				Low region specificity	Detected in all			Low region specificity	Detected in all			HPA031106, HPA031107	Supported		Approved	Microtubules,Cytokinetic bridge,Cytosol		Yes	No			Cluster 38: Basophils - Unknown function	Cluster 70: Brain - Nervous system development	Cluster 32: Myeloid leukemia - Oxygen transport	Cluster 8: Oligodendrocytes - Myelin sheath organization	Cytosol	Microtubules, Cytokinetic bridge	HPA031106: AB_10600660, HPA031107: AB_10600536	unprognostic (7.50e-2)	unprognostic (9.72e-3)	unprognostic (6.68e-3)	unprognostic (3.22e-2)	unprognostic (5.37e-2)	unprognostic (2.03e-2)	unprognostic (3.59e-2)	unprognostic (4.80e-2)	unprognostic (4.67e-2)	unprognostic (2.08e-1)	unprognostic (2.41e-2)	unprognostic (4.68e-2)	unprognostic (2.62e-2)	unprognostic (3.32e-2)	unprognostic (1.66e-1)	unprognostic (1.01e-1)	unprognostic (1.29e-2)	Oligodendrocytes
PLD1		ENSG00000075651	Phospholipase D1	Q13393	3	171600404-171810950	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins	Lipid degradation, Lipid metabolism	Hydrolase	Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		gallbladder: 86.8	Cell type enriched	Detected in many	4	Oligodendrocytes: 490.5	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Immune cell enhanced	Detected in many		basophil: 8.3	Low lineage specificity	Detected in many			Low cancer specificity	Detected in all			Kidney - Proximal tubular cells, Liver - Hepatocytes, Prostate - Fibroblasts, Skin - Keratinocyte (other)	Low region specificity	Detected in all			Low region specificity	Detected in all			CAB004527, HPA042396, HPA066938	Enhanced		Approved	Vesicles						Cluster 10: Basophils - Unknown function	Cluster 45: Intestine - Brush border	Cluster 60: Keratinocytes - Epithelial cell function	Cluster 8: Oligodendrocytes - Myelin sheath organization	Vesicles		CAB004527: AB_677324, HPA042396: AB_2677977, HPA066938: 	unprognostic (3.23e-1)	unprognostic (3.27e-1)	unprognostic (5.82e-2)	unprognostic (5.13e-2)	unprognostic (4.58e-1)	unprognostic (4.76e-2)	unprognostic (9.03e-2)	unprognostic (1.46e-1)	unprognostic (6.23e-2)	unprognostic (8.02e-2)	unprognostic (2.06e-2)	unprognostic (2.95e-2)	unprognostic (1.23e-1)	unprognostic (1.29e-1)	unprognostic (1.16e-1)	unprognostic (1.19e-1)	prognostic unfavorable (4.76e-6)	Oligodendrocytes
SYNJ2	INPP5H	ENSG00000078269	Synaptojanin 2	O15056	6	157981863-158099176	Enzymes, Metabolic proteins, Predicted intracellular proteins	Lipid metabolism	Hydrolase, RNA-binding		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in all	6	brain: 116.2	Cell type enriched	Detected in many	4	Oligodendrocytes: 474.0	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in many			Low lineage specificity	Detected in many			Low cancer specificity	Detected in all			Testis - Late spermatids	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA031575	Approved		Approved	Microtubules,Cytosol						Cluster 1: Neutrophils - Mixed function	Cluster 70: Brain - Nervous system development	Cluster 3: HUVEC & TIME - Signal transduction	Cluster 8: Oligodendrocytes - Myelin sheath organization	Microtubules	Cytosol	HPA031575: AB_10604101	prognostic unfavorable (2.63e-4)	unprognostic (1.94e-2)	unprognostic (7.61e-2)	unprognostic (1.25e-2)	unprognostic (1.48e-2)	unprognostic (7.68e-2)	unprognostic (1.24e-1)	unprognostic (7.06e-2)	unprognostic (2.91e-1)	unprognostic (7.29e-3)	unprognostic (1.26e-1)	unprognostic (1.36e-1)	prognostic unfavorable (4.02e-6)	unprognostic (1.66e-2)	unprognostic (3.75e-2)	unprognostic (1.75e-1)	unprognostic (9.45e-2)	Oligodendrocytes
