Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
SLC6A13	GAT2	ENSG00000010379	Solute carrier family 6 member 13	Q9NSD5	12	220621-262873	Metabolic proteins, Predicted membrane proteins, Transporters	Neurotransmitter transport, Symport, Transport			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	4	kidney: 153.1	Cell type enriched	Detected in some	13	Proximal tubular cells: 247.8	Cancer enriched	Detected in some	18	renal cancer: 32.1	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		Leukemia: 2.4	Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Testis - Early spermatids, Testis - Late spermatids	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA036449, HPA052726			Supported	Nucleoplasm,Nucleoli,Mitochondria,Cytosol							Cluster 7: Kidney - Transmembrane transport	Cluster 17: RS4;11 - Unknown function	Cluster 60: Proximal tubular cells - Absorption	Mitochondria	Nucleoplasm, Nucleoli, Cytosol	HPA036449: AB_2675130, HPA052726: AB_2681927	unprognostic (8.45e-3)	unprognostic (4.20e-1)	unprognostic (5.44e-2)	unprognostic (1.64e-5)	unprognostic (1.13e-1)	unprognostic (8.02e-2)	unprognostic (1.32e-2)	unprognostic (1.30e-1)	unprognostic (1.75e-1)	unprognostic (2.15e-1)	unprognostic (7.21e-4)	unprognostic (2.93e-1)	unprognostic (1.25e-3)	unprognostic (3.79e-2)	unprognostic (2.62e-1)	unprognostic (6.23e-2)	unprognostic (1.91e-1)	Proximal tubular cells
SLC13A1	NAS1, NaSi-1	ENSG00000081800	Solute carrier family 13 member 1	Q9BZW2	7	123113531-123199972	Metabolic proteins, Predicted membrane proteins, Transporters	Ion transport, Sodium transport, Sulfate transport, Symport, Transport			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	7	kidney: 81.9	Cell type enriched	Detected in some	6	Proximal tubular cells: 431.8	Cancer enriched	Detected in single	219	renal cancer: 10.9	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Kidney - Proximal tubular cells	Not detected	Not detected			Low region specificity	Detected in many			HPA053615, HPA062714	Enhanced										Cluster 7: Kidney - Transmembrane transport		Cluster 60: Proximal tubular cells - Absorption			HPA053615: AB_2682207, HPA062714: AB_2684846											unprognostic (1.86e-1)		prognostic favorable (8.95e-5)	unprognostic (1.71e-1)	unprognostic (3.76e-1)			Proximal tubular cells
NOX4	KOX, KOX-1	ENSG00000086991	NADPH oxidase 4	Q9NPH5	11	89324353-89498187	Predicted membrane proteins, Transporters		Oxidoreductase		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	8	kidney: 138.0	Cell type enriched	Detected in many	4	Proximal tubular cells: 133.2	Cancer enhanced	Detected in many		renal cancer: 5.8	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		testis cancer: 7.1	Breast - Endothelial cells, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Skin - Endothelial cells	Not detected	Not detected			Low region specificity	Detected in many														Cluster 7: Kidney - Transmembrane transport	Cluster 3: HUVEC & TIME - Signal transduction	Cluster 60: Proximal tubular cells - Absorption				unprognostic (2.91e-2)	unprognostic (1.08e-1)	unprognostic (1.74e-3)	unprognostic (6.58e-3)	unprognostic (1.92e-1)	unprognostic (2.33e-1)	unprognostic (8.83e-3)	unprognostic (8.95e-3)	unprognostic (3.80e-1)	unprognostic (6.88e-2)	unprognostic (1.56e-2)	unprognostic (1.73e-1)	prognostic favorable (6.14e-4)	unprognostic (1.99e-4)	unprognostic (9.71e-2)	unprognostic (5.69e-2)	unprognostic (3.03e-3)	Proximal tubular cells
RAB11FIP3	eferin, KIAA0665, Rab11-FIP3	ENSG00000090565	RAB11 family interacting protein 3	O75154	16	425649-523011	Cancer-related genes, Predicted intracellular proteins	Cell cycle, Cell division, Transport		Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in all		kidney: 151.1	Cell type enriched	Detected in many	4	Proximal tubular cells: 332.2	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in all			Adipose visceral - Mesothelial cells, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Testis - Sertoli cells	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA028088, HPA028631, HPA030086	Enhanced		Enhanced	Nucleoplasm,Vesicles,Cytokinetic bridge,Centriolar satellite,Mitochondria		Yes	No				Cluster 7: Kidney - Transmembrane transport	Cluster 8: Non-specific - Transcription	Cluster 60: Proximal tubular cells - Absorption	Vesicles, Centriolar satellite	Nucleoplasm, Cytokinetic bridge, Mitochondria	HPA028088: AB_10601672, HPA028631: AB_10601853, HPA030086: AB_10669596	unprognostic (6.65e-2)	unprognostic (1.84e-2)	unprognostic (1.51e-1)	prognostic favorable (1.22e-4)	unprognostic (2.87e-2)	unprognostic (1.85e-1)	prognostic unfavorable (9.87e-5)	unprognostic (6.71e-2)	unprognostic (4.74e-1)	unprognostic (9.66e-2)	prognostic favorable (3.16e-5)	unprognostic (1.12e-1)	prognostic favorable (7.99e-4)	unprognostic (1.39e-1)	unprognostic (1.77e-1)	unprognostic (1.58e-1)	unprognostic (1.44e-1)	Proximal tubular cells
MIOX	ALDRL6	ENSG00000100253	Myo-inositol oxygenase	Q9UGB7	22	50486784-50490648	Enzymes, Metabolic proteins, Predicted intracellular proteins		Oxidoreductase		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	48	kidney: 700.9	Cell type enriched	Detected in some	19	Proximal tubular cells: 4455.5	Cancer enriched	Detected in many	16	renal cancer: 56.0	Not detected	Not detected			Immune cell enhanced	Detected in single		basophil: 1.0	Low lineage specificity	Detected in single			Cancer enhanced	Detected in some		Kidney cancer: 5.4	Kidney - Proximal tubular cells, Prostate - Prostate glandular cells	Not detected	Not detected			Not detected	Not detected			HPA039451, HPA039562	Enhanced									Cluster 18: Basophils - Vesicular transport	Cluster 7: Kidney - Transmembrane transport	Cluster 37: Ovarian cancer RMG-I - Cellular stress response	Cluster 60: Proximal tubular cells - Absorption			HPA039451: AB_2676513, HPA039562: AB_2676574	unprognostic (2.11e-1)	unprognostic (4.32e-2)	unprognostic (2.22e-2)	unprognostic (1.30e-2)	unprognostic (9.83e-2)	unprognostic (5.25e-2)	unprognostic (1.61e-2)	unprognostic (3.84e-3)	unprognostic (2.84e-1)	unprognostic (4.72e-2)	unprognostic (1.85e-2)	unprognostic (9.83e-2)	prognostic favorable (2.60e-6)	unprognostic (1.77e-1)	unprognostic (1.50e-1)	unprognostic (1.36e-2)	unprognostic (2.23e-2)	Proximal tubular cells
NKAIN4	bA261N11.2, C20orf58, FAM77A	ENSG00000101198	Sodium/potassium transporting ATPase interacting 4	Q8IVV8	20	63240784-63272694	Predicted intracellular proteins, Predicted membrane proteins, Transporters				Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	15	brain: 68.1;choroid plexus: 20.3;kidney: 52.2	Cell type enriched	Detected in some	4	Proximal tubular cells: 336.6	Cancer enriched	Detected in many	6	glioma: 45.5	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		testis cancer: 29.5;Uterine cancer: 16.5	Kidney - Proximal tubular cells	Low region specificity	Detected in all			Low region specificity	Detected in many			HPA029876	Approved										Cluster 7: Kidney - Transmembrane transport	Cluster 42: Sarcoma - Muscle contraction	Cluster 60: Proximal tubular cells - Absorption			HPA029876: AB_10602038	unprognostic (1.26e-1)	unprognostic (4.27e-1)	unprognostic (6.07e-5)	prognostic unfavorable (3.14e-4)	unprognostic (6.65e-2)	unprognostic (2.59e-1)	unprognostic (7.07e-3)	unprognostic (1.94e-1)	unprognostic (3.62e-2)	unprognostic (2.69e-2)	unprognostic (1.83e-2)	unprognostic (1.27e-1)	unprognostic (2.12e-2)	unprognostic (1.44e-4)	unprognostic (5.66e-2)	unprognostic (6.74e-2)	unprognostic (4.01e-1)	Proximal tubular cells
AGMAT	FLJ23384	ENSG00000116771	Agmatinase	Q9BSE5	1	15571699-15585051	Enzymes, Metabolic proteins, Predicted intracellular proteins	Putrescine biosynthesis, Spermidine biosynthesis	Hydrolase		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in many	4	kidney: 133.9;liver: 62.1;skeletal muscle: 34.2	Cell type enriched	Detected in many	4	Proximal tubular cells: 405.3	Group enriched	Detected in all	5	colorectal cancer: 18.5;liver cancer: 25.3;renal cancer: 11.2;stomach cancer: 11.1	Low region specificity	Detected in many			Low immune cell specificity	Detected in many			Group enriched	Detected in many	4	B-cells: 4.1;T-cells: 8.4	Cancer enhanced	Detected in many		liver cancer: 18.0	Colon - Colon enterocytes, Kidney - Proximal tubular cells, Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes	Low region specificity	Detected in many			Not detected	Not detected			HPA026443, HPA028321	Enhanced								240000	Cluster 20: T-cells - T-cell receptor	Cluster 81: Kidney & Liver - Metabolism	Cluster 35: Liver cancer - Metabolism	Cluster 60: Proximal tubular cells - Absorption			HPA026443: AB_1844644, HPA028321: AB_10600779	unprognostic (2.27e-2)	unprognostic (3.45e-1)	unprognostic (1.79e-3)	unprognostic (3.60e-2)	unprognostic (8.72e-2)	unprognostic (6.66e-3)	unprognostic (9.48e-2)	unprognostic (1.19e-2)	unprognostic (2.06e-2)	unprognostic (2.37e-2)	unprognostic (1.13e-2)	unprognostic (2.35e-1)	prognostic favorable (5.13e-4)	unprognostic (4.43e-3)	unprognostic (2.44e-1)	unprognostic (1.33e-1)	unprognostic (2.45e-2)	Proximal tubular cells
TRIM6	RNF89	ENSG00000121236	Tripartite motif containing 6	Q9C030	11	5596109-5612958	Enzymes, Predicted intracellular proteins	Host-virus interaction, Ubl conjugation pathway	Transferase		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		kidney: 20.9	Cell type enriched	Detected in many	4	Proximal tubular cells: 73.1	Cancer enhanced	Detected in many		testis cancer: 7.8	Not detected	Not detected			Immune cell enhanced	Detected in single		neutrophil: 1.1	Low lineage specificity	Detected in single			Cancer enhanced	Detected in many		testis cancer: 36.7	Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Testis - Spermatocytes	Not detected	Not detected			Not detected	Not detected			HPA060514	Uncertain									Cluster 9: Neutrophils - Innate immune response	Cluster 7: Kidney - Transmembrane transport	Cluster 32: Myeloid leukemia - Oxygen transport	Cluster 60: Proximal tubular cells - Absorption			HPA060514: AB_2684300	unprognostic (9.00e-2)	unprognostic (2.10e-3)	unprognostic (9.16e-3)	unprognostic (1.82e-1)	unprognostic (3.25e-3)	unprognostic (3.25e-3)	unprognostic (2.35e-2)	unprognostic (3.26e-3)	unprognostic (8.59e-2)	unprognostic (3.40e-2)	unprognostic (8.61e-2)	unprognostic (3.90e-1)	unprognostic (5.68e-2)	unprognostic (4.65e-4)	unprognostic (4.77e-1)	unprognostic (3.33e-2)	unprognostic (4.36e-1)	Proximal tubular cells
SLC17A3	NPT4	ENSG00000124564	Solute carrier family 17 member 3	O00476	6	25833066-25882286	Metabolic proteins, Predicted membrane proteins, Transporters	Ion transport, Sodium transport, Symport, Transport			Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	4	kidney: 164.3	Cell type enriched	Detected in some	10	Proximal tubular cells: 150.7	Cancer enriched	Detected in some	17	renal cancer: 57.0	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	21	Kidney cancer: 48.7	Kidney - Proximal tubular cells, Liver - Hepatocytes	Not detected	Not detected			Not detected	Not detected													Cluster 16: MAIT-cells - Unknown function	Cluster 7: Kidney - Transmembrane transport	Cluster 68: Kidney - Mixed function	Cluster 60: Proximal tubular cells - Absorption				unprognostic (5.31e-3)				unprognostic (1.56e-2)		unprognostic (2.51e-1)	unprognostic (4.65e-2)			unprognostic (5.05e-2)	unprognostic (1.88e-1)	unprognostic (1.07e-1)	unprognostic (2.34e-1)	unprognostic (1.34e-1)	unprognostic (4.49e-1)		Proximal tubular cells
MT1G	MT1, MT1K	ENSG00000125144	Metallothionein 1G	P13640	16	56666730-56668065	Cancer-related genes, Predicted intracellular proteins			Cancer-related genes	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		kidney: 3543.0;liver: 6959.4;thyroid gland: 2886.6	Cell type enriched	Detected in many	5	Proximal tubular cells: 91030.0	Group enriched	Detected in all	4	liver cancer: 320.1;ovarian cancer: 106.9;prostate cancer: 103.9;testis cancer: 269.9;thyroid cancer: 369.1	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		Bile duct cancer: 158.0;colorectal cancer: 123.9;Leukemia: 130.6	Kidney - Proximal tubular cells, Stomach - Chief cells														Intracellular and membrane					Cluster 39: Non-specific - mRNA processing	Cluster 81: Kidney & Liver - Metabolism	Cluster 66: Myeloid cells - Innate immune response	Cluster 60: Proximal tubular cells - Absorption				unprognostic (1.62e-1)	unprognostic (4.21e-1)	unprognostic (2.77e-2)	unprognostic (3.15e-1)	unprognostic (1.32e-2)	unprognostic (1.73e-3)	unprognostic (1.26e-1)	unprognostic (1.45e-1)	unprognostic (1.12e-1)	unprognostic (5.97e-2)	unprognostic (2.49e-2)	unprognostic (4.21e-1)	prognostic unfavorable (1.67e-7)	unprognostic (1.42e-1)	unprognostic (3.50e-2)	unprognostic (7.92e-2)	unprognostic (2.26e-2)	Proximal tubular cells
