Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
SLC13A2	NaDC-1	ENSG00000007216	Solute carrier family 13 member 2	Q13183	17	28473293-28497781	Metabolic proteins, Predicted membrane proteins, Transporters	Ion transport, Sodium transport, Symport, Transport			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	6	intestine: 119.6;kidney: 38.2;salivary gland: 44.9	Cell type enriched	Detected in some	4	Proximal enterocytes: 266.2	Low cancer specificity	Detected in many			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Colon - Colon enterocytes, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Pancreas - Ductal cells, Prostate - Urothelial cells, Skin - Eccrine sweat gland cells	Not detected	Not detected			Low region specificity	Detected in many			HPA014963	Enhanced										Cluster 56: Intestine - Transmembrane transport	Cluster 19: Stomach & Colon cancer - Absorption	Cluster 59: Proximal enterocytes - Transmembrane transport			HPA014963: AB_1857096	unprognostic (8.47e-2)	unprognostic (7.63e-3)	unprognostic (4.36e-3)	unprognostic (2.06e-1)		unprognostic (2.36e-3)	unprognostic (3.06e-1)	unprognostic (2.28e-4)		unprognostic (1.50e-1)	unprognostic (1.74e-1)	unprognostic (1.00e-2)	prognostic favorable (9.00e-4)	unprognostic (2.16e-1)	unprognostic (2.64e-1)		unprognostic (1.50e-2)	Proximal enterocytes
HEBP1	HBP, HEBP	ENSG00000013583	Heme binding protein 1	Q9NRV9	12	12974870-13000265	Predicted intracellular proteins				Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in all		intestine: 242.9	Cell type enriched	Detected in many	4	Proximal enterocytes: 866.8	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in all			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all			Prostate - Fibroblasts, Thyroid - Thyroid glandular cells	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA056417, HPA075277	Approved		Approved	Nucleoplasm,Vesicles					290000	Cluster 14: Monocytes - Unknown function	Cluster 41: Intestine & Liver - Lipid metabolism	Cluster 22: Rhabdoid cancers - Neuronal signaling	Cluster 59: Proximal enterocytes - Transmembrane transport	Vesicles	Nucleoplasm	HPA056417: AB_2683122, HPA075277: AB_2686741	unprognostic (1.65e-1)	unprognostic (2.31e-2)	unprognostic (9.28e-2)	unprognostic (5.67e-3)	unprognostic (4.45e-3)	unprognostic (5.42e-3)	unprognostic (2.70e-1)	unprognostic (2.44e-1)	unprognostic (6.04e-2)	unprognostic (3.50e-2)	unprognostic (1.94e-3)	unprognostic (6.19e-2)	unprognostic (2.28e-3)	unprognostic (5.71e-2)	unprognostic (1.64e-1)	unprognostic (4.02e-2)	unprognostic (4.43e-2)	Proximal enterocytes
SLC7A9	CSNU3	ENSG00000021488	Solute carrier family 7 member 9	P82251	19	32830509-32869767	Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters	Amino-acid transport, Transport		Cystinuria, Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	6	intestine: 124.6;kidney: 68.2	Cell type enriched	Detected in some	15	Proximal enterocytes: 830.2	Group enriched	Detected in some	7	liver cancer: 6.6;renal cancer: 5.2;stomach cancer: 1.9	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		liver cancer: 3.4	Kidney - Proximal tubular cells, Kidney - Proximal tubular cells	Not detected	Not detected			Low region specificity	Detected in all			HPA042591	Enhanced										Cluster 87: Intestine & Kidney - Transmembrane transport	Cluster 41: Non-specific - Cilium assembly	Cluster 59: Proximal enterocytes - Transmembrane transport			HPA042591: AB_10962500	unprognostic (4.12e-2)	unprognostic (5.40e-2)	unprognostic (6.19e-2)	unprognostic (3.37e-3)	unprognostic (1.69e-1)	unprognostic (1.54e-1)	unprognostic (4.17e-2)	unprognostic (3.87e-2)	unprognostic (1.49e-1)	unprognostic (1.78e-1)	unprognostic (1.24e-1)	unprognostic (2.39e-1)	unprognostic (9.69e-2)	unprognostic (5.97e-2)	unprognostic (3.20e-1)	unprognostic (4.94e-3)	unprognostic (5.10e-5)	Proximal enterocytes
CREB3L3	CREB-H, CREBH	ENSG00000060566	CAMP responsive element binding protein 3 like 3	Q68CJ9	19	4153631-4173054	Predicted intracellular proteins, Predicted membrane proteins, Transcription factors	Transcription, Transcription regulation, Unfolded protein response	Activator, DNA-binding	Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	71	intestine: 257.2;liver: 415.5	Cell type enriched	Detected in some	4	Proximal enterocytes: 383.5	Cancer enriched	Detected in many	18	liver cancer: 91.4	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		Gastric cancer: 11.6;liver cancer: 25.1;pancreatic cancer: 9.5		Not detected	Not detected			Not detected	Not detected			HPA040671, HPA056228	Enhanced								32000	Cluster 45: Eosinophils - Innate immune response	Cluster 41: Intestine & Liver - Lipid metabolism	Cluster 19: Stomach & Colon cancer - Absorption	Cluster 59: Proximal enterocytes - Transmembrane transport			HPA040671: AB_2677072, HPA056228: AB_2683072	unprognostic (1.86e-2)	unprognostic (2.13e-1)	unprognostic (2.81e-1)	unprognostic (1.66e-2)	unprognostic (8.41e-4)	unprognostic (1.79e-4)	unprognostic (1.88e-1)	unprognostic (5.28e-4)	unprognostic (3.01e-1)	unprognostic (3.61e-2)	unprognostic (1.55e-2)	unprognostic (1.49e-1)	prognostic unfavorable (3.53e-6)	unprognostic (3.18e-3)	unprognostic (1.48e-1)	unprognostic (3.27e-2)	unprognostic (3.35e-2)	Proximal enterocytes
SLC15A1	HPECT1, HPEPT1, PEPT1	ENSG00000088386	Solute carrier family 15 member 1	P46059	13	98683801-98752672	Metabolic proteins, Predicted membrane proteins, Transporters	Peptide transport, Protein transport, Symport, Transport			Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	5	intestine: 203.0	Cell type enriched	Detected in some	4	Proximal enterocytes: 358.2	Low cancer specificity	Detected in many			Low region specificity	Detected in single			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		pancreatic cancer: 10.4	Colon - Colon enterocytes, Liver - Hepatocytes, Prostate - Prostate glandular cells	Not detected	Not detected			Low region specificity	Detected in all			HPA002827	Uncertain		Approved	Nucleoplasm,Cytosol						Cluster 17: Basophils - Unknown function	Cluster 56: Intestine - Transmembrane transport	Cluster 19: Stomach & Colon cancer - Absorption	Cluster 59: Proximal enterocytes - Transmembrane transport	Nucleoplasm, Cytosol		HPA002827: AB_1856974	unprognostic (8.76e-2)	unprognostic (1.87e-1)	unprognostic (4.72e-2)	unprognostic (1.49e-1)	unprognostic (6.76e-3)	unprognostic (6.26e-2)	unprognostic (7.83e-2)	unprognostic (5.47e-2)	unprognostic (1.92e-1)	unprognostic (2.37e-1)	unprognostic (6.79e-2)	unprognostic (6.88e-4)	unprognostic (2.11e-2)	unprognostic (2.84e-1)	unprognostic (2.64e-1)	unprognostic (9.01e-2)	unprognostic (3.87e-2)	Proximal enterocytes
SI		ENSG00000090402	Sucrase-isomaltase	P14410	3	164978898-165078496	Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins		Glycosidase, Hydrolase, Multifunctional enzyme	Disease variant, FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	150	intestine: 545.1	Cell type enriched	Detected in some	7	Proximal enterocytes: 1131.9	Cancer enhanced	Detected in some		stomach cancer: 6.9	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		colorectal cancer: 1.5;prostate cancer: 1.8	Colon - Colon enterocytes, Testis - Early spermatids, Testis - Late spermatids	Not detected	Not detected			Not detected	Not detected			HPA011897	Enhanced										Cluster 56: Intestine - Transmembrane transport	Cluster 26: NCI-H716 - Unknown function	Cluster 59: Proximal enterocytes - Transmembrane transport			HPA011897: AB_1856840			unprognostic (2.71e-2)								unprognostic (1.62e-2)	unprognostic (2.68e-1)		unprognostic (2.05e-1)	unprognostic (4.41e-2)			Proximal enterocytes
CDHR5	FLJ20219, MU-PCDH, MUCDHL, MUPCDH	ENSG00000099834	Cadherin related family member 5	Q9HBB8	11	616577-626078	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Differentiation			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	5	intestine: 296.8;liver: 129.8	Cell type enriched	Detected in some	4	Proximal enterocytes: 2316.8	Cancer enhanced	Detected in many		liver cancer: 61.6	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		colorectal cancer: 3.2	Colon - Colon enterocytes, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Testis - Late spermatids	Not detected	Not detected			Not detected	Not detected			HPA009081, HPA009173, CAB025004	Enhanced				Intracellular and membrane				190000000		Cluster 41: Intestine & Liver - Lipid metabolism	Cluster 19: Stomach & Colon cancer - Absorption	Cluster 59: Proximal enterocytes - Transmembrane transport			CAB025004: , HPA009081: AB_1079428, HPA009173: AB_1079429	unprognostic (7.65e-2)	unprognostic (1.42e-1)	unprognostic (9.85e-2)	unprognostic (1.21e-1)	unprognostic (1.05e-1)	unprognostic (5.56e-3)	unprognostic (4.89e-2)	unprognostic (3.85e-2)	unprognostic (5.75e-2)	unprognostic (6.36e-2)	unprognostic (7.95e-2)	unprognostic (5.07e-2)	unprognostic (5.01e-2)	unprognostic (3.90e-1)	unprognostic (8.85e-2)	unprognostic (2.29e-1)	unprognostic (2.14e-2)	Proximal enterocytes
SLC5A1	D22S675, NAGT, SGLT1	ENSG00000100170	Solute carrier family 5 member 1	P13866	22	32043261-32113029	Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Ion transport, Sodium transport, Sugar transport, Symport, Transport		Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	7	intestine: 528.1	Cell type enriched	Detected in many	4	Proximal enterocytes: 760.9	Cancer enhanced	Detected in many		colorectal cancer: 20.8	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in some	4	Bile duct cancer: 3.2;colorectal cancer: 7.7;Gastric cancer: 2.5	Colon - Colon enterocytes, Heart muscle - Cardiomyocytes, Kidney - Ascending Loop of Henle cells, Liver - Cholangiocyte, Lung - Alveolar cells type 1, Testis - Early spermatids, Testis - Late spermatids	Region enriched	Detected in single	26	cerebellum: 7.6	Low region specificity	Detected in many			CAB015467, HPA051805, HPA055106	Enhanced		Uncertain	Nucleoplasm,Nuclear membrane,Golgi apparatus,Cytosol							Cluster 56: Intestine - Transmembrane transport	Cluster 19: Stomach & Colon cancer - Absorption	Cluster 59: Proximal enterocytes - Transmembrane transport	Nuclear membrane, Golgi apparatus	Nucleoplasm, Cytosol	CAB015467: , HPA051805: AB_2681618, HPA055106: AB_2682695	unprognostic (1.96e-1)	unprognostic (1.04e-1)	unprognostic (2.24e-2)	prognostic favorable (2.59e-4)	unprognostic (3.85e-2)	unprognostic (2.75e-2)	unprognostic (1.60e-2)	unprognostic (2.15e-1)	unprognostic (9.22e-2)	unprognostic (4.83e-2)	unprognostic (6.21e-2)	unprognostic (9.53e-2)	prognostic favorable (6.97e-7)	unprognostic (4.68e-3)	unprognostic (1.98e-1)	unprognostic (6.00e-2)	unprognostic (1.45e-2)	Proximal enterocytes
APOA4		ENSG00000110244	Apolipoprotein A4	P06727	11	116820700-116823304	Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Lipid transport, Transport			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	12	intestine: 3112.4	Cell type enriched	Detected in some	29	Proximal enterocytes: 7620.3	Cancer enriched	Detected in some	29	liver cancer: 291.6	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in single	6	liver cancer: 3.8		Not detected	Not detected			Not detected	Not detected			HPA001352, HPA002549, CAB068250, CAB068251, CAB068252	Enhanced		Approved	Vesicles	Secreted to blood			61200000000	74000000000		Cluster 56: Intestine - Transmembrane transport	Cluster 6: BEWO - Unknown function	Cluster 59: Proximal enterocytes - Transmembrane transport	Vesicles		CAB068250: AB_2665657, CAB068251: AB_2665659, CAB068252: AB_2665658, HPA001352: AB_1078179, HPA002549: AB_1078177							unprognostic (8.81e-2)				unprognostic (2.12e-2)			unprognostic (1.75e-2)	unprognostic (7.91e-2)			Proximal enterocytes
APOBEC1	APOBEC-1, BEDP, CDAR1, HEPR	ENSG00000111701	Apolipoprotein B mRNA editing enzyme catalytic subunit 1	P41238	12	7649400-7665908	Enzymes, Predicted intracellular proteins	mRNA processing	Hydrolase		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	25	intestine: 29.0	Cell type enriched	Detected in some	5	Proximal enterocytes: 165.9	Group enriched	Detected in some	9	colorectal cancer: 6.2;pancreatic cancer: 6.1;stomach cancer: 3.5	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in single		colorectal cancer: 1.1	Stomach - Gastric mucous cells	Low region specificity	Detected in all			Low region specificity	Detected in all														Cluster 56: Intestine - Transmembrane transport	Cluster 19: Stomach & Colon cancer - Absorption	Cluster 59: Proximal enterocytes - Transmembrane transport						unprognostic (2.35e-1)					unprognostic (3.80e-4)			unprognostic (7.96e-3)			unprognostic (1.79e-1)	unprognostic (4.38e-1)			Proximal enterocytes
