Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
GLRA2	GLR	ENSG00000101958	Glycine receptor alpha 2	P23416	X	14529298-14731812	FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Ion transport, Transport	Chloride channel, Ion channel, Ligand-gated ion channel, Receptor	FDA approved drug targets	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	6	brain: 28.4	Cell type enriched	Detected in some	5	Inhibitory neurons: 72.6	Cancer enhanced	Detected in some		colorectal cancer: 0.6;glioma: 0.7	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		colorectal cancer: 1.2;Esophageal cancer: 1.4		Low region specificity	Detected in all			Low region specificity	Detected in all			CAB070422, HPA078885	Approved		Approved	Vesicles,Plasma membrane							Cluster 73: Brain - Neuropeptide signaling	Cluster 26: NCI-H716 - Unknown function	Cluster 37: Neurons - Neuronal signaling	Vesicles, Plasma membrane		CAB070422: AB_11153055, HPA078885: 	unprognostic (2.52e-1)	unprognostic (3.13e-1)	unprognostic (5.52e-2)	unprognostic (1.90e-1)	unprognostic (5.74e-2)			unprognostic (1.81e-2)	unprognostic (3.39e-1)	unprognostic (5.82e-2)	unprognostic (7.95e-3)		unprognostic (1.13e-1)	unprognostic (2.76e-1)	unprognostic (6.69e-2)			Inhibitory neurons
CNTNAP3	CASPR3, CNTNAP3A, FLJ14195, KIAA1714	ENSG00000106714	Contactin associated protein family member 3	Q9BZ76	9	39072767-39288315	Predicted intracellular proteins, Predicted membrane proteins	Cell adhesion			Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	Low tissue specificity	Detected in many			Cell type enriched	Detected in many	4	Inhibitory neurons: 101.3	Low cancer specificity	Detected in single			Low region specificity	Detected in many			Immune cell enriched	Detected in single	20	neutrophil: 7.3	Lineage enriched	Detected in single	74	granulocytes: 7.3	Low cancer specificity	Detected in many			Skin - Keratinocyte (other)									HPA047731	Uncertain				Intracellular and membrane					Cluster 1: Neutrophils - Mixed function	Cluster 27: Brain & Skin - Unknown function	Cluster 33: Skin cancer - Membrane components	Cluster 37: Neurons - Neuronal signaling			HPA047731: AB_2680137	unprognostic (9.06e-3)	unprognostic (3.07e-2)	unprognostic (5.74e-2)	unprognostic (7.89e-2)	unprognostic (7.03e-2)	unprognostic (2.33e-3)	unprognostic (4.58e-2)	unprognostic (1.34e-2)	unprognostic (1.51e-1)	unprognostic (2.94e-2)	unprognostic (1.11e-1)	unprognostic (3.04e-1)	unprognostic (1.29e-1)	unprognostic (1.15e-2)	unprognostic (1.20e-1)	unprognostic (1.95e-3)	unprognostic (1.93e-3)	Inhibitory neurons
TACR1	NK1R, NKIR, SPR, TAC1R	ENSG00000115353	Tachykinin receptor 1	P25103	2	75046463-75199520	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins		G-protein coupled receptor, Receptor, Transducer	FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		brain: 10.0	Cell type enriched	Detected in some	4	Inhibitory neurons: 81.4	Low cancer specificity	Detected in some			Low region specificity	Detected in many			Immune cell enriched	Detected in single	23	basophil: 2.2	Lineage enriched	Detected in single	23	granulocytes: 2.2	Cancer enhanced	Detected in some		Brain cancer: 2.3;ovarian cancer: 1.3	Kidney - Endothelial cells, Prostate - Endothelial cells, Skin - Endothelial cells	Low region specificity	Detected in many			Low region specificity	Detected in many			HPA074573	Enhanced									Cluster 34: Basophils - Unknown function	Cluster 57: Non-specific - Angiogenesis	Cluster 10: Ovarian & Endometrial cancers - Unknown function	Cluster 32: Neurons - Synaptic function			HPA074573: AB_2686701	unprognostic (5.74e-4)	unprognostic (2.41e-3)	unprognostic (1.46e-2)	unprognostic (1.08e-1)	unprognostic (1.24e-1)	unprognostic (8.62e-3)	unprognostic (1.10e-1)	unprognostic (3.33e-2)	unprognostic (4.38e-2)	unprognostic (1.46e-1)	unprognostic (2.14e-3)	unprognostic (1.63e-2)	unprognostic (5.91e-4)	unprognostic (1.03e-2)	unprognostic (2.75e-1)	unprognostic (1.06e-1)	unprognostic (2.76e-2)	Inhibitory neurons
GRPR	BB2, BB2R	ENSG00000126010	Gastrin releasing peptide receptor	P30550	X	16123565-16153518	G-protein coupled receptors, Predicted membrane proteins		G-protein coupled receptor, Receptor, Transducer		Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Tissue enriched	Detected in some	10	pancreas: 20.3	Cell type enriched	Detected in some	5	Inhibitory neurons: 6.1	Cancer enriched	Detected in some	4	breast cancer: 6.6	Region enhanced	Detected in some		hypothalamus: 1.6	Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		prostate cancer: 12.7		Region enhanced	Detected in single		hypothalamus: 2.0	Low region specificity	Detected in all			HPA069604			Supported	Plasma membrane						Cluster 7: Monocytes - Unknown function	Cluster 25: Pancreas - Digestion	Cluster 34: Rabdoid cancer - Embryonic development	Cluster 32: Neurons - Synaptic function	Plasma membrane		HPA069604: AB_2686158	unprognostic (3.32e-2)	unprognostic (1.97e-1)	unprognostic (1.72e-1)	unprognostic (9.24e-2)	unprognostic (2.87e-1)	unprognostic (9.17e-2)	unprognostic (5.06e-2)	unprognostic (2.82e-1)	unprognostic (1.01e-1)	unprognostic (3.68e-3)	unprognostic (2.62e-1)	unprognostic (1.57e-1)	unprognostic (5.59e-2)	unprognostic (2.15e-2)	unprognostic (2.56e-1)	unprognostic (2.92e-1)	unprognostic (2.86e-2)	Inhibitory neurons
FGF13	FGF2, FHF2, FLJ30672, LINC00889	ENSG00000129682	Fibroblast growth factor 13	Q92913	X	138614727-139222777	Predicted intracellular proteins	Neurogenesis		Disease variant, Epilepsy, Intellectual disability	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in all		brain: 50.0;parathyroid gland: 49.5;skeletal muscle: 67.3;tongue: 52.3	Cell type enriched	Detected in many	6	Inhibitory neurons: 421.8	Cancer enhanced	Detected in some		prostate cancer: 2.0	Low region specificity	Detected in all			Immune cell enhanced	Detected in some		neutrophil: 3.7	Lineage enriched	Detected in single	9	granulocytes: 3.7	Low cancer specificity	Detected in many			Heart muscle - Smooth muscle cells, Liver - Hepatic stellate cells					Low region specificity	Detected in all			HPA002809			Supported	Cytosol						Cluster 50: Neutrophils - Cellular senescence	Cluster 80: Striated muscle - Unknown function	Cluster 28: Bone cancer CADO-ES1 - Glutamate signalling	Cluster 32: Neurons - Synaptic function	Cytosol		HPA002809: AB_1078855	unprognostic (3.23e-1)	unprognostic (3.13e-2)	unprognostic (5.42e-2)	unprognostic (1.42e-2)	unprognostic (1.87e-1)	unprognostic (2.87e-3)	unprognostic (9.92e-3)	unprognostic (2.97e-3)	unprognostic (4.92e-2)	unprognostic (5.90e-3)	unprognostic (5.22e-3)	unprognostic (6.79e-2)	unprognostic (4.96e-4)	unprognostic (4.36e-3)	unprognostic (1.22e-1)	unprognostic (2.27e-1)	unprognostic (7.48e-2)	Inhibitory neurons
TRPC4	HTRP4, TRP4	ENSG00000133107	Transient receptor potential cation channel subfamily C member 4	Q9UBN4	13	37632063-37869802	Plasma proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Calcium transport, Ion transport, Transport	Calcium channel, Ion channel		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		endometrium 1: 11.9;seminal vesicle: 9.0;smooth muscle: 12.6	Cell type enriched	Detected in some	4	Inhibitory neurons: 130.5	Low cancer specificity	Detected in some			Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		thyroid cancer: 9.5	Adipose subcutaneous - Smooth muscle cells, Skeletal muscle - Endothelial cells	Region enhanced	Detected in many		basal ganglia: 43.1	Low region specificity	Detected in all														Cluster 10: Brain - Neuronal signaling	Cluster 20: Connective tissue cells - ECM organization	Cluster 37: Neurons - Neuronal signaling				unprognostic (4.52e-4)	unprognostic (9.99e-2)	unprognostic (5.42e-2)	unprognostic (2.38e-1)	unprognostic (1.19e-1)	unprognostic (2.57e-1)	unprognostic (3.28e-1)	unprognostic (1.60e-1)	unprognostic (5.10e-2)	unprognostic (1.99e-1)	unprognostic (1.47e-2)	unprognostic (3.95e-2)	unprognostic (1.07e-6)	unprognostic (3.73e-3)	unprognostic (1.93e-2)	unprognostic (3.24e-1)	unprognostic (1.43e-2)	Inhibitory neurons
NXPH2	NPH2	ENSG00000144227	Neurexophilin 2	O95156	2	138669157-138780390	Predicted secreted proteins				Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	Tissue enhanced	Detected in some		brain: 13.1;kidney: 4.1;ovary: 8.1	Cell type enriched	Detected in some	6	Inhibitory neurons: 151.5	Cancer enhanced	Detected in single		glioma: 0.5	Group enriched	Detected in many	6	medulla oblongata: 11.7;midbrain: 7.6;pons: 13.1	Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		Bone cancer: 3.5;Rhabdoid: 6.3	Adipose visceral - Mesothelial cells, Colon - Colon enteroendocrine cells, Kidney - Intercalated cells	Low region specificity	Detected in many			Low region specificity	Detected in many			HPA034759	Approved				Secreted in brain		Yes				Cluster 73: Brain - Neuropeptide signaling	Cluster 22: Rhabdoid cancers - Neuronal signaling	Cluster 32: Neurons - Synaptic function			HPA034759: AB_10669732	unprognostic (5.83e-2)				unprognostic (8.83e-2)			unprognostic (1.41e-1)		unprognostic (2.72e-1)	unprognostic (1.80e-1)							Inhibitory neurons
THSD7B	KIAA1679	ENSG00000144229	Thrombospondin type 1 domain containing 7B	Q9C0I4	2	136765545-137677718	Predicted membrane proteins				Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	Tissue enhanced	Detected in some		brain: 8.9;retina: 19.7	Cell type enriched	Detected in some	4	Inhibitory neurons: 149.3	Low cancer specificity	Detected in single			Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		Neuroblastoma: 3.7;Rhabdoid: 2.6	Thyroid - Fibroblasts	Low region specificity	Detected in many			Low region specificity	Detected in many			HPA051416, HPA056745	Uncertain		Approved	Nucleoplasm,Cytosol							Cluster 77: Retina - Visual perception	Cluster 7: Neuronal cell lines - Stereocilium	Cluster 37: Neurons - Neuronal signaling	Nucleoplasm	Cytosol	HPA051416: AB_2681477, HPA056745: AB_2683224	unprognostic (4.65e-3)	unprognostic (2.25e-1)	unprognostic (8.98e-2)	unprognostic (1.24e-2)	unprognostic (1.59e-3)	unprognostic (1.12e-1)	unprognostic (6.50e-2)	unprognostic (7.80e-3)	unprognostic (2.89e-1)	unprognostic (1.65e-1)	unprognostic (3.20e-1)	unprognostic (6.56e-2)	unprognostic (4.47e-6)	unprognostic (2.42e-3)	unprognostic (1.89e-1)	unprognostic (4.31e-2)	unprognostic (4.30e-2)	Inhibitory neurons
VAX1		ENSG00000148704	Ventral anterior homeobox 1	Q5SQQ9	10	117128521-117138301	Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors	Transcription, Transcription regulation	Developmental protein, DNA-binding	Disease variant, Microphthalmia	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	15	brain: 8.4	Cell type enriched	Detected in some	5	Inhibitory neurons: 7.2	Not detected	Not detected			Region enhanced	Detected in many		hypothalamus: 8.4	Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	8	Bone cancer: 17.3		Group enriched	Detected in some	6	basal ganglia: 5.6;hypothalamus: 3.2;olfactory bulb: 1.5	Low region specificity	Detected in some			HPA028946	Uncertain		Approved	Nucleoplasm,Nucleoli rim		Yes					Cluster 65: Brain - Ion transport	Cluster 28: Bone cancer CADO-ES1 - Glutamate signalling	Cluster 37: Neurons - Neuronal signaling	Nucleoli rim	Nucleoplasm	HPA028946: AB_10602679		unprognostic (1.08e-2)		unprognostic (1.92e-2)	unprognostic (1.46e-1)	unprognostic (2.96e-2)		unprognostic (5.77e-3)	unprognostic (2.19e-1)			unprognostic (1.17e-1)		unprognostic (5.72e-2)	unprognostic (2.09e-1)		unprognostic (2.99e-1)	Inhibitory neurons
BTBD11	ABTB2B, FLJ33957	ENSG00000151136	BTB domain containing 11	A6QL63	12	107318421-107659642	Predicted intracellular proteins				Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Tissue enhanced	Detected in many		parathyroid gland: 100.3	Cell type enriched	Detected in many	8	Inhibitory neurons: 261.8	Low cancer specificity	Detected in many			Low region specificity	Detected in all			Immune cell enhanced	Detected in many		MAIT T-cell: 3.5	Low lineage specificity	Detected in many			Low cancer specificity	Detected in many			Liver - Hepatocytes, Pancreas - Alpha cells, Skin - Keratinocyte (other), Testis - Peritubular cells, Thyroid - Thyroid glandular cells	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA055898, HPA061334			Supported	Nucleoplasm,Cytosol						Cluster 16: MAIT-cells - Unknown function	Cluster 48: Parathyroid gland - membrane proteins	Cluster 60: Keratinocytes - Epithelial cell function	Cluster 37: Neurons - Neuronal signaling	Nucleoplasm	Cytosol	HPA055898: AB_2682964, HPA061334: 	unprognostic (3.40e-2)	unprognostic (4.06e-1)	unprognostic (2.37e-1)	unprognostic (7.85e-2)	unprognostic (8.78e-3)	unprognostic (4.82e-2)	unprognostic (3.52e-1)	unprognostic (2.12e-1)	unprognostic (1.52e-1)	unprognostic (5.92e-2)	unprognostic (5.33e-2)	unprognostic (1.78e-1)	unprognostic (4.92e-8)	unprognostic (2.66e-1)	unprognostic (1.55e-1)	unprognostic (3.33e-2)	unprognostic (9.07e-3)	Inhibitory neurons
