Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
SYT13	KIAA1427	ENSG00000019505	Synaptotagmin 13	Q7L8C5	11	45240302-45286341	Predicted intracellular proteins				Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		brain: 30.1;gallbladder: 20.8;pituitary gland: 16.8	Cell type enriched	Detected in many	5	Enteroendocrine cells: 255.9	Group enriched	Detected in many	5	breast cancer: 13.5;colorectal cancer: 7.4;pancreatic cancer: 19.9;renal cancer: 16.9;stomach cancer: 11.5	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in many	5	Kidney cancer: 65.1	Heart muscle - Cardiomyocytes, Liver - Cholangiocyte, Pancreas - Alpha cells, Pancreas - Beta cells, Prostate - Prostate glandular cells, Skin - Eccrine sweat gland cells, Stomach - Parietal cells, Testis - Early spermatids	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA046224, HPA056602	Uncertain		Supported	Vesicles							Cluster 10: Brain - Neuronal signaling	Cluster 40: Non-specific - Enzymes	Cluster 55: Endocrine cells - Hormone signaling	Vesicles		HPA046224: AB_10961288, HPA056602: AB_2683185	unprognostic (4.96e-2)	unprognostic (1.06e-2)	unprognostic (9.92e-2)	prognostic unfavorable (7.79e-5)	unprognostic (1.00e-2)	unprognostic (4.17e-2)	unprognostic (3.75e-2)	unprognostic (9.83e-3)	unprognostic (2.19e-1)	unprognostic (7.58e-2)	unprognostic (1.21e-1)	unprognostic (2.47e-1)	unprognostic (5.66e-3)	unprognostic (2.94e-2)	unprognostic (1.76e-1)	unprognostic (8.70e-2)	unprognostic (5.13e-2)	Enteroendocrine cells
SLC18A1	CGAT, VAT1, VMAT1	ENSG00000036565	Solute carrier family 18 member A1	P54219	8	20144855-20183206	FDA approved drug targets, Metabolic proteins, Predicted membrane proteins, Transporters	Neurotransmitter transport, Transport		FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	6	adrenal gland: 25.1	Cell type enriched	Detected in some	55	Enteroendocrine cells: 101.6	Cancer enhanced	Detected in some		colorectal cancer: 0.8	Region enriched	Detected in single	19	midbrain: 3.9	Immune cell enhanced	Detected in single		non-classical monocyte: 2.8	Lineage enriched	Detected in single	19	monocytes: 2.8	Cancer enriched	Detected in some	9	Neuroblastoma: 31.9	Skin - Outer root sheath cells, Stomach - Gastric enteroendocrine cells	Not detected	Not detected			Low region specificity	Detected in many			HPA006877, HPA063797	Enhanced									Cluster 14: Monocytes - Unknown function	Cluster 17: Adrenal gland - Steroid metabolism	Cluster 21: Neuroblastoma - Neuronal signaling	Cluster 55: Endocrine cells - Hormone signaling			HPA006877: AB_2667690, HPA063797: AB_2685125	unprognostic (8.03e-4)	unprognostic (1.02e-1)	unprognostic (3.75e-3)	unprognostic (3.50e-1)	unprognostic (6.61e-2)	unprognostic (3.09e-3)	unprognostic (1.67e-1)	unprognostic (2.16e-2)	unprognostic (3.45e-2)	unprognostic (1.48e-1)	unprognostic (1.32e-3)	unprognostic (1.61e-1)	unprognostic (2.48e-2)	unprognostic (8.25e-2)	unprognostic (4.41e-2)	unprognostic (2.06e-1)	unprognostic (1.05e-1)	Enteroendocrine cells
CHGA		ENSG00000100604	Chromogranin A	P10645	14	92923150-92935285	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins		Antibiotic, Antimicrobial, Fungicide	Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	5	parathyroid gland: 6568.4	Cell type enriched	Detected in many	10	Enteroendocrine cells: 14104.5	Cancer enhanced	Detected in many		pancreatic cancer: 114.8	Group enriched	Detected in many	16	cerebral cortex: 326.0;white matter: 124.4	Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in many	6	Neuroblastoma: 488.9	Pancreas - Alpha cells, Pancreas - Beta cells, Stomach - Gastric enteroendocrine cells, Testis - Sertoli cells, Thyroid - Parafollicular cells	Low region specificity	Detected in all			Low region specificity	Detected in all			CAB000023, HPA017369, CAB040544, CAB055506, CAB058688	Enhanced		Supported	Vesicles	Intracellular and membrane			295000000	100000000		Cluster 48: Parathyroid gland - membrane proteins	Cluster 21: Neuroblastoma - Neuronal signaling	Cluster 55: Endocrine cells - Hormone signaling	Vesicles		CAB000023: , CAB040544: , CAB055506: AB_2081135, CAB058688: AB_2665574, HPA017369: AB_1846698	prognostic favorable (7.85e-5)	unprognostic (4.89e-2)	unprognostic (5.96e-2)	unprognostic (1.17e-1)	unprognostic (1.43e-2)	unprognostic (5.95e-2)	prognostic unfavorable (2.40e-4)	unprognostic (1.74e-1)	unprognostic (2.23e-1)	unprognostic (4.56e-2)	prognostic favorable (4.07e-4)	unprognostic (1.85e-1)	unprognostic (8.81e-13)	unprognostic (1.07e-2)	unprognostic (1.77e-1)	unprognostic (9.17e-2)	prognostic unfavorable (3.99e-4)	Enteroendocrine cells
NEUROG3	Atoh5, bHLHa7, Math4B, ngn3	ENSG00000122859	Neurogenin 3	Q9Y4Z2	10	69571698-69573422	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Differentiation, Neurogenesis, Transcription, Transcription regulation	Activator, Developmental protein, DNA-binding	Disease variant	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	21	brain: 5.4;intestine: 2.6	Cell type enriched	Detected in single	13	Enteroendocrine cells: 7.6	Cancer enhanced	Detected in some		stomach cancer: 1.4	Group enriched	Detected in some	20	cerebral cortex: 4.5;hippocampal formation: 5.4	Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	6	prostate cancer: 7.0	Adipose visceral - Macrophages	Not detected	Not detected			Not detected	Not detected			HPA039785	Uncertain		Approved	Nucleoplasm,Nuclear speckles						Cluster 16: MAIT-cells - Unknown function	Cluster 10: Brain - Neuronal signaling	Cluster 41: Non-specific - Cilium assembly	Cluster 55: Endocrine cells - Hormone signaling	Nuclear speckles	Nucleoplasm	HPA039785: AB_10795114	unprognostic (1.22e-2)		unprognostic (7.33e-2)		unprognostic (3.04e-2)			unprognostic (2.42e-1)		unprognostic (1.10e-1)	unprognostic (1.65e-2)		unprognostic (5.85e-5)	unprognostic (4.58e-2)	unprognostic (4.19e-1)			Enteroendocrine cells
TPH1	TPH, TPRH	ENSG00000129167	Tryptophan hydroxylase 1	P17752	11	18017564-18042426	Enzymes, FDA approved drug targets, Metabolic proteins, Predicted intracellular proteins	Serotonin biosynthesis	Monooxygenase, Oxidoreductase	FDA approved drug targets	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in some		brain: 9.0;intestine: 19.3;stomach 1: 15.0	Cell type enriched	Detected in many	133	Enteroendocrine cells: 1433.4	Cancer enhanced	Detected in some		endometrial cancer: 2.4	Group enriched	Detected in some	5	hypothalamus: 3.4;midbrain: 9.0	Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	7	pancreatic cancer: 17.0	Stomach - Gastric enteroendocrine cells	Low region specificity	Detected in some							CAB010767, HPA022483	Uncertain		Uncertain	Cytosol							Cluster 9: Intestine - Unknown function	Cluster 41: Non-specific - Cilium assembly	Cluster 55: Endocrine cells - Hormone signaling	Cytosol		CAB010767: AB_261587, HPA022483: AB_1858378	unprognostic (2.14e-4)	unprognostic (9.97e-2)	unprognostic (6.92e-2)	unprognostic (6.78e-2)	unprognostic (1.55e-1)	unprognostic (6.26e-5)	unprognostic (1.73e-1)	unprognostic (5.33e-2)	unprognostic (1.60e-1)	unprognostic (2.12e-2)	unprognostic (1.19e-4)	unprognostic (6.72e-2)	unprognostic (5.40e-8)	unprognostic (3.76e-2)	unprognostic (7.42e-2)	unprognostic (3.10e-1)	unprognostic (2.46e-5)	Enteroendocrine cells
PYY	PYY1	ENSG00000131096	Peptide YY	P10082	17	43952738-44004469	Predicted secreted proteins		Hormone		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	30	intestine: 52.5	Cell type enriched	Detected in some	67	Enteroendocrine cells: 14912.1	Group enriched	Detected in many	8	endometrial cancer: 7.9;ovarian cancer: 15.2;testis cancer: 18.0	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	6	liver cancer: 16.1	Colon - Colon enterocytes	Region enriched	Detected in single	14	pons and medulla: 1.4	Low region specificity	Detected in single			HPA010973, CAB016734	Enhanced				Secreted to blood			87100			Cluster 9: Intestine - Unknown function	Cluster 35: Liver cancer - Metabolism	Cluster 55: Endocrine cells - Hormone signaling			CAB016734: AB_876471, HPA010973: AB_1855194	unprognostic (8.17e-3)	unprognostic (5.41e-2)	unprognostic (9.93e-2)	unprognostic (1.81e-3)	unprognostic (2.48e-4)	unprognostic (5.26e-2)	unprognostic (4.14e-2)	unprognostic (1.80e-2)	unprognostic (1.75e-2)	unprognostic (1.54e-2)	unprognostic (2.91e-1)	unprognostic (1.29e-1)	unprognostic (5.69e-3)	unprognostic (3.77e-2)	unprognostic (1.79e-1)	unprognostic (1.41e-1)	unprognostic (1.20e-1)	Enteroendocrine cells
NTS		ENSG00000133636	Neurotensin	P30990	12	85874295-85882992	Predicted secreted proteins		Vasoactive		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	5	intestine: 165.8	Cell type enriched	Detected in some	132	Enteroendocrine cells: 17684.4	Cancer enhanced	Detected in many		lung cancer: 155.1	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		liver cancer: 389.6;ovarian cancer: 547.9	Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Stomach - Fibroblasts	Low region specificity	Detected in all			Region enhanced	Detected in many		basal ganglia: 154.3	HPA026664, HPA071012	Enhanced		Supported	Vesicles	Secreted to digestive system				1600000		Cluster 56: Intestine - Transmembrane transport	Cluster 34: Rabdoid cancer - Embryonic development	Cluster 55: Endocrine cells - Hormone signaling	Vesicles		HPA026664: AB_2671936, HPA071012: 	unprognostic (3.63e-1)	prognostic favorable (9.94e-5)	unprognostic (8.18e-2)	prognostic unfavorable (5.10e-4)	unprognostic (1.99e-2)	unprognostic (3.04e-1)	unprognostic (7.62e-2)	unprognostic (2.43e-1)	unprognostic (1.53e-3)	unprognostic (8.83e-2)	unprognostic (1.74e-2)	unprognostic (3.76e-2)	unprognostic (1.30e-6)	unprognostic (2.94e-2)	unprognostic (2.25e-1)	unprognostic (2.17e-1)	unprognostic (7.48e-2)	Enteroendocrine cells
SST	SMST	ENSG00000157005	Somatostatin	P61278	3	187668912-187670394	Cancer-related genes, Plasma proteins, Predicted secreted proteins		Hormone	Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in many	10	brain: 449.5;intestine: 386.6;pancreas: 479.4;stomach 1: 418.0	Cell type enriched	Detected in some	33	Enteroendocrine cells: 4790.0	Cancer enriched	Detected in many	4	pancreatic cancer: 1039.3	Region enhanced	Detected in all		hypothalamus: 449.5	Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in many	7	Neuroblastoma: 133.3;thyroid cancer: 474.4	Pancreas - Alpha cells, Pancreas - Beta cells, Skin - Inner root sheath cells, Thyroid - Parafollicular cells	Low region specificity	Detected in all			Low region specificity	Detected in all			CAB000075, HPA019472, CAB034105	Enhanced	Supported			Secreted to blood						Cluster 22: Non-specific - Unknown function	Cluster 29: TT & NCI-H1385 - Synaptic signal transduction	Cluster 55: Endocrine cells - Hormone signaling			CAB000075: AB_2688022, CAB034105: AB_2271061, HPA019472: AB_1857360		unprognostic (2.44e-1)	unprognostic (2.05e-1)	prognostic unfavorable (1.93e-5)	unprognostic (5.12e-3)	unprognostic (1.54e-2)			unprognostic (4.69e-1)	unprognostic (3.31e-2)	unprognostic (8.16e-3)	unprognostic (1.63e-1)	unprognostic (1.07e-3)	unprognostic (8.47e-2)	unprognostic (4.19e-1)	unprognostic (3.27e-1)	unprognostic (1.45e-1)	Enteroendocrine cells
GIP		ENSG00000159224	Gastric inhibitory polypeptide	P09681	17	48958554-48968596	Plasma proteins, Predicted secreted proteins		Hormone		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	209	intestine: 259.5	Cell type enriched	Detected in single	35	Enteroendocrine cells: 19.8	Cancer enriched	Detected in some	63	testis cancer: 74.0	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in single		liver cancer: 3.0		Not detected	Not detected			Not detected	Not detected			HPA021612, HPA064596	Enhanced				Secreted to blood			33900	540000		Cluster 56: Intestine - Transmembrane transport	Cluster 47: Retina - Visual perception	Cluster 55: Endocrine cells - Hormone signaling			HPA021612: AB_1849506, HPA064596: 										unprognostic (2.95e-1)	unprognostic (2.70e-3)			unprognostic (4.42e-2)	unprognostic (1.82e-1)			Enteroendocrine cells
FEV	Pet-1	ENSG00000163497	FEV transcription factor, ETS family member	Q99581	2	218981087-218985184	Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors	Differentiation, Neurogenesis, Transcription, Transcription regulation	Developmental protein, DNA-binding	Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	16	brain: 70.8	Cell type enriched	Detected in some	70	Enteroendocrine cells: 541.3	Group enriched	Detected in some	10	pancreatic cancer: 3.0;prostate cancer: 9.9;stomach cancer: 2.4	Group enriched	Detected in many	7	midbrain: 70.8;pons: 20.1	Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	20	Neuroblastoma: 37.2	Pancreas - Alpha cells, Prostate - Prostate glandular cells, Stomach - Gastric enteroendocrine cells	Region enhanced	Detected in single		midbrain: 1.9	Group enriched	Detected in some	5	midbrain: 4.8;pons: 2.7	HPA067679		Supported	Supported	Nuclear speckles							Cluster 73: Brain - Neuropeptide signaling	Cluster 21: Neuroblastoma - Neuronal signaling	Cluster 55: Endocrine cells - Hormone signaling	Nuclear speckles		HPA067679: AB_2685884			unprognostic (4.58e-1)		unprognostic (1.60e-1)					unprognostic (7.21e-2)	prognostic favorable (4.85e-4)	unprognostic (2.87e-1)	unprognostic (3.96e-1)	unprognostic (1.52e-1)	unprognostic (2.15e-1)			Enteroendocrine cells
