Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
SLC6A7	PROT	ENSG00000011083	Solute carrier family 6 member 7	Q99884	5	150190062-150222788	Metabolic proteins, Predicted membrane proteins, Transporters	Amino-acid transport, Neurotransmitter transport, Symport, Transport			Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	Group enriched	Detected in some	37	brain: 21.5;intestine: 5.5	Cell type enriched	Detected in some	4	Excitatory neurons: 41.0	Cancer enhanced	Detected in single		colorectal cancer: 0.8	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in single		colorectal cancer: 2.1	Colon - Colon enterocytes	Low region specificity	Detected in all			Low region specificity	Detected in many			HPA028907, HPA063773	Uncertain		Approved	Plasma membrane,Cytosol							Cluster 6: Brain - Smell perception	Cluster 19: Stomach & Colon cancer - Absorption	Cluster 38: Neurons - Neuronal signaling	Plasma membrane, Cytosol		HPA028907: AB_10602404, HPA063773: 	unprognostic (3.01e-1)	unprognostic (1.97e-2)	unprognostic (3.70e-2)	unprognostic (1.42e-3)	unprognostic (1.09e-2)	unprognostic (1.82e-4)	unprognostic (6.42e-2)	unprognostic (1.35e-1)	unprognostic (1.59e-1)	unprognostic (1.33e-1)	unprognostic (2.55e-1)	unprognostic (3.50e-1)	unprognostic (3.73e-4)	unprognostic (8.11e-2)	unprognostic (5.46e-2)	unprognostic (2.73e-1)	unprognostic (3.70e-3)	Excitatory neurons
FSTL4	KIAA1061	ENSG00000053108	Follistatin like 4	Q6MZW2	5	133196455-133612541	Predicted intracellular proteins, Predicted secreted proteins				Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	Tissue enhanced	Detected in many		brain: 21.4	Cell type enriched	Detected in some	6	Excitatory neurons: 385.2	Low cancer specificity	Detected in many			Low region specificity	Detected in many			Low immune cell specificity	Detected in single			Low lineage specificity	Detected in single			Cancer enhanced	Detected in all		Gallbladder cancer: 49.4	Kidney - Intercalated cells, Skin - Keratinocyte (other)	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA045920	Uncertain		Approved	Nuclear membrane,Mitochondria	Secreted to blood					Cluster 17: Basophils - Unknown function	Cluster 6: Brain - Smell perception	Cluster 60: Keratinocytes - Epithelial cell function	Cluster 38: Neurons - Neuronal signaling	Mitochondria	Nuclear membrane	HPA045920: AB_10965844	unprognostic (5.52e-2)	unprognostic (2.54e-1)	unprognostic (5.74e-2)	unprognostic (8.14e-2)	unprognostic (1.87e-1)	unprognostic (3.97e-2)	unprognostic (6.35e-2)	unprognostic (2.30e-1)	unprognostic (1.11e-1)	unprognostic (2.01e-1)	unprognostic (4.74e-2)	unprognostic (8.66e-2)	unprognostic (3.73e-4)	unprognostic (2.02e-2)	unprognostic (9.91e-3)	unprognostic (1.03e-2)	unprognostic (4.25e-2)	Excitatory neurons
CAMK2A	CAMKA, CaMKIIÃŽÂ±, CaMKIINalpha, KIAA0968	ENSG00000070808	Calcium/calmodulin dependent protein kinase II alpha	Q9UQM7	5	150219491-150290291	Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins		Calmodulin-binding, Kinase, Serine/threonine-protein kinase, Transferase	Disease variant, Intellectual disability	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	7	brain: 662.9	Cell type enriched	Detected in some	4	Excitatory neurons: 242.7	Cancer enriched	Detected in single	13	glioma: 6.0	Region enhanced	Detected in many		cerebral cortex: 662.9	Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		cervical cancer: 4.5	Colon - Enteric glia cells, Heart muscle - Cardiomyocytes	Low region specificity	Detected in all			Region enhanced	Detected in all		cerebral cortex: 1071.1	CAB004330, HPA051783, HPA051785, HPA053973	Supported		Approved	Plasma membrane,Cell Junctions,Cytosol					66000		Cluster 10: Brain - Neuronal signaling	Cluster 60: Keratinocytes - Epithelial cell function	Cluster 38: Neurons - Neuronal signaling	Plasma membrane	Cell Junctions, Cytosol	CAB004330: AB_626788, HPA051783: AB_2681608, HPA051785: AB_2681609, HPA053973: AB_2682328	unprognostic (7.20e-3)	unprognostic (6.47e-3)	unprognostic (6.16e-3)	unprognostic (4.85e-2)	unprognostic (4.25e-2)	unprognostic (1.06e-3)	unprognostic (1.13e-1)	unprognostic (6.19e-3)	unprognostic (3.07e-1)	unprognostic (1.05e-1)	unprognostic (4.49e-2)	unprognostic (1.41e-2)	unprognostic (2.00e-8)	unprognostic (2.71e-4)	unprognostic (1.68e-1)	unprognostic (1.70e-2)	unprognostic (1.36e-3)	Excitatory neurons
KCNH4	elk1, Kv12.3	ENSG00000089558	Potassium voltage-gated channel subfamily H member 4	Q9UQ05	17	42156891-42181142	Predicted membrane proteins, Voltage-gated ion channels	Ion transport, Potassium transport, Transport	Ion channel, Potassium channel, Voltage-gated channel		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level	Tissue enriched	Detected in some	10	brain: 14.9	Cell type enriched	Detected in some	4	Excitatory neurons: 6.7	Not detected	Not detected			Region enriched	Detected in many	4	basal ganglia: 14.9	Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		cervical cancer: 4.7;Neuroblastoma: 6.4		Low region specificity	Detected in many			Low region specificity	Detected in many														Cluster 10: Brain - Neuronal signaling	Cluster 21: Neuroblastoma - Neuronal signaling	Cluster 38: Neurons - Neuronal signaling				unprognostic (3.07e-3)	unprognostic (1.02e-2)	unprognostic (4.02e-2)	unprognostic (1.70e-1)	unprognostic (9.30e-2)	unprognostic (2.08e-3)	unprognostic (4.59e-3)	unprognostic (1.56e-1)	unprognostic (2.41e-1)	unprognostic (9.92e-2)	unprognostic (4.77e-3)	unprognostic (1.58e-1)	unprognostic (1.36e-6)	unprognostic (9.52e-2)	unprognostic (2.66e-1)	unprognostic (6.47e-2)	unprognostic (1.72e-3)	Excitatory neurons
HTR2A	5-HT2A, HTR2	ENSG00000102468	5-hydroxytryptamine receptor 2A	P28223	13	46831546-46897076	FDA approved drug targets, G-protein coupled receptors, Human disease related genes, Predicted membrane proteins	Behavior, Host-virus interaction	G-protein coupled receptor, Host cell receptor for virus entry, Receptor, Transducer	FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in some		brain: 15.2;choroid plexus: 5.6	Cell type enriched	Detected in some	8	Excitatory neurons: 80.6	Not detected	Not detected			Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in single		Bile duct cancer: 2.5	Prostate - Fibroblasts, Thyroid - Smooth muscle cells	Low region specificity	Detected in many			Low region specificity	Detected in all			HPA014011	Enhanced										Cluster 65: Brain - Ion transport	Cluster 19: Stomach & Colon cancer - Absorption	Cluster 38: Neurons - Neuronal signaling			HPA014011: AB_1856709	unprognostic (8.01e-2)	unprognostic (2.71e-2)	unprognostic (9.49e-2)	unprognostic (7.40e-2)	unprognostic (2.78e-1)	unprognostic (1.99e-1)	unprognostic (2.70e-2)	unprognostic (4.31e-2)	unprognostic (5.27e-2)	unprognostic (3.97e-2)	unprognostic (2.61e-1)	unprognostic (2.90e-1)	unprognostic (9.94e-5)	unprognostic (4.78e-3)	unprognostic (2.54e-1)	unprognostic (2.91e-2)	unprognostic (8.28e-2)	Excitatory neurons
EPHA4	Hek8, TYRO1	ENSG00000116106	EPH receptor A4	P54764	2	221418027-221574202	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Cell adhesion, Neurogenesis	Developmental protein, Kinase, Receptor, Transferase, Tyrosine-protein kinase	Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		choroid plexus: 39.7	Cell type enriched	Detected in many	4	Excitatory neurons: 313.7	Cancer enhanced	Detected in many		thyroid cancer: 14.9	Group enriched	Detected in many	6	cerebral cortex: 23.8;hippocampal formation: 20.9	Group enriched	Detected in many	9	basophil: 1.6;gdT-cell: 1.7;MAIT T-cell: 1.7;memory B-cell: 1.3;memory CD4 T-cell: 2.5;memory CD8 T-cell: 1.7;naive B-cell: 1.2;naive CD4 T-cell: 1.0;NK-cell: 3.5;T-reg: 1.2	Low lineage specificity	Detected in many			Low cancer specificity	Detected in many			Testis - Sertoli cells	Low region specificity	Detected in all			Low region specificity	Detected in all			CAB028368	Enhanced								9300000	Cluster 22: NK-cells - Unknown function	Cluster 42: Ciliated cells - Cilium & Cell projection	Cluster 19: Stomach & Colon cancer - Absorption	Cluster 38: Neurons - Neuronal signaling			CAB028368: AB_2099353	unprognostic (1.28e-1)	unprognostic (5.87e-2)	unprognostic (2.28e-1)	unprognostic (2.46e-2)	unprognostic (5.99e-2)	unprognostic (1.33e-1)	unprognostic (7.05e-4)	unprognostic (1.80e-2)	unprognostic (2.40e-1)	prognostic unfavorable (9.56e-4)	unprognostic (1.12e-1)	unprognostic (2.85e-2)	prognostic favorable (5.67e-4)	unprognostic (3.12e-2)	unprognostic (1.96e-1)	unprognostic (2.36e-1)	unprognostic (8.66e-2)	Excitatory neurons
ANO3	C11orf25, DYT23, GENX-3947, TMEM16C	ENSG00000134343	Anoctamin 3	Q9BYT9	11	26188842-26663289	Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Lipid transport, Transport		Disease variant, Dystonia	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	Group enriched	Detected in some	19	brain: 59.2;epididymis: 57.4	Cell type enriched	Detected in some	5	Excitatory neurons: 199.4	Not detected	Not detected			Region enriched	Detected in many	5	basal ganglia: 59.2	Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in single	11	Rhabdoid: 8.0	Testis - Early spermatids	Region enhanced	Detected in all		basal ganglia: 158.9	Region enriched	Detected in all	7	basal ganglia: 180.1	HPA041629	Uncertain										Cluster 68: Epididymis - Unknown function	Cluster 22: Rhabdoid cancers - Neuronal signaling	Cluster 38: Neurons - Neuronal signaling			HPA041629: AB_10793969	unprognostic (7.01e-3)	unprognostic (4.31e-1)	unprognostic (2.94e-1)	unprognostic (9.29e-2)	unprognostic (9.28e-2)	unprognostic (1.25e-1)	unprognostic (1.35e-1)	unprognostic (2.75e-2)	unprognostic (1.66e-1)	unprognostic (2.45e-2)	unprognostic (7.02e-2)	unprognostic (1.32e-1)	unprognostic (7.81e-4)	unprognostic (9.48e-3)	unprognostic (3.50e-2)	unprognostic (4.33e-1)	unprognostic (4.01e-1)	Excitatory neurons
CBLN2		ENSG00000141668	Cerebellin 2 precursor	Q8IUK8	18	72536680-72638521	Predicted intracellular proteins, Predicted secreted proteins				Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	Tissue enriched	Detected in some	6	brain: 32.5	Cell type enriched	Detected in some	25	Excitatory neurons: 502.0	Cancer enriched	Detected in single	7	breast cancer: 3.1	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		Rhabdoid: 35.8	Adipose visceral - Mesothelial cells, Colon - Colon enteroendocrine cells	Low region specificity	Detected in many			Low region specificity	Detected in many								Secreted in brain				1400000		Cluster 10: Brain - Neuronal signaling	Cluster 29: TT & NCI-H1385 - Synaptic signal transduction	Cluster 38: Neurons - Neuronal signaling				unprognostic (2.03e-2)	unprognostic (3.52e-1)	unprognostic (1.13e-3)	unprognostic (9.09e-5)	unprognostic (7.10e-2)	unprognostic (6.27e-3)		unprognostic (7.39e-2)	unprognostic (2.17e-1)	unprognostic (1.37e-4)	unprognostic (5.01e-4)	unprognostic (8.15e-2)	unprognostic (6.07e-4)	unprognostic (7.19e-2)	unprognostic (1.63e-1)	unprognostic (1.18e-1)	unprognostic (4.93e-2)	Excitatory neurons
CDH22	C20orf25, dJ998H6.1	ENSG00000149654	Cadherin 22	Q9UJ99	20	46173739-46308498	Predicted membrane proteins	Cell adhesion			Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	Tissue enriched	Detected in some	5	brain: 19.5	Cell type enriched	Detected in some	4	Excitatory neurons: 47.9	Low cancer specificity	Detected in some			Group enriched	Detected in many	4	amygdala: 10.7;basal ganglia: 5.0;cerebellum: 19.5;cerebral cortex: 15.2;hippocampal formation: 7.5	Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in single		Uterine cancer: 1.0	Testis - Early spermatids, Testis - Late spermatids	Low region specificity	Detected in all			Low region specificity	Detected in many			HPA012164, HPA012715	Uncertain	Supported									Cluster 6: Brain - Smell perception	Cluster 7: Neuronal cell lines - Stereocilium	Cluster 38: Neurons - Neuronal signaling			HPA012164: AB_1845902, HPA012715: 	unprognostic (2.41e-4)	unprognostic (1.72e-2)	unprognostic (3.10e-1)	unprognostic (4.32e-3)	unprognostic (3.39e-2)	unprognostic (4.73e-1)	unprognostic (4.32e-1)	unprognostic (2.54e-2)	unprognostic (5.54e-2)	unprognostic (4.50e-4)	unprognostic (2.62e-1)	unprognostic (3.09e-1)	unprognostic (7.26e-3)	unprognostic (5.93e-2)	unprognostic (1.79e-1)	unprognostic (3.92e-2)	unprognostic (9.83e-2)	Excitatory neurons
MCHR2	GPR145, MCH2, MCH2R, SLT	ENSG00000152034	Melanin concentrating hormone receptor 2	Q969V1	6	99918519-99994247	G-protein coupled receptors, Predicted membrane proteins		G-protein coupled receptor, Receptor, Transducer		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	12	brain: 3.5;testis: 1.5	Cell type enriched	Detected in some	31	Excitatory neurons: 43.5	Not detected	Not detected			Region enhanced	Detected in some		cerebral cortex: 3.5	Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Testis - Early spermatids					Not detected	Not detected														Cluster 10: Brain - Neuronal signaling		Cluster 38: Neurons - Neuronal signaling								unprognostic (5.76e-2)													Excitatory neurons
