Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
TBX22	CLPA, CPX	ENSG00000122145	T-box transcription factor 22	Q9Y458	X	80014753-80031774	Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors	Transcription, Transcription regulation	DNA-binding	Deafness, Disease variant, Dwarfism	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	20	testis: 11.1;thyroid gland: 4.7	Cell type enriched	Detected in some	17	Sertoli cells: 44.2	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Breast - Breast myoepithelial cells, Skin - Eccrine sweat gland cells, Testis - Sertoli cells	Not detected	Not detected			Not detected	Not detected														Cluster 1: Thyroid gland - Transcription	Cluster 11: Lymphoma - Adaptive immune response	Cluster 51: Late spermatids - Spermatogenesis												unprognostic (6.58e-2)						unprognostic (6.31e-2)	unprognostic (1.18e-1)		Sertoli cells
PRND	dJ1068H6.4, DOPPEL, DPL, PrPLP	ENSG00000171864	Prion like protein doppel	Q9UKY0	20	4721909-4728460	Predicted membrane proteins, Transporters	Fertilization	Prion		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	12	choroid plexus: 31.3;testis: 70.9	Cell type enriched	Detected in some	12	Sertoli cells: 146.5	Cancer enhanced	Detected in some		testis cancer: 2.6	Low region specificity	Detected in single			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	4	Rhabdoid: 4.8	Testis - Sertoli cells	Not detected	Not detected			Low region specificity	Detected in all			HPA043373	Enhanced									Cluster 11: Basophils - Unknown function	Cluster 49: Ciliated cells - Cilium organization	Cluster 22: Rhabdoid cancers - Neuronal signaling	Cluster 66: Endothelial cells - Angiogenesis			HPA043373: AB_2678450	unprognostic (1.69e-1)	unprognostic (3.66e-2)	unprognostic (2.24e-2)	unprognostic (8.46e-2)	unprognostic (3.40e-2)	unprognostic (3.47e-3)	unprognostic (3.01e-1)	unprognostic (6.41e-2)	unprognostic (2.00e-2)	unprognostic (1.56e-1)	unprognostic (3.10e-1)	unprognostic (5.85e-2)	unprognostic (2.02e-3)	unprognostic (6.11e-2)	unprognostic (2.86e-1)	unprognostic (2.45e-2)	unprognostic (1.63e-3)	Sertoli cells
BRICD5	C16orf79, MGC21830	ENSG00000182685	BRICHOS domain containing 5	Q6PL45	16	2209253-2211950	Predicted intracellular proteins, Predicted membrane proteins				Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enriched	Detected in many	4	Sertoli cells: 55.3	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in all				Low region specificity	Detected in many			Region enhanced	Detected in some		spinal cord: 3.1	HPA063522			Approved	Nucleoplasm,Actin filaments						Cluster 45: Eosinophils - Innate immune response	Cluster 43: Testis - Unknown function	Cluster 8: Non-specific - Transcription	Cluster 9: Neurons - Nervous system development	Actin filaments	Nucleoplasm	HPA063522: AB_2685029	prognostic favorable (9.74e-4)	unprognostic (7.12e-3)	unprognostic (1.25e-2)	unprognostic (1.04e-1)	unprognostic (1.18e-1)	unprognostic (1.93e-3)	unprognostic (2.02e-1)	unprognostic (4.62e-2)	unprognostic (4.34e-3)	unprognostic (7.56e-2)	prognostic favorable (7.01e-4)	unprognostic (9.84e-3)	unprognostic (2.65e-2)	unprognostic (9.79e-2)	unprognostic (2.88e-1)	unprognostic (3.57e-1)	prognostic favorable (8.06e-5)	Sertoli cells
OR51B4		ENSG00000183251	Olfactory receptor family 51 subfamily B member 4	Q9Y5P0	11	5301014-5301946	G-protein coupled receptors, Predicted membrane proteins	Olfaction, Sensory transduction	G-protein coupled receptor, Receptor, Transducer		Evidence at transcript level	No human protein/transcript evidence	Evidence at transcript level	Evidence at transcript level	Not detected	Not detected			Cell type enriched	Detected in single	22	Sertoli cells: 2.8	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in some				Not detected	Not detected			Not detected	Not detected															Cluster 44: Myeloma - Humoral immune response	Cluster 9: Neurons - Nervous system development																		unprognostic (6.16e-2)	unprognostic (5.01e-1)		Sertoli cells
TRPC5OS	TRPC5-AS1	ENSG00000204025	TRPC5 opposite strand	A6NMA1	X	111876051-111903990	Predicted intracellular proteins				Evidence at protein level	Evidence at transcript level	No human protein/transcript evidence	Evidence at protein level	Tissue enriched	Detected in single	33	testis: 21.6	Cell type enriched	Detected in some	9	Sertoli cells: 19.3	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Testis - Sertoli cells	Not detected	Not detected																		Cluster 78: Testis - Spermatogenesis	Cluster 12: Lymphoid cancers - Adaptive immune response	Cluster 51: Late spermatids - Spermatogenesis				unprognostic (1.77e-2)			unprognostic (8.15e-2)	unprognostic (7.51e-2)		unprognostic (2.99e-1)	unprognostic (1.47e-2)		unprognostic (9.90e-2)	unprognostic (1.72e-1)		unprognostic (1.40e-6)	unprognostic (6.23e-3)	unprognostic (1.71e-1)	unprognostic (1.85e-3)		Sertoli cells
ZNF705E		ENSG00000214534	Zinc finger protein 705E	A8MWA4	11	71814045-71821548	Predicted intracellular proteins	Transcription, Transcription regulation	DNA-binding		Evidence at transcript level	No human protein/transcript evidence	No human protein/transcript evidence	Evidence at transcript level	Not detected	Not detected			Cell type enriched	Detected in single	4	Sertoli cells: 2.8	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected																								Cluster 32: Myeloid leukemia - Oxygen transport	Cluster 35: Bipolar cells - Visual perception				unprognostic (3.65e-2)	unprognostic (1.34e-2)	unprognostic (5.02e-2)	unprognostic (3.80e-1)	unprognostic (7.34e-3)	unprognostic (8.00e-5)	unprognostic (6.79e-2)	unprognostic (1.37e-2)	unprognostic (5.38e-2)	unprognostic (1.97e-1)	unprognostic (5.94e-2)	unprognostic (2.70e-1)	unprognostic (5.13e-4)	unprognostic (9.18e-3)	unprognostic (1.05e-1)	unprognostic (8.89e-2)	unprognostic (2.34e-2)	Sertoli cells
CENPVL3	CENPVP3	ENSG00000224109	Centromere protein V like 3	A0A0U1RRI6	X	51617020-51618912	Predicted intracellular proteins				Evidence at protein level	Evidence at transcript level	No human protein/transcript evidence	Evidence at protein level	Group enriched	Detected in some	6	brain: 3.8;testis: 3.0	Cell type enriched	Detected in some	18	Sertoli cells: 27.6	Not detected	Not detected			Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	5	Bone cancer: 9.3	Testis - Sertoli cells																				Cluster 65: Brain - Ion transport	Cluster 14: Bone cancer - Transcription	Cluster 9: Neurons - Nervous system development															unprognostic (3.07e-2)			unprognostic (1.48e-1)			Sertoli cells
EPPIN-WFDC6	SPINLW1-WFDC6	ENSG00000249139	EPPIN-WFDC6 readthrough	O95925	20	45534196-45547662	Predicted secreted proteins		Antimicrobial, Protease inhibitor, Serine protease inhibitor		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	78	epididymis: 63.6;testis: 53.6	Cell type enriched	Detected in single	24	Sertoli cells: 5.5	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected												HPA067335	Supported				Secreted in male reproductive system						Cluster 68: Epididymis - Unknown function	Cluster 60: Keratinocytes - Epithelial cell function	Cluster 17: Granulosa cells - Transcription regulation			HPA067335: 										unprognostic (1.46e-3)					unprognostic (6.38e-2)			Sertoli cells
FAM236B		ENSG00000268994	Family with sequence similarity 236 member B	A0A1B0GV22	X	72781865-72782660	Predicted intracellular proteins				Evidence at transcript level	Evidence at transcript level	No human protein/transcript evidence	Evidence at transcript level	Tissue enriched	Detected in some	32	testis: 98.2	Cell type enriched	Detected in single	15	Sertoli cells: 2.8	Not detected	Not detected			Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected																							Cluster 74: Testis - Spermatogenesis	Cluster 12: Lymphoid cancers - Adaptive immune response	Cluster 24: Spermatids - Unknown function																					Sertoli cells
FAM236A	DMRTC1-AS1, LINC00684	ENSG00000275520	Family with sequence similarity 235 member A	A0A1B0GUQ0	X	72938163-72938958	Predicted intracellular proteins				Evidence at transcript level	Evidence at transcript level	No human protein/transcript evidence	Evidence at transcript level	Tissue enriched	Detected in some	78	testis: 155.3	Cell type enriched	Detected in some	6	Sertoli cells: 38.7	Not detected	Not detected			Low region specificity	Detected in single			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected																							Cluster 36: Testis - Spermatogenesis	Cluster 29: TT & NCI-H1385 - Synaptic signal transduction	Cluster 51: Late spermatids - Spermatogenesis																					Sertoli cells
