Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
SULT2B1	HSST2	ENSG00000088002	Sulfotransferase family 2B member 1	O00204	19	48552172-48599425	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins	Lipid metabolism, Steroid metabolism	Transferase	Disease variant, Ichthyosis	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		esophagus: 286.0;skin 1: 186.5;vagina: 145.9	Cell type enriched	Detected in many	5	Suprabasal keratinocytes: 548.6	Low cancer specificity	Detected in many			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		cervical cancer: 31.2	Lung - Alveolar cells type 1, Prostate - Prostate glandular cells	Low region specificity	Detected in all			Low region specificity	Detected in many			HPA041724, HPA043539, HPA076510	Enhanced		Enhanced	Vesicles,Cytosol						Cluster 16: MAIT-cells - Unknown function	Cluster 11: Squamous epithelial cells - Epithelial cell function	Cluster 60: Keratinocytes - Epithelial cell function	Cluster 3: Suprabasal keratinocytes - Cornification	Vesicles	Cytosol	HPA041724: AB_2677638, HPA043539: AB_2678540, HPA076510: 	unprognostic (6.55e-2)	unprognostic (1.47e-1)	unprognostic (5.28e-3)	unprognostic (8.74e-2)	unprognostic (5.00e-2)	unprognostic (5.97e-2)	unprognostic (4.43e-2)	unprognostic (3.29e-3)	unprognostic (1.62e-1)	unprognostic (1.11e-2)	unprognostic (2.54e-2)	unprognostic (4.42e-2)	unprognostic (5.01e-6)	unprognostic (7.96e-3)	unprognostic (1.32e-1)	unprognostic (8.04e-2)	unprognostic (2.77e-2)	Suprabasal keratinocytes
CNFN	PLAC8L2	ENSG00000105427	Cornifelin	Q9BYD5	19	42387019-42390297	Predicted intracellular proteins	Keratinization			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		cervix: 952.0;esophagus: 3093.3;vagina: 1442.7	Cell type enriched	Detected in many	5	Suprabasal keratinocytes: 1649.1	Cancer enhanced	Detected in all		head and neck cancer: 367.8	Low region specificity	Detected in all			Group enriched	Detected in many	11	memory B-cell: 61.2;naive B-cell: 70.2	Lineage enriched	Detected in many	12	B-cells: 70.2	Cancer enhanced	Detected in all		head and neck cancer: 22.0	Skin - Keratinocyte (granular)	Not detected	Not detected			Low region specificity	Detected in some			HPA049073, HPA053997	Enhanced		Approved	Microtubules,Cytokinetic bridge		Yes	No			Cluster 19: B-cells - Humoral immune response	Cluster 84: Esophagus - Epithelial cell function	Cluster 60: Keratinocytes - Epithelial cell function	Cluster 3: Suprabasal keratinocytes - Cornification	Microtubules	Cytokinetic bridge	HPA049073: AB_2680620, HPA053997: AB_2682337	unprognostic (5.08e-2)	unprognostic (4.21e-3)	unprognostic (2.52e-1)	unprognostic (7.22e-2)	unprognostic (3.15e-2)	unprognostic (8.35e-3)	unprognostic (6.04e-2)	unprognostic (2.06e-3)	unprognostic (3.52e-1)	unprognostic (9.44e-2)	unprognostic (1.39e-1)	unprognostic (8.37e-2)	unprognostic (8.42e-2)	unprognostic (4.83e-2)	unprognostic (7.77e-3)	prognostic favorable (4.02e-5)	unprognostic (2.45e-1)	Suprabasal keratinocytes
ALOX12	12S-LOX	ENSG00000108839	Arachidonate 12-lipoxygenase, 12S type	P18054	17	6996049-7010754	Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins	Fatty acid metabolism, Lipid metabolism	Dioxygenase, Hydrolase, Oxidoreductase		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		cervix: 34.6;esophagus: 49.4;vagina: 105.7	Cell type enriched	Detected in some	6	Suprabasal keratinocytes: 23.3	Low cancer specificity	Detected in many			Low region specificity	Detected in many			Immune cell enhanced	Detected in some		neutrophil: 4.5	Low lineage specificity	Detected in many			Low cancer specificity	Detected in all				Region enriched	Detected in single	5	olfactory bulb: 4.4					HPA010691, CAB019287, HPA064819	Enhanced		Supported	Nuclear speckles,Vesicles,Cytosol					49000	Cluster 9: Neutrophils - Innate immune response	Cluster 11: Squamous epithelial cells - Epithelial cell function	Cluster 32: Myeloid leukemia - Oxygen transport	Cluster 4: Platelets - Platelet activation	Cytosol	Nuclear speckles, Vesicles	CAB019287: , HPA010691: AB_1844756, HPA064819: 	unprognostic (3.61e-3)	unprognostic (6.93e-2)	unprognostic (7.17e-5)	unprognostic (9.43e-2)	unprognostic (6.06e-2)	unprognostic (2.25e-3)	unprognostic (2.45e-1)	unprognostic (3.16e-1)	unprognostic (3.02e-2)	unprognostic (1.59e-2)	unprognostic (3.96e-5)	unprognostic (4.01e-3)	unprognostic (2.25e-2)	unprognostic (1.56e-1)	unprognostic (2.87e-1)	unprognostic (5.90e-2)	unprognostic (3.47e-2)	Suprabasal keratinocytes
GJB6	CX30, DFNA3, ED2, EDH, HED	ENSG00000121742	Gap junction protein beta 6	O95452	13	20221962-20232365	Disease related genes, Human disease related genes, Predicted membrane proteins	Hearing		Deafness, Disease variant, Ectodermal dysplasia, Non-syndromic deafness, Palmoplantar keratoderma	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		bone marrow: 95.6;esophagus: 195.4;vagina: 139.3	Cell type enriched	Detected in some	4	Suprabasal keratinocytes: 352.6	Cancer enhanced	Detected in many		head and neck cancer: 145.0	Low region specificity	Detected in all			Immune cell enhanced	Detected in some		T-reg: 2.6	Lineage enriched	Detected in single	5	T-cells: 2.6	Cancer enhanced	Detected in many		cervical cancer: 135.9;head and neck cancer: 52.1	Testis - Early spermatids, Testis - Late spermatids	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA014846			Supported	Cell Junctions						Cluster 20: T-cells - T-cell receptor	Cluster 27: Brain & Skin - Unknown function	Cluster 60: Keratinocytes - Epithelial cell function	Cluster 3: Suprabasal keratinocytes - Cornification	Cell Junctions		HPA014846: AB_1847135	unprognostic (5.57e-2)	unprognostic (1.20e-1)	unprognostic (3.90e-4)	unprognostic (7.90e-2)	unprognostic (2.37e-1)	unprognostic (1.69e-1)	unprognostic (1.83e-1)	unprognostic (8.96e-2)	unprognostic (9.64e-2)	unprognostic (2.82e-2)	unprognostic (2.82e-2)	unprognostic (3.54e-2)	unprognostic (1.14e-11)	unprognostic (8.99e-2)	unprognostic (1.16e-1)	unprognostic (6.35e-3)	unprognostic (5.04e-2)	Suprabasal keratinocytes
SLURP1	ANUP, ARS, ArsB, LY6-MT, LY6LS, MDM	ENSG00000126233	Secreted LY6/PLAUR domain containing 1	P55000	8	142740949-142742406	Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters		Cytokine	Disease variant, Palmoplantar keratoderma	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	5	esophagus: 1039.2;skin 1: 858.5	Cell type enriched	Detected in some	12	Suprabasal keratinocytes: 2377.4	Cancer enhanced	Detected in many		head and neck cancer: 66.3	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in some	4	breast cancer: 1.9;Esophageal cancer: 1.8;head and neck cancer: 3.9	Skin - Keratinocyte (granular)	Not detected	Not detected			Low region specificity	Detected in many			HPA050967	Approved				Secreted in other tissues				7700000		Cluster 11: Squamous epithelial cells - Epithelial cell function	Cluster 60: Keratinocytes - Epithelial cell function	Cluster 3: Suprabasal keratinocytes - Cornification			HPA050967: AB_2681293	unprognostic (1.22e-2)	unprognostic (5.08e-2)		unprognostic (1.16e-2)		unprognostic (1.42e-2)		unprognostic (1.84e-1)	unprognostic (7.32e-2)	unprognostic (5.99e-2)	unprognostic (1.33e-4)	unprognostic (1.58e-1)		unprognostic (2.98e-1)			unprognostic (1.43e-1)	Suprabasal keratinocytes
KRT36	KRTHA6	ENSG00000126337	Keratin 36	O76013	17	41486136-41492546	Plasma proteins, Predicted intracellular proteins				Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	5	lymphoid tissue: 3.5;skin 1: 1.7	Cell type enriched	Detected in some	30	Suprabasal keratinocytes: 386.4	Cancer enhanced	Detected in single		head and neck cancer: 1.1	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in single		cervical cancer: 3.7		Not detected	Not detected			Low region specificity	Detected in some												180000000		Cluster 53: Non-specific - Cell cycle regulation	Cluster 60: Keratinocytes - Epithelial cell function	Cluster 22: Squamous epithelial cells - Keratinization				unprognostic (4.39e-2)	unprognostic (2.24e-3)	unprognostic (9.85e-2)	unprognostic (4.66e-1)	unprognostic (1.70e-2)	unprognostic (3.19e-2)	unprognostic (1.34e-1)	unprognostic (5.36e-2)	unprognostic (2.25e-1)	unprognostic (1.81e-1)	unprognostic (7.19e-2)	unprognostic (8.24e-2)	unprognostic (8.50e-2)	unprognostic (3.74e-1)	unprognostic (6.66e-2)	unprognostic (1.49e-1)	unprognostic (7.11e-2)	Suprabasal keratinocytes
SPINK5	DKFZp686K19184, FLJ21544, FLJ97536, FLJ97596, FLJ99794, LEKTI, LETKI, NETS, NS, VAKTI	ENSG00000133710	Serine peptidase inhibitor Kazal type 5	Q9NQ38	5	148025683-148137382	Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins		Protease inhibitor, Serine protease inhibitor	Hypotrichosis, Ichthyosis	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		cervix: 338.5;esophagus: 1015.0;skin 1: 318.2;vagina: 582.6	Cell type enriched	Detected in many	5	Suprabasal keratinocytes: 10618.0	Cancer enhanced	Detected in many		head and neck cancer: 45.0	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		cervical cancer: 31.3	Lung - Alveolar cells type 2	Not detected	Not detected			Not detected	Not detected			HPA009067, HPA011351, CAB015347	Enhanced		Enhanced	Vesicles	Secreted in other tissues				43000000		Cluster 84: Esophagus - Epithelial cell function	Cluster 60: Keratinocytes - Epithelial cell function	Cluster 3: Suprabasal keratinocytes - Cornification	Vesicles		CAB015347: AB_2196138, HPA009067: AB_1080084, HPA011351: AB_1857447	unprognostic (9.66e-3)	unprognostic (1.42e-2)	unprognostic (2.41e-1)	unprognostic (1.17e-1)	unprognostic (3.25e-2)	unprognostic (1.42e-3)	unprognostic (2.45e-2)	unprognostic (6.85e-2)	unprognostic (1.16e-1)	unprognostic (2.28e-2)	unprognostic (4.92e-3)	unprognostic (4.56e-1)	unprognostic (2.44e-1)	unprognostic (7.91e-2)	unprognostic (2.82e-1)	unprognostic (6.87e-2)	unprognostic (2.59e-1)	Suprabasal keratinocytes
FLG2	IFPS	ENSG00000143520	Filaggrin family member 2	Q5D862	1	152348735-152360006	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins			Disease variant	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	15	skin 1: 483.9	Cell type enriched	Detected in some	7	Suprabasal keratinocytes: 13.9	Cancer enriched	Detected in some	8	melanoma: 7.6	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in single		lymphoma: 1.0	Skin - Keratinocyte (granular)	Not detected	Not detected			Not detected	Not detected			HPA028699	Approved								21000000		Cluster 61: Skin - Cornification	Cluster 54: Lymphoma - Cytokine signaling	Cluster 22: Squamous epithelial cells - Keratinization			HPA028699: AB_10601905		unprognostic (2.58e-1)				unprognostic (2.33e-1)		unprognostic (3.08e-1)	unprognostic (6.85e-2)	unprognostic (6.59e-3)	unprognostic (1.34e-1)	unprognostic (2.25e-1)	unprognostic (1.09e-1)	unprognostic (2.08e-2)	unprognostic (1.12e-1)	unprognostic (1.96e-1)		Suprabasal keratinocytes
CRNN	C1orf10, SEP53	ENSG00000143536	Cornulin	Q9UBG3	1	152409243-152414263	Disease related genes, Predicted intracellular proteins			Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		esophagus: 5346.2;vagina: 1691.7	Cell type enriched	Detected in some	11	Suprabasal keratinocytes: 1997.3	Group enriched	Detected in many	18	cervical cancer: 19.3;head and neck cancer: 74.0;stomach cancer: 22.9	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	38	cervical cancer: 48.4		Not detected	Not detected			Low region specificity	Detected in all			HPA024343, CAB026182	Enhanced								100000		Cluster 84: Esophagus - Epithelial cell function	Cluster 60: Keratinocytes - Epithelial cell function	Cluster 3: Suprabasal keratinocytes - Cornification			CAB026182: , HPA024343: AB_1847162		unprognostic (1.96e-2)		unprognostic (1.74e-6)		unprognostic (4.20e-2)			unprognostic (3.43e-1)	unprognostic (6.43e-3)								Suprabasal keratinocytes
SPINK7	ECG2, ECRG2	ENSG00000145879	Serine peptidase inhibitor Kazal type 7	P58062	5	148312419-148315922	Predicted intracellular proteins, Predicted secreted proteins		Protease inhibitor, Serine protease inhibitor		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in some		cervix: 256.8;esophagus: 620.4;vagina: 614.0	Cell type enriched	Detected in some	4	Suprabasal keratinocytes: 262.2	Group enriched	Detected in many	6	cervical cancer: 4.5;head and neck cancer: 15.5	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in some	7	cervical cancer: 6.5;Esophageal cancer: 3.6;head and neck cancer: 13.7;lung cancer: 4.1	Skin - Hair cortex cells, Stomach - Gastric mucous cells	Not detected	Not detected			Low region specificity	Detected in all			HPA036294	Enhanced				Secreted in other tissues				230000		Cluster 84: Esophagus - Epithelial cell function	Cluster 60: Keratinocytes - Epithelial cell function	Cluster 3: Suprabasal keratinocytes - Cornification			HPA036294: AB_10671243		unprognostic (2.82e-1)				unprognostic (8.99e-3)		unprognostic (8.52e-3)	unprognostic (1.81e-1)		unprognostic (1.12e-2)	unprognostic (3.37e-2)	unprognostic (9.10e-2)	unprognostic (1.49e-1)	unprognostic (6.86e-2)	unprognostic (7.24e-2)	unprognostic (4.22e-2)	Suprabasal keratinocytes
