Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
CD38		ENSG00000004468	CD38 molecule	P28907	4	15778275-15853232	Cancer-related genes, CD markers, Enzymes, Metabolic proteins, Predicted intracellular proteins		Hydrolase, Receptor, Transferase	Cancer-related genes, Diabetes mellitus	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		lymphoid tissue: 63.3	Cell type enriched	Detected in many	4	Plasma cells: 372.4	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Immune cell enhanced	Detected in many		NK-cell: 18.3	Group enriched	Detected in all	5	B-cells: 9.9;dendritic cells: 5.8;NK-cells: 18.3	Group enriched	Detected in some	13	Leukemia: 26.6;lymphoma: 45.9;Myeloma: 41.7	Lung - Alveolar cells type 2, Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes, Stomach - Macrophages	Low region specificity	Detected in all			Low region specificity	Detected in all			CAB002493, HPA022132, CAB025255, HPA052381	Enhanced		Supported	Plasma membrane						Cluster 48: NK-cells - Unknown function	Cluster 3: T-cells - Adaptive immune response	Cluster 44: Myeloma - Humoral immune response	Cluster 40: Plasma cells - Humoral immune response	Plasma membrane		CAB002493: AB_563556, CAB025255: , HPA022132: AB_1846300, HPA052381: AB_2681807	unprognostic (1.27e-2)	unprognostic (8.06e-3)	unprognostic (1.06e-2)	prognostic favorable (9.68e-4)	unprognostic (1.13e-1)	unprognostic (1.82e-3)	unprognostic (2.74e-1)	unprognostic (8.51e-2)	unprognostic (5.87e-2)	unprognostic (6.15e-6)	unprognostic (5.23e-1)	unprognostic (4.34e-1)	unprognostic (6.63e-6)	unprognostic (1.79e-1)	unprognostic (5.74e-2)	unprognostic (2.12e-2)	unprognostic (2.13e-1)	Plasma cells
TNFRSF17	BCM, BCMA, CD269, TNFRSF13A	ENSG00000048462	TNF receptor superfamily member 17	Q02223	16	11965210-11968068	Cancer-related genes, CD markers, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Adaptive immunity, Immunity	Receptor	Cancer-related genes, Proto-oncogene	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		intestine: 29.0;lymphoid tissue: 47.9;stomach 1: 24.4	Cell type enriched	Detected in some	15	Plasma cells: 468.7	Low cancer specificity	Detected in many			Not detected	Not detected			Group enriched	Detected in some	62	memory B-cell: 124.9;naive B-cell: 108.5;plasmacytoid DC: 103.3	Group enriched	Detected in many	63	B-cells: 124.9;dendritic cells: 103.3	Cancer enriched	Detected in some	12	Myeloma: 633.3	Adipose visceral - Plasma cells, Breast - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Pancreas - Plasma cells, Prostate - Plasma cells, Stomach - Plasma cells, Testis - Early spermatids, Thyroid - Plasma cells	Not detected	Not detected			Low region specificity	Detected in all												2000000	Cluster 19: B-cells - Humoral immune response	Cluster 14: B-cells - Humoral immune response	Cluster 44: Myeloma - Humoral immune response	Cluster 45: Plasma cells - Humoral immune response				prognostic favorable (1.35e-5)	unprognostic (3.41e-2)	unprognostic (4.00e-3)	unprognostic (1.41e-2)	unprognostic (6.47e-2)	prognostic favorable (1.58e-6)	unprognostic (9.75e-3)	unprognostic (5.93e-2)	unprognostic (2.13e-2)	unprognostic (7.96e-3)	unprognostic (2.46e-1)	unprognostic (2.58e-1)	unprognostic (2.85e-6)	unprognostic (2.06e-1)	unprognostic (2.48e-1)	unprognostic (3.54e-2)	unprognostic (1.10e-1)	Plasma cells
DERL3	C22orf14, derlin-3, FLJ43842, IZP6, MGC71803	ENSG00000099958	Derlin 3	Q96Q80	22	23834503-23839128	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters				Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		lymphoid tissue: 61.6;pancreas: 60.8;salivary gland: 51.1	Cell type enriched	Detected in many	4	Plasma cells: 1365.4	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Immune cell enriched	Detected in some	14	plasmacytoid DC: 187.4	Lineage enriched	Detected in many	14	dendritic cells: 187.4	Cancer enriched	Detected in many	7	Myeloma: 39.0	Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Breast - Plasma cells, Lung - Plasma cells, Testis - Early spermatids, Testis - Late spermatids	Low region specificity	Detected in many			Low region specificity	Detected in some			CAB037234, HPA049306	Approved		Uncertain	Vesicles						Cluster 3: Plasmacytoid DCs - Unknown function	Cluster 24: Salivary gland - Salivary secretion	Cluster 44: Myeloma - Humoral immune response	Cluster 45: Plasma cells - Humoral immune response	Vesicles		CAB037234: AB_1840802, HPA049306: 	unprognostic (2.01e-3)	prognostic favorable (8.70e-5)	unprognostic (9.72e-3)	unprognostic (7.47e-2)	unprognostic (9.77e-3)	prognostic favorable (8.01e-4)	unprognostic (2.23e-2)	unprognostic (1.40e-1)	unprognostic (1.36e-1)	unprognostic (8.66e-3)	unprognostic (4.74e-2)	unprognostic (2.75e-1)	prognostic unfavorable (7.76e-13)	unprognostic (1.53e-2)	unprognostic (4.08e-1)	unprognostic (1.65e-1)	unprognostic (1.95e-1)	Plasma cells
PIM2		ENSG00000102096	Pim-2 proto-oncogene, serine/threonine kinase	Q9P1W9	X	48913182-48919024	Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Apoptosis, Cell cycle	Kinase, Serine/threonine-protein kinase, Transferase	Cancer-related genes, Proto-oncogene	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in all		bone marrow: 102.3;intestine: 87.6;lymphoid tissue: 163.9	Cell type enriched	Detected in many	5	Plasma cells: 702.4	Cancer enriched	Detected in all	6	testis cancer: 171.3	Low region specificity	Detected in all			Low immune cell specificity	Detected in all			Low lineage specificity	Detected in all			Cancer enriched	Detected in all	5	Myeloma: 803.5	Adipose visceral - Plasma cells, Breast - Plasma cells, Lung - Plasma cells, Stomach - Plasma cells	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA000285			Approved	Cytosol						Cluster 4: T-regs - Cell cycle regulation	Cluster 16: Immune cells - Immune response	Cluster 44: Myeloma - Humoral immune response	Cluster 40: Plasma cells - Humoral immune response	Cytosol		HPA000285: AB_1079619	unprognostic (2.34e-3)	prognostic favorable (4.05e-5)	unprognostic (8.04e-2)	unprognostic (7.30e-2)	unprognostic (6.41e-3)	unprognostic (2.74e-3)	unprognostic (2.84e-1)	unprognostic (5.23e-2)	unprognostic (2.47e-2)	unprognostic (4.01e-2)	unprognostic (1.33e-3)	unprognostic (2.73e-1)	prognostic unfavorable (1.17e-11)	unprognostic (3.36e-2)	unprognostic (1.96e-2)	unprognostic (1.27e-1)	unprognostic (4.38e-2)	Plasma cells
POU2AF1	BOB1, OBF1	ENSG00000110777	POU class 2 homeobox associating factor 1	Q16633	11	111352255-111455630	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Transcription, Transcription regulation		Cancer-related genes, Proto-oncogene	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		intestine: 38.6;lymphoid tissue: 119.4;stomach 1: 40.1	Cell type enriched	Detected in many	4	Plasma cells: 521.7	Low cancer specificity	Detected in many			Low region specificity	Detected in all			Group enriched	Detected in some	7	memory B-cell: 33.5;naive B-cell: 24.0	Lineage enriched	Detected in many	9	B-cells: 33.5	Group enriched	Detected in all	8	lymphoma: 193.4;Myeloma: 230.1	Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Breast - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Testis - Early spermatids	Not detected	Not detected			Low region specificity	Detected in many			CAB011193	Enhanced									Cluster 43: B-cells - Humoral immune response	Cluster 16: Immune cells - Immune response	Cluster 64: Lymphoma - Humoral immune response	Cluster 40: Plasma cells - Humoral immune response			CAB011193: AB_532299	prognostic favorable (1.68e-4)	prognostic favorable (1.63e-4)	unprognostic (1.04e-2)	unprognostic (5.50e-3)	unprognostic (1.88e-1)	prognostic favorable (3.59e-4)	unprognostic (2.09e-1)	unprognostic (3.63e-3)	unprognostic (7.15e-2)	unprognostic (2.52e-2)	unprognostic (1.34e-1)	unprognostic (4.81e-2)	unprognostic (8.51e-8)	unprognostic (2.35e-1)	unprognostic (3.90e-1)	unprognostic (7.14e-3)	unprognostic (1.23e-1)	Plasma cells
JCHAIN	IGCJ, IGJ, JCH	ENSG00000132465	Joining chain of multimeric IgA and IgM	P01591	4	70655541-70681817	Plasma proteins, Predicted secreted proteins				Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		breast: 3028.0;intestine: 7979.6;stomach 1: 5916.2	Cell type enriched	Detected in many	12	Plasma cells: 72765.6	Low cancer specificity	Detected in all			Low region specificity	Detected in many			Group enriched	Detected in all	121	memory B-cell: 4173.0;naive B-cell: 2555.1;plasmacytoid DC: 3578.1	Group enriched	Detected in all	137	B-cells: 4173.0;dendritic cells: 3578.1	Cancer enriched	Detected in many	13	Myeloma: 13933.1	Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Heart muscle - Plasma cells, Kidney - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Pancreas - Plasma cells, Prostate - Plasma cells, Skeletal muscle - Plasma cells, Skin - Plasma cells, Stomach - Plasma cells, Thyroid - Plasma cells	Not detected	Not detected			Low region specificity	Detected in all			CAB034436, HPA044132	Enhanced				Secreted to blood				2200000000	Cluster 19: B-cells - Humoral immune response	Cluster 9: Intestine - Unknown function	Cluster 44: Myeloma - Humoral immune response	Cluster 45: Plasma cells - Humoral immune response			CAB034436: AB_2233368, HPA044132: AB_2678826	prognostic favorable (1.81e-6)	unprognostic (1.45e-3)	unprognostic (7.44e-3)	unprognostic (1.82e-2)	unprognostic (4.23e-2)	prognostic favorable (7.56e-7)	unprognostic (2.37e-2)	unprognostic (2.70e-2)	unprognostic (6.30e-2)	unprognostic (2.64e-3)	unprognostic (3.36e-1)	unprognostic (7.34e-2)	prognostic unfavorable (1.40e-4)	unprognostic (3.43e-1)	unprognostic (3.03e-2)	unprognostic (2.22e-1)	unprognostic (1.96e-1)	Plasma cells
FKBP11	FKBP19	ENSG00000134285	FKBP prolyl isomerase 11	Q9NYL4	12	48921518-48926474	Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins		Isomerase, Rotamase		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		pancreas: 495.0	Cell type enriched	Detected in many	5	Plasma cells: 1347.4	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Immune cell enhanced	Detected in all		MAIT T-cell: 188.3	Low lineage specificity	Detected in all			Cancer enhanced	Detected in all		Myeloma: 360.1	Breast - Plasma cells, Skeletal muscle - Endothelial cells	Low region specificity	Detected in all							HPA041709	Enhanced		Approved	Centrosome					170000	Cluster 16: MAIT-cells - Unknown function	Cluster 25: Pancreas - Digestion	Cluster 44: Myeloma - Humoral immune response	Cluster 40: Plasma cells - Humoral immune response	Centrosome		HPA041709: AB_10794487	unprognostic (7.45e-3)	unprognostic (8.62e-2)	unprognostic (2.40e-1)	prognostic favorable (7.09e-4)	unprognostic (1.70e-2)	unprognostic (2.00e-1)	unprognostic (3.46e-2)	unprognostic (1.75e-1)	unprognostic (7.64e-2)	unprognostic (3.49e-3)	unprognostic (1.24e-1)	unprognostic (1.46e-1)	prognostic unfavorable (0.00e+0)	unprognostic (2.15e-1)	unprognostic (4.51e-1)	unprognostic (2.79e-1)	unprognostic (1.54e-1)	Plasma cells
TXNDC11	EFP1	ENSG00000153066	Thioredoxin domain containing 11	Q6PKC3	16	11679083-11742857	Predicted intracellular proteins, Predicted membrane proteins				Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enriched	Detected in all	6	Plasma cells: 303.1	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in many			Low lineage specificity	Detected in all			Cancer enhanced	Detected in all		Gallbladder cancer: 115.8;Myeloma: 173.3	Prostate - Prostate glandular cells, Thyroid - Thyroid glandular cells	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA041174, HPA041390	Supported		Supported	Plasma membrane,Cytosol		No	No			Cluster 26: Non-specific - Mitochondria	Cluster 3: T-cells - Adaptive immune response	Cluster 44: Myeloma - Humoral immune response	Cluster 40: Plasma cells - Humoral immune response	Plasma membrane, Cytosol		HPA041174: AB_10794191, HPA041390: AB_10796670	unprognostic (1.96e-2)	unprognostic (1.43e-1)	unprognostic (6.82e-3)	prognostic favorable (2.12e-5)	prognostic unfavorable (1.36e-4)	unprognostic (2.43e-2)	unprognostic (1.83e-1)	unprognostic (2.68e-3)	unprognostic (4.90e-2)	unprognostic (2.17e-1)	unprognostic (1.08e-1)	unprognostic (2.01e-1)	unprognostic (2.35e-2)	unprognostic (9.96e-2)	unprognostic (8.30e-2)	unprognostic (3.23e-2)	unprognostic (2.34e-2)	Plasma cells
GPR101		ENSG00000165370	G protein-coupled receptor 101	Q96P66	X	137023929-137033995	Disease related genes, G-protein coupled receptors, Human disease related genes, Potential drug targets, Predicted membrane proteins		G-protein coupled receptor, Receptor, Transducer	Disease variant	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	143	brain: 14.3	Cell type enriched	Detected in single	4	Plasma cells: 2.3	Not detected	Not detected			Group enriched	Detected in many	5	basal ganglia: 12.4;cerebral cortex: 4.4;hypothalamus: 14.3;thalamus: 7.6	Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected				Region enhanced	Detected in many		hypothalamus: 38.3	Low region specificity	Detected in many			HPA001084	Uncertain										Cluster 65: Brain - Ion transport	Cluster 32: Myeloid leukemia - Oxygen transport	Cluster 45: Plasma cells - Humoral immune response			HPA001084: AB_1078920																		Plasma cells
MZB1	HSPC190, MEDA-7, MGC29506, PACAP, pERp1	ENSG00000170476	Marginal zone B and B1 cell specific protein	Q8WU39	5	139387467-139390081	Predicted secreted proteins	Apoptosis			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		intestine: 89.8;lymphoid tissue: 272.2	Cell type enriched	Detected in many	8	Plasma cells: 4370.8	Low cancer specificity	Detected in many			Not detected	Not detected			Group enriched	Detected in many	5	memory B-cell: 160.4;plasmacytoid DC: 569.3	Group enriched	Detected in many	116	B-cells: 160.4;dendritic cells: 569.3	Cancer enriched	Detected in some	5	Myeloma: 791.0	Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Heart muscle - Plasma cells, Kidney - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Pancreas - Plasma cells, Skeletal muscle - Plasma cells, Skin - Plasma cells, Stomach - Plasma cells, Thyroid - Plasma cells	Not detected	Not detected			Not detected	Not detected			HPA043745, HPA052694	Enhanced		Approved	Golgi apparatus	Secreted to blood				350000	Cluster 3: Plasmacytoid DCs - Unknown function	Cluster 16: Immune cells - Immune response	Cluster 44: Myeloma - Humoral immune response	Cluster 40: Plasma cells - Humoral immune response	Golgi apparatus		HPA043745: AB_10960359, HPA052694: AB_2681919	unprognostic (4.97e-3)	unprognostic (1.75e-2)	unprognostic (4.23e-2)	prognostic favorable (7.27e-4)	unprognostic (2.21e-2)	prognostic favorable (4.60e-5)	unprognostic (6.57e-2)	unprognostic (1.35e-1)	unprognostic (6.45e-3)	unprognostic (7.10e-3)	unprognostic (2.57e-1)	unprognostic (1.55e-1)	prognostic unfavorable (1.15e-8)	unprognostic (7.22e-2)	unprognostic (3.14e-1)	unprognostic (9.46e-2)	unprognostic (7.36e-2)	Plasma cells
