mgi_symbol	gene_id	gene_name
0610010K14Rik	ENSMUSG00000020831	RNASEK-C17orf49
0610010K14Rik	ENSMUSG00000020831	C17orf49
0610012G03Rik	ENSMUSG00000107002	NCBP2AS2
0610030E20Rik	ENSMUSG00000058706	C2orf68
0610040J01Rik	ENSMUSG00000060512	C4orf19
1110002E22Rik	ENSMUSG00000090066	C4orf54
1110004F10Rik	ENSMUSG00000030663	C11orf58
1110017D15Rik	ENSMUSG00000028441	C9orf24
1110032A03Rik	ENSMUSG00000037971	C11orf1
1110032F04Rik	ENSMUSG00000046999	C3orf80
1110038F14Rik	ENSMUSG00000063236	C8orf33
1110051M20Rik	ENSMUSG00000040591	C11orf49
1110059E24Rik	ENSMUSG00000035171	C9orf85
1110059G10Rik	ENSMUSG00000032551	KIAA1143
1110065P20Rik	ENSMUSG00000078570	C1orf122
1190005I06Rik	ENSMUSG00000043687	C16orf74
1500009L16Rik	ENSMUSG00000087651	C12orf75
1520401A03Rik	ENSMUSG00000043747	GREP1
1600012H06Rik	ENSMUSG00000050088	C6orf120
1600014C10Rik	ENSMUSG00000054676	C19orf12
1700001C19Rik	ENSMUSG00000047150	GUCA1ANB
1700001L19Rik	ENSMUSG00000021534	C5orf49
1700001O22Rik	ENSMUSG00000044320	C9orf50
1700001P01Rik	ENSMUSG00000018543	C17orf98
1700003E16Rik	ENSMUSG00000030030	C2orf81
1700003F12Rik	ENSMUSG00000038523	C20orf144
1700007K13Rik	ENSMUSG00000026831	C9orf116
1700008O03Rik	ENSMUSG00000008028	C19orf81
1700010I14Rik	ENSMUSG00000023873	C6orf118
1700011L22Rik	ENSMUSG00000031682	C4orf51
1700011M02Rik	ENSMUSG00000079476	FAM236C
1700011M02Rik	ENSMUSG00000079476	FAM236D
1700011M02Rik	ENSMUSG00000079476	FAM236A
1700011M02Rik	ENSMUSG00000079476	FAM236B
1700012B09Rik	ENSMUSG00000031927	C11orf97
1700012P22Rik	ENSMUSG00000028589	C1orf158
1700013F07Rik	ENSMUSG00000027886	C1orf194
1700013H16Rik	ENSMUSG00000054727	SYCP3
1700016C15Rik	ENSMUSG00000015962	C1orf100
1700016H13Rik	ENSMUSG00000029320	C4orf36
1700016K19Rik	ENSMUSG00000053783	C17orf97
1700017B05Rik	ENSMUSG00000032300	C15orf39
1700017N19Rik	ENSMUSG00000056912	C12orf50
1700018B08Rik	ENSMUSG00000031809	C16orf95
1700019D03Rik	ENSMUSG00000043629	C2orf88
1700019N19Rik	ENSMUSG00000026931	C10orf82
1700020L24Rik	ENSMUSG00000035085	C17orf50
1700021F07Rik	ENSMUSG00000027518	C20orf85
1700022I11Rik	ENSMUSG00000028451	C9orf131
1700024G13Rik	ENSMUSG00000072473	C10orf53
1700025G04Rik	ENSMUSG00000032666	C1orf21
1700028K03Rik	ENSMUSG00000089798	C1orf146
1700028P14Rik	ENSMUSG00000033053	C9orf135
1700029H14Rik	ENSMUSG00000031452	C13orf46
1700029I15Rik	ENSMUSG00000044916	C11orf94
1700029J07Rik	ENSMUSG00000071103	C4orf47
1700030J22Rik	ENSMUSG00000031847	C16orf46
1700030K09Rik	ENSMUSG00000052794	C19orf44
1700034J05Rik	ENSMUSG00000040163	C12orf71
1700037C18Rik	ENSMUSG00000005983	C16orf90
1700037H04Rik	ENSMUSG00000027327	C20orf27
1700040F15Rik	ENSMUSG00000100667	SYCP3
1700057G04Rik	ENSMUSG00000074139	PLSCR1
1700066B19Rik	ENSMUSG00000073598	SMIM33
1700066M21Rik	ENSMUSG00000038323	C2orf69
1700067K01Rik	ENSMUSG00000046408	C19orf67
1700088E04Rik	ENSMUSG00000033029	C22orf23
1700092M07Rik	ENSMUSG00000090840	TEX54
1700093K21Rik	ENSMUSG00000020286	C2orf74
1700094D03Rik	ENSMUSG00000118506	C1orf189
1700102P08Rik	ENSMUSG00000032611	C3orf62
1700113H08Rik	ENSMUSG00000047129	C12orf42
1700123L14Rik	ENSMUSG00000072878	NUP50
1700123O20Rik	ENSMUSG00000040822	C14orf119
1700125H20Rik	ENSMUSG00000018479	C17orf64
1810009A15Rik	ENSMUSG00000071653	C11orf98
1810010H24Rik	ENSMUSG00000078607	C17orf58
