Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
LGALS14	CLC2, PPL13	ENSG00000006659	Galectin 14	Q8TCE9	19	39704481-39709444	Predicted intracellular proteins	Apoptosis			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	29	placenta: 65.5	Cell type enriched	Detected in some	34	Syncytiotrophoblasts: 229.2	Cancer enriched	Detected in single	16	liver cancer: 5.3	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		Gastric cancer: 4.8;Uterine cancer: 4.8										HPA065180			Supported	Nucleoplasm						Cluster 32: T-cells - Unknown function	Cluster 28: Placenta - Pregnancy	Cluster 41: Non-specific - Cilium assembly	Cluster 67: Syncytiotrophoblasts - Pregnancy	Nucleoplasm		HPA065180: 										unprognostic (1.95e-1)								Syncytiotrophoblasts
BCORL1	CXorf10, FLJ11362	ENSG00000085185	BCL6 corepressor like 1	Q5H9F3	X	129981107-130058071	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Transcription, Transcription regulation	Chromatin regulator, Repressor	Autism spectrum disorder, Cancer-related genes, Disease variant, Intellectual disability	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in many			Cell type enriched	Detected in many	7	Syncytiotrophoblasts: 97.3	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in all				Low region specificity	Detected in all			Low region specificity	Detected in all			HPA031775, HPA031777, HPA068568	Uncertain		Approved	Nucleoplasm,Plasma membrane						Cluster 52: Eosinophils - Transcription	Cluster 23: Testis - Cell cycle regulation	Cluster 34: Rabdoid cancer - Embryonic development	Cluster 67: Syncytiotrophoblasts - Pregnancy	Nucleoplasm	Plasma membrane	HPA031775: AB_10602332, HPA031777: AB_10671578, HPA068568: AB_2686007	unprognostic (8.07e-2)	unprognostic (2.78e-2)	unprognostic (7.09e-2)	prognostic unfavorable (2.20e-5)	unprognostic (4.58e-1)	unprognostic (1.68e-3)	unprognostic (1.96e-3)	unprognostic (5.56e-3)	unprognostic (2.39e-1)	unprognostic (8.02e-2)	unprognostic (4.46e-2)	unprognostic (2.04e-1)	prognostic unfavorable (5.00e-4)	unprognostic (9.18e-2)	unprognostic (2.60e-2)	unprognostic (3.09e-1)	unprognostic (1.41e-2)	Syncytiotrophoblasts
CGB2		ENSG00000104818	Chorionic gonadotropin subunit beta 2	Q6NT52	19	49031890-49033238	Predicted intracellular proteins, Predicted secreted proteins		Hormone		Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Tissue enhanced	Detected in single		testis: 1.6	Cell type enriched	Detected in some	9	Syncytiotrophoblasts: 22.3	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		liver cancer: 3.3										HPA038925, HPA038934	Supported				Secreted in other tissues						Cluster 27: Brain & Skin - Unknown function	Cluster 50: L-1236 & L-428 - Unknown function	Cluster 67: Syncytiotrophoblasts - Pregnancy			HPA038925: AB_2676272, HPA038934: AB_2676277										unprognostic (3.05e-2)								Syncytiotrophoblasts
CGB3	CGB	ENSG00000104827	Chorionic gonadotropin subunit beta 3	P0DN86	19	49022869-49024333	Predicted secreted proteins		Hormone		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	4	placenta: 9.8	Cell type enriched	Detected in some	6	Syncytiotrophoblasts: 683.0	Group enriched	Detected in some	5	pancreatic cancer: 2.9;testis cancer: 4.2	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		Brain cancer: 4.1										CAB000042, CAB010884, HPA038925, HPA038934	Enhanced				Secreted to blood						Cluster 28: Placenta - Pregnancy	Cluster 6: BEWO - Unknown function	Cluster 67: Syncytiotrophoblasts - Pregnancy			CAB000042: , CAB010884: AB_259037, HPA038925: AB_2676272, HPA038934: AB_2676277									unprognostic (1.39e-1)		unprognostic (7.88e-2)				unprognostic (6.92e-2)		unprognostic (1.04e-2)	Syncytiotrophoblasts
LGALS13	PLAC8, PP13	ENSG00000105198	Galectin 13	Q9UHV8	19	39602501-39607474	Metabolic proteins, Predicted intracellular proteins	Apoptosis	Hemagglutinin		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	16	placenta: 11.8	Cell type enriched	Detected in some	39	Syncytiotrophoblasts: 734.5	Cancer enriched	Detected in single	4	thyroid cancer: 0.5	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in single	12	testis cancer: 2.1	Testis - Late spermatids									HPA046803			Supported	Nucleoplasm							Cluster 28: Placenta - Pregnancy	Cluster 2: DU4475 - Unknown function	Cluster 67: Syncytiotrophoblasts - Pregnancy	Nucleoplasm		HPA046803: AB_10965990																		Syncytiotrophoblasts
KRT23	CK23, DKFZP434G032, HAIK1, K23, MGC26158	ENSG00000108244	Keratin 23	Q9C075	17	40922700-40937646	Predicted intracellular proteins				Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in many	7	salivary gland: 147.7;skin 1: 172.3	Cell type enriched	Detected in many	6	Syncytiotrophoblasts: 4345.4	Cancer enhanced	Detected in many		urothelial cancer: 61.3	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		Bile duct cancer: 11.2;testis cancer: 7.1	Adipose visceral - Neutrophils, Pancreas - Ductal cells, Prostate - Prostate basal glandular cells, Skin - Keratinocyte (granular), Testis - Early spermatids	Not detected	Not detected			Low region specificity	Detected in many			HPA012050, HPA016959, CAB017091	Approved		Approved	Intermediate filaments,Cytosol					590000	Cluster 52: Eosinophils - Transcription	Cluster 31: Skin - Epidermis development	Cluster 60: Keratinocytes - Epithelial cell function	Cluster 67: Syncytiotrophoblasts - Pregnancy	Intermediate filaments	Cytosol	CAB017091: , HPA012050: AB_1852226, HPA016959: AB_1852228	unprognostic (1.62e-1)	unprognostic (5.29e-2)	unprognostic (4.35e-2)	unprognostic (6.18e-3)	unprognostic (1.45e-2)	unprognostic (2.83e-1)	unprognostic (5.22e-2)	unprognostic (6.84e-3)	unprognostic (2.74e-1)	unprognostic (2.15e-2)	unprognostic (8.96e-2)	unprognostic (1.56e-1)	unprognostic (8.22e-2)	unprognostic (6.78e-2)	unprognostic (1.40e-1)	unprognostic (2.99e-1)	prognostic unfavorable (8.26e-4)	Syncytiotrophoblasts
CRYBA1	CRYB1	ENSG00000108255	Crystallin beta A1	P05813	17	29246859-29254494	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins		Eye lens protein	Cataract, Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	8	brain: 2.1	Cell type enriched	Detected in some	4	Syncytiotrophoblasts: 5.0	Not detected	Not detected			Low region specificity	Detected in some			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in single		testis cancer: 1.0		Group enriched	Detected in some	7	hippocampal formation: 2.7;hypothalamus: 1.2;thalamus: 1.2	Low region specificity	Detected in all			HPA022016	Supported									Cluster 30: Non-specific - Translation	Cluster 70: Brain - Nervous system development	Cluster 6: BEWO - Unknown function	Cluster 70: Basal prostatic cells - Lipid metabolism			HPA022016: AB_2732426	unprognostic (2.89e-2)	unprognostic (1.57e-1)	unprognostic (8.75e-2)	unprognostic (1.37e-1)	unprognostic (9.62e-2)	unprognostic (4.27e-3)	unprognostic (2.08e-1)	unprognostic (5.60e-2)	unprognostic (2.52e-2)	unprognostic (9.90e-2)	unprognostic (5.85e-3)	unprognostic (2.83e-1)	unprognostic (2.09e-6)	unprognostic (1.18e-1)	unprognostic (1.86e-2)	unprognostic (4.31e-2)	unprognostic (6.84e-3)	Syncytiotrophoblasts
KMO		ENSG00000117009	Kynurenine 3-monooxygenase	O15229	1	241532134-241595642	Enzymes, Metabolic proteins, Predicted membrane proteins	Pyridine nucleotide biosynthesis	Monooxygenase, Oxidoreductase		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in many	5	kidney: 31.5;liver: 91.7	Cell type enriched	Detected in many	4	Syncytiotrophoblasts: 273.5	Group enriched	Detected in many	4	breast cancer: 1.6;liver cancer: 3.3;renal cancer: 3.3	Low region specificity	Detected in single			Group enriched	Detected in many	79	classical monocyte: 11.0;intermediate monocyte: 32.3;memory B-cell: 36.1;myeloid DC: 11.3;naive B-cell: 42.0;non-classical monocyte: 33.8;plasmacytoid DC: 24.3	Group enriched	Detected in many	97	B-cells: 42.0;dendritic cells: 24.3;monocytes: 33.8	Group enriched	Detected in many	6	Bone cancer: 28.7;breast cancer: 7.9;Kidney cancer: 10.0;lymphoma: 9.0	Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Kidney - Proximal tubular cells, Testis - Early spermatids	Region enriched	Detected in single	4	thalamus: 1.1	Low region specificity	Detected in many			HPA031115, HPA056942	Enhanced									Cluster 23: Antigen presenting cells - Antigen presentation	Cluster 85: Liver - Metabolism	Cluster 28: Bone cancer CADO-ES1 - Glutamate signalling	Cluster 67: Syncytiotrophoblasts - Pregnancy			HPA031115: AB_10601924, HPA056942: AB_2683281	unprognostic (4.27e-2)	unprognostic (3.35e-2)	unprognostic (3.95e-2)	unprognostic (7.48e-3)	unprognostic (8.37e-3)	unprognostic (2.63e-1)	unprognostic (9.79e-2)	unprognostic (3.65e-1)	unprognostic (2.42e-1)	unprognostic (4.75e-3)	unprognostic (8.07e-2)	unprognostic (1.47e-1)	prognostic unfavorable (6.49e-8)	unprognostic (1.60e-2)	unprognostic (3.65e-2)	unprognostic (3.36e-2)	unprognostic (6.81e-2)	Syncytiotrophoblasts
INSL4	EPIL	ENSG00000120211	Insulin like 4	Q14641	9	5231419-5235304	Predicted secreted proteins		Hormone		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	11	placenta: 15.9	Cell type enriched	Detected in some	14	Syncytiotrophoblasts: 4431.4	Cancer enhanced	Detected in some		lung cancer: 1.5	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		lung cancer: 2.6;testis cancer: 2.0										HPA065145			Approved	Vesicles	Secreted to blood						Cluster 28: Placenta - Pregnancy	Cluster 40: Non-specific - Enzymes	Cluster 67: Syncytiotrophoblasts - Pregnancy	Vesicles		HPA065145: 		unprognostic (9.77e-2)						unprognostic (2.02e-1)		unprognostic (4.66e-1)				unprognostic (7.74e-2)				Syncytiotrophoblasts
PSG8		ENSG00000124467	Pregnancy specific beta-1-glycoprotein 8	Q9UQ74	19	42752686-42855691	Predicted intracellular proteins, Predicted secreted proteins				Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Tissue enriched	Detected in single	24	placenta: 6.5	Cell type enriched	Detected in some	11	Syncytiotrophoblasts: 39.2	Cancer enriched	Detected in single	17	thyroid cancer: 0.8	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		Gastric cancer: 2.8										HPA046327	Supported				Secreted in female reproductive system				55000000		Cluster 28: Placenta - Pregnancy	Cluster 60: Keratinocytes - Epithelial cell function	Cluster 67: Syncytiotrophoblasts - Pregnancy			HPA046327: AB_2679624																unprognostic (1.85e-2)		Syncytiotrophoblasts
