Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
PON1	ESA, PON	ENSG00000005421	Paraoxonase 1	P27169	7	95297676-95324532	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters		Hydrolase	Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	103	liver: 531.8	Cell type enriched	Detected in some	10	Hepatocytes: 433.7	Cancer enriched	Detected in some	78	liver cancer: 97.8	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		liver cancer: 1.0;prostate cancer: 2.7	Liver - Hepatocytes	Not detected	Not detected			Low region specificity	Detected in all			HPA001610	Approved				Secreted to blood			96000000000	17000000000		Cluster 62: Liver - Hemostasis	Cluster 41: Non-specific - Cilium assembly	Cluster 13: Hepatocytes - Oxidoreductase activity			HPA001610: AB_1079656	unprognostic (2.02e-2)	unprognostic (2.41e-2)	unprognostic (3.04e-1)	unprognostic (3.54e-2)	unprognostic (2.70e-1)		prognostic favorable (7.24e-7)	unprognostic (2.24e-1)	unprognostic (1.95e-1)	unprognostic (9.02e-3)	unprognostic (1.76e-3)	unprognostic (3.97e-2)	unprognostic (6.74e-9)	unprognostic (1.09e-3)	unprognostic (2.29e-2)	unprognostic (2.07e-1)	unprognostic (5.54e-3)	Hepatocytes
ABCB4	GBD1, MDR2, MDR3, PFIC-3, PGY3	ENSG00000005471	ATP binding cassette subfamily B member 4	P21439	7	87401696-87480435	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Lipid transport, Transport	Translocase	Disease variant, Intrahepatic cholestasis	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	16	liver: 123.2	Cell type enriched	Detected in some	10	Hepatocytes: 204.6	Cancer enriched	Detected in some	11	liver cancer: 16.3	Low region specificity	Detected in single			Group enriched	Detected in some	5	memory B-cell: 4.4;naive B-cell: 8.1	Lineage enriched	Detected in many	7	B-cells: 8.1	Cancer enhanced	Detected in some		skin cancer: 9.2	Colon - Enteric glia cells, Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes, Skin - Fibroblast_1	Low region specificity	Detected in many							HPA049395, HPA053288	Enhanced		Approved	Nucleoplasm,Plasma membrane,Focal adhesion sites,Cytosol						Cluster 21: B-cells - Adaptive immune response	Cluster 62: Liver - Hemostasis	Cluster 33: Skin cancer - Membrane components	Cluster 13: Hepatocytes - Oxidoreductase activity	Nucleoplasm, Plasma membrane	Focal adhesion sites, Cytosol	HPA049395: AB_2680745, HPA053288: AB_2682102	unprognostic (7.92e-2)	unprognostic (8.87e-2)	unprognostic (1.97e-1)	unprognostic (1.90e-1)	unprognostic (8.95e-2)	unprognostic (1.06e-2)	unprognostic (2.35e-3)	unprognostic (9.91e-2)	unprognostic (3.53e-1)	unprognostic (1.19e-1)	unprognostic (2.44e-3)	unprognostic (8.43e-2)	unprognostic (2.83e-2)	unprognostic (8.01e-3)	unprognostic (7.12e-2)	unprognostic (2.11e-2)	unprognostic (2.47e-1)	Hepatocytes
FMO3	FMOII	ENSG00000007933	Flavin containing dimethylaniline monoxygenase 3	P31513	1	171090901-171117819	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins		Monooxygenase, Oxidoreductase	Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	41	liver: 1123.3	Cell type enriched	Detected in some	31	Hepatocytes: 411.6	Cancer enriched	Detected in many	13	liver cancer: 94.9	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		liver cancer: 3.5	Colon - Endothelial cells, Liver - Hepatocytes, Lung - Fibroblast_1	Not detected	Not detected			Not detected	Not detected			HPA013750	Enhanced										Cluster 62: Liver - Hemostasis	Cluster 59: Fibroblasts - Metabolism	Cluster 13: Hepatocytes - Oxidoreductase activity			HPA013750: AB_1848968	unprognostic (1.87e-2)	unprognostic (6.30e-2)	unprognostic (1.00e-1)	unprognostic (6.81e-3)	unprognostic (2.64e-1)	unprognostic (1.31e-3)	prognostic favorable (3.46e-4)	prognostic favorable (5.60e-5)	unprognostic (2.95e-1)	unprognostic (9.34e-2)	unprognostic (3.02e-1)	unprognostic (7.21e-2)	prognostic unfavorable (1.13e-4)	unprognostic (1.84e-1)	unprognostic (2.59e-1)	unprognostic (3.45e-1)	unprognostic (7.27e-2)	Hepatocytes
MASP2	MASP1P1	ENSG00000009724	Mannan binding lectin serine peptidase 2	O00187	1	11026523-11047239	Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins	Complement pathway, Immunity, Innate immunity	Hydrolase, Protease, Serine protease	Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	64	liver: 476.5	Cell type enriched	Detected in some	40	Hepatocytes: 641.9	Cancer enriched	Detected in some	71	liver cancer: 41.9	Region enriched	Detected in single	9	cerebellum: 6.4	Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in many			Liver - Hepatocytes	Not detected	Not detected			Low region specificity	Detected in all			HPA029313, HPA029314	Uncertain		Supported	Golgi apparatus	Secreted to blood			340000000	820000000		Cluster 62: Liver - Hemostasis	Cluster 35: Liver cancer - Metabolism	Cluster 13: Hepatocytes - Oxidoreductase activity	Golgi apparatus		HPA029313: AB_10669654, HPA029314: AB_10670029	unprognostic (7.00e-2)	unprognostic (8.37e-2)	unprognostic (2.75e-2)	unprognostic (2.89e-1)	unprognostic (1.86e-1)	unprognostic (3.26e-3)	prognostic favorable (1.60e-4)	unprognostic (2.92e-3)	unprognostic (3.13e-2)	unprognostic (4.04e-2)	unprognostic (6.90e-3)	unprognostic (8.30e-4)	unprognostic (7.14e-2)	unprognostic (3.91e-1)	unprognostic (2.62e-2)	unprognostic (1.05e-1)	unprognostic (1.09e-4)	Hepatocytes
NPC1L1	SLC65A2	ENSG00000015520	NPC1 like intracellular cholesterol transporter 1	Q9UHC9	7	44512535-44541330	FDA approved drug targets, Metabolic proteins, Predicted membrane proteins, Transporters	Cholesterol metabolism, Lipid metabolism, Steroid metabolism, Sterol metabolism, Transport		FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	9	intestine: 54.2;liver: 48.1	Cell type enriched	Detected in some	4	Hepatocytes: 33.9	Group enriched	Detected in many	5	liver cancer: 8.5;pancreatic cancer: 7.8;stomach cancer: 4.8	Low region specificity	Detected in single			Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in some	5	Gastric cancer: 9.0;liver cancer: 7.8	Kidney - Proximal tubular cells, Testis - Late spermatids	Not detected	Not detected			Low region specificity	Detected in many			CAB070127, CAB070128	Enhanced										Cluster 41: Intestine & Liver - Lipid metabolism	Cluster 19: Stomach & Colon cancer - Absorption	Cluster 29: Hepatocytes - Metabolism			CAB070127: AB_10002744, CAB070128: AB_10000815	unprognostic (2.96e-2)	unprognostic (2.23e-1)	unprognostic (7.57e-3)	unprognostic (8.43e-2)	unprognostic (1.62e-1)	unprognostic (2.07e-1)	unprognostic (9.40e-2)	unprognostic (6.75e-2)	unprognostic (1.44e-1)	unprognostic (1.96e-2)	unprognostic (4.51e-2)	unprognostic (7.59e-2)	unprognostic (8.08e-10)	unprognostic (1.64e-2)	unprognostic (2.83e-1)	unprognostic (3.62e-2)	unprognostic (5.83e-2)	Hepatocytes
CPS1		ENSG00000021826	Carbamoyl-phosphate synthase 1	P31327	2	210477682-210679107	Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	Urea cycle	Allosteric enzyme, Ligase	Disease variant, FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	5	liver: 1063.2	Cell type enriched	Detected in many	16	Hepatocytes: 1781.9	Cancer enriched	Detected in many	8	liver cancer: 136.1	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		cervical cancer: 126.2	Testis - Early spermatids, Testis - Late spermatids	Not detected	Not detected			Not detected	Not detected			CAB003781, HPA021400	Enhanced		Supported	Nucleoli,Nucleoli rim					8300000		Cluster 85: Liver - Metabolism	Cluster 40: Non-specific - Enzymes	Cluster 13: Hepatocytes - Oxidoreductase activity	Nucleoli, Nucleoli rim		CAB003781: , HPA021400: AB_1847197	unprognostic (1.67e-2)	unprognostic (3.72e-2)	unprognostic (4.02e-2)	unprognostic (7.21e-7)	unprognostic (3.81e-2)	unprognostic (2.52e-1)	prognostic favorable (6.93e-5)	unprognostic (1.23e-2)	unprognostic (2.65e-1)	unprognostic (1.35e-2)	unprognostic (5.38e-2)	unprognostic (1.94e-3)	unprognostic (2.38e-4)	unprognostic (5.90e-2)	unprognostic (1.13e-1)	unprognostic (3.14e-2)	unprognostic (3.74e-2)	Hepatocytes
C8B		ENSG00000021852	Complement C8 beta chain	P07358	1	56929207-56966140	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Complement alternate pathway, Complement pathway, Cytolysis, Immunity, Innate immunity			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	156	liver: 840.0	Cell type enriched	Detected in some	8	Hepatocytes: 250.0	Cancer enriched	Detected in some	181	liver cancer: 107.0	Not detected	Not detected			Immune cell enriched	Detected in single	22	basophil: 2.1	Lineage enriched	Detected in single	22	granulocytes: 2.1	Cancer enriched	Detected in single	14	liver cancer: 1.3	Liver - Hepatocytes, Testis - Late spermatids	Not detected	Not detected			Low region specificity	Detected in many			HPA023694	Supported				Secreted to blood				6700000000	Cluster 41: Basophils - Cellular respiration	Cluster 60: Liver - Hemostasis & Lipid metabolism	Cluster 35: Liver cancer - Metabolism	Cluster 29: Hepatocytes - Metabolism			HPA023694: AB_1847128				unprognostic (6.65e-2)			prognostic favorable (9.31e-5)	unprognostic (2.37e-1)			unprognostic (2.37e-1)			unprognostic (1.29e-2)	unprognostic (6.57e-2)	unprognostic (5.12e-3)		Hepatocytes
ABCC2	CMOAT, cMRP, DJS, MRP2	ENSG00000023839	ATP binding cassette subfamily C member 2	Q92887	10	99782640-99852594	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters	Lipid transport, Transport	Translocase	Cancer-related genes, Disease variant, FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		intestine: 40.2;liver: 121.7	Cell type enriched	Detected in many	6	Hepatocytes: 215.9	Cancer enriched	Detected in many	5	liver cancer: 24.0	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		liver cancer: 68.9;Rhabdoid: 77.1	Kidney - Proximal tubular cells, Testis - Early spermatids	Not detected	Not detected			Low region specificity	Detected in many			HPA071145	Enhanced										Cluster 41: Intestine & Liver - Lipid metabolism	Cluster 61: Liver - Metabolism	Cluster 13: Hepatocytes - Oxidoreductase activity			HPA071145: 	unprognostic (1.49e-3)	unprognostic (5.92e-2)	unprognostic (1.59e-1)	unprognostic (3.67e-1)	unprognostic (1.93e-2)	unprognostic (2.33e-1)	unprognostic (2.51e-1)	unprognostic (7.15e-3)	unprognostic (5.68e-2)	unprognostic (2.01e-1)	unprognostic (4.30e-1)	unprognostic (1.40e-3)	prognostic unfavorable (1.93e-5)	unprognostic (1.31e-1)	unprognostic (3.22e-2)	unprognostic (2.95e-1)	unprognostic (1.26e-2)	Hepatocytes
HSD17B6	HSE, RODH, SDR9C6	ENSG00000025423	Hydroxysteroid 17-beta dehydrogenase 6	O14756	12	56752161-56787790	Enzymes, Metabolic proteins, Predicted intracellular proteins	Lipid metabolism, Steroid metabolism	Oxidoreductase		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	26	liver: 1804.3	Cell type enriched	Detected in many	7	Hepatocytes: 1769.5	Cancer enriched	Detected in many	5	liver cancer: 170.3	Low region specificity	Detected in all			Low immune cell specificity	Detected in some			Low lineage specificity	Detected in single			Low cancer specificity	Detected in many			Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Mesothelial cells, Kidney - Fibroblasts, Liver - Hepatocytes, Liver - Hepatocytes, Skin - Smooth muscle cells	Not detected	Not detected			Low region specificity	Detected in all			HPA059141	Enhanced		Approved	Nucleoplasm,Vesicles						Cluster 32: T-cells - Unknown function	Cluster 62: Liver - Hemostasis	Cluster 41: Non-specific - Cilium assembly	Cluster 13: Hepatocytes - Oxidoreductase activity	Nucleoplasm, Vesicles		HPA059141: AB_2683922	unprognostic (7.70e-2)	unprognostic (8.76e-2)	unprognostic (5.08e-2)	unprognostic (1.92e-2)	unprognostic (2.01e-1)	unprognostic (3.79e-2)	prognostic favorable (6.32e-4)	unprognostic (1.06e-2)	unprognostic (3.21e-1)	unprognostic (1.44e-1)	unprognostic (1.35e-1)	unprognostic (6.74e-2)	unprognostic (2.50e-10)	unprognostic (1.26e-1)	unprognostic (1.79e-1)	unprognostic (1.08e-1)	unprognostic (1.05e-1)	Hepatocytes
ITIH1	H1P, IATIH, ITIH	ENSG00000055957	Inter-alpha-trypsin inhibitor heavy chain 1	P19827	3	52777595-52792068	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins		Protease inhibitor, Serine protease inhibitor		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	782	liver: 1504.9	Cell type enriched	Detected in some	18	Hepatocytes: 803.2	Cancer enriched	Detected in some	598	liver cancer: 329.1	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Liver - Hepatocytes	Not detected	Not detected			Not detected	Not detected			HPA041639, HPA042049	Approved		Approved	Vesicles	Secreted to blood			4490000	59000000000	Cluster 25: Monocytes - Inflammatory response	Cluster 62: Liver - Hemostasis	Cluster 35: Liver cancer - Metabolism	Cluster 29: Hepatocytes - Metabolism	Vesicles		HPA041639: AB_10796349, HPA042049: AB_10797379	unprognostic (1.87e-4)	unprognostic (1.31e-3)	unprognostic (2.38e-1)	unprognostic (8.55e-2)	unprognostic (1.03e-1)	unprognostic (2.64e-3)	prognostic favorable (1.89e-5)	unprognostic (2.27e-2)	unprognostic (1.70e-1)	unprognostic (1.30e-1)	unprognostic (2.91e-2)	unprognostic (8.45e-2)	unprognostic (4.53e-4)	unprognostic (4.02e-3)	unprognostic (5.70e-3)	unprognostic (2.08e-1)	unprognostic (2.24e-2)	Hepatocytes
