Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
CHRNA3		ENSG00000080644	Cholinergic receptor nicotinic alpha 3 subunit	P32297	15	78593052-78621295	Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins	Ion transport, Transport	Ion channel, Ligand-gated ion channel, Receptor	Disease variant, FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	5	adrenal gland: 39.3;lymphoid tissue: 65.8;retina: 53.5	Cell type enriched	Detected in some	26	Cone photoreceptor cells: 413.6	Cancer enhanced	Detected in some		testis cancer: 1.6	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	19	Neuroblastoma: 159.6	Colon - Colon enteroendocrine cells	Low region specificity	Detected in many			Low region specificity	Detected in all			HPA029430	Enhanced		Supported	Nuclear speckles,Plasma membrane							Cluster 20: Retina & Lymphoid tissues - Unknown function	Cluster 21: Neuroblastoma - Neuronal signaling	Cluster 44: Photoreceptor cells - Visual perception	Plasma membrane	Nuclear speckles	HPA029430: AB_10603785	unprognostic (2.28e-1)	unprognostic (3.45e-1)	unprognostic (2.58e-2)	unprognostic (2.36e-1)	unprognostic (1.32e-1)	unprognostic (1.12e-1)	unprognostic (9.16e-3)	unprognostic (1.97e-1)	unprognostic (4.28e-2)	unprognostic (7.20e-2)	unprognostic (3.12e-1)	unprognostic (1.01e-1)	unprognostic (1.86e-4)	unprognostic (2.65e-3)	unprognostic (2.76e-1)	unprognostic (1.53e-1)	unprognostic (4.48e-1)	Cone photoreceptor cells
PDE6C	ACHM5, COD4, PDEA2	ENSG00000095464	Phosphodiesterase 6C	P51160	10	93612537-93666010	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins	Sensory transduction, Vision	Hydrolase	Disease variant	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	26	retina: 23.1	Cell type enriched	Detected in some	22	Cone photoreceptor cells: 136.1	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected				Not detected	Not detected			Low region specificity	Detected in many														Cluster 79: Retina - Phototransduction	Cluster 47: Retina - Visual perception	Cluster 44: Photoreceptor cells - Visual perception				unprognostic (1.39e-3)	unprognostic (7.41e-3)	unprognostic (2.61e-2)	unprognostic (2.24e-1)	unprognostic (3.17e-2)	unprognostic (5.23e-3)	unprognostic (2.46e-3)	unprognostic (2.81e-3)	unprognostic (9.68e-2)	unprognostic (2.64e-1)	unprognostic (1.51e-2)	unprognostic (2.96e-3)	unprognostic (2.19e-7)	unprognostic (1.19e-1)	unprognostic (6.61e-2)	unprognostic (1.81e-1)	unprognostic (1.80e-3)	Cone photoreceptor cells
OPN1LW	CBBM, CBP, COD5, RCP	ENSG00000102076	Opsin 1, long wave sensitive	P04000	X	154144243-154159032	Disease related genes, G-protein coupled receptors, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Sensory transduction, Vision	G-protein coupled receptor, Photoreceptor protein, Receptor, Retinal protein, Transducer	Disease variant	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	2568	retina: 256.7	Cell type enriched	Detected in some	25	Cone photoreceptor cells: 1981.8	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected																							Cluster 79: Retina - Phototransduction		Cluster 44: Photoreceptor cells - Visual perception													unprognostic (6.05e-2)								Cone photoreceptor cells
CALB1	CALB	ENSG00000104327	Calbindin 1	P05937	8	90058608-90095475	Predicted intracellular proteins				Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	5	kidney: 320.6	Cell type enriched	Detected in some	4	Cone photoreceptor cells: 212.0	Low cancer specificity	Detected in many			Low region specificity	Detected in all			Immune cell enhanced	Detected in some		neutrophil: 2.8	Group enriched	Detected in many	6	granulocytes: 2.8;monocytes: 1.4	Low cancer specificity	Detected in all			Colon - Colon enteroendocrine cells	Region enhanced	Detected in all		cerebellum: 430.7	Group enriched	Detected in all	4	basal ganglia: 49.7;cerebellum: 119.6	CAB002138, HPA023099, HPA056734	Enhanced		Approved	Vesicles						Cluster 9: Neutrophils - Innate immune response	Cluster 7: Kidney - Transmembrane transport	Cluster 10: Ovarian & Endometrial cancers - Unknown function	Cluster 44: Photoreceptor cells - Visual perception	Vesicles		CAB002138: AB_563448, HPA023099: AB_1845859, HPA056734: AB_2683220	unprognostic (2.19e-1)	unprognostic (2.28e-3)	unprognostic (2.61e-2)	prognostic unfavorable (1.60e-4)	unprognostic (1.82e-1)	unprognostic (5.39e-2)	unprognostic (2.05e-1)	unprognostic (1.27e-1)	unprognostic (3.49e-2)	unprognostic (1.37e-2)	unprognostic (7.36e-2)	unprognostic (1.59e-1)	unprognostic (9.01e-2)	unprognostic (2.11e-1)	unprognostic (7.88e-2)	unprognostic (2.24e-1)	unprognostic (1.42e-1)	Cone photoreceptor cells
GNB3		ENSG00000111664	G protein subunit beta 3	P16520	12	6839954-6847393	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins		Transducer	Congenital stationary night blindness, Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	12	retina: 426.5	Cell type enriched	Detected in many	4	Cone photoreceptor cells: 2424.7	Cancer enhanced	Detected in some		testis cancer: 3.1	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		Brain cancer: 18.9	Skeletal muscle - Fibroblasts	Low region specificity	Detected in some			Region enhanced	Detected in some		cerebellum: 5.1	HPA040736	Uncertain		Approved	Golgi apparatus,Plasma membrane						Cluster 43: B-cells - Humoral immune response	Cluster 79: Retina - Phototransduction	Cluster 47: Retina - Visual perception	Cluster 44: Photoreceptor cells - Visual perception	Plasma membrane	Golgi apparatus	HPA040736: AB_2677106	unprognostic (3.86e-2)	unprognostic (1.58e-1)	unprognostic (4.96e-2)	unprognostic (8.75e-2)	unprognostic (2.53e-2)	unprognostic (5.74e-3)	unprognostic (5.98e-2)	unprognostic (4.43e-3)	unprognostic (1.19e-1)	unprognostic (1.98e-1)	unprognostic (2.25e-5)	unprognostic (3.21e-2)	unprognostic (4.77e-11)	unprognostic (2.43e-1)	unprognostic (6.48e-2)	unprognostic (1.36e-1)	unprognostic (1.07e-2)	Cone photoreceptor cells
GUCA1B	GCAP2, RP48	ENSG00000112599	Guanylate cyclase activator 1B	Q9UMX6	6	42183284-42194956	Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters	Sensory transduction, Vision		Disease variant, Retinitis pigmentosa	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	99	retina: 466.0	Cell type enriched	Detected in many	4	Cone photoreceptor cells: 2259.3	Low cancer specificity	Detected in many			Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in many				Low region specificity	Detected in single			Not detected	Not detected			HPA055479	Enhanced										Cluster 79: Retina - Phototransduction	Cluster 22: Rhabdoid cancers - Neuronal signaling	Cluster 44: Photoreceptor cells - Visual perception			HPA055479: AB_2732598	unprognostic (1.61e-1)	unprognostic (3.28e-1)	unprognostic (1.14e-6)	unprognostic (5.39e-2)	unprognostic (1.73e-2)	unprognostic (2.87e-3)	unprognostic (6.06e-3)	unprognostic (1.12e-1)	unprognostic (1.34e-1)	unprognostic (5.57e-1)	unprognostic (1.66e-1)	unprognostic (1.72e-2)	unprognostic (3.28e-7)	unprognostic (4.50e-2)	unprognostic (2.20e-1)	unprognostic (1.76e-2)	unprognostic (2.59e-3)	Cone photoreceptor cells
GRK7	GPRK7	ENSG00000114124	G protein-coupled receptor kinase 7	Q8WTQ7	3	141778148-141818490	Enzymes, Metabolic proteins, Predicted intracellular proteins	Sensory transduction, Vision	Kinase, Serine/threonine-protein kinase, Transferase		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	19	retina: 11.3	Cell type enriched	Detected in some	8	Cone photoreceptor cells: 131.0	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected								Not detected	Not detected			HPA075093, HPA078232	Enhanced		Uncertain	Golgi apparatus						Cluster 1: Neutrophils - Mixed function	Cluster 79: Retina - Phototransduction		Cluster 44: Photoreceptor cells - Visual perception	Golgi apparatus		HPA075093: , HPA078232: 	unprognostic (1.11e-1)	unprognostic (1.70e-2)	unprognostic (3.35e-3)	unprognostic (1.22e-2)	unprognostic (1.13e-1)	unprognostic (1.60e-1)	unprognostic (1.39e-2)	unprognostic (5.08e-2)	unprognostic (1.21e-1)	unprognostic (1.31e-2)	unprognostic (3.46e-2)	unprognostic (1.20e-1)	unprognostic (2.53e-8)	unprognostic (3.08e-1)	unprognostic (1.99e-1)	unprognostic (3.11e-1)	unprognostic (2.91e-1)	Cone photoreceptor cells
ARR3	ARRX	ENSG00000120500	Arrestin 3	P36575	X	70268305-70281840	Disease related genes, Human disease related genes, Predicted intracellular proteins	Sensory transduction, Vision		Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	170	retina: 392.2	Cell type enriched	Detected in some	28	Cone photoreceptor cells: 5001.1	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in single			Skin - Sebaceous gland cells	Low region specificity	Detected in single			Not detected	Not detected			HPA063129	Enhanced		Approved	Golgi apparatus							Cluster 79: Retina - Phototransduction	Cluster 47: Retina - Visual perception	Cluster 44: Photoreceptor cells - Visual perception	Golgi apparatus		HPA063129: AB_2732696	unprognostic (1.48e-2)	unprognostic (1.65e-1)	unprognostic (1.70e-2)	unprognostic (5.37e-2)	unprognostic (2.82e-1)	unprognostic (1.37e-2)	unprognostic (2.06e-2)	unprognostic (1.22e-1)	unprognostic (1.35e-2)	unprognostic (8.09e-2)	unprognostic (1.33e-1)	unprognostic (4.02e-3)	unprognostic (2.77e-7)	unprognostic (8.64e-2)	unprognostic (6.53e-2)	unprognostic (6.06e-2)	unprognostic (1.43e-1)	Cone photoreceptor cells
OPN1SW	BCP, BOP, CBT	ENSG00000128617	Opsin 1, short wave sensitive	P03999	7	128772485-128775794	Disease related genes, G-protein coupled receptors, Human disease related genes, Potential drug targets, Predicted membrane proteins	Sensory transduction, Vision	G-protein coupled receptor, Photoreceptor protein, Receptor, Retinal protein, Transducer	Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	84	retina: 41.0	Cell type enriched	Detected in some	20	Cone photoreceptor cells: 86.2	Low cancer specificity	Detected in all			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Kidney - Endothelial cells, Prostate - Smooth muscle cells	Not detected	Not detected			Not detected	Not detected			HPA013562, HPA014083	Enhanced		Approved	Nucleoplasm,Cytokinetic bridge,Cytosol		Yes					Cluster 79: Retina - Phototransduction	Cluster 20: Connective tissue cells - ECM organization	Cluster 44: Photoreceptor cells - Visual perception	Nucleoplasm, Cytosol	Cytokinetic bridge	HPA013562: AB_2668850, HPA014083: AB_2668938	unprognostic (2.88e-1)	unprognostic (5.17e-2)	unprognostic (2.22e-2)	unprognostic (1.33e-2)	unprognostic (2.55e-2)	unprognostic (2.16e-1)	prognostic unfavorable (8.50e-5)	unprognostic (1.13e-1)	unprognostic (1.27e-1)	unprognostic (6.33e-2)	unprognostic (3.79e-1)	unprognostic (6.05e-2)	prognostic unfavorable (2.26e-8)	prognostic unfavorable (5.98e-8)	unprognostic (2.53e-1)	unprognostic (8.99e-2)	prognostic unfavorable (9.33e-4)	Cone photoreceptor cells
GNAT2	ACHM4	ENSG00000134183	G protein subunit alpha transducin 2	P19087	1	109603091-109619929	Disease related genes, Human disease related genes, Predicted intracellular proteins	Sensory transduction, Vision	Transducer		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	21	retina: 78.8	Cell type enriched	Detected in some	25	Cone photoreceptor cells: 325.7	Not detected	Not detected			Low region specificity	Detected in single			Group enriched	Detected in some	4	basophil: 2.3;eosinophil: 2.5;neutrophil: 3.7	Lineage enriched	Detected in single	5	granulocytes: 3.7	Low cancer specificity	Detected in many				Not detected	Not detected			Low region specificity	Detected in all													Cluster 45: Eosinophils - Innate immune response	Cluster 79: Retina - Phototransduction	Cluster 47: Retina - Visual perception	Cluster 44: Photoreceptor cells - Visual perception																					Cone photoreceptor cells
