Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
ROS1	c-ros-1, MCF3, ROS	ENSG00000047936	ROS proto-oncogene 1, receptor tyrosine kinase	P08922	6	117287353-117425942	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins		Kinase, Receptor, Transferase, Tyrosine-protein kinase	Cancer-related genes, FDA approved drug targets, Proto-oncogene	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	18	epididymis: 58.6;lung: 31.7	Cell type enriched	Detected in some	8	Alveolar cells type 2: 141.2	Cancer enriched	Detected in some	13	lung cancer: 6.9	Region enriched	Detected in single	4	cerebral cortex: 2.4	Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		Bone cancer: 8.8	Lung - Alveolar cells type 2, Skin - Sebaceous gland cells	Not detected	Not detected			Not detected	Not detected			HPA049098, HPA072424	Uncertain		Approved	Vesicles							Cluster 30: Epididymis - Antimicrobial activity	Cluster 3: HUVEC & TIME - Signal transduction	Cluster 41: Alveolar cells - Lung function	Vesicles		HPA049098: AB_2680628, HPA072424: AB_2686519	unprognostic (8.18e-2)	unprognostic (4.64e-3)	unprognostic (1.60e-1)	unprognostic (2.37e-2)	unprognostic (7.57e-2)	unprognostic (2.05e-2)	unprognostic (1.57e-1)	unprognostic (1.79e-1)	unprognostic (2.79e-2)	unprognostic (1.00e-2)	unprognostic (2.42e-1)	unprognostic (5.20e-2)	unprognostic (1.56e-12)	unprognostic (1.09e-2)	unprognostic (2.81e-1)	unprognostic (1.91e-1)	unprognostic (2.12e-1)	Alveolar cells type 2
LAMP3	CD208, DC-LAMP, DCLAMP, LAMP, TSC403	ENSG00000078081	Lysosomal associated membrane protein 3	Q9UQV4	3	183122215-183163839	CD markers, Predicted intracellular proteins, Predicted membrane proteins	Adaptive immunity, Host-virus interaction, Immunity			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	7	lung: 219.7	Cell type enriched	Detected in many	5	Alveolar cells type 2: 437.3	Cancer enhanced	Detected in many		lung cancer: 27.6	Not detected	Not detected			Immune cell enhanced	Detected in many		eosinophil: 5.6	Group enriched	Detected in many	8	granulocytes: 5.6;T-cells: 4.8	Low cancer specificity	Detected in many			Lung - Alveolar cells type 2, Testis - Early spermatids									CAB025133, HPA051467	Enhanced		Enhanced	Vesicles					59000	Cluster 13: T-cells - Unknown function	Cluster 19: Lung - Lung function	Cluster 30: Non-specific - Antiviral immune response	Cluster 41: Alveolar cells - Lung function	Vesicles		CAB025133: , HPA051467: AB_2681495	unprognostic (1.43e-3)	unprognostic (2.06e-2)	unprognostic (1.70e-1)	unprognostic (2.99e-3)	unprognostic (1.30e-2)	unprognostic (2.15e-1)	unprognostic (7.67e-2)	unprognostic (8.64e-2)	unprognostic (4.95e-2)	prognostic favorable (9.90e-4)	unprognostic (1.80e-3)	unprognostic (5.80e-2)	prognostic unfavorable (1.89e-7)	unprognostic (3.12e-1)	unprognostic (4.13e-2)	unprognostic (8.35e-2)	unprognostic (1.29e-1)	Alveolar cells type 2
CTSH	ACC-4, ACC-5, ACC4, ACC5, CPSB	ENSG00000103811	Cathepsin H	P09668	15	78921058-78949574	Cancer-related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins		Hydrolase, Protease, Thiol protease	Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in all		lung: 349.6	Cell type enriched	Detected in all	4	Alveolar cells type 2: 1718.6	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Group enriched	Detected in many	4	classical monocyte: 208.5;intermediate monocyte: 137.7;memory B-cell: 83.3;myeloid DC: 183.6;naive B-cell: 56.0;non-classical monocyte: 94.8	Group enriched	Detected in all	5	B-cells: 83.3;dendritic cells: 183.6;monocytes: 208.5	Low cancer specificity	Detected in all			Breast - Fibroblasts, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skin - Keratinocyte (granular)	Low region specificity	Detected in all			Low region specificity	Detected in all			CAB000458, HPA003524	Enhanced		Supported	Vesicles,Cytosol,Cytoplasmic bodies	Intracellular and membrane				8700000	Cluster 25: Monocytes - Inflammatory response	Cluster 87: Intestine & Kidney - Transmembrane transport	Cluster 60: Keratinocytes - Epithelial cell function	Cluster 41: Alveolar cells - Lung function	Vesicles, Cytosol, Cytoplasmic bodies		CAB000458: , HPA003524: AB_1846075	unprognostic (6.47e-2)	unprognostic (4.65e-3)	unprognostic (1.05e-1)	prognostic favorable (6.90e-4)	unprognostic (4.37e-2)	unprognostic (1.93e-1)	unprognostic (7.18e-2)	unprognostic (3.30e-3)	unprognostic (2.22e-1)	unprognostic (5.96e-2)	unprognostic (4.10e-2)	unprognostic (3.89e-2)	unprognostic (6.63e-3)	unprognostic (3.83e-1)	unprognostic (4.42e-2)	unprognostic (2.70e-3)	unprognostic (1.79e-3)	Alveolar cells type 2
SFTPA1	COLEC4, SFTP1, SP-A, SP-A1	ENSG00000122852	Surfactant protein A1	Q8IWL2	10	79610939-79615455	Disease related genes, Human disease related genes, Predicted secreted proteins	Gaseous exchange		Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	1048	lung: 7084.8	Cell type enriched	Detected in some	22	Alveolar cells type 2: 13336.5	Cancer enriched	Detected in some	25	lung cancer: 706.4	Not detected	Not detected			Immune cell enriched	Detected in single	27	plasmacytoid DC: 2.7	Lineage enriched	Detected in single	27	dendritic cells: 2.7	Cancer enriched	Detected in single	9	lung cancer: 6.8	Lung - Alveolar cells type 2									CAB016793, HPA042638, HPA045752, HPA049368	Supported				Secreted in other tissues					Cluster 3: Plasmacytoid DCs - Unknown function	Cluster 19: Lung - Lung function	Cluster 46: Non-specific - Unknown function	Cluster 41: Alveolar cells - Lung function			CAB016793: , HPA042638: AB_2678095, HPA045752: AB_2679442, HPA049368: AB_2680731						unprognostic (5.83e-4)		unprognostic (1.17e-1)			unprognostic (3.38e-2)	unprognostic (4.24e-1)		unprognostic (3.47e-2)		unprognostic (9.09e-2)		Alveolar cells type 2
SFTPD	COLEC7, SFTP4, SP-D	ENSG00000133661	Surfactant protein D	P35247	10	79937467-79982614	Predicted secreted proteins	Gaseous exchange, Immunity, Innate immunity			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	26	lung: 507.9	Cell type enriched	Detected in many	6	Alveolar cells type 2: 1426.4	Cancer enriched	Detected in many	16	lung cancer: 106.4	Low region specificity	Detected in all			Group enriched	Detected in some	12	intermediate monocyte: 10.0;non-classical monocyte: 36.3	Lineage enriched	Detected in many	18	monocytes: 36.3	Cancer enhanced	Detected in some		cervical cancer: 1.8	Lung - Alveolar cells type 2, Skin - Keratinocyte (other)	Not detected	Not detected			Low region specificity	Detected in some			CAB004578, HPA044582, HPA056768	Enhanced				Secreted in other tissues				8200000	Cluster 51: Monocytes - Innate immune response	Cluster 19: Lung - Lung function	Cluster 47: Retina - Visual perception	Cluster 41: Alveolar cells - Lung function			CAB004578: AB_628276, HPA044582: AB_2679004, HPA056768: AB_2683232	unprognostic (3.81e-5)	unprognostic (7.00e-2)	unprognostic (1.19e-2)	unprognostic (1.41e-2)	unprognostic (4.78e-2)	unprognostic (1.29e-1)	unprognostic (1.66e-3)	unprognostic (6.83e-2)	unprognostic (3.85e-1)	unprognostic (2.23e-1)	unprognostic (5.29e-2)	unprognostic (2.57e-1)	unprognostic (4.70e-2)	unprognostic (2.57e-2)	unprognostic (2.38e-1)	unprognostic (1.45e-1)	unprognostic (8.86e-2)	Alveolar cells type 2
ALPL	HOPS, TNALP, TNAP, TNSALP	ENSG00000162551	Alkaline phosphatase, biomineralization associated	P05186	1	21509397-21578410	Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Biomineralization	Hydrolase	Cancer-related genes, Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in all		adrenal gland: 60.7	Cell type enriched	Detected in many	7	Alveolar cells type 2: 304.5	Cancer enhanced	Detected in all		testis cancer: 199.6	Low region specificity	Detected in all			Immune cell enriched	Detected in some	90	neutrophil: 379.1	Lineage enriched	Detected in many	139	granulocytes: 379.1	Group enriched	Detected in many	5	Bone cancer: 80.3;Gallbladder cancer: 20.3;ovarian cancer: 25.4;Sarcoma: 33.4;testis cancer: 48.1	Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Skeletal muscle - Neutrophils, Testis - Spermatogonia	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA007105, HPA008765, CAB020829	Enhanced		Approved	Cytosol	Intracellular and membrane				13000000	Cluster 9: Neutrophils - Innate immune response	Cluster 32: Brain & Lymphoid tissue - Unknown function	Cluster 42: Sarcoma - Muscle contraction	Cluster 41: Alveolar cells - Lung function	Cytosol		CAB020829: , HPA007105: AB_1078137, HPA008765: AB_1078138	unprognostic (3.89e-2)	unprognostic (1.27e-1)	unprognostic (5.57e-2)	unprognostic (1.19e-1)	prognostic unfavorable (7.57e-4)	unprognostic (3.05e-3)	unprognostic (6.50e-3)	unprognostic (1.01e-1)	prognostic unfavorable (7.08e-4)	unprognostic (1.17e-2)	unprognostic (2.48e-3)	unprognostic (1.74e-1)	unprognostic (7.28e-2)	unprognostic (1.73e-2)	unprognostic (2.27e-1)	unprognostic (9.70e-3)	unprognostic (2.58e-1)	Alveolar cells type 2
SFTPC	BRICD6, PSP-C, SFTP2, SMDP2, SP-C	ENSG00000168484	Surfactant protein C	P11686	8	22156913-22164479	Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Gaseous exchange		Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	795	lung: 18462.2	Cell type enriched	Detected in some	26	Alveolar cells type 2: 95842.3	Cancer enriched	Detected in some	218	lung cancer: 226.3	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in some	5	Sarcoma: 1.7;skin cancer: 1.3	Lung - Alveolar cells type 2, Testis - Late spermatids	Low region specificity	Detected in many			Low region specificity	Detected in all			HPA010928	Enhanced				Secreted in other tissues						Cluster 19: Lung - Lung function	Cluster 6: BEWO - Unknown function	Cluster 41: Alveolar cells - Lung function			HPA010928: AB_1857425		unprognostic (1.84e-1)			unprognostic (1.96e-1)	unprognostic (1.44e-1)		unprognostic (1.13e-1)	unprognostic (2.97e-1)		unprognostic (4.97e-2)	unprognostic (1.08e-1)		unprognostic (1.50e-1)		unprognostic (1.32e-2)		Alveolar cells type 2
AGTR2	AT2, MRX88	ENSG00000180772	Angiotensin II receptor type 2	P50052	X	116170744-116174974	G-protein coupled receptors, Predicted membrane proteins		G-protein coupled receptor, Receptor, Transducer		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in some		endometrium 1: 8.8;lung: 8.8;smooth muscle: 13.2	Cell type enriched	Detected in single	21	Alveolar cells type 2: 13.5	Group enriched	Detected in some	12	endometrial cancer: 3.0;lung cancer: 1.9	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in single	16	Sarcoma: 1.6	Lung - Alveolar cells type 2	Low region specificity	Detected in many			Region enriched	Detected in single	8	cerebellum: 2.0												Cluster 46: Fibroblasts - ECM organization	Cluster 42: Sarcoma - Muscle contraction	Cluster 41: Alveolar cells - Lung function							unprognostic (2.13e-1)				unprognostic (1.71e-1)			unprognostic (3.22e-2)				unprognostic (4.37e-2)			Alveolar cells type 2
SFTPA2	COLEC5, SP-A2	ENSG00000185303	Surfactant protein A2	Q8IWL1	10	79555852-79560407	Disease related genes, Human disease related genes, Predicted secreted proteins	Gaseous exchange		Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	404	lung: 10798.8	Cell type enriched	Detected in some	18	Alveolar cells type 2: 17086.0	Cancer enriched	Detected in many	21	lung cancer: 863.5	Low region specificity	Detected in some			Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in some	6	lung cancer: 6.9;prostate cancer: 6.0	Lung - Alveolar cells type 2, Prostate - Prostate glandular cells									CAB002439, HPA042638, HPA045752, HPA049368	Enhanced				Secreted in other tissues					Cluster 47: Plasmacytoid DCs - Protein folding	Cluster 19: Lung - Lung function	Cluster 46: Non-specific - Unknown function	Cluster 41: Alveolar cells - Lung function			CAB002439: AB_564143, HPA042638: AB_2678095, HPA045752: AB_2679442, HPA049368: AB_2680731	unprognostic (2.51e-1)	unprognostic (4.87e-2)	unprognostic (4.99e-2)	unprognostic (4.38e-2)	unprognostic (4.29e-2)	unprognostic (1.05e-1)		unprognostic (5.78e-2)	unprognostic (5.08e-1)	unprognostic (4.94e-2)	unprognostic (1.68e-3)	unprognostic (3.10e-1)	unprognostic (3.56e-2)	unprognostic (1.20e-1)		unprognostic (1.33e-1)	unprognostic (4.69e-3)	Alveolar cells type 2
AL132671.2		ENSG00000282218	Novel protein, GOPC-ROS1 readthrough		6	117318211-117573571	Predicted intracellular proteins				No human protein/transcript evidence	No human protein/transcript evidence			Not detected	Not detected			Cell type enriched	Detected in single	10	Alveolar cells type 2: 1.0					Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected				Low region specificity	Detected in all							HPA019477	Uncertain		Approved	Golgi apparatus								Cluster 3: HUVEC & TIME - Signal transduction	Cluster 41: Alveolar cells - Lung function	Golgi apparatus		HPA019477: AB_1849890																		Alveolar cells type 2
