Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
IBSP	BSP, BSP-II, SP-II	ENSG00000029559	Integrin binding sialoprotein	P21815	4	87799554-87812435	Cancer-related genes, Predicted secreted proteins	Biomineralization, Cell adhesion		Cancer-related genes	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in some		brain: 2.2;pituitary gland: 2.0	Cell type enriched	Detected in single	11	Hofbauer cells: 6.7	Group enriched	Detected in many	4	breast cancer: 3.8;glioma: 12.2	Region enhanced	Detected in single		thalamus: 2.2	Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected				Not detected	Not detected			Not detected	Not detected								Secreted in other tissues						Cluster 26: Pituitary gland - Hormone signaling	Cluster 20: Connective tissue cells - ECM organization	Cluster 69: Macrophages - Innate immune response				unprognostic (2.53e-2)	unprognostic (3.55e-2)	unprognostic (1.49e-2)	unprognostic (3.93e-1)	unprognostic (3.75e-2)	unprognostic (9.48e-3)	unprognostic (1.03e-3)	unprognostic (4.07e-2)	unprognostic (1.12e-2)	unprognostic (2.39e-1)	unprognostic (2.02e-3)		unprognostic (5.81e-11)	unprognostic (6.20e-2)	unprognostic (1.96e-1)	unprognostic (1.30e-3)	unprognostic (2.11e-1)	Hofbauer cells
TREM2	TREM-2, Trem2a, Trem2b, Trem2c	ENSG00000095970	Triggering receptor expressed on myeloid cells 2	Q9NZC2	6	41158506-41163186	Disease related genes, Human disease related genes, Predicted membrane proteins, Predicted secreted proteins		Receptor	Disease variant, Neurodegeneration	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		brain: 69.8;lung: 30.1	Cell type enriched	Detected in some	7	Hofbauer cells: 916.9	Cancer enhanced	Detected in all		glioma: 93.5	Low region specificity	Detected in all			Immune cell enhanced	Detected in single		plasmacytoid DC: 2.0	Lineage enhanced	Detected in single		dendritic cells: 2.0	Cancer enhanced	Detected in some		head and neck cancer: 2.0;Leukemia: 2.4;testis cancer: 1.5	Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Kidney - Macrophages, Lung - Macrophages, Pancreas - Macrophages, Prostate - Macrophages, Skin - Sebaceous gland cells, Testis - Macrophages	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA010917, HPA012571	Approved		Uncertain	Vesicles	Secreted in brain				50000	Cluster 47: Plasmacytoid DCs - Protein folding	Cluster 73: Brain - Neuropeptide signaling	Cluster 60: Keratinocytes - Epithelial cell function	Cluster 69: Macrophages - Innate immune response	Vesicles		HPA010917: AB_1080365, HPA012571: AB_1858260	unprognostic (3.89e-1)	unprognostic (4.44e-3)	unprognostic (2.77e-2)	unprognostic (1.80e-2)	unprognostic (1.29e-1)	unprognostic (1.53e-1)	prognostic unfavorable (4.24e-4)	unprognostic (4.83e-2)	unprognostic (1.07e-1)	unprognostic (8.57e-3)	unprognostic (1.33e-1)	unprognostic (2.09e-1)	unprognostic (3.58e-3)	unprognostic (8.04e-2)	unprognostic (1.04e-2)	unprognostic (3.16e-3)	unprognostic (1.85e-2)	Hofbauer cells
CRYBB1		ENSG00000100122	Crystallin beta B1	P53674	22	26599278-26618027	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins		Eye lens protein	Cataract, Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in some		epididymis: 9.6	Cell type enriched	Detected in some	14	Hofbauer cells: 74.7	Low cancer specificity	Detected in many			Low region specificity	Detected in all			Group enriched	Detected in some	6	intermediate monocyte: 10.3;non-classical monocyte: 7.5	Lineage enriched	Detected in many	7	monocytes: 10.3	Cancer enriched	Detected in some	8	Myeloma: 14.1	Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Breast - Macrophages, Kidney - Macrophages, Liver - Kupffer cells, Skeletal muscle - Macrophages, Thyroid - Macrophages	Low region specificity	Detected in all			Low region specificity	Detected in some			HPA003448, CAB010058	Supported								89000	Cluster 51: Monocytes - Innate immune response	Cluster 68: Epididymis - Unknown function	Cluster 44: Myeloma - Humoral immune response	Cluster 69: Macrophages - Innate immune response			CAB010058: AB_668166, HPA003448: AB_2732396	unprognostic (1.31e-1)	unprognostic (5.56e-3)	unprognostic (1.39e-2)	unprognostic (1.44e-2)	unprognostic (2.29e-1)	unprognostic (2.18e-1)	unprognostic (7.89e-3)	unprognostic (1.51e-1)	unprognostic (9.51e-2)	unprognostic (1.05e-1)	unprognostic (1.10e-1)	unprognostic (1.33e-1)	unprognostic (3.88e-4)	unprognostic (2.62e-2)	unprognostic (1.23e-2)	unprognostic (3.22e-1)	unprognostic (1.76e-2)	Hofbauer cells
PLTP	BPIFE	ENSG00000100979	Phospholipid transfer protein	P55058	20	45898621-45912155	Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Lipid transport, Transport			Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enriched	Detected in many	4	Hofbauer cells: 1473.5	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Immune cell enhanced	Detected in many		basophil: 33.1;eosinophil: 29.7	Low lineage specificity	Detected in all			Cancer enhanced	Detected in all		Rhabdoid: 181.7	Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Colon - Macrophages, Lung - Fibroblast_2, Prostate - Fibroblasts, Skeletal muscle - Macrophages, Thyroid - Macrophages	Low region specificity	Detected in all			Low region specificity	Detected in all			CAB032873	Approved				Secreted to blood			9720000000	210000000	Cluster 49: Eosinophils - Unknown function	Cluster 82: Adipose tissue - ECM organization	Cluster 22: Rhabdoid cancers - Neuronal signaling	Cluster 69: Macrophages - Innate immune response			CAB032873: AB_2283977	unprognostic (1.27e-1)	unprognostic (3.50e-2)	unprognostic (1.51e-1)	unprognostic (2.01e-1)	unprognostic (2.60e-2)	unprognostic (1.02e-1)	unprognostic (1.72e-2)	unprognostic (4.19e-2)	unprognostic (8.30e-2)	unprognostic (3.19e-2)	unprognostic (2.65e-2)	unprognostic (3.87e-1)	prognostic unfavorable (9.52e-8)	unprognostic (3.04e-2)	unprognostic (3.21e-2)	unprognostic (1.21e-1)	unprognostic (9.68e-2)	Hofbauer cells
SPP1	BNSP, BSPI, ETA-1, OPN	ENSG00000118785	Secreted phosphoprotein 1	P10451	4	87975650-87983426	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Biomineralization, Cell adhesion	Cytokine	Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		gallbladder: 2424.4;kidney: 3587.6;placenta: 2791.9	Cell type enriched	Detected in many	6	Hofbauer cells: 52608.0	Group enriched	Detected in all	4	glioma: 1690.9;renal cancer: 1385.1	Low region specificity	Detected in all			Immune cell enriched	Detected in some	10	neutrophil: 24.8	Lineage enriched	Detected in single	249	granulocytes: 24.8	Cancer enhanced	Detected in all		Gallbladder cancer: 3996.6;Kidney cancer: 2437.2	Adipose subcutaneous - Macrophages	Region enhanced	Detected in all		pons and medulla: 316.8	Low region specificity	Detected in all			HPA027540, HPA027541	Enhanced		Enhanced	Golgi apparatus	Secreted to blood			114000000	73000000	Cluster 1: Neutrophils - Mixed function	Cluster 7: Kidney - Transmembrane transport	Cluster 10: Ovarian & Endometrial cancers - Unknown function	Cluster 69: Macrophages - Innate immune response	Golgi apparatus		HPA027540: AB_10600222, HPA027541: AB_10601446	unprognostic (4.74e-2)	prognostic unfavorable (9.52e-4)	unprognostic (1.13e-3)	unprognostic (2.04e-1)	unprognostic (2.31e-2)	unprognostic (6.96e-3)	prognostic unfavorable (2.84e-6)	unprognostic (2.46e-3)	unprognostic (7.86e-2)	unprognostic (1.90e-2)	prognostic unfavorable (5.89e-4)	unprognostic (4.31e-2)	unprognostic (2.55e-1)	unprognostic (7.19e-2)	unprognostic (1.57e-1)	unprognostic (3.48e-1)	unprognostic (2.63e-2)	Hofbauer cells
TM4SF19		ENSG00000145107	Transmembrane 4 L six family member 19	Q96DZ7	3	196319342-196338503	Predicted intracellular proteins, Predicted membrane proteins, Transporters				Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in some		adipose tissue: 6.0;testis: 4.6	Cell type enriched	Detected in some	6	Hofbauer cells: 64.7	Group enriched	Detected in some	4	cervical cancer: 1.4;head and neck cancer: 3.4;lung cancer: 1.4;melanoma: 1.0;urothelial cancer: 0.9	Region enhanced	Detected in single		thalamus: 2.5	Group enriched	Detected in some	6	gdT-cell: 14.8;memory CD8 T-cell: 3.9;naive CD8 T-cell: 4.9	Lineage enriched	Detected in single	16	T-cells: 14.8	Low cancer specificity	Detected in many																						Cluster 36: GdT-cells - Adaptive immune response	Cluster 71: Testis - DNA repair	Cluster 3: HUVEC & TIME - Signal transduction	Cluster 69: Macrophages - Innate immune response				unprognostic (9.90e-2)	unprognostic (1.17e-2)	unprognostic (3.60e-2)	unprognostic (1.89e-2)	unprognostic (1.67e-1)	unprognostic (7.19e-2)	unprognostic (8.90e-5)	unprognostic (8.86e-3)	unprognostic (1.30e-1)	unprognostic (3.21e-2)	unprognostic (1.85e-1)	unprognostic (2.86e-1)	unprognostic (1.06e-3)	unprognostic (4.23e-2)	unprognostic (4.20e-3)	unprognostic (2.60e-1)	unprognostic (1.18e-3)	Hofbauer cells
FOLR2	FRÃŽÂ²	ENSG00000165457	Folate receptor beta	P14207	11	72216601-72221950	Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Transport	Receptor		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		placenta: 168.4	Cell type enriched	Detected in many	4	Hofbauer cells: 997.0	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Immune cell enhanced	Detected in many		classical monocyte: 64.2;intermediate monocyte: 50.6	Group enriched	Detected in many	4	dendritic cells: 18.7;monocytes: 64.2	Cancer enhanced	Detected in single		lymphoma: 3.8	Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Breast - Macrophages, Colon - Macrophages, Heart muscle - Macrophages, Kidney - Macrophages, Liver - Kupffer cells, Lung - Macrophages, Pancreas - Macrophages, Skeletal muscle - Macrophages, Testis - Macrophages, Thyroid - Macrophages	Low region specificity	Detected in all			Low region specificity	Detected in all								Secreted to blood				15000000	Cluster 25: Monocytes - Inflammatory response	Cluster 28: Placenta - Pregnancy	Cluster 64: Lymphoma - Humoral immune response	Cluster 69: Macrophages - Innate immune response				unprognostic (2.03e-1)	unprognostic (6.58e-3)	prognostic unfavorable (8.42e-4)	unprognostic (1.47e-1)	unprognostic (2.76e-1)	unprognostic (2.83e-1)	unprognostic (1.39e-1)	unprognostic (3.36e-1)	unprognostic (3.38e-1)	unprognostic (2.51e-1)	unprognostic (8.11e-2)	unprognostic (1.16e-1)	unprognostic (3.91e-3)	unprognostic (6.16e-3)	unprognostic (1.14e-1)	prognostic favorable (8.41e-4)	unprognostic (7.98e-3)	Hofbauer cells
CD14		ENSG00000170458	CD14 molecule	P08571	5	140631728-140633701	Cancer-related genes, CD markers, Human disease related genes, Plasma proteins, Predicted secreted proteins, Transporters	Immunity, Inflammatory response, Innate immunity		Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in all		liver: 403.4	Cell type enriched	Detected in many	4	Hofbauer cells: 2969.2	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Immune cell enhanced	Detected in all		classical monocyte: 3697.0	Group enriched	Detected in all	5	granulocytes: 942.3;monocytes: 3697.0	Cancer enhanced	Detected in many		head and neck cancer: 17.8	Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Colon - Macrophages, Heart muscle - Macrophages, Kidney - Macrophages, Liver - Hepatocytes, Pancreas - Macrophages, Prostate - Macrophages, Skeletal muscle - Macrophages, Stomach - Macrophages, Thyroid - Macrophages	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA001887, HPA002127, CAB033631, CAB072865, CAB072866	Enhanced		Approved	Vesicles	Secreted to blood			2750000000	10000000000	Cluster 25: Monocytes - Inflammatory response	Cluster 85: Liver - Metabolism	Cluster 65: Breast cancer - Unknown function	Cluster 69: Macrophages - Innate immune response	Vesicles		CAB033631: AB_781932, CAB072865: AB_2665714, CAB072866: AB_2665715, HPA001887: AB_1078442, HPA002127: AB_1078440	unprognostic (1.92e-1)	unprognostic (1.68e-1)	unprognostic (3.42e-3)	unprognostic (3.89e-2)	unprognostic (3.29e-2)	unprognostic (1.54e-1)	unprognostic (4.71e-3)	unprognostic (4.88e-2)	unprognostic (2.16e-1)	unprognostic (1.06e-1)	unprognostic (1.83e-1)	unprognostic (2.43e-1)	prognostic unfavorable (6.80e-5)	unprognostic (1.20e-2)	unprognostic (6.87e-3)	unprognostic (8.12e-2)	unprognostic (6.92e-2)	Hofbauer cells
IFNB1	IFB, IFF, IFNB	ENSG00000171855	Interferon beta 1	P01574	9	21077104-21077942	Cancer-related genes, Predicted secreted proteins	Antiviral defense	Cytokine	Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Not detected	Not detected			Cell type enriched	Detected in single	10	Hofbauer cells: 7.2	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected				Not detected	Not detected			Not detected	Not detected			HPA073843	Supported				Secreted to blood			3750		Cluster 36: GdT-cells - Adaptive immune response		Cluster 30: Non-specific - Antiviral immune response	Cluster 33: Macrophages - Degranulation			HPA073843: 	unprognostic (2.38e-1)									unprognostic (2.60e-4)								Hofbauer cells
RAB42	MGC45806	ENSG00000188060	RAB42, member RAS oncogene family	Q8N4Z0	1	28592200-28595449	Predicted intracellular proteins				Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	5	lymphoid tissue: 24.5	Cell type enriched	Detected in some	5	Hofbauer cells: 79.5	Cancer enhanced	Detected in many		renal cancer: 10.9	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		Kidney cancer: 16.3	Lung - Macrophages	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA050290			Approved	Endoplasmic reticulum						Cluster 11: Basophils - Unknown function	Cluster 63: T-cells - Adaptive immune response	Cluster 68: Kidney - Mixed function	Cluster 69: Macrophages - Innate immune response	Endoplasmic reticulum		HPA050290: AB_2681075	unprognostic (1.10e-1)	unprognostic (2.56e-1)	unprognostic (1.72e-1)	unprognostic (1.00e-1)	unprognostic (8.25e-2)	unprognostic (7.59e-2)	unprognostic (2.00e-4)	unprognostic (8.81e-2)	unprognostic (2.39e-1)	unprognostic (4.09e-2)	unprognostic (1.34e-2)	unprognostic (2.82e-2)	unprognostic (1.52e-2)	unprognostic (8.77e-2)	unprognostic (3.02e-2)	unprognostic (8.83e-2)	unprognostic (2.07e-3)	Hofbauer cells
