Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
RBPJL	RBP-L, RBPSUHL, SUH, SUHL	ENSG00000124232	Recombination signal binding protein for immunoglobulin kappa J region like	Q9UBG7	20	45306840-45317824	Predicted intracellular proteins, Transcription factors	Transcription, Transcription regulation	DNA-binding		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	270	pancreas: 975.5	Cell type enriched	Detected in some	31	Respiratory ciliated cells: 32.9	Cancer enriched	Detected in some	4	pancreatic cancer: 4.9	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Stomach - Gastric enteroendocrine cells	Not detected	Not detected			Not detected	Not detected			CAB006846	Enhanced										Cluster 25: Pancreas - Digestion	Cluster 12: Lymphoid cancers - Adaptive immune response	Cluster 20: Airway & Pancreas - Proteolysis			CAB006846: 	unprognostic (1.19e-1)	unprognostic (2.28e-2)		unprognostic (1.34e-2)	unprognostic (6.09e-1)	unprognostic (3.07e-2)	unprognostic (2.08e-1)	unprognostic (9.60e-2)	unprognostic (1.43e-1)	unprognostic (1.92e-1)	unprognostic (1.65e-1)	unprognostic (3.92e-3)	unprognostic (2.48e-7)	unprognostic (5.08e-1)	unprognostic (5.40e-2)	unprognostic (2.26e-2)	unprognostic (3.49e-5)	Respiratory ciliated cells
GPHA2	A2, GPA2, MGC126572, ZSIG51	ENSG00000149735	Glycoprotein hormone subunit alpha 2	Q96T91	11	64934471-64935893	Predicted secreted proteins		Hormone		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	13	pancreas: 360.5	Cell type enriched	Detected in some	5	Respiratory ciliated cells: 42.9	Cancer enriched	Detected in some	7	testis cancer: 15.8	Region enhanced	Detected in single		cerebellum: 3.6	Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		Gallbladder cancer: 1.5;liver cancer: 1.7	Kidney - Proximal tubular cells, Pancreas - Exocrine glandular cells, Stomach - Chief cells	Not detected	Not detected			Low region specificity	Detected in some			HPA067068			Approved	Vesicles	Secreted to blood						Cluster 25: Pancreas - Digestion	Cluster 35: Liver cancer - Metabolism	Cluster 20: Airway & Pancreas - Proteolysis	Vesicles		HPA067068: 	unprognostic (1.13e-1)	unprognostic (8.31e-3)		unprognostic (1.51e-2)		unprognostic (9.22e-4)		unprognostic (7.88e-3)		unprognostic (2.62e-1)	unprognostic (1.45e-1)	unprognostic (3.20e-2)	unprognostic (1.82e-1)	unprognostic (1.75e-1)	unprognostic (5.03e-2)	unprognostic (9.86e-3)	unprognostic (1.70e-1)	Respiratory ciliated cells
CPB1		ENSG00000153002	Carboxypeptidase B1	P15086	3	148791102-148860187	Enzymes, Plasma proteins, Predicted secreted proteins		Carboxypeptidase, Hydrolase, Metalloprotease, Protease		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	1970	pancreas: 226925.8	Cell type enriched	Detected in some	4	Respiratory ciliated cells: 10752.1	Group enriched	Detected in some	312	breast cancer: 293.8;pancreatic cancer: 641.4	Low region specificity	Detected in many			Immune cell enhanced	Detected in many		basophil: 4.0	Low lineage specificity	Detected in many			Cancer enriched	Detected in some	13	Rhabdoid: 13.8	Pancreas - Exocrine glandular cells	Not detected	Not detected			Not detected	Not detected			CAB026158, HPA038069, HPA046340	Enhanced				Secreted to digestive system				88000000	Cluster 17: Basophils - Unknown function	Cluster 25: Pancreas - Digestion	Cluster 22: Rhabdoid cancers - Neuronal signaling	Cluster 20: Airway & Pancreas - Proteolysis			CAB026158: , HPA038069: AB_2675816, HPA046340: AB_2679628	unprognostic (6.90e-2)	unprognostic (3.79e-2)	unprognostic (3.34e-2)	unprognostic (2.64e-2)	unprognostic (5.58e-2)	unprognostic (3.27e-2)	unprognostic (6.26e-4)	unprognostic (1.90e-1)	unprognostic (1.82e-1)	unprognostic (1.07e-1)	unprognostic (7.59e-2)	unprognostic (4.51e-2)	unprognostic (5.50e-8)	unprognostic (3.08e-1)	unprognostic (1.60e-1)		unprognostic (4.93e-2)	Respiratory ciliated cells
CCDC17	FLJ33084	ENSG00000159588	Coiled-coil domain containing 17	Q96LX7	1	45620044-45624057	Predicted intracellular proteins				Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	11	fallopian tube: 36.0	Cell type enriched	Detected in many	4	Respiratory ciliated cells: 316.8	Cancer enhanced	Detected in many		endometrial cancer: 4.4	Low region specificity	Detected in single			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Lung - Respiratory ciliated cells	Not detected	Not detected							HPA028338	Enhanced										Cluster 42: Ciliated cells - Cilium & Cell projection	Cluster 60: Keratinocytes - Epithelial cell function	Cluster 56: Ciliated cells - Cilium assembly			HPA028338: AB_10669641	unprognostic (3.53e-5)	unprognostic (7.40e-2)	unprognostic (3.08e-3)	unprognostic (3.55e-3)	unprognostic (3.31e-1)	unprognostic (9.21e-3)	unprognostic (6.97e-2)	unprognostic (1.30e-2)	unprognostic (8.55e-2)	unprognostic (1.07e-1)	unprognostic (4.46e-3)	unprognostic (2.91e-1)	unprognostic (8.37e-7)	unprognostic (1.20e-1)	unprognostic (1.96e-1)	unprognostic (2.92e-1)	unprognostic (5.91e-3)	Respiratory ciliated cells
PTF1A	bHLHa29, p48, PTF1-p48	ENSG00000168267	Pancreas associated transcription factor 1a	Q7RTS3	10	23192312-23194245	Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors	Differentiation, Neurogenesis, Transcription, Transcription regulation	Developmental protein, DNA-binding	Diabetes mellitus	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	47	pancreas: 104.2	Cell type enriched	Detected in some	6	Respiratory ciliated cells: 19.5	Cancer enhanced	Detected in some		ovarian cancer: 0.6;pancreatic cancer: 1.2	Low region specificity	Detected in single			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in single		Rhabdoid: 2.1	Stomach - Gastric enteroendocrine cells	Not detected	Not detected			Not detected	Not detected			CAB022612, HPA073033			Approved	Nucleoplasm							Cluster 25: Pancreas - Digestion	Cluster 41: Non-specific - Cilium assembly	Cluster 20: Airway & Pancreas - Proteolysis	Nucleoplasm		CAB022612: , HPA073033: 										unprognostic (2.02e-1)	unprognostic (1.85e-1)			unprognostic (4.49e-1)	unprognostic (1.80e-1)			Respiratory ciliated cells
GP2	ZAP75	ENSG00000169347	Glycoprotein 2	P55259	16	20309574-20327808	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Immunity, Innate immunity	Receptor		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	966	pancreas: 35381.6	Cell type enriched	Detected in some	24	Respiratory ciliated cells: 4453.7	Cancer enriched	Detected in many	14	pancreatic cancer: 320.7	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	5	breast cancer: 6.5	Kidney - Ascending Loop of Henle cells, Prostate - Prostate glandular cells	Not detected	Not detected			Not detected	Not detected			HPA015739, HPA016668	Enhanced				Secreted to digestive system				41000	Cluster 11: Basophils - Unknown function	Cluster 25: Pancreas - Digestion	Cluster 65: Breast cancer - Unknown function	Cluster 20: Airway & Pancreas - Proteolysis			HPA015739: AB_1849905, HPA016668: AB_1849907	unprognostic (2.14e-2)		unprognostic (1.97e-2)	unprognostic (5.68e-2)			unprognostic (4.29e-2)	unprognostic (1.63e-1)			unprognostic (2.84e-1)	unprognostic (6.35e-2)	unprognostic (8.17e-3)	unprognostic (1.27e-1)	unprognostic (2.36e-1)			Respiratory ciliated cells
CEL	BSSL, MODY8	ENSG00000170835	Carboxyl ester lipase	P19835	9	133061981-133071861	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted secreted proteins	Lipid degradation, Lipid metabolism	Hydrolase, Serine esterase	Diabetes mellitus	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	548	pancreas: 110578.0	Cell type enriched	Detected in some	9	Respiratory ciliated cells: 3485.0	Cancer enriched	Detected in many	29	pancreatic cancer: 469.3	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		colorectal cancer: 14.6	Pancreas - Exocrine glandular cells	Not detected	Not detected			Not detected	Not detected			HPA008023, HPA052701	Enhanced				Secreted to digestive system				110000		Cluster 25: Pancreas - Digestion	Cluster 19: Stomach & Colon cancer - Absorption	Cluster 20: Airway & Pancreas - Proteolysis			HPA008023: AB_1846509, HPA052701: AB_2681921	prognostic unfavorable (4.14e-4)	unprognostic (2.30e-2)	unprognostic (4.49e-2)	unprognostic (3.14e-2)	unprognostic (2.22e-1)	unprognostic (2.48e-1)	unprognostic (1.49e-1)	unprognostic (6.27e-2)	unprognostic (3.04e-2)	unprognostic (1.47e-2)	unprognostic (2.51e-1)	unprognostic (5.55e-2)	unprognostic (2.26e-3)	unprognostic (2.98e-1)	unprognostic (4.41e-1)	unprognostic (4.37e-2)	unprognostic (1.02e-1)	Respiratory ciliated cells
PNLIP	PL	ENSG00000175535	Pancreatic lipase	P16233	10	116545931-116567855	Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted secreted proteins	Lipid degradation, Lipid metabolism	Hydrolase	Disease variant, FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	2058	pancreas: 444687.5	Cell type enriched	Detected in some	12	Respiratory ciliated cells: 16562.8	Cancer enriched	Detected in some	4854	pancreatic cancer: 2731.7	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Pancreas - Exocrine glandular cells	Low region specificity	Detected in some			Not detected	Not detected			HPA062430, HPA062494	Enhanced				Secreted to digestive system				14000000		Cluster 25: Pancreas - Digestion	Cluster 33: Skin cancer - Membrane components	Cluster 20: Airway & Pancreas - Proteolysis			HPA062430: AB_2684761, HPA062494: AB_2684782											unprognostic (2.05e-2)	unprognostic (4.46e-2)						Respiratory ciliated cells
CCDC190	C1orf110, MGC48998	ENSG00000185860	Coiled-coil domain containing 190	Q86UF4	1	162824458-162868815	Predicted intracellular proteins				Evidence at transcript level	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level	Group enriched	Detected in some	4	brain: 2.3;choroid plexus: 1.0;esophagus: 3.3;lung: 1.8	Cell type enriched	Detected in some	8	Respiratory ciliated cells: 60.0	Cancer enhanced	Detected in some		head and neck cancer: 2.0	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in many			Lung - Respiratory ciliated cells	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA028579, HPA028584, HPA028592	Uncertain		Approved	Actin filaments,Cytosol							Cluster 27: Brain & Skin - Unknown function	Cluster 41: Non-specific - Cilium assembly	Cluster 56: Ciliated cells - Cilium assembly	Actin filaments, Cytosol		HPA028579: AB_10610978, HPA028584: AB_10599423, HPA028592: AB_10601001	unprognostic (4.29e-1)	unprognostic (8.37e-2)		unprognostic (1.75e-1)	unprognostic (5.47e-2)	unprognostic (1.68e-2)		unprognostic (8.33e-3)		unprognostic (3.04e-2)	unprognostic (3.09e-2)	unprognostic (6.41e-2)	unprognostic (7.41e-5)	unprognostic (2.64e-1)	unprognostic (1.52e-1)	unprognostic (5.26e-1)	unprognostic (1.70e-1)	Respiratory ciliated cells
PNLIPRP1	PLRP1	ENSG00000187021	Pancreatic lipase related protein 1	P54315	10	116590385-116609175	Metabolic proteins, Predicted secreted proteins				Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	2343	pancreas: 10825.1	Cell type enriched	Detected in some	4	Respiratory ciliated cells: 952.2	Cancer enriched	Detected in single	476	pancreatic cancer: 32.5	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected				Not detected	Not detected			Not detected	Not detected								Secreted to digestive system				340000		Cluster 25: Pancreas - Digestion	Cluster 51: Myeloma - Humoral immune response	Cluster 20: Airway & Pancreas - Proteolysis						unprognostic (1.21e-1)	unprognostic (4.08e-3)						unprognostic (1.40e-1)	unprognostic (1.80e-1)		unprognostic (2.76e-2)	unprognostic (1.41e-1)	unprognostic (1.46e-1)	unprognostic (1.49e-1)		Respiratory ciliated cells
