Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
CEACAM21	FLJ13540, R29124_1	ENSG00000007129	CEA cell adhesion molecule 21	Q3KPI0	19	41549518-41586844	Predicted membrane proteins				Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	Tissue enhanced	Detected in many		bone marrow: 17.5;lymphoid tissue: 10.2	Cell type enriched	Detected in some	9	Granulosa cells: 140.9	Cancer enhanced	Detected in many		endometrial cancer: 4.2	Low region specificity	Detected in many			Low immune cell specificity	Detected in many			Low lineage specificity	Detected in all			Cancer enhanced	Detected in some		Leukemia: 2.9;Myeloma: 5.5	Prostate - T-cells, Testis - Late spermatids, Thyroid - T-cells									HPA043411	Uncertain									Cluster 5: Granulocytes - Unknown function	Cluster 40: Neutrophils - Inflammatory response	Cluster 17: RS4;11 - Unknown function	Cluster 17: Granulosa cells - Transcription regulation			HPA043411: AB_10794886	unprognostic (2.55e-1)	unprognostic (1.61e-3)	unprognostic (5.73e-2)	prognostic favorable (1.89e-5)	unprognostic (2.57e-1)	unprognostic (8.02e-4)	unprognostic (3.04e-1)	unprognostic (2.05e-3)	unprognostic (1.51e-2)	unprognostic (2.63e-1)	unprognostic (1.07e-1)	unprognostic (1.66e-1)	unprognostic (3.37e-6)	unprognostic (2.09e-1)	unprognostic (3.67e-1)	unprognostic (1.12e-3)	unprognostic (1.37e-1)	Granulosa cells
TLL2		ENSG00000095587	Tolloid like 2	Q9Y6L7	10	96364608-96513926	Predicted secreted proteins	Differentiation	Developmental protein, Hydrolase, Metalloprotease, Protease		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in some		brain: 4.7;heart muscle: 3.6;tongue: 1.9	Cell type enriched	Detected in some	4	Granulosa cells: 79.3	Low cancer specificity	Detected in single			Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		Uterine cancer: 4.1		Low region specificity	Detected in many			Low region specificity	Detected in all								Secreted - unknown location						Cluster 44: Heart - Cardiac muscle contraction	Cluster 29: TT & NCI-H1385 - Synaptic signal transduction	Cluster 17: Granulosa cells - Transcription regulation				unprognostic (1.28e-2)	unprognostic (7.54e-4)	unprognostic (1.50e-1)	unprognostic (3.31e-3)	unprognostic (2.67e-1)	unprognostic (2.14e-3)	unprognostic (1.31e-2)	unprognostic (3.52e-4)	unprognostic (7.08e-2)	unprognostic (2.50e-1)	unprognostic (6.71e-2)	unprognostic (3.37e-2)	unprognostic (4.98e-4)	unprognostic (2.90e-1)	unprognostic (8.41e-2)	unprognostic (1.95e-4)	unprognostic (2.30e-1)	Granulosa cells
MAGED2	11B6, BCG1, HCA10, JCL-1, MAGE-D2, MAGED, MGC8386	ENSG00000102316	MAGE family member D2	Q9UNF1	X	54807599-54816015	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins		Tumor antigen	Bartter syndrome, Cancer-related genes, Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enriched	Detected in all	4	Granulosa cells: 1571.1	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in all			Low lineage specificity	Detected in all			Cancer enhanced	Detected in all		testis cancer: 437.5	Adipose visceral - Adipose progenitor cells, Skeletal muscle - Fibroblasts, Skin - Fibroblast_1, Thyroid - Thyroid glandular cells	Low region specificity	Detected in all							HPA031572, HPA031573	Approved		Enhanced	Nucleoplasm,Nucleoli,Cytosol		No	No		120000	Cluster 44: Non-specific - Transcription	Cluster 89: Fibroblasts - ECM organization	Cluster 33: Skin cancer - Membrane components	Cluster 17: Granulosa cells - Transcription regulation	Nucleoplasm, Nucleoli, Cytosol		HPA031572: AB_10599819, HPA031573: AB_10602181	unprognostic (1.33e-1)	unprognostic (8.60e-2)	unprognostic (3.32e-1)	unprognostic (1.69e-3)	unprognostic (4.79e-2)	unprognostic (3.52e-1)	unprognostic (2.41e-3)	unprognostic (1.39e-1)	unprognostic (2.97e-1)	prognostic favorable (2.88e-4)	prognostic favorable (2.82e-4)	unprognostic (6.34e-2)	unprognostic (3.55e-3)	prognostic unfavorable (9.43e-4)	unprognostic (1.58e-1)	unprognostic (9.77e-2)	unprognostic (3.58e-1)	Granulosa cells
AMH	MIS	ENSG00000104899	Anti-Mullerian hormone	P03971	19	2249309-2252073	Disease related genes, Human disease related genes, Predicted secreted proteins	Differentiation, Gonadal differentiation	Growth factor	Disease variant, Pseudohermaphroditism	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	Group enriched	Detected in some	5	pituitary gland: 3.9;testis: 10.5	Cell type enriched	Detected in some	4	Granulosa cells: 1485.1	Low cancer specificity	Detected in many			Low region specificity	Detected in some			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in many				Not detected	Not detected			Low region specificity	Detected in all			HPA066973			Approved	Vesicles,Aggresome	Secreted to blood			1580000	280000		Cluster 78: Testis - Spermatogenesis	Cluster 53: Non-specific - mRNA processing	Cluster 17: Granulosa cells - Transcription regulation	Vesicles, Aggresome		HPA066973: AB_2732754	unprognostic (8.10e-5)	unprognostic (1.15e-1)	prognostic unfavorable (9.21e-5)	unprognostic (8.73e-3)	unprognostic (1.32e-1)	unprognostic (1.32e-1)	unprognostic (8.03e-2)	unprognostic (8.99e-2)	unprognostic (2.55e-1)	unprognostic (3.53e-1)	unprognostic (5.95e-3)	unprognostic (1.34e-2)	unprognostic (8.73e-8)	unprognostic (4.64e-2)	unprognostic (4.14e-2)	unprognostic (2.15e-1)	unprognostic (2.76e-1)	Granulosa cells
NR5A2	B1F2, FTF, FTZ-F1, FTZ-F1beta, hB1F, hB1F-2, LRH-1, LRH1	ENSG00000116833	Nuclear receptor subfamily 5 group A member 2	O00482	1	200027614-200177420	Nuclear receptors, Predicted intracellular proteins, Transcription factors, Transporters	Transcription, Transcription regulation	Activator, DNA-binding, Receptor		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in many	5	intestine: 17.8;liver: 38.6;pancreas: 61.1	Cell type enriched	Detected in some	5	Granulosa cells: 264.9	Cancer enhanced	Detected in many		liver cancer: 6.6	Low region specificity	Detected in single			Group enriched	Detected in some	4	basophil: 3.2;neutrophil: 1.5	Lineage enriched	Detected in single	6	granulocytes: 3.2	Low cancer specificity	Detected in many			Adipose subcutaneous - Endothelial cells, Breast - Endothelial cells, Heart muscle - Endothelial cells, Kidney - Endothelial cells, Prostate - Endothelial cells, Skeletal muscle - Endothelial cells, Skin - Endothelial cells, Stomach - Endothelial cells	Region enhanced	Detected in single		hypothalamus: 1.2	Not detected	Not detected			HPA005455, HPA017067	Approved		Uncertain	Nuclear speckles						Cluster 17: Basophils - Unknown function	Cluster 29: Non-specific - Vesicular transport	Cluster 34: Rabdoid cancer - Embryonic development	Cluster 17: Granulosa cells - Transcription regulation	Nuclear speckles		HPA005455: AB_1078140, HPA017067: AB_1844767	unprognostic (7.47e-2)	unprognostic (1.43e-1)	unprognostic (5.84e-2)	unprognostic (1.56e-2)	unprognostic (1.19e-2)	unprognostic (6.63e-3)	unprognostic (4.46e-2)	unprognostic (3.78e-2)	unprognostic (3.34e-1)	unprognostic (8.50e-2)	unprognostic (4.64e-2)	unprognostic (1.44e-1)	unprognostic (1.00e-7)	unprognostic (5.48e-2)	unprognostic (5.07e-2)	unprognostic (9.23e-2)	unprognostic (1.37e-1)	Granulosa cells
TNFSF4	CD252, gp34, OX-40L, TXGP1	ENSG00000117586	TNF superfamily member 4	P23510	1	173183731-173207331	Cancer-related genes, CD markers, Disease related genes, Human disease related genes, Predicted intracellular proteins		Cytokine	Cancer-related genes, Systemic lupus erythematosus	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in many			Cell type enriched	Detected in some	4	Granulosa cells: 36.6	Low cancer specificity	Detected in all			Low region specificity	Detected in many			Low immune cell specificity	Detected in some			Low lineage specificity	Detected in many			Cancer enhanced	Detected in many		Brain cancer: 11.2	Testis - Sertoli cells	Not detected	Not detected			Low region specificity	Detected in all			HPA059579	Approved		Approved	Nucleoplasm,Vesicles						Cluster 47: Plasmacytoid DCs - Protein folding	Cluster 32: Brain & Lymphoid tissue - Unknown function	Cluster 20: Connective tissue cells - ECM organization	Cluster 4: Platelets - Platelet activation	Nucleoplasm, Vesicles		HPA059579: AB_2684071	unprognostic (1.88e-2)	unprognostic (1.20e-1)	unprognostic (4.58e-2)	unprognostic (2.74e-1)	unprognostic (1.73e-2)	unprognostic (1.74e-1)	unprognostic (1.13e-3)	unprognostic (2.13e-1)	unprognostic (8.65e-2)	unprognostic (5.17e-2)	unprognostic (1.26e-2)	unprognostic (1.18e-1)	unprognostic (1.11e-7)	unprognostic (3.73e-3)	unprognostic (2.66e-1)	unprognostic (9.49e-2)	unprognostic (2.98e-2)	Granulosa cells
ELK1		ENSG00000126767	ETS transcription factor ELK1	P19419	X	47635521-47650604	Predicted intracellular proteins, RAS pathway related proteins, Transcription factors	Transcription, Transcription regulation	Activator, DNA-binding		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enriched	Detected in all	4	Granulosa cells: 247.8	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in all			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all			Testis - Sertoli cells	Low region specificity	Detected in all							CAB003808, HPA036084, HPA064381	Enhanced		Enhanced	Nucleoplasm						Cluster 39: Non-specific - mRNA processing	Cluster 10: Brain - Neuronal signaling	Cluster 48: Non-specific - RNA binding	Cluster 17: Granulosa cells - Transcription regulation	Nucleoplasm		CAB003808: AB_562282, HPA036084: AB_2674931, HPA064381: AB_2685250	unprognostic (2.25e-1)	unprognostic (1.83e-2)	unprognostic (4.77e-2)	unprognostic (1.40e-2)	unprognostic (2.31e-1)	unprognostic (2.73e-1)	unprognostic (1.16e-2)	unprognostic (1.69e-1)	unprognostic (1.47e-1)	unprognostic (2.59e-3)	unprognostic (1.17e-1)	unprognostic (8.39e-2)	prognostic unfavorable (3.25e-5)	unprognostic (1.02e-1)	unprognostic (2.03e-1)	unprognostic (1.79e-2)	unprognostic (1.67e-2)	Granulosa cells
SERPINE2	GDN, nexin, PI7, PN1, PNI	ENSG00000135919	Serpin family E member 2	P07093	2	223975045-224039318	Plasma proteins, Predicted secreted proteins	Differentiation, Neurogenesis	Developmental protein, Heparin-binding, Protease inhibitor, Serine protease inhibitor		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in all	7	placenta: 1091.9	Cell type enriched	Detected in many	7	Granulosa cells: 4370.2	Cancer enriched	Detected in all	9	melanoma: 271.6	Low region specificity	Detected in all			Group enriched	Detected in some	12	naive CD4 T-cell: 12.9;naive CD8 T-cell: 6.8;NK-cell: 23.2	Group enriched	Detected in many	15	NK-cells: 23.2;T-cells: 12.9	Cancer enriched	Detected in all	5	skin cancer: 2476.4	Liver - Hepatic stellate cells	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA000277			Approved	Golgi apparatus	Secreted in female reproductive system				910000	Cluster 48: NK-cells - Unknown function	Cluster 28: Placenta - Pregnancy	Cluster 33: Skin cancer - Membrane components	Cluster 17: Granulosa cells - Transcription regulation	Golgi apparatus		HPA000277: 	unprognostic (1.73e-1)	unprognostic (7.08e-3)	unprognostic (8.49e-2)	unprognostic (7.78e-3)	unprognostic (2.57e-3)	unprognostic (5.57e-2)	unprognostic (1.49e-2)	unprognostic (7.43e-3)	unprognostic (4.41e-1)	unprognostic (7.12e-2)	unprognostic (7.56e-3)	unprognostic (2.40e-1)	unprognostic (1.97e-3)	unprognostic (1.23e-2)	unprognostic (1.31e-1)	unprognostic (6.18e-2)	prognostic unfavorable (6.48e-5)	Granulosa cells
SLC47A1	FLJ10847, MATE1	ENSG00000142494	Solute carrier family 47 member 1	Q96FL8	17	19495385-19579034	Metabolic proteins, Predicted membrane proteins, Transporters	Transport			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		adrenal gland: 127.3;kidney: 100.3;liver: 103.9	Cell type enriched	Detected in many	4	Granulosa cells: 182.2	Cancer enhanced	Detected in many		renal cancer: 37.4	Low region specificity	Detected in all			Group enriched	Detected in some	6	eosinophil: 12.2;plasmacytoid DC: 6.6	Group enriched	Detected in many	6	dendritic cells: 6.6;granulocytes: 12.2	Low cancer specificity	Detected in many			Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skin - Keratinocyte (other)	Low region specificity	Detected in many			Low region specificity	Detected in all			HPA021987	Enhanced								18000	Cluster 49: Eosinophils - Unknown function	Cluster 81: Kidney & Liver - Metabolism	Cluster 61: Liver - Metabolism	Cluster 17: Granulosa cells - Transcription regulation			HPA021987: AB_1857185	unprognostic (1.17e-2)	unprognostic (1.94e-2)	unprognostic (1.46e-1)	prognostic favorable (5.54e-8)	unprognostic (7.87e-2)	unprognostic (8.34e-2)	unprognostic (2.92e-2)	prognostic favorable (1.88e-5)	unprognostic (4.84e-2)	unprognostic (6.89e-2)	unprognostic (6.75e-2)	unprognostic (1.60e-1)	prognostic favorable (1.06e-5)	unprognostic (1.77e-1)	unprognostic (1.48e-1)	unprognostic (2.91e-2)	unprognostic (9.40e-2)	Granulosa cells
FAM86B2		ENSG00000145002	Family with sequence similarity 86 member B2	P0C5J1	8	12425614-12436343	Predicted intracellular proteins		Methyltransferase, Transferase		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in some			Cell type enriched	Detected in single	4	Granulosa cells: 2.6	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected												HPA041610, HPA055718	Uncertain		Uncertain	Vesicles						Cluster 35: T-regs - Unknown function	Cluster 72: Non-specific - Transcription	Cluster 44: Myeloma - Humoral immune response	Cluster 17: Granulosa cells - Transcription regulation	Vesicles		HPA041610: AB_2677581, HPA055718: AB_2682895	unprognostic (3.75e-2)	unprognostic (1.87e-1)	unprognostic (6.57e-2)	unprognostic (1.01e-1)	unprognostic (3.26e-2)	unprognostic (2.48e-1)	unprognostic (2.26e-1)	unprognostic (1.48e-1)	unprognostic (3.82e-1)	unprognostic (3.24e-1)	unprognostic (6.04e-4)	unprognostic (9.37e-2)	unprognostic (3.78e-2)	unprognostic (2.31e-2)	unprognostic (2.62e-1)	unprognostic (1.37e-1)	unprognostic (2.13e-2)	Granulosa cells
