Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
CLCA1	CaCC, CLCRG1	ENSG00000016490	Chloride channel accessory 1	A8K7I4	1	86468368-86500259	Predicted secreted proteins, Transporters	Calcium transport, Ion transport, Transport	Hydrolase, Metalloprotease, Protease		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	13	intestine: 1399.9	Cell type enriched	Detected in some	39	Intestinal goblet cells: 5583.7	Group enriched	Detected in some	9	colorectal cancer: 86.8;pancreatic cancer: 27.7	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	8	ovarian cancer: 30.8	Colon - Colon enterocytes	Not detected	Not detected			Not detected	Not detected			HPA052787, HPA059301	Enhanced				Secreted to digestive system				77000		Cluster 9: Intestine - Unknown function	Cluster 39: Non-specific - Unknown function	Cluster 26: Intestinal epithelial cells - Absorption			HPA052787: AB_2681947, HPA059301: AB_2683971			prognostic favorable (2.98e-4)								unprognostic (3.42e-1)			unprognostic (8.61e-2)	unprognostic (1.06e-1)			Intestinal goblet cells
BEST2	FLJ20132, VMD2L1	ENSG00000039987	Bestrophin 2	Q8NFU1	19	12751702-12758458	Predicted intracellular proteins, Predicted membrane proteins, Transporters	Ion transport, Transport	Chloride channel, Ion channel		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	6	intestine: 45.3;skin 1: 17.3	Cell type enriched	Detected in some	19	Intestinal goblet cells: 108.6	Cancer enhanced	Detected in some		colorectal cancer: 1.1	Low region specificity	Detected in some			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in some			Colon - Colon enterocytes	Not detected	Not detected			Region enhanced	Detected in single		cerebellum: 1.7	HPA046229	Approved									Cluster 15: NK-cells - Transcription	Cluster 9: Intestine - Unknown function	Cluster 52: Spermatids - Smell perception	Cluster 26: Intestinal epithelial cells - Absorption			HPA046229: AB_10966140	unprognostic (3.19e-1)	unprognostic (7.58e-2)	unprognostic (1.54e-2)	unprognostic (1.02e-1)	unprognostic (5.74e-2)	unprognostic (4.02e-3)		unprognostic (2.77e-1)	unprognostic (1.87e-1)	unprognostic (2.18e-1)	unprognostic (2.43e-1)	unprognostic (3.46e-3)	unprognostic (9.18e-6)	unprognostic (3.45e-2)	unprognostic (6.95e-2)	unprognostic (2.90e-1)	unprognostic (1.64e-5)	Intestinal goblet cells
ST6GALNAC1	SIAT7A, ST6GalNAcI	ENSG00000070526	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1	Q9NSC7	17	76624761-76643786	Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins		Glycosyltransferase, Transferase	Disease variant	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Group enriched	Detected in many	4	cervix: 61.1;intestine: 195.9;stomach 1: 64.9	Cell type enriched	Detected in many	4	Intestinal goblet cells: 631.8	Cancer enhanced	Detected in many		colorectal cancer: 41.2	Low region specificity	Detected in all			Group enriched	Detected in some	5	memory CD4 T-cell: 8.9;naive CD4 T-cell: 3.4	Lineage enriched	Detected in single	32	T-cells: 8.9	Low cancer specificity	Detected in many			Colon - Colon enterocytes, Lung - Respiratory ciliated cells, Prostate - Urothelial cells	Not detected	Not detected			Low region specificity	Detected in some			HPA014767, HPA014975	Enhanced		Approved	Nucleoplasm,Golgi apparatus					3500000	Cluster 20: T-cells - T-cell receptor	Cluster 37: Intestine - Unknown function	Cluster 39: Non-specific - Unknown function	Cluster 26: Intestinal epithelial cells - Absorption	Golgi apparatus	Nucleoplasm	HPA014767: , HPA014975: AB_1857529	unprognostic (4.59e-2)	unprognostic (8.60e-3)	unprognostic (5.32e-3)	unprognostic (1.86e-3)	unprognostic (6.31e-3)	prognostic favorable (2.54e-5)	unprognostic (1.39e-2)	unprognostic (1.63e-2)	unprognostic (2.45e-1)	unprognostic (2.58e-2)	unprognostic (8.64e-3)	unprognostic (2.81e-1)	unprognostic (1.67e-1)	unprognostic (2.75e-1)	unprognostic (1.18e-1)	unprognostic (5.87e-3)	unprognostic (5.58e-2)	Intestinal goblet cells
TPSG1	PRSS31, TMT	ENSG00000116176	Tryptase gamma 1	Q9NRR2	16	1221651-1225257	Enzymes, Predicted membrane proteins		Hydrolase, Protease, Serine protease		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	5	intestine: 14.7	Cell type enriched	Detected in some	5	Intestinal goblet cells: 253.3	Cancer enhanced	Detected in many		colorectal cancer: 5.2	Region enhanced	Detected in single		basal ganglia: 1.6	Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in some			Adipose subcutaneous - Mast cells, Breast - Breast glandular cells	Not detected	Not detected							HPA060458	Enhanced										Cluster 9: Intestine - Unknown function	Cluster 62: Granulocytes - Innate immune response	Cluster 26: Intestinal epithelial cells - Absorption			HPA060458: AB_2684283	unprognostic (1.86e-1)	unprognostic (3.46e-1)	unprognostic (5.21e-3)	unprognostic (1.27e-1)	unprognostic (5.58e-2)	unprognostic (1.18e-2)	unprognostic (3.45e-2)	unprognostic (4.60e-2)	unprognostic (9.97e-2)	unprognostic (1.34e-1)	unprognostic (8.92e-2)	unprognostic (6.39e-2)	prognostic unfavorable (1.76e-8)	unprognostic (2.19e-1)	unprognostic (1.70e-1)	unprognostic (8.65e-4)	unprognostic (5.70e-2)	Intestinal goblet cells
SPINK4	MGC133107, PEC-60	ENSG00000122711	Serine peptidase inhibitor Kazal type 4	O60575	9	33218365-33248567	Predicted intracellular proteins, Predicted secreted proteins		Protease inhibitor, Serine protease inhibitor		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	11	intestine: 980.5	Cell type enriched	Detected in some	24	Intestinal goblet cells: 9718.2	Group enriched	Detected in many	20	colorectal cancer: 237.5;pancreatic cancer: 269.7;stomach cancer: 111.0	Not detected	Not detected			Immune cell enriched	Detected in single	6	basophil: 1.8	Lineage enriched	Detected in single	6	granulocytes: 1.8	Cancer enriched	Detected in many	6	colorectal cancer: 183.2	Colon - Colon enterocytes	Region enhanced	Detected in single		pons and medulla: 1.1	Low region specificity	Detected in single			HPA007286	Enhanced		Approved	Nucleoplasm,Golgi apparatus,Vesicles	Secreted to digestive system					Cluster 46: Basophils - DNA binding	Cluster 9: Intestine - Unknown function	Cluster 19: Stomach & Colon cancer - Absorption	Cluster 26: Intestinal epithelial cells - Absorption	Golgi apparatus, Vesicles	Nucleoplasm	HPA007286: AB_1080083	unprognostic (3.49e-2)	unprognostic (2.32e-1)	prognostic favorable (8.85e-5)	unprognostic (3.09e-4)		unprognostic (1.49e-1)		unprognostic (1.00e-1)		unprognostic (9.66e-2)	unprognostic (2.43e-1)			unprognostic (1.24e-1)	unprognostic (3.25e-1)		unprognostic (2.42e-3)	Intestinal goblet cells
TFF3	HITF, ITF	ENSG00000160180	Trefoil factor 3	Q07654	21	42311667-42315651	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins			Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in many	4	cervix: 305.8;intestine: 355.3;salivary gland: 340.2;thyroid gland: 416.7	Cell type enriched	Detected in many	19	Intestinal goblet cells: 50891.2	Cancer enhanced	Detected in all		colorectal cancer: 765.0	Region enriched	Detected in single	6	midbrain: 1.9	Immune cell enriched	Detected in single	9	eosinophil: 1.8	Lineage enriched	Detected in single	18	granulocytes: 1.8	Cancer enhanced	Detected in many		breast cancer: 232.5;colorectal cancer: 99.3	Adipose subcutaneous - Smooth muscle cells, Skeletal muscle - Smooth muscle cells									CAB020681, HPA035464	Enhanced		Approved	Nucleoplasm,Nucleoli	Secreted to blood	No		151000000	6500000	Cluster 45: Eosinophils - Innate immune response	Cluster 37: Intestine - Unknown function	Cluster 19: Stomach & Colon cancer - Absorption	Cluster 26: Intestinal epithelial cells - Absorption	Nucleoplasm	Nucleoli	CAB020681: , HPA035464: AB_2674636	unprognostic (2.84e-2)	unprognostic (3.61e-3)	unprognostic (1.07e-1)	prognostic favorable (5.60e-6)	unprognostic (1.28e-1)	unprognostic (2.35e-2)	unprognostic (2.13e-1)	unprognostic (5.03e-2)	unprognostic (1.58e-1)	unprognostic (1.05e-1)	unprognostic (3.71e-1)	unprognostic (6.90e-2)	unprognostic (4.31e-2)	unprognostic (1.25e-1)	unprognostic (2.04e-1)	unprognostic (2.44e-2)	unprognostic (3.86e-2)	Intestinal goblet cells
RETNLB	FIZZ2, HXCP2, RELMb	ENSG00000163515	Resistin like beta	Q9BQ08	3	108743424-108757384	Predicted secreted proteins, Transporters		Hormone		Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Tissue enriched	Detected in some	58	intestine: 245.5	Cell type enriched	Detected in some	19	Intestinal goblet cells: 207.7	Cancer enriched	Detected in some	10	colorectal cancer: 16.4	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in single		colorectal cancer: 1.0	Colon - Colon enterocytes	Not detected	Not detected			Not detected	Not detected			HPA049152	Enhanced				Secreted to blood			123000			Cluster 37: Intestine - Unknown function	Cluster 41: Non-specific - Cilium assembly	Cluster 26: Intestinal epithelial cells - Absorption			HPA049152: AB_2680655			prognostic favorable (6.86e-5)			unprognostic (1.19e-3)		unprognostic (3.37e-2)		unprognostic (4.69e-2)				unprognostic (2.67e-2)	unprognostic (5.78e-2)		unprognostic (4.26e-1)	Intestinal goblet cells
ATOH1	bHLHa14, HATH1, MATH-1, Math1	ENSG00000172238	Atonal bHLH transcription factor 1	Q92858	4	93828753-93830964	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Differentiation, Neurogenesis, Transcription, Transcription regulation	Activator, Developmental protein, DNA-binding	Cancer-related genes	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	Tissue enriched	Detected in some	13	intestine: 20.0	Cell type enriched	Detected in some	24	Intestinal goblet cells: 269.5	Cancer enriched	Detected in some	4	colorectal cancer: 9.1	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in some	4	colorectal cancer: 3.7;Gastric cancer: 1.3;lung cancer: 2.5	Colon - Colon enterocytes	Not detected	Not detected			Not detected	Not detected			HPA049400			Approved	Nucleoplasm,Mitochondria,Cytosol							Cluster 9: Intestine - Unknown function	Cluster 7: Neuronal cell lines - Stereocilium	Cluster 26: Intestinal epithelial cells - Absorption	Mitochondria	Nucleoplasm, Cytosol	HPA049400: 			prognostic favorable (3.26e-5)								unprognostic (5.20e-1)	unprognostic (2.69e-1)		unprognostic (1.26e-1)	unprognostic (2.70e-1)			Intestinal goblet cells
ZG16	hZG16, JCLN, JCLN1, ZG16A	ENSG00000174992	Zymogen granule protein 16	O60844	16	29778256-29782973	Predicted secreted proteins	Protein transport, Transport			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	22	intestine: 479.5	Cell type enriched	Detected in some	29	Intestinal goblet cells: 44155.5	Cancer enriched	Detected in some	6	colorectal cancer: 21.7	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Colon - Colon enterocytes, Liver - Hepatocytes, Testis - Early spermatids	Not detected	Not detected							HPA052066, HPA052512	Enhanced				Secreted to digestive system				1300000		Cluster 37: Intestine - Unknown function	Cluster 65: Breast cancer - Unknown function	Cluster 26: Intestinal epithelial cells - Absorption			HPA052066: AB_2681716, HPA052512: AB_2681857	unprognostic (1.64e-2)	unprognostic (2.05e-1)	unprognostic (2.60e-3)	unprognostic (8.20e-2)		unprognostic (3.50e-2)	unprognostic (1.93e-2)	unprognostic (5.14e-2)		unprognostic (1.65e-1)	unprognostic (7.77e-2)	unprognostic (3.27e-1)		unprognostic (2.56e-2)	unprognostic (9.99e-2)	unprognostic (1.22e-1)	unprognostic (2.42e-1)	Intestinal goblet cells
P2RY4	NRU, P2P, P2Y4, UNR	ENSG00000186912	Pyrimidinergic receptor P2Y4	P51582	X	70258170-70259764	G-protein coupled receptors, Predicted membrane proteins		G-protein coupled receptor, Receptor, Transducer		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in single		intestine: 2.7	Cell type enriched	Detected in single	8	Intestinal goblet cells: 1.8	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected				Not detected	Not detected			Low region specificity	Detected in single			CAB022644	Uncertain										Cluster 56: Intestine - Transmembrane transport	Cluster 48: Non-specific - RNA binding	Cluster 26: Intestinal epithelial cells - Absorption			CAB022644: 	unprognostic (4.59e-2)	unprognostic (4.23e-1)	unprognostic (7.10e-2)		unprognostic (1.69e-1)	unprognostic (9.53e-4)	unprognostic (6.53e-2)	unprognostic (1.82e-1)	unprognostic (6.77e-2)	unprognostic (2.43e-1)	unprognostic (2.09e-1)	unprognostic (8.89e-3)	unprognostic (2.90e-2)	unprognostic (3.72e-2)	unprognostic (3.61e-2)	unprognostic (1.50e-2)	unprognostic (3.89e-1)	Intestinal goblet cells
