Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
GPR31	12-HETER, HETER1	ENSG00000120436	G protein-coupled receptor 31	O00270	6	167155247-167157980	G-protein coupled receptors, Predicted membrane proteins	Lipid metabolism	G-protein coupled receptor, Receptor, Transducer		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in single		lymphoid tissue: 1.4	Cell type enriched	Detected in single	5	Schwann cells: 5.0	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected				Not detected	Not detected							HPA014014, HPA027108	Uncertain									Cluster 28: Myeloid DCs - Unknown function	Cluster 16: Immune cells - Immune response		Cluster 75: Myeloid cells - Innate immune response			HPA014014: AB_1849292, HPA027108: AB_10601474	unprognostic (9.92e-2)	unprognostic (1.52e-1)	unprognostic (1.69e-3)	unprognostic (1.02e-1)	unprognostic (1.03e-1)	unprognostic (1.42e-3)		unprognostic (2.20e-3)	unprognostic (5.95e-3)	unprognostic (4.03e-2)	unprognostic (3.64e-2)	unprognostic (2.54e-1)	unprognostic (1.54e-2)	unprognostic (2.86e-1)	unprognostic (8.10e-4)	unprognostic (2.45e-1)	unprognostic (6.01e-2)	Schwann cells
SCN7A	NaG, Nav2.1, Nav2.2, SCN6A	ENSG00000136546	Sodium voltage-gated channel alpha subunit 7	Q01118	2	166403573-166611482	FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Ion transport, Sodium transport, Transport	Ion channel, Sodium channel, Voltage-gated channel	FDA approved drug targets	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		ovary: 45.4	Cell type enriched	Detected in many	4	Schwann cells: 720.1	Low cancer specificity	Detected in many			Low region specificity	Detected in many			Immune cell enhanced	Detected in single		basophil: 1.1	Lineage enriched	Detected in single	5	granulocytes: 1.1	Cancer enriched	Detected in many	4	Rhabdoid: 17.4	Colon - Enteric glia cells, Prostate - Fibroblasts	Low region specificity	Detected in many			Region enhanced	Detected in many		spinal cord: 7.6	HPA072715	Approved		Approved	Plasma membrane						Cluster 38: Basophils - Unknown function	Cluster 12: Smooth muscle tissue - Mixed function	Cluster 22: Rhabdoid cancers - Neuronal signaling	Cluster 25: Schwann cells & Melanocytes - Mixed function	Plasma membrane		HPA072715: 	unprognostic (1.22e-1)	unprognostic (6.42e-3)	unprognostic (9.72e-2)	unprognostic (7.43e-2)	unprognostic (2.18e-1)	unprognostic (1.78e-1)	unprognostic (1.86e-1)	unprognostic (4.00e-3)	unprognostic (5.21e-2)	unprognostic (6.84e-3)	unprognostic (6.88e-2)	unprognostic (1.27e-1)	unprognostic (5.80e-2)	unprognostic (3.71e-2)	unprognostic (1.47e-2)	unprognostic (1.35e-1)	unprognostic (1.22e-4)	Schwann cells
GFRA3	GFRa-3	ENSG00000146013	GDNF family receptor alpha 3	O60609	5	138252380-138274621	Predicted membrane proteins		Receptor		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		intestine: 13.0	Cell type enriched	Detected in some	4	Schwann cells: 119.2	Cancer enhanced	Detected in many		endometrial cancer: 11.9	Region enriched	Detected in single	8	cerebellum: 2.5	Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	8	Neuroblastoma: 14.2	Adipose subcutaneous - Smooth muscle cells, Colon - Enteric glia cells, Stomach - Fibroblasts, Thyroid - Fibroblasts	Not detected	Not detected							HPA020731	Approved		Supported	Plasma membrane,Cytosol					150000		Cluster 12: Smooth muscle tissue - Mixed function	Cluster 21: Neuroblastoma - Neuronal signaling	Cluster 25: Schwann cells & Melanocytes - Mixed function	Plasma membrane	Cytosol	HPA020731: AB_1849635	unprognostic (1.22e-1)	unprognostic (6.35e-2)	unprognostic (1.64e-1)	unprognostic (1.28e-1)	unprognostic (2.57e-1)	unprognostic (4.47e-2)	unprognostic (1.47e-3)	unprognostic (2.77e-3)	unprognostic (1.27e-1)	unprognostic (7.65e-3)	unprognostic (1.44e-1)	unprognostic (1.33e-2)	unprognostic (1.90e-5)	unprognostic (2.19e-2)	unprognostic (3.35e-1)	unprognostic (1.79e-1)	unprognostic (6.23e-2)	Schwann cells
LGI4		ENSG00000153902	Leucine rich repeat LGI family member 4	Q8N135	19	35124513-35142451	Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins			Disease variant	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Low tissue specificity	Detected in many			Cell type enriched	Detected in many	5	Schwann cells: 458.4	Group enriched	Detected in many	6	glioma: 4.5;melanoma: 11.5;renal cancer: 13.3	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		Kidney cancer: 4.8;skin cancer: 5.0	Colon - Enteric glia cells, Skin - Endothelial cells	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA042116, HPA043556	Approved		Approved	Golgi apparatus	Secreted in brain						Cluster 57: Non-specific - Angiogenesis	Cluster 33: Skin cancer - Membrane components	Cluster 25: Schwann cells & Melanocytes - Mixed function	Golgi apparatus		HPA042116: AB_2677855, HPA043556: AB_2678550	unprognostic (3.79e-1)	unprognostic (6.13e-2)	unprognostic (4.15e-2)	unprognostic (2.32e-1)	unprognostic (1.29e-2)	unprognostic (3.71e-2)	unprognostic (2.12e-2)	unprognostic (4.26e-2)	unprognostic (4.57e-2)	unprognostic (1.14e-1)	unprognostic (1.55e-1)	unprognostic (3.80e-3)	prognostic unfavorable (2.84e-7)	unprognostic (1.71e-2)	unprognostic (4.47e-1)	unprognostic (7.73e-2)	unprognostic (7.13e-2)	Schwann cells
MPZ	CMT1, CMT1B, CMT2I, CMT2J, HMSNIB, P0	ENSG00000158887	Myelin protein zero	P25189	1	161304735-161309968	Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins			Charcot-Marie-Tooth disease, Deafness, Dejerine-Sottas syndrome, Disease variant, Neurodegeneration, Neuropathy	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in many			Cell type enriched	Detected in many	16	Schwann cells: 561.3	Cancer enriched	Detected in many	11	melanoma: 83.9	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in many	8	Brain cancer: 20.8;skin cancer: 78.0	Colon - Enteric glia cells, Liver - Vascular Endothelial cells	Group enriched	Detected in some	4	olfactory bulb: 2.9;pons and medulla: 1.3	Region enriched	Detected in some	10	spinal cord: 2142.4	HPA068925	Enhanced									Cluster 52: Eosinophils - Transcription	Cluster 46: Fibroblasts - ECM organization	Cluster 33: Skin cancer - Membrane components	Cluster 25: Schwann cells & Melanocytes - Mixed function			HPA068925: AB_2732123	unprognostic (6.77e-2)	unprognostic (2.98e-1)	unprognostic (9.27e-2)	unprognostic (1.46e-1)	unprognostic (3.35e-2)	unprognostic (1.78e-1)	unprognostic (1.49e-2)	unprognostic (2.36e-1)	unprognostic (2.95e-1)	unprognostic (1.33e-1)	unprognostic (7.88e-3)	unprognostic (1.51e-1)	unprognostic (6.62e-8)	unprognostic (6.75e-2)	unprognostic (1.24e-1)	unprognostic (1.66e-1)	unprognostic (8.32e-2)	Schwann cells
S100B	S100beta	ENSG00000160307	S100 calcium binding protein B	P04271	21	46598604-46605208	Cancer-related genes, Candidate cardiovascular disease genes, Predicted intracellular proteins, Transporters			Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in many	8	brain: 1499.3;choroid plexus: 781.0	Cell type enriched	Detected in many	6	Schwann cells: 1902.7	Group enriched	Detected in all	58	glioma: 463.5;melanoma: 495.2	Low region specificity	Detected in all			Immune cell enhanced	Detected in many		gdT-cell: 360.9	Lineage enriched	Detected in all	6	T-cells: 360.9	Cancer enriched	Detected in many	8	skin cancer: 1209.4	Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Colon - Enteric glia cells, Stomach - Fibroblasts									CAB000073, HPA015768, CAB078196	Enhanced	Supported	Supported	Nucleoplasm,Vesicles,Cytosol					300000	Cluster 36: GdT-cells - Adaptive immune response	Cluster 70: Brain - Nervous system development	Cluster 33: Skin cancer - Membrane components	Cluster 25: Schwann cells & Melanocytes - Mixed function	Nucleoplasm, Cytosol	Vesicles	CAB000073: AB_10013383, CAB078196: AB_2665776, HPA015768: AB_1856538	unprognostic (5.67e-3)	unprognostic (6.39e-3)	unprognostic (2.08e-3)	unprognostic (2.08e-2)	unprognostic (4.54e-3)	unprognostic (1.10e-2)	unprognostic (1.01e-1)	unprognostic (6.68e-3)	unprognostic (2.03e-1)	unprognostic (1.37e-1)	unprognostic (8.57e-3)	unprognostic (6.70e-2)	unprognostic (4.41e-7)	unprognostic (3.55e-2)	unprognostic (7.56e-2)	unprognostic (1.07e-1)	unprognostic (1.74e-1)	Schwann cells
ANGPTL7	AngX, CDT6	ENSG00000171819	Angiopoietin like 7	O43827	1	11189355-11195981	Predicted secreted proteins				Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		adipose tissue: 15.9	Cell type enriched	Detected in some	4	Schwann cells: 75.5	Cancer enriched	Detected in some	14	melanoma: 18.4	Region enhanced	Detected in some		thalamus: 4.3	Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Colon - Enteric glia cells	Not detected	Not detected			Region enriched	Detected in all	13	spinal cord: 62.2						Secreted in other tissues				1100000		Cluster 46: Fibroblasts - ECM organization	Cluster 33: Skin cancer - Membrane components	Cluster 25: Schwann cells & Melanocytes - Mixed function				unprognostic (3.23e-2)	unprognostic (6.95e-2)	unprognostic (1.22e-1)	unprognostic (2.67e-3)	unprognostic (2.87e-3)	unprognostic (2.80e-1)		unprognostic (4.89e-2)	unprognostic (2.02e-1)	unprognostic (1.10e-1)	unprognostic (3.97e-1)	unprognostic (1.10e-1)	unprognostic (1.58e-2)	unprognostic (3.41e-3)	unprognostic (1.92e-1)	unprognostic (1.19e-3)	unprognostic (2.49e-2)	Schwann cells
XCR1	CCXCR1, GPR5	ENSG00000173578	X-C motif chemokine receptor 1	P46094	3	46017007-46027487	G-protein coupled receptors, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins		G-protein coupled receptor, Receptor, Transducer		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		lymphoid tissue: 11.2	Cell type enriched	Detected in some	4	Schwann cells: 32.5	Low cancer specificity	Detected in some			Not detected	Not detected			Immune cell enriched	Detected in single	5	myeloid DC: 3.8	Lineage enriched	Detected in single	5	dendritic cells: 3.8	Cancer enhanced	Detected in single		Myeloma: 2.0		Not detected	Not detected			Not detected	Not detected			HPA013169	Uncertain									Cluster 28: Myeloid DCs - Unknown function	Cluster 16: Immune cells - Immune response	Cluster 44: Myeloma - Humoral immune response	Cluster 75: Myeloid cells - Innate immune response			HPA013169: AB_1846211	unprognostic (3.49e-3)	unprognostic (4.23e-3)	unprognostic (1.15e-2)	unprognostic (5.91e-3)	unprognostic (7.91e-2)	unprognostic (8.53e-6)	unprognostic (3.89e-6)	unprognostic (9.27e-3)	unprognostic (4.41e-3)	unprognostic (3.40e-3)	unprognostic (2.03e-2)	unprognostic (1.30e-1)	unprognostic (1.87e-1)	unprognostic (5.98e-2)	unprognostic (1.60e-2)	unprognostic (1.30e-2)	unprognostic (1.80e-1)	Schwann cells
FOXD3	Genesis, HFH2	ENSG00000187140	Forkhead box D3	Q9UJU5	1	63322567-63325128	Disease related genes, Predicted intracellular proteins, Transcription factors	Transcription, Transcription regulation	Activator, Developmental protein, DNA-binding, Repressor		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in some		intestine: 5.2	Cell type enriched	Detected in some	4	Schwann cells: 72.2	Group enriched	Detected in some	6	melanoma: 9.9;testis cancer: 3.5	Region enriched	Detected in single	4	medulla oblongata: 1.9	Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in some	5	Bone cancer: 3.5;skin cancer: 10.3	Adipose subcutaneous - Smooth muscle cells, Colon - Enteric glia cells, Thyroid - Fibroblasts	Region enriched	Detected in single	13	olfactory bulb: 3.4	Group enriched	Detected in some	13	olfactory bulb: 8.6;spinal cord: 2.2	CAB022455	Uncertain										Cluster 12: Smooth muscle tissue - Mixed function	Cluster 33: Skin cancer - Membrane components	Cluster 25: Schwann cells & Melanocytes - Mixed function			CAB022455: 	unprognostic (1.39e-1)	unprognostic (3.23e-3)	unprognostic (2.33e-3)		unprognostic (4.63e-2)	unprognostic (7.79e-2)		unprognostic (8.22e-2)	unprognostic (3.83e-2)	unprognostic (1.29e-1)	unprognostic (9.92e-2)	unprognostic (3.28e-1)		unprognostic (3.00e-2)	unprognostic (8.56e-2)		unprognostic (5.83e-2)	Schwann cells
CLEC9A	CD370, DNGR-1, HEEE9341, UNQ9341	ENSG00000197992	C-type lectin domain containing 9A	Q6UXN8	12	10030678-10066031	CD markers, Predicted membrane proteins	Endocytosis	Receptor		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in some		lymphoid tissue: 7.5	Cell type enriched	Detected in some	13	Schwann cells: 246.9	Cancer enriched	Detected in some	5	testis cancer: 2.7	Low region specificity	Detected in all			Group enriched	Detected in some	96	myeloid DC: 22.0;neutrophil: 7.9	Group enriched	Detected in many	96	dendritic cells: 22.0;granulocytes: 7.9	Group enriched	Detected in some	21	Leukemia: 2.4;Myeloma: 3.2	Testis - Early spermatids, Thyroid - T-cells	Not detected	Not detected																	Cluster 28: Myeloid DCs - Unknown function	Cluster 32: Brain & Lymphoid tissue - Unknown function	Cluster 66: Myeloid cells - Innate immune response	Cluster 75: Myeloid cells - Innate immune response				unprognostic (1.13e-3)	unprognostic (1.21e-2)	unprognostic (5.00e-3)	unprognostic (7.85e-3)	unprognostic (1.28e-2)	unprognostic (1.56e-5)	unprognostic (6.58e-4)	unprognostic (4.73e-3)	unprognostic (9.65e-2)	unprognostic (7.45e-3)	unprognostic (8.15e-3)	unprognostic (1.24e-1)	unprognostic (1.39e-1)	unprognostic (2.21e-1)	unprognostic (7.93e-2)	unprognostic (3.45e-5)	unprognostic (2.17e-1)	Schwann cells
