Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
VSIG1	GPA34, MGC44287	ENSG00000101842	V-set and immunoglobulin domain containing 1	Q86XK7	X	108044970-108079184	Predicted intracellular proteins, Predicted membrane proteins				Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	4	stomach 1: 193.6	Cell type enriched	Detected in some	29	Gastric mucus-secreting cells: 315.4	Group enriched	Detected in many	17	lung cancer: 8.7;pancreatic cancer: 17.7;stomach cancer: 31.2	Not detected	Not detected			Immune cell enhanced	Detected in many		naive CD4 T-cell: 12.0;T-reg: 12.9	Lineage enriched	Detected in many	4	T-cells: 12.9	Cancer enhanced	Detected in some		liver cancer: 16.8;pancreatic cancer: 7.4	Stomach - Gastric mucous cells	Not detected	Not detected							HPA001445, HPA036310, HPA036311	Enhanced		Approved	Vesicles,Cytosol						Cluster 20: T-cells - T-cell receptor	Cluster 4: Stomach - Digestion	Cluster 61: Liver - Metabolism	Cluster 58: Gastric mucus-secreting cells - Digestion	Vesicles, Cytosol		HPA001445: AB_10669749, HPA036310: AB_10670795, HPA036311: AB_10673350	unprognostic (4.33e-3)	unprognostic (4.60e-2)	unprognostic (3.22e-2)	unprognostic (1.60e-1)	unprognostic (2.51e-1)	unprognostic (4.80e-2)	unprognostic (3.25e-2)	unprognostic (9.79e-2)	unprognostic (4.58e-1)	unprognostic (2.35e-2)	unprognostic (2.11e-2)	unprognostic (1.25e-1)	unprognostic (6.31e-7)	unprognostic (1.48e-1)	unprognostic (1.07e-1)	unprognostic (2.19e-2)	unprognostic (2.23e-3)	Gastric mucus-secreting cells
SLC5A5	NIS	ENSG00000105641	Solute carrier family 5 member 5	Q92911	19	17871945-17895174	Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters	Ion transport, Sodium transport, Symport, Transport		Congenital hypothyroidism, Disease variant, FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	8	choroid plexus: 163.3;salivary gland: 64.4;stomach 1: 58.8	Cell type enriched	Detected in some	38	Gastric mucus-secreting cells: 219.4	Cancer enhanced	Detected in many		thyroid cancer: 3.7	Group enriched	Detected in many	5	cerebellum: 5.6;hippocampal formation: 10.6;thalamus: 3.3	Low immune cell specificity	Detected in some			Low lineage specificity	Detected in many			Low cancer specificity	Detected in single			Lung - Respiratory ciliated cells, Stomach - Gastric mucous cells	Low region specificity	Detected in all			Low region specificity	Detected in many			CAB022364, HPA049055	Enhanced									Cluster 32: T-cells - Unknown function	Cluster 88: Choroid plexus - Transmembrane transport	Cluster 39: Non-specific - Unknown function	Cluster 58: Gastric mucus-secreting cells - Digestion			CAB022364: , HPA049055: AB_2680614	unprognostic (2.72e-2)	unprognostic (8.94e-2)	unprognostic (1.50e-1)	unprognostic (1.85e-1)	unprognostic (1.81e-1)	unprognostic (4.02e-2)	unprognostic (2.57e-1)	unprognostic (1.94e-2)	unprognostic (3.07e-1)	unprognostic (2.01e-2)	unprognostic (3.03e-1)	unprognostic (3.93e-2)	unprognostic (5.51e-8)	unprognostic (1.07e-2)	unprognostic (1.69e-1)	unprognostic (1.54e-2)	unprognostic (3.23e-1)	Gastric mucus-secreting cells
ANXA10	ANX14	ENSG00000109511	Annexin A10	Q9UJ72	4	168092537-168187736	Predicted intracellular proteins				Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	5	stomach 1: 486.3	Cell type enriched	Detected in some	6	Gastric mucus-secreting cells: 604.0	Group enriched	Detected in many	5	pancreatic cancer: 62.4;stomach cancer: 42.2;urothelial cancer: 19.6	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		Gallbladder cancer: 70.6;pancreatic cancer: 59.0	Liver - Hepatocytes, Stomach - Gastric mucous cells, Testis - Early spermatids, Testis - Late spermatids	Not detected	Not detected			Not detected	Not detected			HPA005469, HPA074650	Enhanced		Approved	Nucleoplasm,Nucleoli,Vesicles							Cluster 4: Stomach - Digestion	Cluster 19: Stomach & Colon cancer - Absorption	Cluster 74: Pancreatic cells - Mixed function	Nucleoplasm, Nucleoli	Vesicles	HPA005469: AB_1844849, HPA074650: 	unprognostic (2.29e-2)	unprognostic (8.71e-3)	unprognostic (2.48e-2)	unprognostic (1.71e-1)	unprognostic (4.69e-1)	unprognostic (2.29e-2)	prognostic favorable (3.64e-6)	unprognostic (1.18e-3)	unprognostic (2.88e-1)	unprognostic (8.61e-4)	unprognostic (3.43e-2)	unprognostic (1.84e-1)	unprognostic (1.69e-3)	unprognostic (8.41e-2)	unprognostic (4.01e-1)	unprognostic (2.04e-1)	unprognostic (8.89e-3)	Gastric mucus-secreting cells
SRMS	C20orf148, dJ697K14.1, PTK70, SRM	ENSG00000125508	Src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites	Q9H3Y6	20	63540810-63547504	Enzymes, Predicted intracellular proteins		Kinase, Transferase, Tyrosine-protein kinase		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in some		stomach 1: 1.6	Cell type enriched	Detected in single	10	Gastric mucus-secreting cells: 3.0	Low cancer specificity	Detected in many			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		breast cancer: 8.3;Gastric cancer: 8.0	Skin - Inner root sheath cells	Not detected	Not detected			Not detected	Not detected			CAB044668, CAB044669, HPA073987	Uncertain		Approved	Intermediate filaments,Actin filaments,Cytosol		No					Cluster 24: Salivary gland - Salivary secretion	Cluster 40: Non-specific - Enzymes	Cluster 58: Gastric mucus-secreting cells - Digestion	Intermediate filaments	Actin filaments, Cytosol	CAB044668: AB_10609403, CAB044669: AB_10608235, HPA073987: AB_2686650	unprognostic (2.26e-2)	unprognostic (1.26e-2)	unprognostic (2.52e-3)	unprognostic (8.32e-2)	unprognostic (2.62e-1)	unprognostic (5.47e-3)	unprognostic (1.65e-1)	unprognostic (2.28e-1)	unprognostic (9.63e-2)	unprognostic (6.48e-3)	unprognostic (7.28e-3)	unprognostic (1.46e-1)	unprognostic (1.73e-3)	unprognostic (2.58e-3)	unprognostic (4.75e-2)	unprognostic (4.97e-2)	unprognostic (2.54e-3)	Gastric mucus-secreting cells
CBLIF	GIF, IF, IFMH, INF, TCN3	ENSG00000134812	Cobalamin binding intrinsic factor	P27352	11	59829273-59845499	Disease related genes, Human disease related genes, Metabolic proteins, Predicted secreted proteins	Cobalt transport, Ion transport, Transport		Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	1859	stomach 1: 1575.7	Cell type enriched	Detected in some	112	Gastric mucus-secreting cells: 343.4	Cancer enriched	Detected in some	11	stomach cancer: 10.0	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in single	20	ovarian cancer: 2.0	Stomach - Parietal cells	Not detected	Not detected			Not detected	Not detected			HPA039908, HPA040774	Enhanced				Secreted to digestive system						Cluster 4: Stomach - Digestion	Cluster 39: Non-specific - Unknown function	Cluster 58: Gastric mucus-secreting cells - Digestion			HPA039908: AB_10796335, HPA040774: AB_10795626			unprognostic (2.78e-4)								unprognostic (1.04e-1)		unprognostic (2.45e-1)	unprognostic (3.59e-1)	unprognostic (1.66e-1)			Gastric mucus-secreting cells
TRIM50	FLJ32804, TRIM50A	ENSG00000146755	Tripartite motif containing 50	Q86XT4	7	73312536-73328082	Enzymes, Human disease related genes, Predicted intracellular proteins	Ubl conjugation pathway	Transferase		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	4	pancreas: 29.1;parathyroid gland: 33.3;stomach 1: 48.7	Cell type enriched	Detected in some	4	Gastric mucus-secreting cells: 20.9	Group enriched	Detected in some	8	liver cancer: 2.9;renal cancer: 6.0	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in some	11	Gastric cancer: 1.1;liver cancer: 1.7	Stomach - Parietal cells	Not detected	Not detected			Low region specificity	Detected in some			HPA019862, HPA047843	Uncertain		Approved	Cytosol							Cluster 29: Non-specific - Vesicular transport	Cluster 35: Liver cancer - Metabolism	Cluster 58: Gastric mucus-secreting cells - Digestion	Cytosol		HPA019862: AB_1858305, HPA047843: AB_2680176	unprognostic (1.93e-1)	unprognostic (3.93e-1)	unprognostic (1.07e-2)	unprognostic (5.96e-2)	unprognostic (3.87e-1)	unprognostic (2.66e-2)	unprognostic (1.49e-1)	unprognostic (3.04e-3)	unprognostic (2.63e-2)	unprognostic (2.00e-1)	unprognostic (2.13e-1)	unprognostic (1.33e-1)	prognostic favorable (9.36e-7)	unprognostic (3.91e-2)	unprognostic (1.60e-1)	unprognostic (1.20e-1)	unprognostic (2.25e-1)	Gastric mucus-secreting cells
GHRL	ghrelin, MTLRP, obestatin	ENSG00000157017	Ghrelin and obestatin prepropeptide	Q9UBU3	3	10285666-10292947	Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins		Hormone		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	19	stomach 1: 356.1	Cell type enriched	Detected in many	73	Gastric mucus-secreting cells: 1297.3	Cancer enhanced	Detected in some		stomach cancer: 3.0	Low region specificity	Detected in all			Group enriched	Detected in many	4	basophil: 17.5;classical monocyte: 11.0;eosinophil: 12.4;myeloid DC: 41.8;neutrophil: 25.7;plasmacytoid DC: 28.5	Group enriched	Detected in many	6	dendritic cells: 41.8;granulocytes: 25.7;monocytes: 11.0	Low cancer specificity	Detected in many				Low region specificity	Detected in single			Low region specificity	Detected in many			HPA014246, CAB022731	Enhanced				Secreted to blood			2580000	350000	Cluster 28: Myeloid DCs - Unknown function	Cluster 4: Stomach - Digestion	Cluster 66: Myeloid cells - Innate immune response	Cluster 58: Gastric mucus-secreting cells - Digestion			CAB022731: , HPA014246: AB_1849659	unprognostic (1.74e-2)	unprognostic (3.01e-4)	unprognostic (3.75e-1)	unprognostic (1.05e-2)	unprognostic (2.94e-2)	unprognostic (1.60e-3)	unprognostic (2.12e-1)	unprognostic (1.06e-3)	unprognostic (3.85e-1)	unprognostic (5.45e-3)	unprognostic (1.54e-3)	unprognostic (2.71e-2)	unprognostic (1.64e-3)	unprognostic (4.52e-2)	unprognostic (8.56e-2)	unprognostic (2.14e-1)	unprognostic (1.79e-4)	Gastric mucus-secreting cells
KCNE2	LQT6, MiRP1	ENSG00000159197	Potassium voltage-gated channel subfamily E regulatory subunit 2	Q9Y6J6	21	34364006-34371381	Disease related genes, Human disease related genes, Predicted membrane proteins	Ion transport, Potassium transport, Transport	Ion channel, Potassium channel, Voltage-gated channel	Atrial fibrillation, Disease variant, Long QT syndrome	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	44	stomach 1: 316.3	Cell type enriched	Detected in some	4	Gastric mucus-secreting cells: 137.7	Cancer enriched	Detected in some	6	stomach cancer: 2.9	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Testis - Early spermatids, Testis - Late spermatids	Region enhanced	Detected in many		pons and medulla: 29.0					HPA029706, HPA051553	Enhanced									Cluster 45: Eosinophils - Innate immune response	Cluster 4: Stomach - Digestion	Cluster 39: Non-specific - Unknown function	Cluster 58: Gastric mucus-secreting cells - Digestion			HPA029706: AB_2673159, HPA051553: AB_2681532	unprognostic (5.29e-4)	unprognostic (3.13e-1)	unprognostic (6.69e-2)	unprognostic (2.65e-5)	unprognostic (7.45e-2)	unprognostic (7.33e-3)	unprognostic (5.77e-3)	unprognostic (6.02e-3)	unprognostic (1.13e-1)	unprognostic (3.33e-2)	unprognostic (9.30e-2)	unprognostic (3.41e-2)	unprognostic (2.19e-3)	unprognostic (1.48e-1)	unprognostic (3.97e-2)	unprognostic (2.02e-1)	unprognostic (8.81e-2)	Gastric mucus-secreting cells
TFF1	BCEI, D21S21, HP1.A, HPS2, pNR-2, pS2	ENSG00000160182	Trefoil factor 1	P04155	21	42362282-42366535	Cancer-related genes, Plasma proteins, Predicted secreted proteins		Growth factor	Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	48	stomach 1: 7973.0	Cell type enriched	Detected in many	4	Gastric mucus-secreting cells: 11089.9	Group enriched	Detected in many	10	breast cancer: 402.1;colorectal cancer: 268.3;pancreatic cancer: 805.7;stomach cancer: 744.5	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in many	7	breast cancer: 1206.5	Colon - Colon enterocytes, Pancreas - Ductal cells, Stomach - Gastric mucous cells	Not detected	Not detected			Low region specificity	Detected in all			CAB002170, HPA003425	Enhanced				Secreted to digestive system				950000		Cluster 4: Stomach - Digestion	Cluster 65: Breast cancer - Unknown function	Cluster 74: Pancreatic cells - Mixed function			CAB002170: AB_563985, HPA003425: AB_1848260	prognostic favorable (5.00e-4)	unprognostic (8.81e-3)	unprognostic (9.82e-2)	prognostic favorable (5.67e-4)		unprognostic (2.42e-1)	unprognostic (1.72e-3)	unprognostic (8.14e-2)		unprognostic (2.45e-1)	unprognostic (1.52e-1)	unprognostic (6.62e-2)		unprognostic (1.01e-1)	unprognostic (1.19e-1)	unprognostic (7.72e-3)	unprognostic (1.07e-1)	Gastric mucus-secreting cells
MUCL3	bCX105N19.6, C6orf37, DPCR1, PBLT	ENSG00000168631	Mucin like 3	Q3MIW9	6	30934523-30954221	Predicted membrane proteins				Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	19	stomach 1: 202.8	Cell type enriched	Detected in some	9	Gastric mucus-secreting cells: 984.3	Group enriched	Detected in some	9	pancreatic cancer: 56.8;stomach cancer: 55.5	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in some	7	ovarian cancer: 12.6;pancreatic cancer: 10.2	Lung - Alveolar cells type 2, Stomach - Gastric mucous cells	Not detected	Not detected			Not detected	Not detected			HPA014036	Enhanced										Cluster 4: Stomach - Digestion	Cluster 39: Non-specific - Unknown function	Cluster 58: Gastric mucus-secreting cells - Digestion			HPA014036: AB_1847841	unprognostic (2.81e-1)	unprognostic (4.49e-2)	unprognostic (9.13e-4)	unprognostic (6.74e-2)	unprognostic (4.29e-2)	unprognostic (8.06e-2)	unprognostic (3.08e-1)	unprognostic (1.03e-1)	unprognostic (3.32e-3)	unprognostic (2.79e-1)	prognostic unfavorable (6.58e-4)	unprognostic (1.13e-1)	unprognostic (5.97e-2)	unprognostic (4.76e-2)	unprognostic (9.80e-2)	unprognostic (3.20e-2)	unprognostic (3.58e-2)	Gastric mucus-secreting cells
