Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
TRAF1	EBI6	ENSG00000056558	TNF receptor associated factor 1	Q13077	9	120902393-120929173	Cancer-related genes, Predicted intracellular proteins	Apoptosis		Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enriched	Detected in many	13	Langerhans cells: 420.7	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Immune cell enhanced	Detected in many		T-reg: 12.9	Lineage enriched	Detected in many	4	T-cells: 12.9	Cancer enhanced	Detected in many		lymphoma: 42.4		Low region specificity	Detected in many			Low region specificity	Detected in all			HPA001852, CAB009593	Enhanced		Approved	Nucleoplasm						Cluster 4: T-regs - Cell cycle regulation	Cluster 16: Immune cells - Immune response	Cluster 12: Lymphoid cancers - Adaptive immune response	Cluster 23: Langerhans cells - Immune response	Nucleoplasm		CAB009593: , HPA001852: AB_1080344	unprognostic (1.45e-3)	unprognostic (4.51e-2)	unprognostic (1.21e-2)	unprognostic (3.17e-3)	unprognostic (2.32e-2)	unprognostic (1.48e-3)	unprognostic (1.03e-1)	unprognostic (1.94e-1)	unprognostic (1.02e-2)	unprognostic (1.39e-1)	prognostic favorable (2.19e-5)	unprognostic (3.23e-1)	prognostic unfavorable (4.42e-5)	unprognostic (1.85e-3)	unprognostic (5.70e-3)	unprognostic (2.64e-1)	unprognostic (9.87e-3)	Langerhans cells
CCL22	A-152E5.1, ABCD-1, DC/B-CK, MDC, MGC34554, SCYA22, STCP-1	ENSG00000102962	C-C motif chemokine ligand 22	O00626	16	57358783-57366189	Predicted secreted proteins	Chemotaxis	Cytokine		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	4	intestine: 5.2;lymphoid tissue: 14.8;skin 1: 6.6;urinary bladder: 4.5	Cell type enriched	Detected in some	10	Langerhans cells: 262.0	Low cancer specificity	Detected in many			Not detected	Not detected			Low immune cell specificity	Detected in some			Low lineage specificity	Detected in many			Group enriched	Detected in some	7	Gallbladder cancer: 11.0;lymphoma: 40.6		Not detected	Not detected			Not detected	Not detected								Secreted to blood			617000		Cluster 17: Basophils - Unknown function	Cluster 3: T-cells - Adaptive immune response	Cluster 9: Lymphoid cancers - Immune response	Cluster 23: Langerhans cells - Immune response				unprognostic (2.67e-2)	unprognostic (7.68e-3)	prognostic favorable (2.98e-4)	prognostic favorable (2.23e-6)	unprognostic (8.87e-2)	prognostic favorable (9.17e-5)	unprognostic (1.20e-1)	unprognostic (8.85e-2)	unprognostic (1.34e-1)	unprognostic (1.81e-2)	unprognostic (1.85e-2)	unprognostic (2.55e-1)	unprognostic (1.15e-2)	unprognostic (7.71e-2)	unprognostic (3.43e-2)	unprognostic (3.12e-2)	unprognostic (3.88e-2)	Langerhans cells
IL4I1	FIG1	ENSG00000104951	Interleukin 4 induced 1	Q96RQ9	19	49889654-49929539	Enzymes, Metabolic proteins, Predicted secreted proteins	Adaptive immunity, Immunity	Oxidoreductase		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in many	5	lymphoid tissue: 18.3;testis: 26.8	Cell type enriched	Detected in many	4	Langerhans cells: 461.0	Cancer enhanced	Detected in all		ovarian cancer: 35.4	Low region specificity	Detected in many			Immune cell enhanced	Detected in many		MAIT T-cell: 103.4	Group enriched	Detected in many	6	monocytes: 36.8;T-cells: 103.4	Cancer enhanced	Detected in many		lymphoma: 33.8	Breast - T-cells, Testis - Early spermatids, Testis - Late spermatids	Not detected	Not detected			Low region specificity	Detected in all			HPA045598	Enhanced		Approved	Nucleoplasm,Cytosol	Secreted to blood					Cluster 16: MAIT-cells - Unknown function	Cluster 83: Testis - Spermatogenesis	Cluster 50: L-1236 & L-428 - Unknown function	Cluster 23: Langerhans cells - Immune response	Nucleoplasm, Cytosol		HPA045598: AB_10969138	unprognostic (6.23e-2)	unprognostic (1.32e-2)	unprognostic (8.39e-2)	unprognostic (1.50e-1)	prognostic unfavorable (1.33e-4)	unprognostic (5.61e-2)	unprognostic (3.74e-3)	unprognostic (7.03e-2)	unprognostic (2.52e-2)	unprognostic (3.84e-3)	unprognostic (1.49e-1)	unprognostic (1.18e-1)	prognostic unfavorable (1.23e-10)	unprognostic (2.10e-1)	unprognostic (1.01e-1)	unprognostic (6.44e-2)	unprognostic (2.11e-3)	Langerhans cells
IL23A	IL-23, IL-23A, IL23P19, P19, SGRF	ENSG00000110944	Interleukin 23 subunit alpha	Q9NPF7	12	56334174-56340410	FDA approved drug targets, Predicted secreted proteins	Antiviral defense, Immunity, Inflammatory response, Innate immunity, Tissue remodeling	Cytokine	FDA approved drug targets	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	5	urinary bladder: 44.5	Cell type enriched	Detected in many	4	Langerhans cells: 207.6	Low cancer specificity	Detected in all			Not detected	Not detected			Group enriched	Detected in many	7	MAIT T-cell: 14.1;memory B-cell: 18.9;memory CD4 T-cell: 25.7;memory CD8 T-cell: 12.5;naive B-cell: 21.5;naive CD4 T-cell: 28.1;naive CD8 T-cell: 17.6;T-reg: 15.6	Group enriched	Detected in many	12	B-cells: 21.5;T-cells: 28.1	Low cancer specificity	Detected in many			Testis - Early spermatids	Region enhanced	Detected in some		white matter: 3.9	Not detected	Not detected			HPA001554	Approved		Approved	Cytosol	Secreted to blood			11000		Cluster 30: Non-specific - Translation	Cluster 14: B-cells - Humoral immune response	Cluster 2: DU4475 - Unknown function	Cluster 74: Pancreatic cells - Mixed function	Cytosol		HPA001554: AB_1079135	unprognostic (2.34e-1)	unprognostic (1.22e-1)	unprognostic (1.27e-1)	unprognostic (1.06e-1)	unprognostic (5.24e-2)	unprognostic (4.01e-3)	unprognostic (4.40e-1)	unprognostic (1.43e-3)	unprognostic (1.30e-1)	unprognostic (6.79e-2)	unprognostic (3.38e-2)	unprognostic (4.16e-2)	unprognostic (3.03e-10)	unprognostic (1.66e-1)	unprognostic (1.08e-1)	unprognostic (1.83e-1)	unprognostic (4.50e-3)	Langerhans cells
IL12B	CLMF, CLMF2, IL-12B, NKSF, NKSF2	ENSG00000113302	Interleukin 12B	P29460	5	159314780-159330487	Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted secreted proteins		Cytokine	FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in single		lymphoid tissue: 1.4	Cell type enriched	Detected in single	8	Langerhans cells: 2.0	Cancer enriched	Detected in single	20	testis cancer: 3.4	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in single	16	lymphoma: 5.9		Not detected	Not detected			Not detected	Not detected			HPA040970	Supported				Secreted to blood			140000		Cluster 11: Basophils - Unknown function	Cluster 53: Non-specific - Cell cycle regulation	Cluster 9: Lymphoid cancers - Immune response	Cluster 23: Langerhans cells - Immune response			HPA040970: AB_10796234	unprognostic (5.96e-5)	unprognostic (4.59e-5)	unprognostic (1.05e-1)	unprognostic (3.40e-1)		unprognostic (9.13e-4)	unprognostic (6.89e-2)	unprognostic (2.58e-4)	unprognostic (6.69e-3)	unprognostic (3.83e-2)	unprognostic (4.50e-2)	unprognostic (2.53e-1)	unprognostic (7.15e-3)	unprognostic (9.25e-2)	unprognostic (1.87e-1)	unprognostic (1.07e-1)	unprognostic (1.02e-2)	Langerhans cells
CLEC10A	CD301, CLECSF13, CLECSF14, HML, HML2	ENSG00000132514	C-type lectin domain containing 10A	Q8IUN9	17	7074537-7080307	CD markers, Predicted intracellular proteins, Predicted membrane proteins	Adaptive immunity, Endocytosis, Immunity, Innate immunity			Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		lymphoid tissue: 29.4	Cell type enriched	Detected in some	5	Langerhans cells: 1026.8	Low cancer specificity	Detected in all			Low region specificity	Detected in single			Immune cell enriched	Detected in many	12	myeloid DC: 465.9	Lineage enriched	Detected in many	12	dendritic cells: 465.9	Not detected	Not detected			Skeletal muscle - Macrophages									HPA021937	Approved									Cluster 28: Myeloid DCs - Unknown function	Cluster 64: Macrophages - Immune response	Cluster 66: Myeloid cells - Innate immune response	Cluster 75: Myeloid cells - Innate immune response			HPA021937: AB_1846905	unprognostic (3.96e-3)	unprognostic (1.71e-3)	unprognostic (2.95e-2)	unprognostic (2.04e-3)	unprognostic (4.54e-2)	prognostic favorable (1.26e-5)	unprognostic (1.07e-1)	prognostic favorable (9.24e-4)	unprognostic (2.70e-2)	unprognostic (1.41e-1)	unprognostic (1.12e-1)	unprognostic (2.30e-1)	unprognostic (6.12e-2)	unprognostic (1.43e-1)	prognostic unfavorable (4.22e-4)	unprognostic (3.23e-1)	unprognostic (3.65e-1)	Langerhans cells
GPAT3	AGPAT10, AGPAT9, HMFN0839, LPAAT-theta, MAG1, MGC11324	ENSG00000138678	Glycerol-3-phosphate acyltransferase 3	Q53EU6	4	83535914-83605875	Enzymes, Metabolic proteins, Predicted membrane proteins	Lipid biosynthesis, Lipid metabolism, Phospholipid biosynthesis, Phospholipid metabolism	Acyltransferase, Transferase		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in all		kidney: 88.4	Cell type enriched	Detected in many	10	Langerhans cells: 1090.2	Low cancer specificity	Detected in many			Low region specificity	Detected in many			Immune cell enhanced	Detected in many		basophil: 182.5	Low lineage specificity	Detected in many			Low cancer specificity	Detected in many			Adipose visceral - Adipocytes (Visceral), Testis - Early spermatids	Low region specificity	Detected in all			Low region specificity	Detected in many			HPA029414	Approved									Cluster 38: Basophils - Unknown function	Cluster 87: Intestine & Kidney - Transmembrane transport	Cluster 61: Liver - Metabolism	Cluster 75: Myeloid cells - Innate immune response			HPA029414: AB_10601562	unprognostic (9.51e-2)	unprognostic (1.43e-2)	unprognostic (5.67e-2)	unprognostic (1.70e-1)	unprognostic (3.50e-3)	unprognostic (2.61e-2)	unprognostic (2.05e-1)	unprognostic (1.25e-1)	unprognostic (1.09e-2)	unprognostic (4.30e-2)	unprognostic (1.12e-1)	unprognostic (2.92e-1)	prognostic favorable (2.71e-9)	unprognostic (3.74e-1)	unprognostic (3.45e-2)	unprognostic (2.53e-3)	prognostic unfavorable (8.21e-4)	Langerhans cells
CD1A	CD1	ENSG00000158477	CD1a molecule	P06126	1	158254424-158258269	CD markers, Predicted membrane proteins	Adaptive immunity, Immunity			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	12	lymphoid tissue: 318.0	Cell type enriched	Detected in some	16	Langerhans cells: 206.8	Low cancer specificity	Detected in many			Not detected	Not detected			Group enriched	Detected in some	25	classical monocyte: 6.4;intermediate monocyte: 4.2;memory B-cell: 10.1;myeloid DC: 11.4;naive B-cell: 5.3	Group enriched	Detected in many	37	B-cells: 10.1;dendritic cells: 11.4;monocytes: 6.4	Cancer enriched	Detected in single	18	Leukemia: 12.8						Not detected	Not detected			CAB000009, HPA010734	Enhanced									Cluster 37: B-cells - Transcription	Cluster 63: T-cells - Adaptive immune response	Cluster 12: Lymphoid cancers - Adaptive immune response	Cluster 75: Myeloid cells - Innate immune response			CAB000009: AB_2073290, HPA010734: AB_1078452	unprognostic (7.21e-5)	prognostic favorable (6.37e-4)	unprognostic (1.37e-5)	unprognostic (2.55e-2)	unprognostic (2.83e-1)	unprognostic (1.16e-2)	unprognostic (9.93e-4)	unprognostic (1.49e-2)	unprognostic (3.12e-1)	unprognostic (3.86e-2)	unprognostic (6.99e-2)	unprognostic (5.12e-2)	unprognostic (5.49e-5)	unprognostic (5.58e-2)	unprognostic (1.72e-1)	unprognostic (1.76e-1)	unprognostic (8.81e-2)	Langerhans cells
CD1C	CD1	ENSG00000158481	CD1c molecule	P29017	1	158289923-158294774	CD markers, Predicted intracellular proteins, Predicted membrane proteins	Adaptive immunity, Immunity			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	11	lymphoid tissue: 130.4	Cell type enriched	Detected in some	10	Langerhans cells: 750.6	Low cancer specificity	Detected in many			Not detected	Not detected			Group enriched	Detected in many	4	memory B-cell: 84.1;myeloid DC: 324.9	Group enriched	Detected in many	8	B-cells: 84.1;dendritic cells: 324.9	Group enriched	Detected in some	34	Leukemia: 5.0;lymphoma: 4.6	Liver - T-cells, Skin - Langerhans cells, Thyroid - T-cells									HPA068359			Approved	Endoplasmic reticulum,Golgi apparatus,Vesicles					200000	Cluster 28: Myeloid DCs - Unknown function	Cluster 3: T-cells - Adaptive immune response	Cluster 12: Lymphoid cancers - Adaptive immune response	Cluster 75: Myeloid cells - Innate immune response	Golgi apparatus, Vesicles	Endoplasmic reticulum	HPA068359: 	unprognostic (2.55e-3)	prognostic favorable (1.79e-5)	unprognostic (1.75e-5)	unprognostic (3.09e-5)	unprognostic (3.12e-2)	unprognostic (8.13e-3)	unprognostic (2.01e-1)	unprognostic (3.80e-3)	unprognostic (7.11e-3)	unprognostic (1.87e-1)	unprognostic (7.41e-2)	unprognostic (1.93e-1)	unprognostic (1.04e-1)	unprognostic (1.46e-1)	unprognostic (1.67e-1)	unprognostic (8.05e-2)	unprognostic (1.99e-1)	Langerhans cells
CD1B	CD1	ENSG00000158485	CD1b molecule	P29016	1	158327951-158331531	CD markers, Predicted membrane proteins	Adaptive immunity, Immunity			Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	157	lymphoid tissue: 528.9	Cell type enriched	Detected in some	37	Langerhans cells: 202.3	Low cancer specificity	Detected in some			Not detected	Not detected			Immune cell enriched	Detected in some	6	myeloid DC: 19.2	Lineage enriched	Detected in many	6	dendritic cells: 19.2	Cancer enriched	Detected in single	497	Leukemia: 49.6										HPA021824	Approved		Approved	Golgi apparatus,Vesicles,Cytosol						Cluster 28: Myeloid DCs - Unknown function	Cluster 63: T-cells - Adaptive immune response	Cluster 12: Lymphoid cancers - Adaptive immune response	Cluster 75: Myeloid cells - Innate immune response	Golgi apparatus, Vesicles	Cytosol	HPA021824: AB_1846262	unprognostic (7.72e-3)	unprognostic (1.55e-4)	unprognostic (1.66e-5)	unprognostic (1.04e-2)		unprognostic (1.06e-3)	unprognostic (1.81e-1)	unprognostic (2.89e-4)	unprognostic (2.27e-2)	unprognostic (2.19e-1)	unprognostic (1.33e-1)	unprognostic (9.53e-2)	unprognostic (3.23e-1)	unprognostic (3.52e-1)	unprognostic (1.56e-1)	unprognostic (1.89e-1)	unprognostic (3.53e-2)	Langerhans cells
