Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
PRDM11	PFM8	ENSG00000019485	PR/SET domain 11	Q9NQV5	11	45095806-45235110	Plasma proteins, Predicted intracellular proteins	Transcription, Transcription regulation	Methyltransferase, Transferase		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enriched	Detected in many	4	Microglial cells: 58.4	Low cancer specificity	Detected in many			Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in all				Low region specificity	Detected in all			Low region specificity	Detected in all			HPA057072	Approved										Cluster 35: Non-specific - Unknown function	Cluster 60: Keratinocytes - Epithelial cell function	Cluster 72: Smooth muscle cells - ECM organization			HPA057072: AB_2683328	unprognostic (3.32e-4)	unprognostic (3.94e-2)	unprognostic (3.01e-1)	unprognostic (1.71e-3)	unprognostic (4.27e-2)	unprognostic (2.23e-2)	unprognostic (7.10e-4)	unprognostic (7.06e-2)	unprognostic (1.41e-1)	unprognostic (2.23e-1)	unprognostic (9.57e-5)	unprognostic (1.60e-1)	unprognostic (4.93e-6)	unprognostic (9.25e-2)	unprognostic (2.88e-1)	unprognostic (1.39e-3)	unprognostic (2.21e-1)	Microglial cells
FGF20		ENSG00000078579	Fibroblast growth factor 20	Q9NP95	8	16992181-17002345	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, RAS pathway related proteins		Growth factor		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in some		brain: 2.5	Cell type enriched	Detected in some	5	Microglial cells: 8.2	Cancer enhanced	Detected in many		endometrial cancer: 2.5	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in some	4	Gastric cancer: 19.2;Rhabdoid: 4.8		Not detected	Not detected			Region enriched	Detected in single	5	cerebellum: 1.8						Secreted in other tissues						Cluster 70: Brain - Nervous system development	Cluster 34: Rabdoid cancer - Embryonic development	Cluster 69: Macrophages - Innate immune response				unprognostic (1.93e-2)		unprognostic (2.19e-1)	unprognostic (5.57e-3)	unprognostic (3.95e-2)			unprognostic (1.59e-3)		unprognostic (1.40e-2)	unprognostic (1.94e-1)	unprognostic (2.65e-2)	unprognostic (9.32e-2)	unprognostic (9.95e-2)	unprognostic (3.92e-1)	unprognostic (4.08e-2)		Microglial cells
ATP8B4	ATPIM, KIAA1939	ENSG00000104043	ATPase phospholipid transporting 8B4 (putative)	Q8TF62	15	49858238-50182817	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Lipid transport, Transport	Translocase		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	12	bone marrow: 78.1	Cell type enriched	Detected in many	7	Microglial cells: 241.7	Low cancer specificity	Detected in some			Low region specificity	Detected in all			Immune cell enhanced	Detected in many		basophil: 15.2;NK-cell: 11.0	Group enriched	Detected in many	5	granulocytes: 15.2;NK-cells: 11.0	Cancer enriched	Detected in some	5	Leukemia: 15.0	Skin - Endothelial cells	Not detected	Not detected			Low region specificity	Detected in many			HPA040254	Approved		Uncertain	Nucleoplasm,Vesicles,Cytosol						Cluster 31: Non-specific - Inflammatory response	Cluster 67: Neutrophils - Humoral immune response	Cluster 66: Myeloid cells - Innate immune response	Cluster 69: Macrophages - Innate immune response	Nucleoplasm, Vesicles	Cytosol	HPA040254: AB_10673028	unprognostic (6.45e-3)	unprognostic (3.83e-2)	unprognostic (5.39e-2)	unprognostic (2.96e-3)	unprognostic (3.25e-1)	unprognostic (6.51e-3)	unprognostic (1.03e-1)	unprognostic (4.87e-3)	unprognostic (1.64e-2)	unprognostic (5.11e-2)	unprognostic (1.20e-1)	unprognostic (3.74e-2)	unprognostic (5.99e-2)	unprognostic (5.12e-2)	unprognostic (1.20e-2)	unprognostic (1.53e-1)	unprognostic (2.08e-1)	Microglial cells
TBX18		ENSG00000112837	T-box transcription factor 18	O95935	6	84687351-84764598	Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors	Transcription, Transcription regulation	Developmental protein, DNA-binding, Repressor	Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		adipose tissue: 10.3	Cell type enriched	Detected in some	4	Microglial cells: 89.4	Low cancer specificity	Detected in many			Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in many			Adipose subcutaneous - Smooth muscle cells, Kidney - Fibroblasts, Lung - Fibroblast_2, Testis - Spermatogonia	Low region specificity	Detected in many			Low region specificity	Detected in many			HPA006807			Supported	Nucleoplasm							Cluster 82: Adipose tissue - ECM organization	Cluster 20: Connective tissue cells - ECM organization	Cluster 72: Smooth muscle cells - ECM organization	Nucleoplasm		HPA006807: 	unprognostic (8.04e-2)	unprognostic (7.06e-3)	unprognostic (9.71e-2)	unprognostic (2.31e-1)	unprognostic (4.00e-1)	unprognostic (1.62e-1)	unprognostic (2.19e-1)	unprognostic (3.24e-1)	unprognostic (2.57e-1)	unprognostic (7.92e-2)	unprognostic (3.50e-1)	unprognostic (1.12e-1)	unprognostic (1.88e-14)	unprognostic (4.81e-5)	unprognostic (1.86e-1)	unprognostic (3.07e-3)	unprognostic (1.78e-1)	Microglial cells
ABCC4	EST170205, MOAT-B, MOATB, MRP4	ENSG00000125257	ATP binding cassette subfamily C member 4	O15439	13	95019835-95301475	Enzymes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters	Lipid transport, Transport	Translocase		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		prostate: 41.1	Cell type enriched	Detected in many	4	Microglial cells: 197.9	Cancer enriched	Detected in all	8	prostate cancer: 90.8	Low region specificity	Detected in all			Low immune cell specificity	Detected in many			Low lineage specificity	Detected in many			Cancer enhanced	Detected in all		prostate cancer: 65.1	Lung - Alveolar cells type 2, Prostate - Prostate glandular cells, Testis - Spermatogonia	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA002476	Enhanced		Supported	Nucleoli,Golgi apparatus,Plasma membrane						Cluster 27: Non-specific - Gene expression	Cluster 1: Thyroid gland - Transcription	Cluster 62: Granulocytes - Innate immune response	Cluster 4: Platelets - Platelet activation	Plasma membrane	Nucleoli, Golgi apparatus	HPA002476: AB_1844434	unprognostic (8.77e-2)	unprognostic (1.94e-2)	unprognostic (1.48e-1)	prognostic unfavorable (9.89e-4)	unprognostic (2.83e-2)	unprognostic (1.23e-1)	unprognostic (7.45e-3)	unprognostic (2.40e-2)	unprognostic (9.96e-2)	unprognostic (2.60e-2)	unprognostic (1.28e-1)	unprognostic (2.55e-2)	prognostic favorable (2.25e-10)	unprognostic (7.44e-3)	unprognostic (1.67e-1)	unprognostic (5.55e-2)	unprognostic (2.35e-2)	Microglial cells
RASGEF1C	FLJ35841	ENSG00000146090	RasGEF domain family member 1C	Q8N431	5	180100795-180209211	Predicted intracellular proteins		Guanine-nucleotide releasing factor		Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	Group enriched	Detected in some	4	brain: 21.9;testis: 5.8	Cell type enriched	Detected in some	9	Microglial cells: 183.3	Cancer enhanced	Detected in some		glioma: 2.4	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in single			Colon - Enteric glia cells, Testis - Early spermatids	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA028242	Uncertain		Approved	Mitochondria							Cluster 69: Cerebellum - Gene expression regulation	Cluster 47: Retina - Visual perception	Cluster 42: Spermatocytes & Spermatids - Spermatogenesis	Mitochondria		HPA028242: AB_10602294	unprognostic (2.21e-1)	unprognostic (2.18e-1)	unprognostic (2.23e-1)	unprognostic (4.75e-4)	unprognostic (4.65e-2)	unprognostic (4.04e-2)	unprognostic (3.84e-2)	unprognostic (1.02e-3)	unprognostic (2.02e-1)	unprognostic (1.16e-1)	unprognostic (2.35e-2)	unprognostic (2.34e-1)	unprognostic (1.65e-4)	unprognostic (5.89e-2)	unprognostic (8.25e-3)	unprognostic (3.70e-1)	unprognostic (1.77e-2)	Microglial cells
KCNK13	K2p13.1, THIK-1, THIK1	ENSG00000152315	Potassium two pore domain channel subfamily K member 13	Q9HB14	14	90061994-90185853	Predicted membrane proteins, Voltage-gated ion channels	Ion transport, Potassium transport, Transport	Ion channel, Potassium channel, Voltage-gated channel		Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	Tissue enhanced	Detected in some		choroid plexus: 5.6;parathyroid gland: 6.0;testis: 9.2	Cell type enriched	Detected in some	4	Microglial cells: 40.1	Cancer enhanced	Detected in many		testis cancer: 5.3	Low region specificity	Detected in many			Immune cell enhanced	Detected in single		myeloid DC: 1.2	Lineage enhanced	Detected in single		dendritic cells: 1.2	Cancer enhanced	Detected in some		testis cancer: 2.9	Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Liver - Kupffer cells, Lung - Macrophages, Testis - Sertoli cells	Low region specificity	Detected in all			Low region specificity	Detected in many			HPA003514	Approved		Approved	Nuclear speckles,Cell Junctions						Cluster 28: Myeloid DCs - Unknown function	Cluster 48: Parathyroid gland - membrane proteins	Cluster 54: Lymphoma - Cytokine signaling	Cluster 12: Non-specific - Chromatin organization	Nuclear speckles, Cell Junctions		HPA003514: AB_2666978	unprognostic (1.40e-1)	unprognostic (1.73e-1)	unprognostic (6.17e-2)	unprognostic (6.31e-2)	unprognostic (2.56e-1)	unprognostic (5.55e-2)	unprognostic (3.56e-2)	unprognostic (3.98e-2)	unprognostic (2.40e-1)	unprognostic (2.34e-1)	unprognostic (1.85e-1)	unprognostic (3.45e-2)	unprognostic (1.97e-1)	unprognostic (2.04e-2)	unprognostic (6.32e-2)	unprognostic (1.46e-1)	unprognostic (5.65e-2)	Microglial cells
P2RY12	HORK3, P2Y12, SP1999	ENSG00000169313	Purinergic receptor P2Y12	Q9H244	3	151336843-151384753	Disease related genes, FDA approved drug targets, G-protein coupled receptors, Human disease related genes, Predicted membrane proteins, Transporters	Blood coagulation, Hemostasis	G-protein coupled receptor, Receptor, Transducer	Disease variant, FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		brain: 13.8;lymphoid tissue: 9.8	Cell type enriched	Detected in some	21	Microglial cells: 410.5	Cancer enriched	Detected in many	14	glioma: 17.3	Low region specificity	Detected in all			Immune cell enhanced	Detected in some		intermediate monocyte: 8.3	Group enriched	Detected in many	11	dendritic cells: 3.2;monocytes: 8.3	Not detected	Not detected			Pancreas - Macrophages	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA013796, HPA014518	Enhanced									Cluster 7: Monocytes - Unknown function	Cluster 73: Brain - Neuropeptide signaling	Cluster 64: Lymphoma - Humoral immune response	Cluster 69: Macrophages - Innate immune response			HPA013796: AB_1854884, HPA014518: AB_2669027	unprognostic (2.39e-2)	unprognostic (1.60e-3)	unprognostic (5.93e-2)	unprognostic (1.77e-1)	unprognostic (2.41e-2)	unprognostic (2.52e-2)	unprognostic (8.09e-2)	unprognostic (1.72e-3)	unprognostic (6.46e-2)	unprognostic (8.64e-4)	unprognostic (4.84e-2)	unprognostic (5.96e-2)	unprognostic (2.03e-1)	unprognostic (8.92e-2)	unprognostic (1.65e-1)	unprognostic (3.52e-2)	unprognostic (4.04e-1)	Microglial cells
SFMBT2	KIAA1617	ENSG00000198879	Scm like with four mbt domains 2	Q5VUG0	10	7158624-7411486	Predicted intracellular proteins		Repressor		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in all		brain: 27.7	Cell type enriched	Detected in many	4	Microglial cells: 602.0	Low cancer specificity	Detected in many			Low region specificity	Detected in all			Immune cell enhanced	Detected in some		non-classical monocyte: 4.6	Low lineage specificity	Detected in many			Cancer enhanced	Detected in many		Myeloma: 18.1		Low region specificity	Detected in many			Low region specificity	Detected in all			HPA035447, HPA035448, HPA070388	Uncertain		Supported	Nucleoplasm,Nuclear speckles						Cluster 51: Monocytes - Innate immune response	Cluster 77: Retina - Visual perception	Cluster 66: Myeloid cells - Innate immune response	Cluster 10: Neurons & Oligodendrocytes - Nervous system development	Nucleoplasm, Nuclear speckles		HPA035447: AB_2674628, HPA035448: AB_10669904, HPA070388: 	unprognostic (4.36e-2)	unprognostic (2.29e-2)	unprognostic (4.36e-2)	unprognostic (1.42e-3)	unprognostic (3.23e-2)	unprognostic (2.05e-3)	unprognostic (4.65e-1)	unprognostic (4.56e-1)	unprognostic (1.03e-1)	unprognostic (6.51e-2)	unprognostic (5.57e-2)	unprognostic (1.38e-1)	unprognostic (2.41e-2)	unprognostic (1.26e-1)	unprognostic (9.17e-3)	unprognostic (5.37e-3)	unprognostic (7.29e-2)	Microglial cells
SMIM35	TMPRSS4-AS1	ENSG00000255274	Small integral membrane protein 35	A0A1B0GVV1	11	118003634-118088299	Predicted membrane proteins				Evidence at transcript level	Evidence at transcript level	No human protein/transcript evidence	Evidence at transcript level	Tissue enhanced	Detected in some		bone marrow: 1.2;kidney: 1.1	Cell type enriched	Detected in some	10	Microglial cells: 17.3	Not detected	Not detected			Not detected	Not detected			Immune cell enhanced	Detected in single		T-reg: 1.6	Low lineage specificity	Detected in single			Not detected	Not detected			Thyroid - T-cells	Group enriched	Detected in some	5	basal ganglia: 1.2;olfactory bulb: 3.5	Region enriched	Detected in some	6	basal ganglia: 7.9											Cluster 35: T-regs - Unknown function	Cluster 2: Immune cells - Immune response	Cluster 44: Myeloma - Humoral immune response	Cluster 12: Non-specific - Chromatin organization					unprognostic (8.83e-2)	unprognostic (3.42e-2)	unprognostic (2.64e-1)		unprognostic (1.58e-1)		unprognostic (3.04e-4)		unprognostic (2.92e-1)	unprognostic (1.09e-1)			unprognostic (1.64e-1)			unprognostic (1.88e-1)	Microglial cells
