Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
ACP3	ACP-3, ACPP, PAP, TM-PAP	ENSG00000014257	Acid phosphatase 3	P15309	3	132317369-132368298	Cancer-related genes, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Lipid metabolism	Hydrolase	Cancer-related genes, FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	76	prostate: 3643.7	Cell type enriched	Detected in many	444	Prostatic glandular cells: 16978.5	Cancer enriched	Detected in many	275	prostate cancer: 1227.2	Low region specificity	Detected in many			Immune cell enhanced	Detected in many		eosinophil: 139.7	Lineage enhanced	Detected in many		granulocytes: 139.7	Cancer enriched	Detected in many	38	prostate cancer: 274.8	Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Breast - Breast glandular cells, Lung - Alveolar cells type 2, Prostate - Prostate glandular cells	Not detected	Not detected			Low region specificity	Detected in all			CAB000071, HPA004335, HPA063916	Enhanced				Secreted to blood			460000	480000	Cluster 45: Eosinophils - Innate immune response	Cluster 51: Non-specific - Unknown function	Cluster 24: Prostate cancer - Lipid metabolism	Cluster 73: Prostatic glandular cells - Transcription			CAB000071: , HPA004335: AB_1079684, HPA063916: AB_2685152	unprognostic (6.67e-2)	unprognostic (4.70e-2)	unprognostic (1.76e-1)	unprognostic (7.77e-2)	unprognostic (1.74e-1)	unprognostic (2.58e-2)	unprognostic (2.46e-1)	unprognostic (7.41e-2)	unprognostic (1.81e-1)	unprognostic (3.78e-3)	unprognostic (2.14e-1)	unprognostic (5.95e-2)	unprognostic (9.38e-2)	unprognostic (1.35e-1)	unprognostic (1.18e-1)	unprognostic (3.91e-2)	unprognostic (1.71e-1)	Prostatic glandular cells
RDH11	ARSDR1, MDT1, SDR7C1	ENSG00000072042	Retinol dehydrogenase 11	Q8TC12	14	67676800-67695793	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins	Lipid metabolism	Oxidoreductase	Cataract, Dwarfism	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in all		prostate: 582.0	Cell type enriched	Detected in many	6	Prostatic glandular cells: 1496.4	Cancer enriched	Detected in all	13	prostate cancer: 286.6	Low region specificity	Detected in all			Low immune cell specificity	Detected in all			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all			Adipose visceral - Adipose progenitor cells, Liver - Hepatocytes, Prostate - Prostate glandular cells, Skin - Sebaceous gland cells, Thyroid - Thyroid glandular cells	Low region specificity	Detected in all			Low region specificity	Detected in all			CAB046011	Enhanced				Intracellular and membrane				340000	Cluster 46: Basophils - DNA binding	Cluster 29: Non-specific - Vesicular transport	Cluster 24: Prostate cancer - Lipid metabolism	Cluster 73: Prostatic glandular cells - Transcription			CAB046011: AB_11129613	unprognostic (1.38e-1)	unprognostic (6.86e-3)	unprognostic (1.77e-1)	prognostic favorable (2.62e-4)	unprognostic (6.06e-2)	prognostic unfavorable (2.89e-5)	unprognostic (9.29e-2)	unprognostic (1.98e-1)	unprognostic (1.05e-1)	unprognostic (3.58e-2)	unprognostic (2.91e-2)	unprognostic (1.27e-1)	prognostic favorable (1.30e-7)	unprognostic (1.65e-1)	unprognostic (1.68e-1)	unprognostic (2.18e-1)	unprognostic (4.74e-2)	Prostatic glandular cells
NEFH	NF-H, NFH	ENSG00000100285	Neurofilament heavy	P12036	22	29480218-29491390	Disease related genes, Human disease related genes, Predicted intracellular proteins			Amyotrophic lateral sclerosis, Charcot-Marie-Tooth disease, Disease variant, Neurodegeneration, Neuropathy	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in many	10	brain: 544.0;prostate: 245.9	Cell type enriched	Detected in many	44	Prostatic glandular cells: 2118.8	Cancer enriched	Detected in many	4	prostate cancer: 130.0	Low region specificity	Detected in all			Immune cell enhanced	Detected in some		non-classical monocyte: 4.7	Lineage enriched	Detected in single	5	monocytes: 4.7	Cancer enhanced	Detected in many		Bone cancer: 39.7;cervical cancer: 63.1;Neuroblastoma: 38.8	Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Colon - Colon enteroendocrine cells, Lung - Macrophages, Prostate - Prostate glandular cells	Low region specificity	Detected in all			Region enriched	Detected in all	5	spinal cord: 1241.2	CAB007786, HPA061615	Enhanced									Cluster 51: Monocytes - Innate immune response	Cluster 70: Brain - Nervous system development	Cluster 47: Retina - Visual perception	Cluster 73: Prostatic glandular cells - Transcription			CAB007786: AB_598179, HPA061615: AB_2684568	prognostic favorable (2.33e-6)	unprognostic (6.17e-3)	unprognostic (9.74e-2)	unprognostic (3.20e-2)	unprognostic (1.13e-1)	unprognostic (6.19e-3)	unprognostic (2.63e-4)	unprognostic (2.95e-2)	unprognostic (1.68e-1)	unprognostic (6.42e-2)	unprognostic (5.85e-2)	unprognostic (6.64e-3)	unprognostic (1.57e-3)	unprognostic (1.54e-1)	unprognostic (2.59e-1)	unprognostic (1.31e-2)	unprognostic (1.47e-1)	Prostatic glandular cells
RLN1	H1	ENSG00000107018	Relaxin 1	P04808	9	5334930-5339876	Plasma proteins, Predicted secreted proteins		Hormone		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	71	prostate: 23.4	Cell type enriched	Detected in some	14	Prostatic glandular cells: 46.6	Cancer enriched	Detected in some	106	prostate cancer: 67.0	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in single	48	prostate cancer: 5.0	Prostate - Prostate glandular cells, Testis - Early spermatids														Secreted to blood						Cluster 51: Non-specific - Unknown function	Cluster 24: Prostate cancer - Lipid metabolism	Cluster 73: Prostatic glandular cells - Transcription				unprognostic (7.12e-6)	unprognostic (2.32e-1)	unprognostic (7.29e-2)	unprognostic (1.98e-1)	unprognostic (2.22e-2)	unprognostic (1.04e-1)		unprognostic (4.32e-2)	unprognostic (3.44e-1)	unprognostic (5.14e-2)	unprognostic (4.08e-4)	unprognostic (8.15e-2)	unprognostic (2.89e-4)	unprognostic (8.82e-3)	unprognostic (3.23e-2)	unprognostic (3.23e-2)	unprognostic (1.53e-2)	Prostatic glandular cells
NPY	PYY4	ENSG00000122585	Neuropeptide Y	P01303	7	24284188-24291862	FDA approved drug targets, Plasma proteins, Predicted secreted proteins		Neuropeptide	FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in many	12	adrenal gland: 122.6;brain: 423.9;prostate: 332.8	Cell type enriched	Detected in some	29	Prostatic glandular cells: 1659.0	Cancer enriched	Detected in many	187	prostate cancer: 1214.9	Region enriched	Detected in all	7	hypothalamus: 423.9	Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in many	15	Neuroblastoma: 352.9;prostate cancer: 320.7	Prostate - Prostate glandular cells	Low region specificity	Detected in all			Low region specificity	Detected in many			CAB016733, CAB034368, HPA036636, HPA044572, HPA056798	Supported	Supported	Supported	Golgi apparatus	Secreted to blood			30700000	21000		Cluster 26: Pituitary gland - Hormone signaling	Cluster 20: Connective tissue cells - ECM organization	Cluster 73: Prostatic glandular cells - Transcription	Golgi apparatus		CAB016733: , CAB034368: AB_2298657, HPA036636: , HPA044572: AB_2678996, HPA056798: AB_2630371			unprognostic (2.00e-1)	prognostic unfavorable (5.78e-4)	unprognostic (4.15e-1)					unprognostic (3.76e-2)	unprognostic (1.59e-2)	unprognostic (1.87e-1)	unprognostic (6.30e-2)	unprognostic (1.24e-2)	unprognostic (1.78e-1)	unprognostic (2.52e-1)		Prostatic glandular cells
PDE11A		ENSG00000128655	Phosphodiesterase 11A	Q9HCR9	2	177623244-178072777	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins		Allosteric enzyme, Hydrolase	Cushing syndrome	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		liver: 6.3;parathyroid gland: 9.8	Cell type enriched	Detected in many	7	Prostatic glandular cells: 141.6	Cancer enhanced	Detected in some		prostate cancer: 1.7	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in some	5	Kidney cancer: 6.2;Rhabdoid: 7.2	Prostate - Prostate glandular cells, Skin - Eccrine sweat gland cells, Testis - Early spermatids, Testis - Late spermatids									HPA034560	Approved				Intracellular and membrane						Cluster 48: Parathyroid gland - membrane proteins	Cluster 68: Kidney - Mixed function	Cluster 73: Prostatic glandular cells - Transcription			HPA034560: AB_10602140	unprognostic (1.02e-1)	unprognostic (4.73e-2)	unprognostic (1.02e-1)	unprognostic (9.61e-3)	unprognostic (2.34e-2)	unprognostic (1.43e-2)	unprognostic (1.30e-1)	unprognostic (2.28e-2)	unprognostic (2.23e-1)	unprognostic (3.91e-1)	unprognostic (9.95e-2)	unprognostic (2.80e-2)	unprognostic (5.06e-2)	unprognostic (1.04e-1)	unprognostic (1.75e-1)	unprognostic (4.11e-4)	unprognostic (1.64e-3)	Prostatic glandular cells
KLK3	APS, PSA	ENSG00000142515	Kallikrein related peptidase 3	P07288	19	50854915-50860764	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins		Hydrolase, Protease, Serine protease	Cancer-related genes, FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	320	prostate: 8011.8	Cell type enriched	Detected in some	905	Prostatic glandular cells: 24200.8	Cancer enriched	Detected in some	3905	prostate cancer: 4241.6	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	1423	prostate cancer: 2372.4	Prostate - Prostate glandular cells, Testis - Late spermatids									CAB000070, HPA000764	Enhanced				Secreted in male reproductive system				7000000		Cluster 51: Non-specific - Unknown function	Cluster 24: Prostate cancer - Lipid metabolism	Cluster 73: Prostatic glandular cells - Transcription			CAB000070: , HPA000764: AB_1079700	unprognostic (5.06e-3)	unprognostic (5.60e-2)	unprognostic (9.93e-2)	unprognostic (3.90e-2)		unprognostic (1.09e-2)				unprognostic (1.26e-2)	unprognostic (1.88e-2)	unprognostic (1.54e-1)	unprognostic (5.13e-3)	unprognostic (1.94e-1)	unprognostic (4.64e-1)	unprognostic (3.15e-1)		Prostatic glandular cells
STEAP2	IPCA-1, PCANAP1, STAMP1, STMP	ENSG00000157214	STEAP2 metalloreductase	Q8NFT2	7	90167590-90238137	Predicted intracellular proteins, Predicted membrane proteins, Transporters	Electron transport, Ion transport, Iron transport, Transport	Oxidoreductase		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	6	prostate: 127.7	Cell type enriched	Detected in many	9	Prostatic glandular cells: 651.6	Cancer enriched	Detected in many	12	prostate cancer: 88.1	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		prostate cancer: 80.0	Prostate - Prostate glandular cells	Low region specificity	Detected in all							HPA029115, HPA055603	Uncertain		Supported	Vesicles							Cluster 51: Non-specific - Unknown function	Cluster 24: Prostate cancer - Lipid metabolism	Cluster 73: Prostatic glandular cells - Transcription	Vesicles		HPA029115: AB_10603894, HPA055603: 	unprognostic (6.26e-3)	unprognostic (2.48e-1)	unprognostic (2.55e-1)	unprognostic (1.65e-1)	unprognostic (8.20e-4)	unprognostic (2.34e-1)	unprognostic (1.13e-1)	unprognostic (3.67e-3)	unprognostic (7.91e-2)	unprognostic (1.70e-1)	unprognostic (9.92e-2)	unprognostic (1.34e-1)	unprognostic (2.71e-2)	unprognostic (9.73e-2)	unprognostic (6.11e-2)	unprognostic (9.86e-5)	unprognostic (3.69e-2)	Prostatic glandular cells
TGM4	TGP	ENSG00000163810	Transglutaminase 4	P49221	3	44874608-44914990	Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins		Acyltransferase, Transferase	Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	377	prostate: 434.4	Cell type enriched	Detected in some	42	Prostatic glandular cells: 474.3	Cancer enriched	Detected in single	312	prostate cancer: 75.4	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Testis - Early spermatids, Testis - Late spermatids	Not detected	Not detected							CAB033571, HPA073290	Enhanced										Cluster 51: Non-specific - Unknown function	Cluster 6: BEWO - Unknown function	Cluster 73: Prostatic glandular cells - Transcription			CAB033571: AB_2287329, HPA073290: 	unprognostic (4.40e-2)	unprognostic (4.68e-2)	unprognostic (1.92e-1)	unprognostic (2.17e-3)	unprognostic (2.84e-1)	unprognostic (2.19e-2)	unprognostic (1.37e-1)	unprognostic (1.92e-1)	unprognostic (2.41e-2)	unprognostic (1.65e-1)	unprognostic (8.56e-3)	unprognostic (5.08e-2)	unprognostic (1.44e-8)	unprognostic (1.10e-1)	unprognostic (1.98e-2)	unprognostic (3.68e-1)	unprognostic (6.41e-2)	Prostatic glandular cells
NKX3-1	BAPX2, NKX3.1, NKX3A	ENSG00000167034	NK3 homeobox 1	Q99801	8	23678697-23682938	Cancer-related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors	Transcription, Transcription regulation	DNA-binding, Repressor	Cancer-related genes, Tumor suppressor	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	5	prostate: 303.3	Cell type enriched	Detected in many	26	Prostatic glandular cells: 1325.3	Cancer enriched	Detected in many	65	prostate cancer: 392.7	Low region specificity	Detected in all			Group enriched	Detected in many	5	eosinophil: 54.0;neutrophil: 51.6	Lineage enriched	Detected in many	21	granulocytes: 54.0	Cancer enriched	Detected in many	21	prostate cancer: 212.3	Prostate - Prostate glandular cells, Testis - Sertoli cells	Low region specificity	Detected in some			Low region specificity	Detected in many			HPA025693, HPA078571	Enhanced		Supported	Nucleoplasm,Cytosol						Cluster 45: Eosinophils - Innate immune response	Cluster 51: Non-specific - Unknown function	Cluster 24: Prostate cancer - Lipid metabolism	Cluster 73: Prostatic glandular cells - Transcription	Nucleoplasm	Cytosol	HPA025693: AB_1854522, HPA078571: AB_2732384	unprognostic (1.47e-2)	unprognostic (4.03e-2)	unprognostic (2.67e-1)	unprognostic (5.87e-2)	unprognostic (2.56e-6)	unprognostic (6.90e-3)	unprognostic (1.13e-1)	unprognostic (4.11e-3)	unprognostic (9.42e-2)	unprognostic (1.41e-1)	unprognostic (3.00e-2)	unprognostic (1.87e-1)	unprognostic (4.37e-2)	unprognostic (4.60e-2)	unprognostic (3.88e-2)	unprognostic (3.09e-2)	unprognostic (1.69e-1)	Prostatic glandular cells
