Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
PHKA1	PHKA	ENSG00000067177	Phosphorylase kinase regulatory subunit alpha 1	P46020	X	72578814-72714319	Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins	Carbohydrate metabolism, Glycogen metabolism	Calmodulin-binding, Muscle protein	Disease variant, Glycogen storage disease	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in many	4	parathyroid gland: 32.0;skeletal muscle: 102.6;tongue: 89.2	Cell type enriched	Detected in many	4	Astrocytes: 82.6	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in all				Low region specificity	Detected in all			Low region specificity	Detected in all			HPA001081, HPA075355	Enhanced		Approved	Vesicles,Cytosol							Cluster 80: Striated muscle - Unknown function	Cluster 50: L-1236 & L-428 - Unknown function	Cluster 63: Astrocytes - Nervous system maintenance	Vesicles, Cytosol		HPA001081: AB_1079607, HPA075355: 	unprognostic (3.68e-3)	unprognostic (9.19e-2)	unprognostic (1.09e-1)	prognostic unfavorable (6.84e-4)	unprognostic (3.52e-1)	unprognostic (5.48e-2)	unprognostic (1.23e-2)	unprognostic (9.64e-2)	unprognostic (1.85e-1)	unprognostic (1.97e-1)	unprognostic (2.18e-1)	unprognostic (4.76e-1)	unprognostic (9.45e-3)	unprognostic (9.94e-2)	unprognostic (2.02e-1)	unprognostic (2.08e-1)	unprognostic (1.12e-1)	Astrocytes
COL5A3		ENSG00000080573	Collagen type V alpha 3 chain	P25940	19	9959561-10010504	Cancer-related genes, Predicted secreted proteins			Cancer-related genes	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in many			Cell type enriched	Detected in many	6	Astrocytes: 494.4	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		Brain cancer: 8.5;skin cancer: 8.1	Breast - Adipocytes (Breast), Kidney - Fibroblasts	Low region specificity	Detected in single			Low region specificity	Detected in many			HPA041695, HPA048256	Approved		Approved	Plasma membrane	Secreted to extracellular matrix				330000		Cluster 57: Non-specific - Angiogenesis	Cluster 20: Connective tissue cells - ECM organization	Cluster 63: Astrocytes - Nervous system maintenance	Plasma membrane		HPA041695: , HPA048256: AB_2680330	unprognostic (1.17e-1)	unprognostic (1.35e-2)	unprognostic (4.63e-2)	unprognostic (3.24e-2)	unprognostic (6.84e-3)	unprognostic (3.01e-1)	unprognostic (7.47e-2)	unprognostic (1.79e-2)	unprognostic (2.36e-1)	unprognostic (2.27e-1)	unprognostic (4.62e-2)	unprognostic (2.09e-1)	prognostic unfavorable (7.17e-8)	unprognostic (3.25e-2)	unprognostic (7.31e-3)	unprognostic (6.00e-2)	prognostic unfavorable (6.87e-5)	Astrocytes
PRODH	HSPOX2, PIG6, PRODH1, PRODH2, TP53I6	ENSG00000100033	Proline dehydrogenase 1	O43272	22	18912777-18936553	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins	Proline metabolism	Oxidoreductase	Disease variant, Schizophrenia	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		skeletal muscle: 49.2;skin 1: 39.8	Cell type enriched	Detected in some	10	Astrocytes: 177.5	Cancer enhanced	Detected in many		testis cancer: 11.0	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in many			Adipose visceral - Adipocytes (Visceral), Heart muscle - Cardiomyocytes									HPA020361	Approved		Approved	Nucleoplasm,Vesicles,Mitochondria							Cluster 59: Non-specific - Translation	Cluster 37: Ovarian cancer RMG-I - Cellular stress response	Cluster 63: Astrocytes - Nervous system maintenance	Mitochondria	Nucleoplasm, Vesicles	HPA020361: AB_10963116	unprognostic (2.46e-2)	prognostic favorable (1.54e-4)	unprognostic (1.40e-1)	unprognostic (3.70e-2)	unprognostic (3.80e-2)	unprognostic (1.20e-1)	unprognostic (1.78e-2)	unprognostic (1.07e-2)	unprognostic (2.49e-2)	unprognostic (6.56e-2)	unprognostic (3.12e-2)	unprognostic (1.61e-2)	unprognostic (7.44e-2)	unprognostic (1.07e-1)	unprognostic (1.21e-1)	unprognostic (5.34e-2)	unprognostic (3.94e-2)	Astrocytes
MLC1	KIAA0027, LVM, MLC, VL	ENSG00000100427	Modulator of VRAC current 1	Q15049	22	50059391-50085426	Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Ion transport, Transport	Ion channel	Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in many	6	brain: 262.7;choroid plexus: 145.6	Cell type enriched	Detected in some	4	Astrocytes: 112.0	Cancer enriched	Detected in some	69	glioma: 122.0	Low region specificity	Detected in all			Immune cell enhanced	Detected in many		NK-cell: 20.2	Low lineage specificity	Detected in many			Group enriched	Detected in some	5	Leukemia: 60.4;Myeloma: 70.5	Liver - NK-cells (Liver)	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA003040	Enhanced		Supported	Cytosol						Cluster 48: NK-cells - Unknown function	Cluster 73: Brain - Neuropeptide signaling	Cluster 44: Myeloma - Humoral immune response	Cluster 63: Astrocytes - Nervous system maintenance	Cytosol		HPA003040: AB_1079387	unprognostic (2.68e-2)	unprognostic (5.46e-6)	unprognostic (5.41e-3)	unprognostic (1.51e-1)	unprognostic (1.47e-1)	unprognostic (2.42e-3)	unprognostic (9.54e-3)	unprognostic (7.21e-2)	unprognostic (2.24e-1)	unprognostic (1.90e-1)	unprognostic (1.31e-1)	unprognostic (1.51e-3)	unprognostic (8.39e-4)	unprognostic (1.40e-1)	unprognostic (1.55e-1)	unprognostic (3.66e-2)	unprognostic (2.92e-1)	Astrocytes
ACSBG1	BG1, BGM, FLJ30320, hBG1, hsBG, KIAA0631, MGC14352	ENSG00000103740	Acyl-CoA synthetase bubblegum family member 1	Q96GR2	15	78167468-78245688	Enzymes, Metabolic proteins, Predicted intracellular proteins	Fatty acid metabolism, Lipid metabolism	Ligase		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	6	brain: 56.6;skin 1: 14.3	Cell type enriched	Detected in some	6	Astrocytes: 153.1	Cancer enriched	Detected in some	4	glioma: 3.8	Low region specificity	Detected in all			Immune cell enhanced	Detected in single		plasmacytoid DC: 1.0	Low lineage specificity	Detected in single			Low cancer specificity	Detected in some			Lung - Respiratory ciliated cells, Skin - Sebaceous gland cells	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA041642, CAB045955, HPA058869	Approved		Approved	Vesicles						Cluster 47: Plasmacytoid DCs - Protein folding	Cluster 70: Brain - Nervous system development	Cluster 32: Myeloid leukemia - Oxygen transport	Cluster 63: Astrocytes - Nervous system maintenance	Vesicles		CAB045955: AB_11124196, HPA041642: AB_2677593, HPA058869: AB_2683840	unprognostic (1.28e-1)	unprognostic (1.63e-2)	unprognostic (1.29e-2)	unprognostic (2.28e-1)	unprognostic (2.29e-2)	unprognostic (4.18e-2)	unprognostic (1.32e-2)	unprognostic (1.58e-2)	unprognostic (1.86e-1)	unprognostic (5.64e-2)	unprognostic (2.02e-1)	unprognostic (4.13e-1)	unprognostic (1.05e-1)	unprognostic (1.40e-1)	unprognostic (2.96e-1)	unprognostic (4.19e-2)	unprognostic (1.42e-2)	Astrocytes
EYA1	BOR	ENSG00000104313	EYA transcriptional coactivator and phosphatase 1	Q99502	8	71197433-71592025	Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins	DNA damage, DNA repair, Transcription, Transcription regulation	Activator, Chromatin regulator, Developmental protein, Hydrolase, Protein phosphatase	Deafness, Disease variant, Intellectual disability	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		choroid plexus: 18.7;parathyroid gland: 23.7	Cell type enriched	Detected in some	8	Astrocytes: 207.8	Low cancer specificity	Detected in many			Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		Neuroblastoma: 18.5	Heart muscle - Cardiomyocytes, Lung - Respiratory ciliated cells, Testis - Early spermatids	Low region specificity	Detected in all			Region enhanced	Detected in all		cerebellum: 20.7	HPA028917			Supported	Nucleoplasm,Nuclear bodies							Cluster 42: Ciliated cells - Cilium & Cell projection	Cluster 44: Myeloma - Humoral immune response	Cluster 63: Astrocytes - Nervous system maintenance	Nucleoplasm, Nuclear bodies		HPA028917: AB_2672826	unprognostic (3.74e-2)	unprognostic (1.16e-1)	unprognostic (1.15e-1)	unprognostic (1.72e-3)	unprognostic (5.95e-2)	unprognostic (9.17e-2)	unprognostic (2.91e-4)	unprognostic (1.98e-1)	unprognostic (1.03e-1)	unprognostic (1.81e-1)	unprognostic (9.72e-2)	unprognostic (1.13e-1)	unprognostic (4.22e-12)	unprognostic (1.06e-2)	unprognostic (1.84e-1)	unprognostic (3.81e-4)	unprognostic (1.25e-2)	Astrocytes
GLI3	ACLS, GCPS, PAP-A, PAPA, PAPA1, PAPB, PHS, PPDIV	ENSG00000106571	GLI family zinc finger 3	P10071	7	41960949-42264100	Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors	Transcription, Transcription regulation	Activator, DNA-binding, Repressor	Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in many			Cell type enriched	Detected in many	6	Astrocytes: 292.0	Low cancer specificity	Detected in many			Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		testis cancer: 23.8	Liver - Hepatic stellate cells, Pancreas - Fibroblasts	Low region specificity	Detected in many			Low region specificity	Detected in all			HPA005534	Approved		Supported	Nucleoplasm,Nucleoli,Vesicles							Cluster 46: Fibroblasts - ECM organization	Cluster 33: Skin cancer - Membrane components	Cluster 63: Astrocytes - Nervous system maintenance	Nucleoplasm	Nucleoli, Vesicles	HPA005534: AB_1078973	unprognostic (2.53e-1)	unprognostic (2.41e-2)	unprognostic (7.58e-2)	unprognostic (8.22e-3)	unprognostic (1.10e-1)	unprognostic (1.28e-2)	unprognostic (1.01e-1)	unprognostic (5.35e-3)	unprognostic (2.24e-1)	unprognostic (7.38e-2)	unprognostic (4.03e-1)	unprognostic (3.54e-2)	unprognostic (1.48e-5)	unprognostic (9.13e-3)	unprognostic (5.41e-2)	unprognostic (3.21e-3)	unprognostic (7.00e-2)	Astrocytes
GLIS3	MGC33662, ZNF515	ENSG00000107249	GLIS family zinc finger 3	Q8NEA6	9	3824127-4348392	Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors	Transcription, Transcription regulation	Activator, DNA-binding, Repressor	Congenital hypothyroidism, Diabetes mellitus	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		brain: 24.2;choroid plexus: 20.5	Cell type enriched	Detected in many	7	Astrocytes: 629.5	Low cancer specificity	Detected in many			Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in many			Adipose visceral - Adipose progenitor cells, Heart muscle - Fibroblasts, Skin - Endothelial cells, Thyroid - Thyroid glandular cells	Low region specificity	Detected in many			Low region specificity	Detected in all			HPA056426	Approved		Approved	Nucleoplasm,Golgi apparatus	Intracellular and membrane					Cluster 10: Basophils - Unknown function	Cluster 88: Choroid plexus - Transmembrane transport	Cluster 68: Kidney - Mixed function	Cluster 63: Astrocytes - Nervous system maintenance	Nucleoplasm	Golgi apparatus	HPA056426: AB_2683128	unprognostic (6.24e-2)	unprognostic (2.30e-2)	unprognostic (1.54e-1)	unprognostic (3.63e-3)	unprognostic (4.10e-1)	unprognostic (1.88e-1)	unprognostic (1.81e-2)	unprognostic (7.14e-2)	unprognostic (4.66e-2)	unprognostic (1.26e-1)	unprognostic (1.17e-1)	unprognostic (2.63e-1)	unprognostic (1.91e-3)	unprognostic (6.88e-3)	unprognostic (8.54e-2)	unprognostic (1.04e-1)	unprognostic (6.35e-2)	Astrocytes
SLC1A2	EAAT2, GLT-1	ENSG00000110436	Solute carrier family 1 member 2	P43004	11	35251205-35420063	Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Amino-acid transport, Symport, Transport		Disease variant, Epilepsy	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in many	8	brain: 782.3;choroid plexus: 202.7	Cell type enriched	Detected in many	7	Astrocytes: 4463.8	Cancer enriched	Detected in some	5	glioma: 28.6	Low region specificity	Detected in all			Immune cell enhanced	Detected in single		basophil: 1.3	Lineage enriched	Detected in single	5	granulocytes: 1.3	Cancer enhanced	Detected in some		Gastric cancer: 6.2;Neuroblastoma: 3.8	Breast - Breast glandular cells, Stomach - Chief cells, Testis - Early spermatids, Testis - Late spermatids	Low region specificity	Detected in all			Low region specificity	Detected in all			CAB002574, HPA009172, HPA067499	Enhanced									Cluster 17: Basophils - Unknown function	Cluster 65: Brain - Ion transport	Cluster 19: Stomach & Colon cancer - Absorption	Cluster 63: Astrocytes - Nervous system maintenance			CAB002574: AB_564087, HPA009172: AB_1849764, HPA067499: 	unprognostic (8.00e-2)	unprognostic (5.71e-3)	unprognostic (1.39e-1)	unprognostic (2.77e-2)	unprognostic (1.33e-1)	unprognostic (5.65e-3)	unprognostic (1.39e-2)	unprognostic (9.27e-3)	unprognostic (1.55e-1)	unprognostic (1.65e-2)	unprognostic (1.79e-3)	unprognostic (2.35e-1)	unprognostic (8.33e-4)	unprognostic (6.34e-2)	unprognostic (8.06e-2)	unprognostic (5.24e-2)	unprognostic (3.49e-2)	Astrocytes
NCAN	CSPG3	ENSG00000130287	Neurocan	O14594	19	19211958-19252233	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Cell adhesion			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	63	brain: 73.6	Cell type enriched	Detected in some	6	Astrocytes: 189.5	Cancer enriched	Detected in some	57	glioma: 71.3	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in some	7	breast cancer: 5.3;Neuroblastoma: 7.7	Colon - Colon enteroendocrine cells, Testis - Spermatocytes, Testis - Spermatogonia	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA036814	Enhanced				Secreted in brain				790000		Cluster 65: Brain - Ion transport	Cluster 65: Breast cancer - Unknown function	Cluster 63: Astrocytes - Nervous system maintenance			HPA036814: AB_10673666	unprognostic (1.02e-2)	unprognostic (2.84e-3)	unprognostic (1.92e-1)	unprognostic (1.56e-2)	unprognostic (2.35e-2)	unprognostic (1.65e-2)	unprognostic (1.70e-2)	unprognostic (1.03e-3)	unprognostic (1.76e-1)	unprognostic (2.12e-1)	unprognostic (4.58e-3)	unprognostic (4.38e-2)	unprognostic (9.09e-6)	unprognostic (1.10e-2)	unprognostic (2.79e-2)	unprognostic (2.91e-1)	unprognostic (2.58e-2)	Astrocytes
