Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
IRF4	LSIRF, MUM1	ENSG00000137265	Interferon regulatory factor 4	Q15306	6	391752-411443	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Transcription, Transcription regulation	Activator, DNA-binding	Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		bone marrow: 29.2;cervix: 19.0;lymphoid tissue: 26.1	Cell type enriched	Detected in some	5	dendritic cells: 1192.0	Cancer enriched	Detected in many	9	melanoma: 27.0	Not detected	Not detected			Group enriched	Detected in many	5	memory B-cell: 10.4;myeloid DC: 10.6;naive B-cell: 10.8;plasmacytoid DC: 12.1;T-reg: 5.8	Group enriched	Detected in many	5	B-cells: 10.8;dendritic cells: 12.1;T-cells: 5.8	Group enriched	Detected in some	11	lymphoma: 130.9;Myeloma: 281.6	Stomach - Plasma cells, Testis - Spermatogonia	Not detected	Not detected			Low region specificity	Detected in some			HPA002038, HPA002698, CAB013508	Enhanced		Supported	Nucleoplasm,Cytosol						Cluster 23: Antigen presenting cells - Antigen presentation	Cluster 2: Immune cells - Immune response	Cluster 44: Myeloma - Humoral immune response	Cluster 48: Plasmacytoid dendritic cells - Unknown function	Nucleoplasm	Cytosol	CAB013508: , HPA002038: AB_1079148, HPA002698: AB_1851893	prognostic favorable (6.44e-4)	unprognostic (1.88e-3)	unprognostic (1.00e-3)	unprognostic (1.72e-4)	unprognostic (2.74e-1)	prognostic favorable (1.64e-6)	unprognostic (4.72e-2)	unprognostic (1.05e-1)	unprognostic (1.89e-2)	unprognostic (5.74e-4)	unprognostic (8.51e-2)	unprognostic (1.12e-1)	unprognostic (9.18e-7)	unprognostic (2.38e-1)	unprognostic (6.24e-2)	unprognostic (2.90e-1)	unprognostic (3.65e-2)	dendritic cells
KRT71	K6IRS1, KRT6IRS, KRT6IRS1	ENSG00000139648	Keratin 71	Q3SY84	12	52543909-52553145	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins			Disease variant, Hypotrichosis	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	23	skin 1: 100.0	Cell type enriched	Detected in single	12	dendritic cells: 1.2	Cancer enhanced	Detected in single		endometrial cancer: 0.9	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Skin - Inner root sheath cells	Not detected	Not detected			Not detected	Not detected			HPA049404	Enhanced								110000000		Cluster 61: Skin - Cornification	Cluster 2: DU4475 - Unknown function	Cluster 48: Plasmacytoid dendritic cells - Unknown function			HPA049404: AB_2680748	unprognostic (9.12e-2)	unprognostic (2.38e-1)				unprognostic (1.21e-1)		unprognostic (1.04e-1)		unprognostic (1.51e-1)	unprognostic (2.18e-1)			unprognostic (1.47e-1)		unprognostic (3.14e-1)	unprognostic (1.69e-2)	dendritic cells
RUBCN	KIAA0226, rubicon, rundataxin	ENSG00000145016	Rubicon autophagy regulator	Q92622	3	197668867-197749727	Disease related genes, Human disease related genes, Predicted intracellular proteins	Autophagy, Endocytosis, Immunity, Phagocytosis		Neurodegeneration	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enriched	Detected in all	4	dendritic cells: 288.7	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in many			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all				Low region specificity	Detected in all			Low region specificity	Detected in all			HPA050908, HPA054497	Approved		Supported	Vesicles,Cytosol						Cluster 52: Eosinophils - Transcription	Cluster 32: Brain & Lymphoid tissue - Unknown function	Cluster 64: Lymphoma - Humoral immune response	Cluster 48: Plasmacytoid dendritic cells - Unknown function	Vesicles, Cytosol		HPA050908: , HPA054497: AB_2682507	unprognostic (2.91e-2)	unprognostic (1.61e-2)	prognostic unfavorable (6.65e-4)	unprognostic (1.34e-3)	unprognostic (1.46e-1)	unprognostic (1.20e-2)	prognostic unfavorable (9.91e-5)	unprognostic (1.99e-1)	unprognostic (6.71e-2)	unprognostic (2.86e-2)	unprognostic (1.71e-1)	prognostic unfavorable (1.62e-4)	unprognostic (2.22e-2)	unprognostic (2.92e-2)	unprognostic (1.75e-1)	unprognostic (2.43e-1)	unprognostic (1.23e-1)	dendritic cells
PLD4	C14orf175	ENSG00000166428	Phospholipase D family member 4	Q96BZ4	14	104924713-104937761	Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins	Immunity, Inflammatory response, Innate immunity	Exonuclease, Hydrolase, Nuclease		Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Tissue enhanced	Detected in many		bone marrow: 13.4;brain: 16.7;lymphoid tissue: 11.3	Cell type enriched	Detected in some	10	dendritic cells: 704.4	Cancer enhanced	Detected in many		glioma: 4.3	Low region specificity	Detected in all			Immune cell enriched	Detected in many	5	plasmacytoid DC: 3621.6	Lineage enriched	Detected in all	5	dendritic cells: 3621.6	Group enriched	Detected in some	73	Leukemia: 32.8;lymphoma: 31.9;Myeloma: 36.6	Prostate - T-cells, Skin - Langerhans cells, Thyroid - T-cells	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA051512	Uncertain								2900000	Cluster 47: Plasmacytoid DCs - Protein folding	Cluster 32: Brain & Lymphoid tissue - Unknown function	Cluster 66: Myeloid cells - Innate immune response	Cluster 48: Plasmacytoid dendritic cells - Unknown function			HPA051512: AB_2681515	unprognostic (4.50e-3)	unprognostic (1.78e-4)	unprognostic (7.12e-2)	unprognostic (5.30e-3)	unprognostic (5.54e-2)	unprognostic (2.91e-3)	unprognostic (2.56e-1)	unprognostic (4.76e-3)	unprognostic (1.45e-3)	unprognostic (1.19e-3)	unprognostic (3.45e-3)	unprognostic (3.89e-1)	unprognostic (6.90e-3)	unprognostic (8.94e-2)	unprognostic (2.83e-1)	unprognostic (1.28e-2)	unprognostic (2.41e-1)	dendritic cells
ABHD15		ENSG00000168792	Abhydrolase domain containing 15	Q6UXT9	17	29560547-29567037	Predicted secreted proteins				Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in all		liver: 26.2	Cell type enriched	Detected in many	6	dendritic cells: 178.3	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Group enriched	Detected in many	5	basophil: 18.3;MAIT T-cell: 6.6;NK-cell: 10.8;plasmacytoid DC: 23.6	Low lineage specificity	Detected in many			Low cancer specificity	Detected in all			Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Liver - Hepatocytes	Low region specificity	Detected in single			Low region specificity	Detected in all			HPA014470	Approved		Approved	Nucleoplasm,Cytosol	Secreted to blood					Cluster 47: Plasmacytoid DCs - Protein folding	Cluster 86: Liver & Placenta - Transport via ER	Cluster 23: B-cell cancers - Adaptive immune response	Cluster 48: Plasmacytoid dendritic cells - Unknown function	Nucleoplasm, Cytosol		HPA014470: AB_1852993	unprognostic (1.79e-1)	unprognostic (4.00e-2)	unprognostic (1.38e-1)	unprognostic (8.60e-3)	unprognostic (1.91e-1)	unprognostic (1.62e-1)	unprognostic (4.61e-1)	unprognostic (1.87e-1)	unprognostic (1.85e-1)	unprognostic (9.76e-2)	unprognostic (1.76e-3)	unprognostic (3.00e-2)	unprognostic (3.58e-2)	unprognostic (1.70e-1)	unprognostic (1.71e-1)	unprognostic (3.46e-1)	unprognostic (5.45e-2)	dendritic cells
PTCRA	PT-ALPHA, PTA	ENSG00000171611	Pre T cell antigen receptor alpha	Q6ISU1	6	42915989-42925838	Predicted membrane proteins		Receptor		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	38	lymphoid tissue: 128.6	Cell type enriched	Detected in some	15	dendritic cells: 268.2	Low cancer specificity	Detected in some			Low region specificity	Detected in many			Immune cell enriched	Detected in some	46	plasmacytoid DC: 410.7	Lineage enriched	Detected in many	46	dendritic cells: 410.7	Group enriched	Detected in some	17	Leukemia: 9.5;skin cancer: 3.9		Not detected	Not detected			Not detected	Not detected													Cluster 3: Plasmacytoid DCs - Unknown function	Cluster 63: T-cells - Adaptive immune response	Cluster 12: Lymphoid cancers - Adaptive immune response	Cluster 4: Platelets - Platelet activation				unprognostic (5.50e-2)	unprognostic (3.37e-2)	unprognostic (2.77e-1)	unprognostic (1.64e-1)	unprognostic (2.83e-2)	unprognostic (6.57e-4)	unprognostic (7.18e-2)	unprognostic (4.24e-2)	unprognostic (8.16e-2)	unprognostic (1.11e-2)	unprognostic (2.73e-1)	unprognostic (2.84e-4)	unprognostic (1.16e-1)	unprognostic (4.89e-1)	unprognostic (3.22e-2)	unprognostic (3.09e-2)	unprognostic (1.45e-1)	dendritic cells
IL3RA	CD123	ENSG00000185291	Interleukin 3 receptor subunit alpha	P26951	X	1336616-1382689	CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins		Receptor	FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in many			Cell type enriched	Detected in many	5	dendritic cells: 473.1	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Immune cell enriched	Detected in many	4	basophil: 2665.0	Lineage enriched	Detected in all	4	granulocytes: 2665.0	Cancer enhanced	Detected in many		Leukemia: 20.5	Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Breast - Endothelial cells, Colon - Endothelial cells, Heart muscle - Endothelial cells, Kidney - Endothelial cells, Liver - Vascular Endothelial cells, Prostate - Endothelial cells, Skeletal muscle - Endothelial cells, Skin - Endothelial cells, Testis - Endothelial cells, Thyroid - Endothelial cells									HPA003539, CAB018374	Uncertain									Cluster 38: Basophils - Unknown function	Cluster 40: Neutrophils - Inflammatory response	Cluster 11: Lymphoma - Adaptive immune response	Cluster 48: Plasmacytoid dendritic cells - Unknown function			CAB018374: AB_2233620, HPA003539: AB_1078438	prognostic favorable (9.78e-4)	prognostic favorable (4.27e-4)	unprognostic (8.13e-2)	unprognostic (9.32e-2)	unprognostic (2.09e-1)	unprognostic (1.29e-3)	unprognostic (1.32e-1)	unprognostic (1.67e-1)	unprognostic (1.38e-1)	unprognostic (3.73e-2)	unprognostic (5.77e-3)	unprognostic (1.43e-1)	unprognostic (1.50e-3)	unprognostic (9.41e-2)	unprognostic (2.85e-3)	unprognostic (2.49e-1)	unprognostic (1.46e-1)	dendritic cells
IRF7		ENSG00000185507	Interferon regulatory factor 7	Q92985	11	612553-615983	Disease related genes, Predicted intracellular proteins, Transcription factors	Antiviral defense, Host-virus interaction, Immunity, Innate immunity, Transcription, Transcription regulation	Activator, DNA-binding	Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		liver: 38.2;lymphoid tissue: 33.2	Cell type enriched	Detected in many	10	dendritic cells: 1073.4	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Immune cell enriched	Detected in all	12	plasmacytoid DC: 596.9	Lineage enriched	Detected in all	12	dendritic cells: 596.9	Low cancer specificity	Detected in many			Breast - T-cells	Low region specificity	Detected in all			Low region specificity	Detected in all			CAB017694, HPA052757	Approved		Supported	Nucleoplasm,Cytosol		No				Cluster 3: Plasmacytoid DCs - Unknown function	Cluster 18: Non-specific - Mitochondria	Cluster 30: Non-specific - Antiviral immune response	Cluster 48: Plasmacytoid dendritic cells - Unknown function	Nucleoplasm	Cytosol	CAB017694: AB_2280489, HPA052757: AB_2681937	unprognostic (1.39e-2)	unprognostic (3.26e-2)	unprognostic (1.08e-3)	unprognostic (2.45e-1)	unprognostic (4.52e-2)	unprognostic (2.73e-1)	unprognostic (1.04e-2)	unprognostic (2.52e-2)	unprognostic (1.39e-1)	unprognostic (1.16e-1)	unprognostic (7.08e-2)	unprognostic (8.13e-2)	prognostic unfavorable (1.71e-10)	unprognostic (2.50e-1)	unprognostic (1.07e-1)	unprognostic (2.58e-1)	unprognostic (4.71e-2)	dendritic cells
CXCR3	CD183, CKR-L2, CMKAR3, GPR9, IP10-R, MigR	ENSG00000186810	C-X-C motif chemokine receptor 3	P49682	X	71615916-71618511	CD markers, G-protein coupled receptors, Predicted membrane proteins	Angiogenesis, Apoptosis, Chemotaxis	G-protein coupled receptor, Receptor, Transducer		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in some		bone marrow: 7.2;intestine: 6.4;lymphoid tissue: 16.3	Cell type enriched	Detected in some	8	dendritic cells: 385.1	Low cancer specificity	Detected in many			Not detected	Not detected			Immune cell enhanced	Detected in many		plasmacytoid DC: 306.7	Group enriched	Detected in many	5	dendritic cells: 306.7;NK-cells: 198.9;T-cells: 124.7	Group enriched	Detected in some	9	colorectal cancer: 1.6;Leukemia: 1.5;lymphoma: 5.9;Myeloma: 4.3	Adipose subcutaneous - T-cells, Colon - T-cells, Liver - T-cells, Lung - T-cells, Pancreas - T-cells, Prostate - T-cells, Thyroid - T-cells	Not detected	Not detected			Not detected	Not detected			HPA045942	Enhanced									Cluster 47: Plasmacytoid DCs - Protein folding	Cluster 16: Immune cells - Immune response	Cluster 9: Lymphoid cancers - Immune response	Cluster 48: Plasmacytoid dendritic cells - Unknown function			HPA045942: AB_2679507	unprognostic (4.84e-3)	unprognostic (3.05e-3)	unprognostic (1.61e-1)	prognostic favorable (3.44e-6)	unprognostic (3.93e-2)	prognostic favorable (3.35e-4)	unprognostic (1.01e-2)	unprognostic (5.24e-2)	prognostic favorable (2.90e-4)	unprognostic (6.32e-2)	unprognostic (1.34e-1)	unprognostic (2.39e-1)	prognostic unfavorable (1.67e-6)	unprognostic (4.67e-2)	unprognostic (2.18e-1)	unprognostic (2.91e-2)	unprognostic (5.76e-2)	dendritic cells
TTC24		ENSG00000187862	Tetratricopeptide repeat domain 24	A2A3L6	1	156579723-156587719	Predicted intracellular proteins				Evidence at protein level	Evidence at protein level	No human protein/transcript evidence	Evidence at protein level	Tissue enriched	Detected in some	11	lymphoid tissue: 21.2	Cell type enriched	Detected in some	9	dendritic cells: 53.5	Not detected	Not detected			Not detected	Not detected			Group enriched	Detected in some	4	NK-cell: 3.7;plasmacytoid DC: 12.4	Group enriched	Detected in many	4	dendritic cells: 12.4;NK-cells: 3.7	Group enriched	Detected in some	16	Leukemia: 7.1;lymphoma: 4.5	Breast - T-cells, Lung - T-cells, Prostate - T-cells	Not detected	Not detected			Low region specificity	Detected in all			HPA029799			Approved	Nucleoplasm						Cluster 3: Plasmacytoid DCs - Unknown function	Cluster 63: T-cells - Adaptive immune response	Cluster 23: B-cell cancers - Adaptive immune response	Cluster 48: Plasmacytoid dendritic cells - Unknown function	Nucleoplasm		HPA029799: AB_10601684	unprognostic (2.43e-3)	unprognostic (5.61e-5)	unprognostic (5.86e-2)	unprognostic (1.39e-1)	unprognostic (2.62e-1)	unprognostic (4.48e-6)	unprognostic (6.26e-2)	unprognostic (1.49e-2)	unprognostic (1.17e-1)	unprognostic (1.20e-1)	unprognostic (4.42e-1)	unprognostic (7.96e-2)	unprognostic (4.87e-9)	unprognostic (1.07e-2)	unprognostic (5.19e-2)	unprognostic (2.22e-2)	unprognostic (9.76e-4)	dendritic cells
