Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
LIM2	MP17, MP19	ENSG00000105370	Lens intrinsic membrane protein 2	P55344	19	51379909-51387974	Disease related genes, Human disease related genes, Predicted membrane proteins		Eye lens protein	Cataract, Disease variant	Evidence at protein level	No human protein/transcript evidence	Evidence at protein level	Evidence at protein level	Not detected	Not detected			Cell type enriched	Detected in some	6	NK-cells: 11.8	Cancer enriched	Detected in single	40	testis cancer: 18.3	Not detected	Not detected			Immune cell enriched	Detected in some	7	gdT-cell: 11.3	Lineage enriched	Detected in many	7	T-cells: 11.3	Cancer enriched	Detected in single	6	Sarcoma: 1.6	Lung - NK-cells (Lung)	Not detected	Not detected			Low region specificity	Detected in many													Cluster 36: GdT-cells - Adaptive immune response		Cluster 27: TE 441.T - Unknown function	Cluster 7: NK-cells - Immune response regulation									unprognostic (5.25e-2)							unprognostic (1.09e-3)		unprognostic (1.21e-1)			NK-cells
NKG7	GIG1, GMP-17	ENSG00000105374	Natural killer cell granule protein 7	Q16617	19	51371606-51372701	Predicted intracellular proteins, Predicted membrane proteins	Cytolysis, Inflammatory response			Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in many	8	bone marrow: 602.6;lymphoid tissue: 154.6	Cell type enriched	Detected in many	5	NK-cells: 6101.8	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Group enriched	Detected in all	5	gdT-cell: 6827.0;MAIT T-cell: 2871.2;memory CD8 T-cell: 4295.0;naive CD8 T-cell: 3114.2;NK-cell: 4796.8	Group enriched	Detected in all	44	NK-cells: 4796.8;T-cells: 6827.0	Group enriched	Detected in some	26	Leukemia: 62.9;lymphoma: 64.7	Adipose subcutaneous - T-cells, Adipose visceral - T-cells, Breast - T-cells, Colon - T-cells, Heart muscle - T-cells, Kidney - T-cells, Liver - NK-cells (Liver), Lung - NK-cells (Lung), Prostate - T-cells, Skin - T-cells, Thyroid - T-cells	Not detected	Not detected			Low region specificity	Detected in all			HPA071454			Approved	Vesicles						Cluster 36: GdT-cells - Adaptive immune response	Cluster 67: Neutrophils - Humoral immune response	Cluster 54: Lymphoma - Cytokine signaling	Cluster 7: NK-cells - Immune response regulation	Vesicles		HPA071454: AB_2686399	unprognostic (1.56e-2)	unprognostic (1.05e-2)	unprognostic (6.54e-2)	prognostic favorable (7.42e-6)	unprognostic (1.27e-2)	unprognostic (3.25e-3)	unprognostic (2.96e-3)	unprognostic (2.14e-1)	unprognostic (3.22e-3)	unprognostic (3.89e-3)	unprognostic (3.39e-1)	unprognostic (9.93e-2)	prognostic unfavorable (3.32e-6)	unprognostic (7.62e-3)	unprognostic (2.61e-1)	unprognostic (1.30e-2)	unprognostic (6.44e-3)	NK-cells
GNLY	D2S69E, LAG-2, LAG2, NKG5, TLA519	ENSG00000115523	Granulysin	P22749	2	85685175-85698852	Predicted intracellular proteins, Predicted secreted proteins, Transporters		Antibiotic, Antimicrobial, Fungicide		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		bone marrow: 288.7;endometrium 1: 71.9;lymphoid tissue: 86.3	Cell type enriched	Detected in many	4	NK-cells: 8296.3	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Immune cell enhanced	Detected in all		NK-cell: 17623.2	Group enriched	Detected in all	63	NK-cells: 17623.2;T-cells: 7874.6	Cancer enhanced	Detected in some		Leukemia: 3.9;lymphoma: 7.3	Adipose subcutaneous - T-cells, Adipose visceral - T-cells, Heart muscle - T-cells, Liver - NK-cells (Liver), Lung - NK-cells (Lung)					Low region specificity	Detected in many			CAB025186, HPA058021	Enhanced				Secreted to blood			2920000	17000	Cluster 48: NK-cells - Unknown function	Cluster 40: Neutrophils - Inflammatory response	Cluster 12: Lymphoid cancers - Adaptive immune response	Cluster 7: NK-cells - Immune response regulation			CAB025186: , HPA058021: AB_2683581	unprognostic (5.80e-2)	unprognostic (5.64e-3)	unprognostic (6.68e-2)	prognostic favorable (3.48e-5)	unprognostic (4.34e-2)	unprognostic (9.22e-2)	unprognostic (2.60e-1)	unprognostic (2.79e-2)	prognostic favorable (6.60e-5)	unprognostic (2.61e-2)	unprognostic (1.88e-1)	unprognostic (1.82e-1)	prognostic unfavorable (1.50e-4)	unprognostic (8.46e-2)	unprognostic (3.37e-1)	unprognostic (1.86e-1)	prognostic favorable (8.07e-4)	NK-cells
CD160	BY55, NK1, NK28	ENSG00000117281	CD160 molecule	O95971	1	145719471-145739288	CD markers, Predicted secreted proteins	Adaptive immunity, Angiogenesis, Immunity, Innate immunity	Receptor		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in some		lymphoid tissue: 13.5	Cell type enriched	Detected in some	4	NK-cells: 220.0	Not detected	Not detected			Low region specificity	Detected in some			Group enriched	Detected in many	6	gdT-cell: 107.6;MAIT T-cell: 44.5;memory CD8 T-cell: 72.9;naive CD8 T-cell: 82.8;NK-cell: 85.9	Group enriched	Detected in all	8	NK-cells: 85.9;T-cells: 107.6	Low cancer specificity	Detected in many			Liver - NK-cells (Liver)	Not detected	Not detected												Secreted to blood					Cluster 36: GdT-cells - Adaptive immune response	Cluster 18: Non-specific - Mitochondria	Cluster 12: Lymphoid cancers - Adaptive immune response	Cluster 7: NK-cells - Immune response regulation				unprognostic (6.54e-4)	unprognostic (1.06e-1)	unprognostic (4.25e-2)	unprognostic (6.91e-2)	unprognostic (3.33e-1)	unprognostic (3.40e-2)	unprognostic (1.35e-1)	unprognostic (8.25e-3)	unprognostic (5.76e-2)	unprognostic (2.68e-1)	unprognostic (2.24e-2)	unprognostic (7.49e-3)	unprognostic (3.48e-5)	unprognostic (4.05e-2)	unprognostic (2.03e-1)	unprognostic (2.89e-2)	unprognostic (2.92e-4)	NK-cells
KIR2DL1	47.11, CD158A, cl-42, nkat1, p58.1	ENSG00000125498	Killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1	P43626	19	54769793-54784322	CD markers, Predicted membrane proteins		Receptor		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in single		lymphoid tissue: 2.0	Cell type enriched	Detected in some	5	NK-cells: 33.3	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Adipose visceral - T-cells, Lung - NK-cells (Lung)																				Cluster 64: Macrophages - Immune response	Cluster 2: DU4475 - Unknown function	Cluster 7: NK-cells - Immune response regulation				unprognostic (2.14e-1)	unprognostic (9.82e-2)		unprognostic (8.18e-2)		unprognostic (2.19e-2)	unprognostic (3.93e-1)	unprognostic (1.55e-2)	unprognostic (3.19e-4)	unprognostic (4.11e-2)	unprognostic (6.87e-2)		unprognostic (1.14e-2)	unprognostic (1.13e-1)	unprognostic (6.84e-2)	unprognostic (3.61e-2)		NK-cells
KLRD1	CD94	ENSG00000134539	Killer cell lectin like receptor D1	Q13241	12	10226058-10329608	CD markers, Predicted intracellular proteins, Predicted membrane proteins	Adaptive immunity, Host-virus interaction, Immunity, Innate immunity	Receptor		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		lymphoid tissue: 17.0	Cell type enriched	Detected in many	4	NK-cells: 1409.2	Low cancer specificity	Detected in single			Low region specificity	Detected in many			Group enriched	Detected in many	7	gdT-cell: 512.6;memory CD8 T-cell: 217.7;naive CD8 T-cell: 218.7;NK-cell: 737.5	Group enriched	Detected in many	68	NK-cells: 737.5;T-cells: 512.6	Low cancer specificity	Detected in some			Adipose subcutaneous - T-cells, Adipose visceral - T-cells, Heart muscle - T-cells, Liver - NK-cells (Liver), Lung - NK-cells (Lung), Prostate - T-cells, Stomach - T-cells, Thyroid - T-cells	Not detected	Not detected			Not detected	Not detected			HPA069688	Uncertain									Cluster 48: NK-cells - Unknown function	Cluster 2: Immune cells - Immune response	Cluster 28: Bone cancer CADO-ES1 - Glutamate signalling	Cluster 7: NK-cells - Immune response regulation			HPA069688: AB_2686170	unprognostic (3.75e-2)	unprognostic (2.15e-3)	unprognostic (4.95e-2)	unprognostic (2.48e-3)	unprognostic (2.13e-2)	unprognostic (2.60e-3)	unprognostic (2.26e-2)	unprognostic (1.13e-1)	unprognostic (8.94e-3)	unprognostic (4.53e-3)	unprognostic (8.78e-2)	unprognostic (2.97e-2)	unprognostic (1.47e-3)	unprognostic (1.78e-1)	unprognostic (3.07e-1)	unprognostic (3.06e-1)	unprognostic (1.37e-2)	NK-cells
FGFBP2	KSP37	ENSG00000137441	Fibroblast growth factor binding protein 2	Q9BYJ0	4	15960245-15969309	Plasma proteins, Predicted secreted proteins		Growth factor binding		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		adipose tissue: 29.0;bone marrow: 54.6	Cell type enriched	Detected in many	9	NK-cells: 1206.6	Group enriched	Detected in many	9	glioma: 4.8;head and neck cancer: 13.1;lung cancer: 16.7;melanoma: 16.9	Low region specificity	Detected in many			Immune cell enhanced	Detected in many		gdT-cell: 551.3;memory CD8 T-cell: 332.1	Lineage enriched	Detected in many	8	T-cells: 551.3	Group enriched	Detected in some	17	Rhabdoid: 70.9;skin cancer: 23.2	Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Colon - Enteric glia cells, Liver - NK-cells (Liver), Lung - NK-cells (Lung)														Secreted to blood			346000000	36000000	Cluster 36: GdT-cells - Adaptive immune response	Cluster 75: Bone marrow - mRNA splicing & Cell cycle	Cluster 22: Rhabdoid cancers - Neuronal signaling	Cluster 7: NK-cells - Immune response regulation				unprognostic (3.51e-3)	unprognostic (8.81e-3)	unprognostic (1.21e-1)	unprognostic (2.54e-1)	unprognostic (2.55e-2)	unprognostic (1.54e-1)	unprognostic (6.14e-2)	unprognostic (1.35e-2)	unprognostic (9.89e-2)	unprognostic (1.76e-1)	unprognostic (2.55e-2)	unprognostic (3.33e-1)	unprognostic (3.51e-2)	unprognostic (1.87e-1)	unprognostic (1.59e-2)	unprognostic (9.61e-2)	unprognostic (1.49e-2)	NK-cells
KLRF1	CLEC5C, NKp80	ENSG00000150045	Killer cell lectin like receptor F1	Q9NZS2	12	9827481-9845007	Predicted membrane proteins		Receptor		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		bone marrow: 12.8;lymphoid tissue: 18.0	Cell type enriched	Detected in many	9	NK-cells: 681.1	Low cancer specificity	Detected in many			Low region specificity	Detected in single			Immune cell enriched	Detected in many	7	NK-cell: 664.4	Lineage enriched	Detected in all	7	NK-cells: 664.4	Cancer enhanced	Detected in single		Leukemia: 1.0	Adipose subcutaneous - T-cells, Adipose visceral - T-cells, Liver - NK-cells (Liver), Lung - NK-cells (Lung)									HPA054038			Approved	Plasma membrane						Cluster 48: NK-cells - Unknown function	Cluster 2: Immune cells - Immune response	Cluster 66: Myeloid cells - Innate immune response	Cluster 7: NK-cells - Immune response regulation	Plasma membrane		HPA054038: 	unprognostic (2.96e-1)	unprognostic (8.59e-2)	unprognostic (3.18e-2)	unprognostic (2.95e-1)	unprognostic (3.26e-1)	unprognostic (1.69e-4)	unprognostic (6.06e-2)	unprognostic (3.68e-2)	unprognostic (9.95e-3)	unprognostic (3.00e-1)	unprognostic (2.90e-1)	unprognostic (4.43e-2)	unprognostic (6.53e-2)	unprognostic (4.64e-2)	unprognostic (1.12e-1)	unprognostic (2.15e-1)	unprognostic (8.89e-3)	NK-cells
KIR3DL1	AMB11, CD158E1, CD158e1/2, CD158e2, cl-11, cl-2, KIR, nkat3, NKB1, NKB1B	ENSG00000167633	Killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1	P43629	19	54816468-54830778	CD markers, Predicted membrane proteins		Receptor		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in single		lymphoid tissue: 1.5	Cell type enriched	Detected in some	8	NK-cells: 21.6	Not detected	Not detected			Not detected	Not detected			Immune cell enriched	Detected in single	4	gdT-cell: 1.8	Lineage enriched	Detected in single	4	T-cells: 1.8	Not detected	Not detected			Lung - NK-cells (Lung)																			Cluster 36: GdT-cells - Adaptive immune response	Cluster 64: Macrophages - Immune response		Cluster 7: NK-cells - Immune response regulation				unprognostic (3.18e-1)	unprognostic (8.01e-2)		unprognostic (3.53e-2)	unprognostic (4.85e-1)	unprognostic (5.18e-3)	unprognostic (6.19e-2)	unprognostic (4.37e-2)	unprognostic (9.97e-2)	unprognostic (1.89e-2)	unprognostic (3.28e-1)	unprognostic (7.34e-2)	unprognostic (2.07e-3)	unprognostic (3.22e-2)	unprognostic (2.07e-1)	unprognostic (1.73e-1)	unprognostic (2.19e-2)	NK-cells
PRF1	HPLH2, P1, PFP	ENSG00000180644	Perforin 1	P14222	10	70597348-70602759	Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters	Cytolysis		Cancer-related genes, Disease variant, Familial hemophagocytic lymphohistiocytosis	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in many	5	bone marrow: 28.6;lung: 16.5;lymphoid tissue: 49.4	Cell type enriched	Detected in some	4	NK-cells: 1120.5	Low cancer specificity	Detected in all			Low region specificity	Detected in many			Group enriched	Detected in many	5	gdT-cell: 900.4;MAIT T-cell: 628.8;memory CD8 T-cell: 499.1;naive CD8 T-cell: 313.0;NK-cell: 656.8	Group enriched	Detected in all	50	NK-cells: 656.8;T-cells: 900.4	Cancer enriched	Detected in some	7	lymphoma: 61.8	Adipose subcutaneous - T-cells, Adipose visceral - T-cells, Breast - T-cells, Colon - T-cells, Heart muscle - T-cells, Lung - NK-cells (Lung), Pancreas - T-cells, Prostate - T-cells, Thyroid - T-cells	Not detected	Not detected			Low region specificity	Detected in all			CAB002436, HPA037940	Approved		Approved	Cytosol	Intracellular and membrane				2100000	Cluster 36: GdT-cells - Adaptive immune response	Cluster 2: Immune cells - Immune response	Cluster 54: Lymphoma - Cytokine signaling	Cluster 7: NK-cells - Immune response regulation	Cytosol		CAB002436: AB_563955, HPA037940: AB_2675747	unprognostic (6.11e-3)	unprognostic (1.26e-2)	unprognostic (1.71e-1)	prognostic favorable (2.09e-4)	unprognostic (1.87e-2)	prognostic favorable (3.54e-4)	unprognostic (6.98e-3)	unprognostic (2.62e-1)	unprognostic (1.44e-3)	unprognostic (1.69e-2)	unprognostic (5.22e-2)	unprognostic (1.45e-1)	prognostic unfavorable (1.08e-5)	unprognostic (7.38e-2)	unprognostic (2.70e-1)	unprognostic (7.97e-3)	unprognostic (5.22e-3)	NK-cells
