Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
TLL1		ENSG00000038295	Tolloid like 1	O43897	4	165873237-166104457	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Differentiation	Developmental protein, Hydrolase, Metalloprotease, Protease	Atrial septal defect, Disease variant	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in many	4	brain: 20.0;placenta: 6.4	Cell type enriched	Detected in some	4	Oligodendrocyte precursor cells: 110.2	Cancer enhanced	Detected in some		renal cancer: 1.7	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in many			Breast - Endothelial cells, Colon - Endothelial cells, Kidney - Endothelial cells, Skeletal muscle - Endothelial cells	Low region specificity	Detected in many			Region enriched	Detected in all	8	cerebellum: 45.8	HPA060767			Approved	Vesicles	Secreted to extracellular matrix				560000		Cluster 6: Brain - Smell perception	Cluster 10: Ovarian & Endometrial cancers - Unknown function	Cluster 10: Neurons & Oligodendrocytes - Nervous system development	Vesicles		HPA060767: AB_2684357	unprognostic (2.17e-1)	unprognostic (6.45e-4)	unprognostic (8.60e-2)	unprognostic (2.65e-5)	unprognostic (9.85e-2)	unprognostic (2.51e-4)	unprognostic (3.37e-2)	unprognostic (3.61e-2)	unprognostic (1.56e-1)	unprognostic (5.07e-4)	unprognostic (2.86e-2)	unprognostic (2.34e-1)	unprognostic (2.23e-2)	unprognostic (2.13e-3)	unprognostic (7.76e-2)	unprognostic (6.91e-3)	unprognostic (1.21e-5)	Oligodendrocyte precursor cells
COL11A1	CO11A1, COLL6, DFNA37, STL2	ENSG00000060718	Collagen type XI alpha 1 chain	P12107	1	102876467-103108872	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins			Cancer-related genes, Cataract, Deafness, Disease variant, Dwarfism, Ectodermal dysplasia, Non-syndromic deafness, Stickler syndrome	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in some		placenta: 20.1;retina: 9.6	Cell type enriched	Detected in some	5	Oligodendrocyte precursor cells: 533.8	Cancer enhanced	Detected in many		breast cancer: 27.4	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		Rhabdoid: 246.1	Skeletal muscle - Fibroblasts, Testis - Early spermatids, Testis - Late spermatids	Low region specificity	Detected in many			Low region specificity	Detected in all			HPA058335			Supported	Endoplasmic reticulum	Secreted to extracellular matrix	No	No		640000		Cluster 28: Placenta - Pregnancy	Cluster 33: Skin cancer - Membrane components	Cluster 10: Neurons & Oligodendrocytes - Nervous system development	Endoplasmic reticulum		HPA058335: AB_2683682	unprognostic (2.60e-3)	unprognostic (6.61e-4)	unprognostic (9.58e-2)	unprognostic (5.06e-5)	unprognostic (2.83e-1)	unprognostic (2.85e-2)	unprognostic (6.03e-3)	unprognostic (2.23e-3)	unprognostic (9.08e-2)	unprognostic (1.21e-1)	unprognostic (1.12e-2)	unprognostic (1.94e-2)	unprognostic (3.01e-12)	unprognostic (1.27e-2)	unprognostic (3.53e-1)	unprognostic (3.54e-2)	unprognostic (2.32e-2)	Oligodendrocyte precursor cells
XYLT1	PXYLT1, XT-I	ENSG00000103489	Xylosyltransferase 1	Q86Y38	16	17101769-17470960	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted secreted proteins		Glycosyltransferase, Transferase	Disease variant, Dwarfism	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in many			Cell type enriched	Detected in many	6	Oligodendrocyte precursor cells: 1144.2	Low cancer specificity	Detected in many			Low region specificity	Detected in all			Immune cell enhanced	Detected in some		non-classical monocyte: 2.0	Lineage enriched	Detected in single	4	monocytes: 2.0	Low cancer specificity	Detected in many			Breast - Adipocytes (Breast)	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA007478, HPA007966	Approved		Approved	Endoplasmic reticulum,Plasma membrane	Secreted to blood				150000	Cluster 14: Monocytes - Unknown function	Cluster 10: Brain - Neuronal signaling	Cluster 20: Connective tissue cells - ECM organization	Cluster 10: Neurons & Oligodendrocytes - Nervous system development	Plasma membrane	Endoplasmic reticulum	HPA007478: AB_1080616, HPA007966: AB_1080618	unprognostic (1.82e-1)	unprognostic (7.17e-2)	unprognostic (1.63e-1)	unprognostic (1.38e-2)	unprognostic (2.83e-1)	unprognostic (9.12e-2)	unprognostic (8.13e-2)	unprognostic (9.40e-2)	unprognostic (2.41e-3)	unprognostic (2.82e-2)	unprognostic (2.11e-1)	unprognostic (1.01e-1)	unprognostic (8.66e-3)	unprognostic (2.49e-1)	unprognostic (1.76e-1)	unprognostic (2.95e-1)	unprognostic (6.05e-2)	Oligodendrocyte precursor cells
PTPRZ1	phosphacan, PTP18, PTPRZ, PTPZ, RPTPB	ENSG00000106278	Protein tyrosine phosphatase receptor type Z1	P23471	7	121873089-122062036	Enzymes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins		Hydrolase, Protein phosphatase		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		brain: 88.4;skin 1: 31.9	Cell type enriched	Detected in many	4	Oligodendrocyte precursor cells: 2599.3	Cancer enriched	Detected in many	14	glioma: 175.5	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		skin cancer: 30.7	Adipose visceral - Mesothelial cells, Colon - Enteric glia cells, Prostate - Urothelial cells, Skin - Keratinocyte (other), Testis - Spermatogonia	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA015103	Enhanced		Approved	Vesicles,Cytosol	Secreted in brain				3400000		Cluster 27: Brain & Skin - Unknown function	Cluster 33: Skin cancer - Membrane components	Cluster 10: Neurons & Oligodendrocytes - Nervous system development	Cytosol	Vesicles	HPA015103: AB_1855946	unprognostic (8.49e-4)	unprognostic (3.96e-3)	unprognostic (4.11e-2)	unprognostic (1.37e-1)	unprognostic (9.18e-2)	unprognostic (2.41e-2)	unprognostic (8.30e-3)	unprognostic (3.78e-2)	unprognostic (1.57e-1)	unprognostic (2.53e-1)	unprognostic (9.17e-4)	unprognostic (1.83e-1)	unprognostic (8.72e-6)	unprognostic (2.00e-1)	unprognostic (2.16e-1)	unprognostic (8.77e-2)	prognostic unfavorable (9.36e-4)	Oligodendrocyte precursor cells
UST	2OST	ENSG00000111962	Uronyl 2-sulfotransferase	Q9Y2C2	6	148747030-149076990	Metabolic proteins, Predicted membrane proteins		Transferase		Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	Low tissue specificity	Detected in many			Cell type enriched	Detected in many	4	Oligodendrocyte precursor cells: 325.4	Cancer enhanced	Detected in all		thyroid cancer: 15.7	Low region specificity	Detected in all			Immune cell enhanced	Detected in single		NK-cell: 2.5	Low lineage specificity	Detected in single			Low cancer specificity	Detected in many			Breast - Fibroblasts, Liver - Hepatic stellate cells, Thyroid - Thyroid glandular cells	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA032022	Approved									Cluster 48: NK-cells - Unknown function	Cluster 21: Non-specific - Transcription	Cluster 27: TE 441.T - Unknown function	Cluster 10: Neurons & Oligodendrocytes - Nervous system development			HPA032022: AB_10603326	unprognostic (3.43e-1)	unprognostic (1.90e-1)	unprognostic (7.87e-3)	unprognostic (3.22e-5)	unprognostic (1.83e-3)	unprognostic (1.50e-1)	unprognostic (5.71e-2)	unprognostic (1.96e-2)	unprognostic (8.31e-3)	unprognostic (2.67e-2)	unprognostic (3.63e-2)	unprognostic (1.11e-1)	unprognostic (9.25e-3)	unprognostic (9.48e-2)	unprognostic (1.07e-1)	unprognostic (2.51e-2)	unprognostic (3.02e-2)	Oligodendrocyte precursor cells
COL9A1		ENSG00000112280	Collagen type IX alpha 1 chain	P20849	6	70216040-70303084	Disease related genes, Human disease related genes, Predicted secreted proteins			Deafness, Stickler syndrome	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	4	choroid plexus: 68.8	Cell type enriched	Detected in some	4	Oligodendrocyte precursor cells: 297.0	Cancer enhanced	Detected in many		endometrial cancer: 3.6	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		Rhabdoid: 2.8;Sarcoma: 2.5	Stomach - Fibroblasts, Testis - Early spermatids, Testis - Late spermatids	Not detected	Not detected			Low region specificity	Detected in many			HPA074749	Enhanced				Secreted to extracellular matrix				120000		Cluster 88: Choroid plexus - Transmembrane transport	Cluster 27: TE 441.T - Unknown function	Cluster 10: Neurons & Oligodendrocytes - Nervous system development			HPA074749: AB_2732266	unprognostic (2.18e-2)	unprognostic (2.16e-1)	unprognostic (2.25e-2)	unprognostic (3.48e-3)	unprognostic (5.72e-2)	unprognostic (5.32e-4)	unprognostic (3.24e-3)	unprognostic (8.79e-2)	unprognostic (1.25e-1)	unprognostic (8.68e-2)	unprognostic (8.27e-2)	unprognostic (2.52e-1)	unprognostic (5.69e-2)	unprognostic (1.54e-1)	unprognostic (2.09e-1)	unprognostic (2.78e-1)	unprognostic (3.62e-2)	Oligodendrocyte precursor cells
SEMA5A	SEMAF, semF	ENSG00000112902	Semaphorin 5A	Q13591	5	9035033-9546075	Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Differentiation, Neurogenesis	Developmental protein		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		brain: 35.4	Cell type enriched	Detected in many	7	Oligodendrocyte precursor cells: 1139.4	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Immune cell enriched	Detected in single	12	plasmacytoid DC: 2.9	Lineage enriched	Detected in single	12	dendritic cells: 2.9	Low cancer specificity	Detected in many			Kidney - Podocytes, Skeletal muscle - Fibroblasts, Thyroid - Fibroblasts	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA004632	Approved								13000	Cluster 47: Plasmacytoid DCs - Protein folding	Cluster 10: Brain - Neuronal signaling	Cluster 20: Connective tissue cells - ECM organization	Cluster 10: Neurons & Oligodendrocytes - Nervous system development			HPA004632: AB_1079905	unprognostic (1.48e-1)	unprognostic (1.68e-2)	unprognostic (1.40e-2)	unprognostic (6.67e-2)	unprognostic (3.65e-1)	prognostic favorable (2.45e-4)	unprognostic (7.02e-2)	unprognostic (1.75e-1)	unprognostic (1.38e-1)	unprognostic (1.04e-1)	unprognostic (3.10e-2)	unprognostic (8.15e-2)	prognostic favorable (3.66e-8)	unprognostic (8.51e-3)	unprognostic (1.27e-2)	unprognostic (3.57e-1)	unprognostic (3.01e-2)	Oligodendrocyte precursor cells
TNR		ENSG00000116147	Tenascin R	Q92752	1	175315194-175743616	Predicted intracellular proteins, Predicted secreted proteins	Cell adhesion			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	9	brain: 31.3;retina: 16.2	Cell type enriched	Detected in some	9	Oligodendrocyte precursor cells: 2191.6	Cancer enriched	Detected in single	46	glioma: 9.9	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		Bone cancer: 2.2;thyroid cancer: 3.6	Colon - Colon enteroendocrine cells, Pancreas - Beta cells, Testis - Early spermatids, Testis - Late spermatids, Thyroid - Parafollicular cells	Low region specificity	Detected in all			Low region specificity	Detected in all			CAB022343, HPA027134, HPA027150, HPA029859	Enhanced				Secreted in brain				58000		Cluster 58: Brain - Synaptic function	Cluster 29: TT & NCI-H1385 - Synaptic signal transduction	Cluster 10: Neurons & Oligodendrocytes - Nervous system development			CAB022343: , HPA027134: AB_1851983, HPA027150: AB_1851985, HPA029859: AB_10600916	unprognostic (1.04e-1)	unprognostic (7.43e-2)	unprognostic (3.11e-2)	unprognostic (1.12e-3)	unprognostic (2.38e-1)	unprognostic (1.51e-2)	unprognostic (9.66e-2)	unprognostic (2.57e-2)	unprognostic (5.79e-2)	unprognostic (5.06e-2)	unprognostic (3.03e-3)	unprognostic (7.26e-4)	unprognostic (4.48e-4)	unprognostic (3.26e-3)	unprognostic (3.83e-1)	unprognostic (1.07e-1)	unprognostic (5.83e-2)	Oligodendrocyte precursor cells
FBN3	KIAA1776	ENSG00000142449	Fibrillin 3	Q75N90	19	8065402-8149592	Predicted intracellular proteins, Predicted secreted proteins				Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	Tissue enhanced	Detected in some		kidney: 2.4;salivary gland: 4.0	Cell type enriched	Detected in some	4	Oligodendrocyte precursor cells: 16.4	Cancer enhanced	Detected in many		testis cancer: 8.5	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		Bone cancer: 4.2;testis cancer: 4.5	Kidney - Intercalated cells					Not detected	Not detected			HPA049482	Uncertain				Secreted to extracellular matrix				2400000		Cluster 7: Kidney - Transmembrane transport	Cluster 10: Ovarian & Endometrial cancers - Unknown function	Cluster 37: Neurons - Neuronal signaling			HPA049482: AB_2680786	unprognostic (9.66e-3)	unprognostic (5.15e-3)	unprognostic (1.73e-1)	prognostic unfavorable (5.15e-4)	unprognostic (4.14e-2)	unprognostic (5.14e-3)	unprognostic (6.26e-2)	unprognostic (4.10e-3)	unprognostic (3.17e-2)	unprognostic (8.94e-2)	unprognostic (4.61e-2)	unprognostic (1.53e-1)	unprognostic (2.76e-2)	unprognostic (1.34e-2)	unprognostic (2.57e-1)	unprognostic (1.17e-2)	unprognostic (3.17e-1)	Oligodendrocyte precursor cells
GPR17		ENSG00000144230	G protein-coupled receptor 17	Q13304	2	127645864-127652639	G-protein coupled receptors, Predicted membrane proteins		G-protein coupled receptor, Receptor, Transducer		Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Tissue enhanced	Detected in many		heart muscle: 19.8;intestine: 23.8	Cell type enriched	Detected in some	10	Oligodendrocyte precursor cells: 55.8	Cancer enriched	Detected in some	32	glioma: 16.5	Low region specificity	Detected in all			Immune cell enriched	Detected in single	19	naive B-cell: 1.9	Lineage enriched	Detected in single	19	B-cells: 1.9	Low cancer specificity	Detected in some				Low region specificity	Detected in all			Low region specificity	Detected in all			HPA029766	Enhanced	Supported	Approved	Vesicles						Cluster 24: B-cells - Unknown function	Cluster 35: Non-specific - Unknown function	Cluster 20: Connective tissue cells - ECM organization	Cluster 10: Neurons & Oligodendrocytes - Nervous system development	Vesicles		HPA029766: AB_10612114	unprognostic (8.10e-2)	unprognostic (1.73e-1)	unprognostic (2.61e-1)	unprognostic (1.42e-2)	unprognostic (1.54e-1)	unprognostic (5.19e-2)	unprognostic (2.77e-5)	unprognostic (8.40e-3)	unprognostic (2.92e-1)	unprognostic (3.25e-2)	unprognostic (1.61e-3)	unprognostic (6.60e-2)	unprognostic (2.11e-3)	unprognostic (3.33e-2)	unprognostic (2.19e-1)	unprognostic (2.04e-1)	unprognostic (1.31e-1)	Oligodendrocyte precursor cells
