Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
FOLR3	FR-G, FRÃŽÂ³	ENSG00000110203	Folate receptor gamma	P41439	11	72114869-72139892	Metabolic proteins, Predicted secreted proteins		Receptor		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	7	bone marrow: 98.7;lymphoid tissue: 28.4	Cell type enriched	Detected in some	10	Distal tubular cells: 391.8	Cancer enhanced	Detected in some		ovarian cancer: 5.1	Not detected	Not detected			Group enriched	Detected in many	11	classical monocyte: 330.8;neutrophil: 492.8	Group enriched	Detected in many	11	granulocytes: 492.8;monocytes: 330.8	Cancer enhanced	Detected in many		head and neck cancer: 12.2;Sarcoma: 6.7	Adipose visceral - Neutrophils, Heart muscle - Neutrophils														Secreted to blood				12000000	Cluster 25: Monocytes - Inflammatory response	Cluster 67: Neutrophils - Humoral immune response	Cluster 60: Keratinocytes - Epithelial cell function	Cluster 33: Macrophages - Degranulation				unprognostic (1.47e-2)	unprognostic (6.26e-3)	unprognostic (1.94e-2)	unprognostic (8.72e-3)	unprognostic (6.87e-3)	unprognostic (9.56e-2)	unprognostic (1.58e-1)	unprognostic (3.72e-1)	unprognostic (1.72e-1)	unprognostic (1.54e-1)	unprognostic (7.35e-2)	unprognostic (7.90e-2)	unprognostic (8.39e-2)	unprognostic (9.99e-4)	unprognostic (1.96e-1)	unprognostic (2.03e-6)	unprognostic (4.17e-1)	Distal tubular cells
CLDN16	HOMG3, PCLN1	ENSG00000113946	Claudin 16	Q9Y5I7	3	190322541-190412138	Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Ion transport, Transport		Disease variant, Primary hypomagnesemia	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	7	kidney: 63.6	Cell type enriched	Detected in some	8	Distal tubular cells: 121.3	Group enriched	Detected in many	15	ovarian cancer: 39.8;thyroid cancer: 29.6	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in many	7	ovarian cancer: 124.1;Uterine cancer: 158.7	Adipose visceral - Mesothelial cells, Kidney - Ascending Loop of Henle cells, Liver - Hepatocytes, Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids	Not detected	Not detected			Not detected	Not detected			HPA056020	Enhanced										Cluster 7: Kidney - Transmembrane transport	Cluster 10: Ovarian & Endometrial cancers - Unknown function	Cluster 16: Non-specific - RNA binding			HPA056020: AB_2683011	unprognostic (5.01e-2)	unprognostic (7.83e-3)	unprognostic (1.96e-1)	prognostic unfavorable (1.99e-5)	unprognostic (6.06e-4)	unprognostic (1.30e-1)	unprognostic (2.07e-1)	unprognostic (2.39e-2)	unprognostic (3.31e-1)	unprognostic (4.20e-1)	unprognostic (2.76e-3)	unprognostic (3.70e-1)	unprognostic (1.96e-1)	unprognostic (5.76e-2)	unprognostic (8.08e-2)	unprognostic (1.62e-2)	unprognostic (1.15e-1)	Distal tubular cells
ATP6V0D2	ATP6D2, FLJ38708, VMA6	ENSG00000147614	ATPase H+ transporting V0 subunit d2	Q8N8Y2	8	85987323-86154225	Metabolic proteins, Predicted intracellular proteins	Hydrogen ion transport, Ion transport, Transport			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	4	kidney: 60.5	Cell type enriched	Detected in some	17	Distal tubular cells: 273.7	Cancer enriched	Detected in many	9	renal cancer: 36.7	Low region specificity	Detected in many			Low immune cell specificity	Detected in single			Low lineage specificity	Detected in single			Cancer enhanced	Detected in many		skin cancer: 6.4;testis cancer: 5.8	Kidney - Intercalated cells	Not detected	Not detected			Not detected	Not detected			HPA055327, HPA058496	Enhanced		Approved	Vesicles						Cluster 33: Neutrophils - Chromatin organization	Cluster 7: Kidney - Transmembrane transport	Cluster 16: Skin cancer - Melanocyte processes	Cluster 19: Macrophages - Innate immune response	Vesicles		HPA055327: AB_2682784, HPA058496: 	unprognostic (3.79e-2)	unprognostic (1.59e-1)	unprognostic (1.78e-1)	unprognostic (1.22e-1)	unprognostic (8.50e-2)	unprognostic (8.43e-3)	unprognostic (5.36e-5)	unprognostic (4.02e-2)	unprognostic (1.16e-1)	unprognostic (7.75e-3)	unprognostic (2.32e-2)	unprognostic (1.61e-1)	prognostic favorable (2.20e-6)	unprognostic (8.58e-2)	unprognostic (1.77e-2)	unprognostic (3.67e-1)	unprognostic (1.97e-2)	Distal tubular cells
ATP6V1G3	ATP6G3, Vma10	ENSG00000151418	ATPase H+ transporting V1 subunit G3	Q96LB4	1	198523222-198540945	Metabolic proteins, Predicted intracellular proteins, Transporters	Hydrogen ion transport, Ion transport, Transport			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	28	kidney: 59.3	Cell type enriched	Detected in some	27	Distal tubular cells: 646.8	Cancer enriched	Detected in single	140	renal cancer: 11.2	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Kidney - Intercalated cells	Not detected	Not detected			Not detected	Not detected			HPA028701	Enhanced										Cluster 7: Kidney - Transmembrane transport	Cluster 20: Connective tissue cells - ECM organization	Cluster 16: Non-specific - RNA binding			HPA028701: AB_10611681																		Distal tubular cells
TMEM52B	C12orf59, FLJ31166	ENSG00000165685	Transmembrane protein 52B	Q4KMG9	12	10170542-10191801	Predicted intracellular proteins				Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	29	kidney: 175.8	Cell type enriched	Detected in some	19	Distal tubular cells: 827.2	Cancer enriched	Detected in some	5	renal cancer: 6.9	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		liver cancer: 15.7	Kidney - Intercalated cells, Testis - Early spermatids, Testis - Late spermatids	Not detected	Not detected			Not detected	Not detected			HPA058096	Enhanced		Approved	Focal adhesion sites						Cluster 28: Myeloid DCs - Unknown function	Cluster 7: Kidney - Transmembrane transport	Cluster 6: BEWO - Unknown function	Cluster 16: Non-specific - RNA binding	Focal adhesion sites		HPA058096: AB_2683603	unprognostic (1.10e-2)	unprognostic (7.61e-2)	unprognostic (1.37e-3)	unprognostic (1.22e-1)	unprognostic (1.67e-1)	unprognostic (5.33e-3)	unprognostic (1.37e-1)	unprognostic (8.65e-2)	unprognostic (7.14e-4)	unprognostic (2.23e-1)	unprognostic (6.36e-2)	unprognostic (7.33e-2)	unprognostic (3.24e-2)	unprognostic (5.80e-2)	unprognostic (5.51e-2)	unprognostic (1.66e-1)	unprognostic (3.18e-1)	Distal tubular cells
FRMD7	FLJ43346, NYS, NYS1	ENSG00000165694	FERM domain containing 7	Q6ZUT3	X	132076990-132128020	Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters	Neurogenesis		Cancer-related genes, Disease variant	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	5	endometrium 1: 2.9;kidney: 2.7;smooth muscle: 2.2	Cell type enriched	Detected in single	20	Distal tubular cells: 9.3	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Kidney - Intercalated cells, Liver - Hepatocytes	Region enriched	Detected in many	28	olfactory bulb: 65.7	Region enriched	Detected in single	86	olfactory bulb: 21.3	HPA000886	Uncertain		Approved	Nucleoplasm,Plasma membrane,Cytosol							Cluster 1: Thyroid gland - Transcription	Cluster 41: Non-specific - Cilium assembly	Cluster 16: Non-specific - RNA binding	Plasma membrane	Nucleoplasm, Cytosol	HPA000886: AB_1079269	unprognostic (3.08e-2)	unprognostic (1.27e-1)			unprognostic (1.36e-1)	unprognostic (3.07e-1)	unprognostic (4.02e-2)	unprognostic (1.64e-2)	unprognostic (2.28e-1)	unprognostic (2.18e-2)	unprognostic (3.84e-1)	unprognostic (3.54e-2)			unprognostic (3.00e-1)			Distal tubular cells
DMRT2		ENSG00000173253	Doublesex and mab-3 related transcription factor 2	Q9Y5R5	9	1049858-1057552	Predicted intracellular proteins, Predicted membrane proteins, Transcription factors	Transcription, Transcription regulation	DNA-binding		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		kidney: 41.2;lymphoid tissue: 20.9;parathyroid gland: 46.4	Cell type enriched	Detected in some	11	Distal tubular cells: 118.2	Group enriched	Detected in many	4	lung cancer: 3.0;renal cancer: 9.7	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		Esophageal cancer: 6.4;Sarcoma: 5.8	Kidney - Intercalated cells	Low region specificity	Detected in some			Region enhanced	Detected in single		cerebral cortex: 1.1	HPA003498, HPA029297	Uncertain		Approved	Nucleoplasm,Nucleoli,Vesicles,Centriolar satellite							Cluster 8: Non-specific - Mitochondria	Cluster 42: Sarcoma - Muscle contraction	Cluster 16: Non-specific - RNA binding	Nucleoplasm, Nucleoli	Vesicles, Centriolar satellite	HPA003498: , HPA029297: AB_10600905	unprognostic (5.67e-2)	unprognostic (2.20e-3)	unprognostic (3.24e-2)	unprognostic (8.88e-2)	unprognostic (1.32e-1)	unprognostic (7.10e-2)		unprognostic (1.46e-1)	unprognostic (1.65e-1)	unprognostic (3.13e-1)	unprognostic (7.43e-2)	unprognostic (1.74e-1)	unprognostic (1.43e-3)	unprognostic (8.93e-2)	unprognostic (8.62e-2)	unprognostic (4.93e-2)	unprognostic (1.27e-3)	Distal tubular cells
SRARP	C1orf64, ERRF, MGC24047	ENSG00000183888	Steroid receptor associated and regulated protein	Q8NEQ6	1	16004236-16008807	Predicted intracellular proteins				Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in some		brain: 11.3;breast: 5.1;choroid plexus: 6.2	Cell type enriched	Detected in some	5	Distal tubular cells: 121.3	Group enriched	Detected in some	4	breast cancer: 7.7;endometrial cancer: 2.2;prostate cancer: 6.5	Low region specificity	Detected in all			Immune cell enhanced	Detected in single		neutrophil: 1.8	Lineage enriched	Detected in single	5	granulocytes: 1.8	Cancer enriched	Detected in some	5	breast cancer: 8.6	Breast - Breast glandular cells, Kidney - Intercalated cells	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA026676	Uncertain		Approved	Nucleoplasm						Cluster 9: Neutrophils - Innate immune response	Cluster 73: Brain - Neuropeptide signaling	Cluster 65: Breast cancer - Unknown function	Cluster 73: Prostatic glandular cells - Transcription	Nucleoplasm		HPA026676: AB_1853866	unprognostic (8.55e-2)	unprognostic (1.01e-1)		prognostic favorable (1.68e-6)	unprognostic (3.32e-2)	unprognostic (1.09e-2)	unprognostic (1.45e-2)	unprognostic (1.41e-2)		unprognostic (3.49e-1)		unprognostic (8.25e-2)	unprognostic (1.40e-2)	unprognostic (1.81e-1)	unprognostic (2.53e-1)	unprognostic (1.65e-3)	unprognostic (6.32e-2)	Distal tubular cells
TMEM207		ENSG00000198398	Transmembrane protein 207	Q6UWW9	3	190428655-190449901	Predicted membrane proteins				Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	115	kidney: 17.8	Cell type enriched	Detected in single	38	Distal tubular cells: 37.3	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected				Not detected	Not detected			Not detected	Not detected			HPA014332	Uncertain										Cluster 7: Kidney - Transmembrane transport	Cluster 41: Non-specific - Cilium assembly	Cluster 16: Non-specific - RNA binding			HPA014332: AB_2204907															unprognostic (4.81e-2)			Distal tubular cells
FRG2B		ENSG00000225899	FSHD region gene 2 family member B	Q96QU4	10	133623895-133626795	Predicted intracellular proteins				Evidence at transcript level	No human protein/transcript evidence	Evidence at transcript level	Evidence at transcript level	Not detected	Not detected			Cell type enriched	Detected in single	50	Distal tubular cells: 15.5	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in single		lymphoma: 1.3										HPA039264, HPA047769	Uncertain											Cluster 50: L-1236 & L-428 - Unknown function	Cluster 16: Non-specific - RNA binding			HPA039264: AB_2676420, HPA047769: AB_2680149																		Distal tubular cells
