Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
GLP2R		ENSG00000065325	Glucagon like peptide 2 receptor	O95838	17	9822206-9892099	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins		G-protein coupled receptor, Receptor, Transducer	FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Tissue enhanced	Detected in many		gallbladder: 12.2;intestine: 13.5;urinary bladder: 11.8	Cell type enriched	Detected in some	4	Rod photoreceptor cells: 27.0	Cancer enhanced	Detected in single		pancreatic cancer: 1.1	Group enriched	Detected in many	6	basal ganglia: 3.0;cerebral cortex: 3.6;hippocampal formation: 3.2;white matter: 1.7	Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in many	4	cervical cancer: 36.7	Adipose subcutaneous - Adipocytes (Subcutaneous), Breast - Adipocytes (Breast), Liver - Hepatic stellate cells, Lung - Fibroblast_2, Pancreas - Fibroblasts	Group enriched	Detected in some	5	cerebral cortex: 2.1;hippocampal formation: 2.4	Low region specificity	Detected in all			CAB022690, HPA049244	Supported		Supported	Plasma membrane							Cluster 37: Intestine - Unknown function	Cluster 34: Rabdoid cancer - Embryonic development	Cluster 44: Photoreceptor cells - Visual perception	Plasma membrane		CAB022690: , HPA049244: AB_2680690	unprognostic (2.14e-1)	unprognostic (2.45e-3)	unprognostic (2.66e-3)	unprognostic (2.21e-2)	unprognostic (3.81e-3)	unprognostic (2.09e-1)	unprognostic (1.39e-2)	unprognostic (5.15e-2)	unprognostic (7.63e-2)	unprognostic (7.14e-2)	unprognostic (2.19e-1)	unprognostic (6.16e-3)	unprognostic (3.40e-8)	unprognostic (9.53e-5)	unprognostic (5.51e-2)	unprognostic (3.92e-1)	unprognostic (6.48e-3)	Rod photoreceptor cells
ZFYVE26	KIAA0321, SPG15	ENSG00000072121	Zinc finger FYVE-type containing 26	Q68DK2	14	67727374-67816590	Disease related genes, Human disease related genes, Predicted intracellular proteins	Cell cycle, Cell division, DNA damage, DNA repair		Hereditary spastic paraplegia, Neurodegeneration	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enriched	Detected in many	5	Rod photoreceptor cells: 148.2	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Immune cell enriched	Detected in single	11	plasmacytoid DC: 4.8	Lineage enriched	Detected in single	11	dendritic cells: 4.8	Low cancer specificity	Detected in all				Low region specificity	Detected in all			Low region specificity	Detected in all			HPA055500	Approved									Cluster 3: Plasmacytoid DCs - Unknown function	Cluster 52: Non-specific - Ribosome	Cluster 46: Non-specific - Unknown function	Cluster 44: Photoreceptor cells - Visual perception			HPA055500: AB_2682837	unprognostic (3.14e-2)	unprognostic (1.12e-1)	unprognostic (2.08e-1)	unprognostic (1.16e-1)	unprognostic (1.96e-1)	unprognostic (1.02e-2)	prognostic unfavorable (2.84e-6)	unprognostic (6.87e-2)	unprognostic (8.18e-2)	unprognostic (2.97e-2)	unprognostic (8.29e-3)	unprognostic (3.71e-2)	prognostic favorable (1.54e-6)	unprognostic (1.61e-1)	unprognostic (1.58e-1)	unprognostic (6.69e-2)	unprognostic (5.34e-2)	Rod photoreceptor cells
SLC24A1	CSNB1D, HsT17412, KIAA0702, NCKX, NCKX1, RODX	ENSG00000074621	Solute carrier family 24 member 1	O60721	15	65611366-65660995	Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Antiport, Calcium transport, Ion transport, Sensory transduction, Symport, Transport, Vision		Congenital stationary night blindness	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in all	34	retina: 193.5	Cell type enriched	Detected in many	5	Rod photoreceptor cells: 301.6	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Immune cell enhanced	Detected in some		basophil: 2.6	Low lineage specificity	Detected in many			Low cancer specificity	Detected in all			Testis - Spermatocytes	Not detected	Not detected			Low region specificity	Detected in many			HPA039370	Enhanced		Approved	Microtubules						Cluster 6: Non-specific - Transcription	Cluster 79: Retina - Phototransduction	Cluster 45: Non-specific - Cell proliferation	Cluster 44: Photoreceptor cells - Visual perception	Microtubules		HPA039370: AB_10960279	unprognostic (9.47e-2)	unprognostic (9.97e-2)	unprognostic (1.66e-1)	unprognostic (3.66e-3)	unprognostic (6.39e-3)	unprognostic (4.64e-1)	unprognostic (8.82e-2)	unprognostic (1.86e-1)	unprognostic (4.69e-2)	unprognostic (3.94e-1)	unprognostic (2.01e-1)	unprognostic (9.91e-2)	prognostic favorable (2.33e-6)	unprognostic (8.45e-2)	unprognostic (9.22e-2)	unprognostic (3.04e-2)	unprognostic (1.96e-2)	Rod photoreceptor cells
GNB1		ENSG00000078369	G protein subunit beta 1	P62873	1	1785285-1891117	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins, Transporters	Host-virus interaction	Transducer	Cancer-related genes, Disease variant, Intellectual disability	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in all	11	retina: 2629.0	Cell type enriched	Detected in all	5	Rod photoreceptor cells: 1248.1	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in all			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all			Lung - Endothelial cells	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA040736	Supported		Approved	Golgi apparatus,Plasma membrane					1900000	Cluster 31: Non-specific - Inflammatory response	Cluster 79: Retina - Phototransduction	Cluster 38: Non-specific - mRNA processing	Cluster 44: Photoreceptor cells - Visual perception	Plasma membrane	Golgi apparatus	HPA040736: AB_2677106	unprognostic (9.49e-2)	unprognostic (4.91e-3)	unprognostic (1.24e-1)	unprognostic (1.56e-1)	unprognostic (3.34e-1)	unprognostic (9.07e-3)	prognostic unfavorable (3.61e-6)	unprognostic (1.99e-2)	unprognostic (3.60e-1)	unprognostic (7.27e-2)	unprognostic (8.47e-3)	unprognostic (1.95e-1)	unprognostic (9.76e-2)	unprognostic (1.08e-1)	unprognostic (4.62e-2)	unprognostic (1.14e-1)	unprognostic (7.90e-2)	Rod photoreceptor cells
CLUL1		ENSG00000079101	Clusterin like 1	Q15846	18	596988-650334	Predicted intracellular proteins, Predicted secreted proteins				Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Tissue enriched	Detected in many	31	retina: 297.9	Cell type enriched	Detected in many	4	Rod photoreceptor cells: 328.1	Low cancer specificity	Detected in many			Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in all			Adipose visceral - Mesothelial cells, Prostate - Prostate glandular cells, Thyroid - Thyroid glandular cells					Not detected	Not detected			CAB025264, HPA075240	Enhanced		Approved	Endoplasmic reticulum,Plasma membrane	Secreted in other tissues				11000	Cluster 9: Neutrophils - Innate immune response	Cluster 79: Retina - Phototransduction	Cluster 14: Bone cancer - Transcription	Cluster 44: Photoreceptor cells - Visual perception	Endoplasmic reticulum	Plasma membrane	CAB025264: , HPA075240: AB_2732286	unprognostic (1.75e-2)	unprognostic (9.15e-2)	unprognostic (1.50e-1)	unprognostic (1.51e-1)	unprognostic (7.81e-3)	unprognostic (3.00e-3)	unprognostic (1.96e-1)	unprognostic (2.97e-3)	unprognostic (8.38e-3)	unprognostic (3.76e-2)	unprognostic (4.85e-3)	unprognostic (4.96e-3)	unprognostic (6.36e-4)	unprognostic (1.32e-1)	unprognostic (7.89e-2)	unprognostic (1.29e-3)	unprognostic (2.37e-2)	Rod photoreceptor cells
GUCY2F	CYGF, GC-F, GUC2DL, RetGC-2, ROS-GC2	ENSG00000101890	Guanylate cyclase 2F, retinal	P51841	X	109372906-109482086	Enzymes, Metabolic proteins, Plasma proteins, Predicted membrane proteins	cGMP biosynthesis, Sensory transduction, Vision	Lyase		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	145	retina: 42.2	Cell type enriched	Detected in some	7	Rod photoreceptor cells: 30.5	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Testis - Early spermatids, Testis - Late spermatids	Low region specificity	Detected in single			Not detected	Not detected														Cluster 79: Retina - Phototransduction	Cluster 22: Rhabdoid cancers - Neuronal signaling	Cluster 44: Photoreceptor cells - Visual perception							unprognostic (1.91e-1)	unprognostic (4.45e-2)									unprognostic (2.96e-1)	unprognostic (2.23e-1)			Rod photoreceptor cells
GNAT1	CSNBAD3	ENSG00000114349	G protein subunit alpha transducin 1	P11488	3	50191610-50197696	Disease related genes, Human disease related genes, Predicted intracellular proteins	Sensory transduction, Vision	Transducer	Congenital stationary night blindness, Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	904	retina: 1120.2	Cell type enriched	Detected in some	4	Rod photoreceptor cells: 1820.5	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Liver - Hepatocytes, Testis - Early spermatids, Testis - Late spermatids	Region enriched	Detected in some	6	hippocampal formation: 6.5	Not detected	Not detected			HPA045393	Enhanced										Cluster 79: Retina - Phototransduction	Cluster 47: Retina - Visual perception	Cluster 44: Photoreceptor cells - Visual perception			HPA045393: AB_2679310	unprognostic (3.08e-1)	unprognostic (1.81e-1)		unprognostic (8.56e-3)	unprognostic (3.32e-2)	unprognostic (2.13e-1)	unprognostic (7.72e-2)	unprognostic (2.82e-3)		unprognostic (6.10e-2)				unprognostic (1.07e-1)	unprognostic (1.87e-1)	unprognostic (3.02e-1)	unprognostic (9.48e-3)	Rod photoreceptor cells
NRL	D14S46E, NRL-MAF, RP27	ENSG00000129535	Neural retina leucine zipper	P54845	14	24078662-24115010	Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors	Sensory transduction, Transcription, Transcription regulation, Vision	Activator, Developmental protein, DNA-binding	Disease variant, Retinitis pigmentosa	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	75	retina: 317.3	Cell type enriched	Detected in many	4	Rod photoreceptor cells: 3425.3	Low cancer specificity	Detected in many			Low region specificity	Detected in all			Low immune cell specificity	Detected in some			Low lineage specificity	Detected in many			Group enriched	Detected in many	4	testis cancer: 4.8;Uterine cancer: 10.8	Testis - Early spermatids, Thyroid - Thyroid glandular cells	Low region specificity	Detected in some			Not detected	Not detected			CAB026066, HPA064599	Enhanced		Supported	Nucleoplasm,Cytosol						Cluster 26: Non-specific - Mitochondria	Cluster 79: Retina - Phototransduction	Cluster 47: Retina - Visual perception	Cluster 44: Photoreceptor cells - Visual perception	Nucleoplasm	Cytosol	CAB026066: , HPA064599: AB_2685295	unprognostic (2.71e-2)	unprognostic (8.17e-4)	unprognostic (4.60e-2)	unprognostic (1.80e-1)	unprognostic (7.23e-2)	unprognostic (1.99e-2)	unprognostic (5.29e-2)	unprognostic (1.88e-5)	unprognostic (3.59e-2)	unprognostic (7.84e-3)	unprognostic (1.75e-3)	unprognostic (3.49e-2)	unprognostic (2.38e-5)	unprognostic (2.56e-2)	unprognostic (1.10e-1)	unprognostic (1.73e-1)	unprognostic (1.35e-3)	Rod photoreceptor cells
SAG	ARRESTIN, RP47	ENSG00000130561	S-antigen visual arrestin	P10523	2	233307816-233347055	Disease related genes, Human disease related genes, Predicted intracellular proteins			Congenital stationary night blindness, Retinitis pigmentosa	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	474	retina: 1466.0	Cell type enriched	Detected in some	5	Rod photoreceptor cells: 5893.7	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Testis - Early spermatids, Testis - Late spermatids	Low region specificity	Detected in many			Low region specificity	Detected in many			HPA004946	Enhanced										Cluster 79: Retina - Phototransduction		Cluster 44: Photoreceptor cells - Visual perception			HPA004946: AB_2667304	unprognostic (4.76e-2)	unprognostic (1.94e-2)	unprognostic (4.52e-3)	unprognostic (3.95e-1)	unprognostic (8.54e-2)	unprognostic (2.89e-2)	unprognostic (3.86e-2)	unprognostic (2.26e-2)	unprognostic (1.78e-1)	unprognostic (4.54e-1)	unprognostic (4.57e-2)	unprognostic (3.02e-1)	unprognostic (1.12e-9)	unprognostic (2.56e-1)	unprognostic (1.61e-1)	unprognostic (2.85e-1)	unprognostic (1.03e-5)	Rod photoreceptor cells
PDE6A	PDEA, RP43	ENSG00000132915	Phosphodiesterase 6A	P16499	5	149857953-149944793	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	Sensory transduction, Vision	Hydrolase	Disease variant, Retinitis pigmentosa	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Tissue enriched	Detected in some	68	retina: 1119.5	Cell type enriched	Detected in many	9	Rod photoreceptor cells: 2865.0	Not detected	Not detected			Low region specificity	Detected in some			Immune cell enhanced	Detected in single		basophil: 1.1	Low lineage specificity	Detected in single			Not detected	Not detected			Colon - Colon enterocytes, Skin - Sebaceous gland cells, Testis - Early spermatids, Testis - Late spermatids	Not detected	Not detected			Not detected	Not detected			HPA016970, HPA074677	Enhanced									Cluster 11: Basophils - Unknown function	Cluster 79: Retina - Phototransduction	Cluster 10: Ovarian & Endometrial cancers - Unknown function	Cluster 44: Photoreceptor cells - Visual perception			HPA016970: AB_1855125, HPA074677: AB_2732264	unprognostic (6.85e-2)	unprognostic (8.84e-2)	unprognostic (1.70e-2)	unprognostic (4.11e-2)	unprognostic (1.12e-2)	unprognostic (5.72e-2)	unprognostic (4.39e-3)	unprognostic (8.83e-2)	unprognostic (6.54e-2)	unprognostic (5.91e-3)	unprognostic (1.77e-2)	unprognostic (9.21e-2)	unprognostic (7.57e-5)	unprognostic (9.93e-2)	unprognostic (3.08e-1)	unprognostic (1.31e-1)	unprognostic (2.26e-2)	Rod photoreceptor cells
