Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
PAX7	Hup1	ENSG00000009709	Paired box 7	P23759	1	18630846-18748866	Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors	Myogenesis, Transcription, Transcription regulation	Developmental protein, DNA-binding	Cancer-related genes, Disease variant, Proto-oncogene	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	21	brain: 4.2;skeletal muscle: 5.7;tongue: 4.4	Cell type enriched	Detected in some	8	Skeletal myocytes: 11.9	Group enriched	Detected in some	6	breast cancer: 0.5;cervical cancer: 1.5;lung cancer: 1.2	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	10	Bone cancer: 55.9		Region enriched	Detected in single	17	midbrain: 4.6	Region enhanced	Detected in some		thalamus: 4.3												Cluster 80: Striated muscle - Unknown function	Cluster 14: Bone cancer - Transcription	Cluster 11: Non-specific - Transcription				unprognostic (8.41e-4)	unprognostic (2.07e-1)			unprognostic (5.35e-2)	unprognostic (3.96e-2)		unprognostic (4.21e-1)						unprognostic (1.96e-1)	unprognostic (1.34e-1)			Skeletal myocytes
CACNB1	CACNLB1	ENSG00000067191	Calcium voltage-gated channel auxiliary subunit beta 1	Q02641	17	39173453-39197703	FDA approved drug targets, Predicted intracellular proteins	Calcium transport, Ion transport, Transport	Calcium channel, Ion channel, Voltage-gated channel	FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in many	9	skeletal muscle: 328.8;tongue: 216.0	Cell type enriched	Detected in many	7	Skeletal myocytes: 153.4	Low cancer specificity	Detected in many			Low region specificity	Detected in many			Low immune cell specificity	Detected in single			Low lineage specificity	Detected in single			Low cancer specificity	Detected in all			Adipose subcutaneous - Adipose progenitor cells, Lung - Alveolar cells type 2	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA023343	Approved									Cluster 16: MAIT-cells - Unknown function	Cluster 13: Striated muscle - Muscle contraction	Cluster 65: Breast cancer - Unknown function	Cluster 27: Skeletal myocytes - Muscle contraction			HPA023343: AB_1845866	unprognostic (3.44e-2)	unprognostic (1.89e-2)	unprognostic (1.69e-3)	prognostic unfavorable (3.80e-4)	unprognostic (3.99e-2)	unprognostic (1.52e-2)	unprognostic (1.37e-2)	unprognostic (2.80e-3)	unprognostic (4.43e-1)	unprognostic (1.04e-3)	unprognostic (5.98e-2)	unprognostic (3.38e-1)	unprognostic (1.94e-11)	unprognostic (7.62e-2)	unprognostic (2.30e-1)	unprognostic (1.34e-2)	unprognostic (7.44e-3)	Skeletal myocytes
PYGM	GSD5	ENSG00000068976	Glycogen phosphorylase, muscle associated	P11217	11	64746389-64759974	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Carbohydrate metabolism, Glycogen metabolism	Allosteric enzyme, Glycosyltransferase, Transferase	Disease variant, Glycogen storage disease	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in many	65	skeletal muscle: 8468.3;tongue: 3594.2	Cell type enriched	Detected in many	10	Skeletal myocytes: 538.4	Low cancer specificity	Detected in many			Low region specificity	Detected in all			Immune cell enriched	Detected in some	6	basophil: 8.1	Lineage enriched	Detected in many	6	granulocytes: 8.1	Cancer enriched	Detected in some	10	Rhabdoid: 23.9	Colon - Smooth muscle cells, Heart muscle - Cardiomyocytes, Kidney - Fibroblasts, Prostate - Smooth muscle cells, Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA056003	Enhanced								10000000	Cluster 10: Basophils - Unknown function	Cluster 33: Striated muscle - Muscle contraction	Cluster 22: Rhabdoid cancers - Neuronal signaling	Cluster 27: Skeletal myocytes - Muscle contraction			HPA056003: AB_2683006	unprognostic (3.33e-1)	unprognostic (6.03e-3)	unprognostic (3.87e-4)	unprognostic (1.95e-3)	unprognostic (8.71e-2)	unprognostic (1.09e-2)	unprognostic (1.25e-3)	unprognostic (2.92e-1)	unprognostic (3.88e-1)	unprognostic (3.08e-2)	unprognostic (1.12e-1)	unprognostic (2.64e-1)	unprognostic (6.33e-6)	unprognostic (3.37e-3)	unprognostic (1.81e-1)	unprognostic (1.62e-2)	unprognostic (5.68e-2)	Skeletal myocytes
CACNA1S	CACNL1A3, Cav1.1, HOKPP, hypoPP, MHS5	ENSG00000081248	Calcium voltage-gated channel subunit alpha1 S	Q13698	1	201039512-201112451	Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Calcium transport, Ion transport, Transport	Calcium channel, Calmodulin-binding, Ion channel, Voltage-gated channel	Disease variant, FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	86	skeletal muscle: 254.9;tongue: 193.2	Cell type enriched	Detected in some	15	Skeletal myocytes: 107.9	Cancer enhanced	Detected in single		head and neck cancer: 0.9	Low region specificity	Detected in single			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in single		breast cancer: 1.2	Adipose visceral - Smooth muscle cells, Skeletal muscle - Skeletal myocytes, Testis - Late spermatids	Region enhanced	Detected in single		olfactory bulb: 1.8	Region enriched	Detected in single	8	olfactory bulb: 2.6	CAB009507, HPA048892, HPA056815	Enhanced										Cluster 13: Striated muscle - Muscle contraction	Cluster 2: DU4475 - Unknown function	Cluster 27: Skeletal myocytes - Muscle contraction			CAB009507: AB_2069576, HPA048892: AB_2680548, HPA056815: AB_2683242	unprognostic (2.14e-2)		unprognostic (1.38e-1)	unprognostic (1.12e-2)	unprognostic (1.09e-1)	unprognostic (3.52e-3)	unprognostic (4.53e-2)	unprognostic (2.84e-1)		unprognostic (2.23e-1)	unprognostic (2.53e-2)	unprognostic (1.51e-1)	unprognostic (4.72e-3)	unprognostic (1.12e-1)	unprognostic (5.28e-2)	unprognostic (7.36e-2)	unprognostic (1.57e-1)	Skeletal myocytes
MYBPC2	fsMyBP-C, MGC163408, MYBPCF	ENSG00000086967	Myosin binding protein C2	Q14324	19	50432892-50466321	Predicted intracellular proteins	Cell adhesion	Actin-binding, Muscle protein		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	13	skeletal muscle: 4338.8;tongue: 1199.2	Cell type enriched	Detected in some	396	Skeletal myocytes: 650.3	Cancer enriched	Detected in some	9	head and neck cancer: 9.9	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in some	16	lymphoma: 28.5;Myeloma: 38.1	Skeletal muscle - Skeletal myocytes	Not detected	Not detected			Low region specificity	Detected in many			HPA042991	Enhanced								420000	Cluster 37: B-cells - Transcription	Cluster 33: Striated muscle - Muscle contraction	Cluster 44: Myeloma - Humoral immune response	Cluster 27: Skeletal myocytes - Muscle contraction			HPA042991: AB_2678257	unprognostic (6.48e-3)	unprognostic (2.65e-3)	unprognostic (6.25e-2)	unprognostic (3.26e-3)	unprognostic (1.91e-3)	unprognostic (2.15e-2)	unprognostic (6.22e-3)	unprognostic (2.46e-1)	unprognostic (5.38e-2)	unprognostic (9.65e-2)	unprognostic (1.05e-1)	unprognostic (1.30e-1)	unprognostic (2.19e-8)	unprognostic (1.85e-1)	unprognostic (5.74e-2)	unprognostic (2.73e-3)	unprognostic (2.73e-1)	Skeletal myocytes
MYLK2	KMLC, MLCK2, skMLCK	ENSG00000101306	Myosin light chain kinase 2	Q9H1R3	20	31819308-31834689	Disease related genes, Enzymes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins		Calmodulin-binding, Kinase, Serine/threonine-protein kinase, Transferase	Cardiomyopathy, Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	12	skeletal muscle: 732.0	Cell type enriched	Detected in some	27	Skeletal myocytes: 74.2	Cancer enhanced	Detected in some		glioma: 1.6	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in some				Not detected	Not detected			Low region specificity	Detected in all			HPA059704, HPA059890	Enhanced		Supported	Endoplasmic reticulum							Cluster 33: Striated muscle - Muscle contraction	Cluster 42: Sarcoma - Muscle contraction	Cluster 27: Skeletal myocytes - Muscle contraction	Endoplasmic reticulum		HPA059704: AB_2684108, HPA059890: AB_2684153	unprognostic (1.74e-2)	unprognostic (1.87e-1)	unprognostic (8.84e-2)	unprognostic (5.27e-2)	prognostic favorable (4.00e-4)	unprognostic (5.58e-2)	unprognostic (1.38e-7)	unprognostic (2.29e-1)	unprognostic (2.60e-3)	unprognostic (1.99e-1)	unprognostic (1.20e-1)	unprognostic (4.73e-2)	unprognostic (7.25e-11)	unprognostic (2.01e-1)	unprognostic (3.15e-1)	unprognostic (2.60e-2)	unprognostic (2.70e-2)	Skeletal myocytes
TNNC2	CFAP85, FAP85	ENSG00000101470	Troponin C2, fast skeletal type	P02585	20	45823214-45833745	Predicted intracellular proteins		Muscle protein		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in many	109	skeletal muscle: 30416.4;tongue: 8088.6	Cell type enriched	Detected in many	51	Skeletal myocytes: 17198.7	Cancer enhanced	Detected in many		colorectal cancer: 20.2;head and neck cancer: 22.3	Low region specificity	Detected in all			Low immune cell specificity	Detected in many			Low lineage specificity	Detected in many			Cancer enriched	Detected in many	4	Sarcoma: 22.3	Skeletal muscle - Skeletal myocytes	Region enriched	Detected in some	5	olfactory bulb: 6.1	Low region specificity	Detected in some			HPA043174, HPA058481	Enhanced		Approved	Nucleoplasm,Vesicles		No			560000	Cluster 19: B-cells - Humoral immune response	Cluster 33: Striated muscle - Muscle contraction	Cluster 42: Sarcoma - Muscle contraction	Cluster 27: Skeletal myocytes - Muscle contraction	Nucleoplasm	Vesicles	HPA043174: AB_10806380, HPA058481: AB_2683729	unprognostic (1.13e-1)	unprognostic (7.25e-2)	unprognostic (3.43e-1)	unprognostic (1.27e-1)	unprognostic (3.21e-5)	unprognostic (1.80e-2)	unprognostic (5.72e-3)	unprognostic (3.12e-3)	unprognostic (2.19e-1)	unprognostic (2.06e-1)	unprognostic (2.38e-1)	unprognostic (1.05e-1)	unprognostic (9.03e-3)	unprognostic (7.15e-3)	unprognostic (4.79e-1)	unprognostic (5.23e-2)	unprognostic (1.13e-1)	Skeletal myocytes
ATP1B4		ENSG00000101892	ATPase Na+/K+ transporting family member beta 4	Q9UN42	X	120362085-120383249	Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins	Transcription, Transcription regulation			Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	28	skeletal muscle: 55.7;tongue: 21.6	Cell type enriched	Detected in some	44	Skeletal myocytes: 72.3	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Skeletal muscle - Skeletal myocytes	Not detected	Not detected			Not detected	Not detected														Cluster 33: Striated muscle - Muscle contraction		Cluster 27: Skeletal myocytes - Muscle contraction								unprognostic (2.59e-2)	unprognostic (6.02e-4)						unprognostic (5.78e-1)		unprognostic (5.29e-2)				Skeletal myocytes
KCNA7	HAK6, Kv1.7	ENSG00000104848	Potassium voltage-gated channel subfamily A member 7	Q96RP8	19	49067418-49072941	FDA approved drug targets, Predicted membrane proteins, Voltage-gated ion channels	Ion transport, Potassium transport, Transport	Ion channel, Potassium channel, Voltage-gated channel	FDA approved drug targets	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level	Group enriched	Detected in some	51	skeletal muscle: 75.7;tongue: 19.5	Cell type enriched	Detected in some	33	Skeletal myocytes: 58.4	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected				Not detected	Not detected			Not detected	Not detected			HPA075990			Approved	Vesicles,Plasma membrane						Cluster 11: Basophils - Unknown function	Cluster 33: Striated muscle - Muscle contraction	Cluster 3: HUVEC & TIME - Signal transduction	Cluster 27: Skeletal myocytes - Muscle contraction	Vesicles, Plasma membrane		HPA075990: 	unprognostic (2.00e-1)	unprognostic (2.10e-2)		unprognostic (1.19e-1)	unprognostic (2.72e-1)	unprognostic (1.68e-1)		unprognostic (4.31e-2)	unprognostic (3.17e-2)	unprognostic (6.97e-2)	unprognostic (2.94e-2)	unprognostic (1.26e-1)	unprognostic (2.21e-8)	unprognostic (1.70e-1)	unprognostic (2.62e-1)	unprognostic (5.80e-2)	unprognostic (5.29e-2)	Skeletal myocytes
TNNT1	ANM, FLJ98147, MGC104241, NEM5, STNT, TNT, TNTS	ENSG00000105048	Troponin T1, slow skeletal type	P13805	19	55132698-55149206	Disease related genes, Human disease related genes, Predicted intracellular proteins		Muscle protein	Nemaline myopathy	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in many	29	skeletal muscle: 21567.3;tongue: 13372.6	Cell type enriched	Detected in many	29	Skeletal myocytes: 1851.8	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Immune cell enriched	Detected in many	5	eosinophil: 211.5	Lineage enriched	Detected in many	5	granulocytes: 211.5	Cancer enhanced	Detected in all		Sarcoma: 353.5	Skeletal muscle - Skeletal myocytes, Skin - Keratinocyte (other)	Region enriched	Detected in many	5	thalamus: 125.0	Region enhanced	Detected in all		thalamus: 23.1	CAB015168, HPA058448	Enhanced		Approved	Nucleoplasm,Golgi apparatus,Cytosol					79000	Cluster 45: Eosinophils - Innate immune response	Cluster 13: Striated muscle - Muscle contraction	Cluster 42: Sarcoma - Muscle contraction	Cluster 27: Skeletal myocytes - Muscle contraction	Nucleoplasm, Golgi apparatus, Cytosol		CAB015168: AB_2206426, HPA058448: AB_2683720	unprognostic (1.88e-1)	unprognostic (7.23e-2)	prognostic unfavorable (4.66e-4)	prognostic unfavorable (4.66e-4)	unprognostic (3.47e-3)	unprognostic (3.92e-3)	unprognostic (1.35e-3)	unprognostic (1.03e-3)	unprognostic (2.46e-1)	unprognostic (1.95e-1)	prognostic unfavorable (2.53e-4)	unprognostic (3.23e-1)	prognostic unfavorable (0.00e+0)	unprognostic (4.91e-2)	unprognostic (4.01e-2)	unprognostic (4.58e-2)	unprognostic (2.14e-2)	Skeletal myocytes
