Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
PF4V1	CXCL4L1, CXCL4V1, SCYB4V1	ENSG00000109272	Platelet factor 4 variant 1	P10720	4	73853296-73854483	Plasma proteins, Predicted secreted proteins		Cytokine, Heparin-binding		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in some		intestine: 1.7;lymphoid tissue: 2.4	Cell type enriched	Detected in some	4	Theca cells: 85.0	Cancer enhanced	Detected in some		renal cancer: 3.4	Not detected	Not detected			Group enriched	Detected in some	38	basophil: 14.2;neutrophil: 9.9	Lineage enriched	Detected in single	45	granulocytes: 14.2	Cancer enhanced	Detected in single		thyroid cancer: 1.2										HPA052485	Supported				Secreted to blood					Cluster 34: Basophils - Unknown function	Cluster 64: Macrophages - Immune response	Cluster 20: Connective tissue cells - ECM organization	Cluster 12: Non-specific - Chromatin organization			HPA052485: AB_2681847		unprognostic (4.95e-1)	unprognostic (5.68e-2)	unprognostic (1.54e-1)	unprognostic (1.16e-3)	unprognostic (9.88e-2)	unprognostic (1.72e-2)	unprognostic (1.68e-3)		unprognostic (2.66e-1)	unprognostic (6.02e-2)	unprognostic (2.65e-1)	unprognostic (1.95e-3)	unprognostic (1.39e-2)			unprognostic (2.11e-1)	Theca cells
LHCGR	HHG, LCGR, LGR2, LHR, ULG5	ENSG00000138039	Luteinizing hormone/choriogonadotropin receptor	P22888	2	48686774-48755730	Disease related genes, FDA approved drug targets, G-protein coupled receptors, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins		G-protein coupled receptor, Receptor, Transducer	Disease variant, FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in some		brain: 3.2;ovary: 2.1;testis: 2.2	Cell type enriched	Detected in some	14	Theca cells: 93.0	Not detected	Not detected			Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Breast - Adipocytes (Breast)	Not detected	Not detected			Low region specificity	Detected in many			CAB009814, HPA073668	Uncertain		Supported	Plasma membrane,Centriolar satellite							Cluster 21: Non-specific - Transcription	Cluster 10: Ovarian & Endometrial cancers - Unknown function	Cluster 17: Granulosa cells - Transcription regulation	Plasma membrane	Centriolar satellite	CAB009814: AB_2135467, HPA073668: 	unprognostic (8.57e-2)				unprognostic (1.08e-1)			unprognostic (1.54e-1)		unprognostic (1.41e-1)			unprognostic (3.14e-2)	unprognostic (2.97e-2)	unprognostic (2.24e-2)	unprognostic (5.22e-2)		Theca cells
STAR	STARD1	ENSG00000147465	Steroidogenic acute regulatory protein	P49675	8	38142700-38150992	Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins	Lipid transport, Steroidogenesis, Transport		Congenital adrenal hyperplasia, Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	10	adrenal gland: 5073.8	Cell type enriched	Detected in many	12	Theca cells: 1760.7	Group enriched	Detected in some	4	head and neck cancer: 1.0;lung cancer: 0.8;ovarian cancer: 1.4;testis cancer: 3.0	Low region specificity	Detected in all			Immune cell enriched	Detected in single	7	basophil: 2.4	Lineage enriched	Detected in single	10	granulocytes: 2.4	Cancer enriched	Detected in some	14	Leukemia: 21.9	Skin - Keratinocyte (other), Testis - Leydig cells	Low region specificity	Detected in many			Low region specificity	Detected in all			HPA023644, HPA027318, CAB032598	Enhanced									Cluster 10: Basophils - Unknown function	Cluster 17: Adrenal gland - Steroid metabolism	Cluster 66: Myeloid cells - Innate immune response	Cluster 17: Granulosa cells - Transcription regulation			CAB032598: AB_2115937, HPA023644: AB_10598916, HPA027318: AB_10601574	unprognostic (1.60e-4)	unprognostic (3.20e-2)	unprognostic (9.17e-2)	unprognostic (3.28e-2)	unprognostic (9.22e-2)	unprognostic (1.32e-3)	unprognostic (1.96e-2)	unprognostic (2.12e-5)	unprognostic (3.30e-2)	unprognostic (2.36e-1)	unprognostic (1.77e-3)	unprognostic (6.65e-2)	unprognostic (4.75e-9)	unprognostic (1.58e-1)	unprognostic (1.33e-1)	unprognostic (9.48e-2)	unprognostic (6.16e-2)	Theca cells
CYP17A1	CPT7, CYP17, P450C17, S17AH	ENSG00000148795	Cytochrome P450 family 17 subfamily A member 1	P05093	10	102830531-102837472	Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	Lipid metabolism, Steroidogenesis	Lyase, Monooxygenase, Oxidoreductase	Congenital adrenal hyperplasia, Disease variant, FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	84	adrenal gland: 8229.5	Cell type enriched	Detected in some	13	Theca cells: 1175.8	Cancer enriched	Detected in many	5	liver cancer: 22.7	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected				Not detected	Not detected			Not detected	Not detected			HPA048533	Enhanced		Approved	Vesicles	Intracellular and membrane						Cluster 17: Adrenal gland - Steroid metabolism	Cluster 2: DU4475 - Unknown function	Cluster 17: Granulosa cells - Transcription regulation	Vesicles		HPA048533: AB_2680432	unprognostic (1.07e-2)	unprognostic (8.84e-2)	unprognostic (3.01e-2)	unprognostic (9.08e-2)	unprognostic (1.91e-1)	unprognostic (6.29e-2)	unprognostic (2.92e-3)	unprognostic (2.39e-4)	unprognostic (8.26e-2)	unprognostic (2.35e-1)	unprognostic (5.92e-3)	unprognostic (1.13e-1)	prognostic favorable (5.43e-7)	unprognostic (1.07e-1)	unprognostic (5.56e-2)	unprognostic (1.66e-2)	unprognostic (2.94e-4)	Theca cells
ACTBL2	DKFZp686D0972	ENSG00000169067	Actin beta like 2	Q562R1	5	57480018-57482811	Plasma proteins, Predicted intracellular proteins				Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Not detected	Not detected			Cell type enriched	Detected in some	11	Theca cells: 19.1	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		thyroid cancer: 4.8	Skin - Inner root sheath cells, Testis - Late spermatids	Not detected	Not detected			Not detected	Not detected			HPA041264, HPA041271	Uncertain								830000000			Cluster 69: BICR 18 - Unknown function	Cluster 12: Non-specific - Chromatin organization			HPA041264: AB_2677383, HPA041271: AB_2677386	unprognostic (7.83e-2)	unprognostic (1.70e-1)	unprognostic (2.96e-1)	unprognostic (8.66e-2)		unprognostic (2.57e-2)		unprognostic (2.39e-1)	unprognostic (3.63e-2)	unprognostic (1.22e-1)	unprognostic (1.14e-3)	unprognostic (3.20e-1)	unprognostic (2.48e-3)	unprognostic (1.60e-2)		unprognostic (2.04e-2)	unprognostic (1.92e-2)	Theca cells
INSL3	MGC119818, MGC119819, RLF, RLNL	ENSG00000248099	Insulin like 3	P51460	19	17816512-17821574	Disease related genes, Human disease related genes, Predicted secreted proteins		Hormone	Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	14	testis: 409.3	Cell type enriched	Detected in some	12	Theca cells: 15478.5	Cancer enriched	Detected in many	21	testis cancer: 39.4	Low region specificity	Detected in all			Low immune cell specificity	Detected in some			Low lineage specificity	Detected in many			Low cancer specificity	Detected in some			Testis - Leydig cells									HPA028615	Enhanced				Secreted to blood			566000		Cluster 1: Neutrophils - Mixed function	Cluster 83: Testis - Spermatogenesis	Cluster 19: Stomach & Colon cancer - Absorption	Cluster 17: Granulosa cells - Transcription regulation			HPA028615: AB_10600717	unprognostic (3.25e-1)	unprognostic (2.25e-4)	unprognostic (3.50e-5)	unprognostic (7.04e-2)	unprognostic (1.74e-4)	unprognostic (4.60e-2)	unprognostic (2.03e-1)	unprognostic (1.58e-2)	unprognostic (1.44e-1)	unprognostic (1.73e-1)	unprognostic (4.46e-1)	unprognostic (4.93e-2)	unprognostic (9.51e-10)	unprognostic (6.80e-3)	unprognostic (1.41e-1)	unprognostic (8.85e-2)	unprognostic (1.09e-5)	Theca cells
MTRNR2L10		ENSG00000256045	MT-RNR2 like 10	P0CJ77	X	55181392-55182442	Predicted intracellular proteins, Predicted secreted proteins				Evidence at transcript level	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level	Tissue enriched	Detected in many	7	brain: 1196.7	Cell type enriched	Detected in some	4	Theca cells: 143.2	Cancer enhanced	Detected in single		stomach cancer: 0.6	Region enriched	Detected in all	37	cerebral cortex: 1196.7	Group enriched	Detected in all	5	basophil: 171.3;eosinophil: 137.1;neutrophil: 395.3	Lineage enriched	Detected in all	8	granulocytes: 395.3	Cancer enhanced	Detected in all		cervical cancer: 154.9															Secreted to blood					Cluster 1: Neutrophils - Mixed function	Cluster 10: Brain - Neuronal signaling	Cluster 60: Keratinocytes - Epithelial cell function	Cluster 12: Non-specific - Chromatin organization				unprognostic (4.42e-1)	unprognostic (3.04e-2)	unprognostic (1.15e-1)	unprognostic (5.10e-4)	unprognostic (1.59e-1)	unprognostic (1.27e-1)	unprognostic (1.71e-2)	unprognostic (8.42e-2)	unprognostic (1.58e-2)	unprognostic (9.01e-2)	unprognostic (5.26e-2)	unprognostic (1.22e-1)	unprognostic (3.01e-1)	unprognostic (6.28e-2)	unprognostic (2.97e-2)	unprognostic (4.99e-2)	unprognostic (3.97e-4)	Theca cells
MTRNR2L7		ENSG00000256892	MT-RNR2 like 7	P0CJ74	10	37601440-37602974	Predicted intracellular proteins, Predicted secreted proteins				Evidence at transcript level	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level	Tissue enriched	Detected in single	4	brain: 2.1	Cell type enriched	Detected in single	15	Theca cells: 14.8	Not detected	Not detected			Low region specificity	Detected in single			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected																	Secreted - unknown location						Cluster 10: Brain - Neuronal signaling	Cluster 60: Keratinocytes - Epithelial cell function	Cluster 12: Non-specific - Chromatin organization													unprognostic (2.28e-1)				unprognostic (5.87e-2)				Theca cells
MTRNR2L13		ENSG00000270394	MT-RNR2 like 13	S4R3P1	4	116298876-116300320	Predicted intracellular proteins, Predicted secreted proteins				Evidence at transcript level	Evidence at transcript level	No human protein/transcript evidence	Evidence at transcript level	Tissue enhanced	Detected in some		brain: 3.0;choroid plexus: 1.7;skeletal muscle: 1.5	Cell type enriched	Detected in single	4	Theca cells: 1.7	Not detected	Not detected			Low region specificity	Detected in all			Immune cell enhanced	Detected in single		neutrophil: 1.5	Lineage enriched	Detected in single	9	granulocytes: 1.5	Cancer enhanced	Detected in some		Neuroblastoma: 2.4															Secreted - unknown location					Cluster 1: Neutrophils - Mixed function	Cluster 32: Brain & Lymphoid tissue - Unknown function	Cluster 60: Keratinocytes - Epithelial cell function	Cluster 12: Non-specific - Chromatin organization								unprognostic (6.40e-2)					unprognostic (2.88e-1)			unprognostic (2.49e-1)	unprognostic (1.99e-1)				Theca cells
MTRNR2L6		ENSG00000270672	MT-RNR2 like 6	P0CJ73	7	142666272-142667718	Predicted intracellular proteins, Predicted secreted proteins				Evidence at transcript level	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level	Group enriched	Detected in many	4	brain: 1192.8;choroid plexus: 472.8;skeletal muscle: 369.4	Cell type enriched	Detected in some	8	Theca cells: 157.3	Cancer enhanced	Detected in single		stomach cancer: 0.5	Low region specificity	Detected in all			Group enriched	Detected in all	5	basophil: 169.7;eosinophil: 127.3;neutrophil: 431.2	Lineage enriched	Detected in all	9	granulocytes: 431.2	Low cancer specificity	Detected in all																	Secreted to blood					Cluster 1: Neutrophils - Mixed function	Cluster 32: Brain & Lymphoid tissue - Unknown function	Cluster 60: Keratinocytes - Epithelial cell function	Cluster 12: Non-specific - Chromatin organization				unprognostic (5.34e-2)	unprognostic (1.34e-3)	unprognostic (3.80e-1)	unprognostic (4.45e-3)	unprognostic (1.33e-1)	unprognostic (2.89e-1)	unprognostic (1.40e-2)	unprognostic (3.49e-2)	unprognostic (1.30e-1)	unprognostic (1.10e-2)	unprognostic (6.02e-2)	unprognostic (1.04e-1)	unprognostic (3.69e-1)	unprognostic (3.03e-2)		unprognostic (2.66e-2)	unprognostic (8.07e-3)	Theca cells
