Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
PRR4	LPRP, PROL4	ENSG00000111215	Proline rich 4	Q16378	12	10845849-10849475	Plasma proteins, Predicted secreted proteins				Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	45	salivary gland: 6616.8	Cell type enriched	Detected in some	11	Serous glandular cells: 1619.5	Cancer enhanced	Detected in many		head and neck cancer: 3.8	Low region specificity	Detected in single			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in single	16	skin cancer: 6.7	Skin - Eccrine sweat gland cells									HPA042133	Supported				Secreted to digestive system				14000000		Cluster 24: Salivary gland - Salivary secretion	Cluster 33: Skin cancer - Membrane components	Cluster 21: Serous glandular cells - Salivary secretion			HPA042133: AB_10793979	unprognostic (1.34e-1)	unprognostic (2.13e-1)	unprognostic (1.35e-2)	unprognostic (1.74e-2)	unprognostic (1.99e-1)	unprognostic (5.03e-2)	unprognostic (3.01e-3)	unprognostic (3.91e-2)	unprognostic (1.70e-1)	unprognostic (1.23e-1)	unprognostic (3.19e-2)	unprognostic (1.09e-2)	unprognostic (3.57e-6)	unprognostic (2.81e-2)	unprognostic (9.15e-2)	unprognostic (1.21e-1)	unprognostic (2.15e-2)	Serous glandular cells
PRB2	cP7, PRPPRB1, Ps	ENSG00000121335	Proline rich protein BstNI subfamily 2	P02812	12	11391540-11501041	Predicted secreted proteins				Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	952	salivary gland: 12081.4	Cell type enriched	Detected in some	41	Serous glandular cells: 5454.8	Not detected	Not detected			Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected																	Secreted to digestive system				25000000	Cluster 28: Myeloid DCs - Unknown function	Cluster 24: Salivary gland - Salivary secretion	Cluster 1: Non-specific - Nucleosome assembly	Cluster 21: Serous glandular cells - Salivary secretion								unprognostic (1.36e-1)	unprognostic (1.01e-2)		unprognostic (2.61e-1)	unprognostic (2.07e-2)	unprognostic (9.21e-2)	unprognostic (5.51e-3)			unprognostic (1.97e-4)	unprognostic (1.51e-1)			Serous glandular cells
STATH	STR	ENSG00000126549	Statherin	P02808	4	69995966-70002570	Plasma proteins, Predicted secreted proteins, Transporters	Biomineralization			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	925	salivary gland: 9143.2	Cell type enriched	Detected in some	37	Serous glandular cells: 142948.7	Group enriched	Detected in some	14	head and neck cancer: 3.5;lung cancer: 0.9	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in single	8	Sarcoma: 2.4										HPA044569	Enhanced				Secreted to digestive system						Cluster 24: Salivary gland - Salivary secretion	Cluster 42: Sarcoma - Muscle contraction	Cluster 21: Serous glandular cells - Salivary secretion			HPA044569: AB_10966146						unprognostic (2.00e-2)												Serous glandular cells
HTN1	HIS1	ENSG00000126550	Histatin 1	P15515	4	70050438-70058848	Predicted secreted proteins, Transporters	Biomineralization	Antibiotic, Antimicrobial, Fungicide		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	2602	salivary gland: 48372.4	Cell type enriched	Detected in some	33	Serous glandular cells: 71521.5	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected												HPA077315	Approved				Secreted to digestive system						Cluster 24: Salivary gland - Salivary secretion	Cluster 16: Skin cancer - Melanocyte processes	Cluster 21: Serous glandular cells - Salivary secretion			HPA077315: 									unprognostic (2.22e-1)									Serous glandular cells
BPIFA2	bA49G10.1, C20orf70, PSP, SPLUNC2	ENSG00000131050	BPI fold containing family A member 2	Q96DR5	20	33161768-33181412	Predicted secreted proteins		Antibiotic, Antimicrobial		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	1619	salivary gland: 6860.0	Cell type enriched	Detected in some	17	Serous glandular cells: 4679.0	Group enriched	Detected in some	4	lung cancer: 2.6;pancreatic cancer: 2.9;stomach cancer: 0.9	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		breast cancer: 2.5;lung cancer: 2.9		Not detected	Not detected			Not detected	Not detected			HPA044006	Enhanced				Secreted to digestive system						Cluster 24: Salivary gland - Salivary secretion	Cluster 40: Non-specific - Enzymes	Cluster 21: Serous glandular cells - Salivary secretion			HPA044006: AB_10963580							unprognostic (9.10e-3)	unprognostic (1.22e-1)		unprognostic (1.95e-1)	unprognostic (3.56e-2)		unprognostic (3.03e-2)	unprognostic (1.49e-2)	unprognostic (1.02e-1)	unprognostic (1.04e-1)	unprognostic (6.14e-4)	Serous glandular cells
CA6		ENSG00000131686	Carbonic anhydrase 6	P23280	1	8945867-8975092	Enzymes, FDA approved drug targets, Metabolic proteins, Predicted secreted proteins		Lyase	FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	295	salivary gland: 9393.1	Cell type enriched	Detected in some	47	Serous glandular cells: 7232.9	Low cancer specificity	Detected in some			Low region specificity	Detected in single			Group enriched	Detected in some	4	naive CD4 T-cell: 5.6;naive CD8 T-cell: 16.4	Lineage enriched	Detected in many	11	T-cells: 16.4	Cancer enhanced	Detected in some		Gastric cancer: 4.6	Breast - Breast glandular cells (progenitors)	Not detected	Not detected			Low region specificity	Detected in some			HPA028550, HPA028692	Enhanced				Secreted to digestive system				24000000	Cluster 32: T-cells - Unknown function	Cluster 24: Salivary gland - Salivary secretion	Cluster 2: DU4475 - Unknown function	Cluster 21: Serous glandular cells - Salivary secretion			HPA028550: AB_10600105, HPA028692: AB_10601883	unprognostic (2.54e-5)	unprognostic (1.09e-1)	unprognostic (1.10e-1)	unprognostic (2.37e-1)	unprognostic (2.90e-1)	unprognostic (9.28e-2)		unprognostic (2.70e-3)	unprognostic (1.24e-1)	unprognostic (1.73e-1)	unprognostic (5.93e-2)	unprognostic (4.41e-2)	unprognostic (4.29e-5)	unprognostic (1.14e-1)	unprognostic (1.31e-1)	unprognostic (2.35e-1)		Serous glandular cells
PRH2	Pr	ENSG00000134551	Proline rich protein HaeIII subfamily 2	P02810	12	10929236-10934845	Predicted secreted proteins				Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	909	salivary gland: 23048.6	Cell type enriched	Detected in some	36	Serous glandular cells: 21090.2	Cancer enriched	Detected in some	11	head and neck cancer: 11.3	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Testis - Late spermatids														Secreted to digestive system				21000000		Cluster 24: Salivary gland - Salivary secretion	Cluster 52: Spermatids - Smell perception	Cluster 21: Serous glandular cells - Salivary secretion				unprognostic (1.01e-1)	unprognostic (3.85e-2)	unprognostic (1.30e-1)	unprognostic (1.69e-1)	unprognostic (3.65e-2)	unprognostic (3.59e-1)	unprognostic (1.25e-1)	unprognostic (5.52e-2)	unprognostic (3.83e-2)	unprognostic (9.49e-2)	unprognostic (1.01e-2)	unprognostic (7.37e-2)	unprognostic (1.63e-5)	unprognostic (1.56e-1)	unprognostic (1.36e-1)	unprognostic (4.26e-1)	unprognostic (3.43e-2)	Serous glandular cells
DNASE2B	DLAD	ENSG00000137976	Deoxyribonuclease 2 beta	Q8WZ79	1	84398484-84415018	Enzymes, Predicted intracellular proteins		Endonuclease, Hydrolase, Nuclease		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level	Tissue enriched	Detected in some	25	salivary gland: 170.3	Cell type enriched	Detected in some	10	Serous glandular cells: 136.9	Group enriched	Detected in some	5	melanoma: 2.8;prostate cancer: 9.3	Low region specificity	Detected in single			Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in some	13	prostate cancer: 2.8;skin cancer: 1.9	Lung - Macrophages, Testis - Early spermatids	Not detected	Not detected			Not detected	Not detected								Intracellular and membrane						Cluster 24: Salivary gland - Salivary secretion	Cluster 24: Prostate cancer - Lipid metabolism	Cluster 21: Serous glandular cells - Salivary secretion				unprognostic (2.24e-1)	unprognostic (3.57e-2)	unprognostic (2.77e-1)	unprognostic (1.22e-1)	unprognostic (4.70e-2)	unprognostic (3.70e-1)	unprognostic (2.86e-1)	unprognostic (1.62e-2)	unprognostic (9.87e-2)	unprognostic (7.90e-2)	unprognostic (2.72e-1)	unprognostic (1.15e-1)	unprognostic (3.82e-5)	unprognostic (5.38e-2)	unprognostic (1.97e-1)	unprognostic (6.79e-2)	unprognostic (3.08e-3)	Serous glandular cells
ZG16B	HRPE773, JCLN2, PRO1567	ENSG00000162078	Zymogen granule protein 16B	Q96DA0	16	2830169-2839585	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins				Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	717	salivary gland: 63926.2	Cell type enriched	Detected in many	7	Serous glandular cells: 23485.0	Cancer enhanced	Detected in many		prostate cancer: 47.1	Not detected	Not detected			Group enriched	Detected in many	5	classical monocyte: 6.3;intermediate monocyte: 11.4;non-classical monocyte: 7.4	Lineage enriched	Detected in many	7	monocytes: 11.4	Cancer enhanced	Detected in many		breast cancer: 17.8;prostate cancer: 24.1	Prostate - Prostate glandular cells, Skin - Eccrine sweat gland cells	Not detected	Not detected							HPA041125, HPA053549	Enhanced		Approved	Nucleoplasm,Vesicles	Secreted to digestive system				690000	Cluster 7: Monocytes - Unknown function	Cluster 24: Salivary gland - Salivary secretion	Cluster 65: Breast cancer - Unknown function	Cluster 21: Serous glandular cells - Salivary secretion	Vesicles	Nucleoplasm	HPA041125: AB_10794264, HPA053549: AB_2682184	unprognostic (5.29e-2)	unprognostic (2.71e-1)	unprognostic (4.37e-2)	prognostic favorable (3.48e-6)	unprognostic (1.39e-3)	unprognostic (1.94e-2)	unprognostic (2.34e-3)	unprognostic (4.13e-2)	unprognostic (1.01e-1)	unprognostic (3.45e-3)	unprognostic (1.37e-1)	unprognostic (1.47e-2)	unprognostic (1.67e-1)	unprognostic (1.17e-1)	unprognostic (2.17e-1)	unprognostic (1.04e-1)	unprognostic (8.33e-2)	Serous glandular cells
FCGR3B	CD16, CD16b, FCG3, FCGR3	ENSG00000162747	Fc fragment of IgG receptor IIIb	O75015	1	161623196-161631963	CD markers, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins		IgG-binding protein, Receptor	FDA approved drug targets	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		bone marrow: 36.6;lymphoid tissue: 82.0	Cell type enriched	Detected in some	5	Serous glandular cells: 22.2	Low cancer specificity	Detected in many			Region enhanced	Detected in many		cerebral cortex: 6.7	Immune cell enriched	Detected in many	79	neutrophil: 7208.7	Lineage enriched	Detected in many	79	granulocytes: 7208.7	Not detected	Not detected			Adipose visceral - Neutrophils, Colon - Neutrophils, Heart muscle - Neutrophils, Skeletal muscle - Neutrophils, Stomach - Neutrophils, Thyroid - Neutrophils														Secreted to blood					Cluster 9: Neutrophils - Innate immune response	Cluster 2: Immune cells - Immune response	Cluster 41: Non-specific - Cilium assembly	Cluster 33: Macrophages - Degranulation				unprognostic (1.60e-1)	unprognostic (1.36e-1)	unprognostic (1.59e-3)	unprognostic (4.16e-2)	unprognostic (1.15e-1)	unprognostic (6.52e-2)	unprognostic (3.97e-2)	unprognostic (6.96e-3)	unprognostic (2.53e-2)	unprognostic (1.02e-1)	unprognostic (1.07e-1)	unprognostic (8.67e-2)	unprognostic (5.16e-2)	unprognostic (1.35e-1)	unprognostic (8.37e-3)	unprognostic (2.28e-1)	unprognostic (9.24e-2)	Serous glandular cells
