Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
SLC4A1	AE1, CD233, DI, EPB3, FR, RTA1A, SW, WD, WR	ENSG00000004939	Solute carrier family 4 member 1 (Diego blood group)	P02730	17	44248390-44268141	Blood group antigen proteins, CD markers, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Anion exchange, Ion transport, Transport	Blood group antigen	Disease variant, Elliptocytosis, Hereditary hemolytic anemia	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	6	bone marrow: 407.2	Cell type enriched	Detected in some	289	Erythroid cells: 900.9	Cancer enriched	Detected in single	91	renal cancer: 16.3	Low region specificity	Detected in many			Immune cell enhanced	Detected in some		basophil: 3.0;neutrophil: 2.7	Low lineage specificity	Detected in many			Cancer enriched	Detected in single	21	Leukemia: 15.9	Kidney - Intercalated cells, Liver - Erythroid cells	Not detected	Not detected			Not detected	Not detected			HPA015584, CAB034438, HPA063911	Enhanced								22000000	Cluster 33: Neutrophils - Chromatin organization	Cluster 67: Neutrophils - Humoral immune response	Cluster 32: Myeloid leukemia - Oxygen transport	Cluster 71: Erythroid cells - Oxygen transport			CAB034438: AB_2123479, HPA015584: AB_1844824, HPA063911: AB_2685151	unprognostic (1.36e-1)	unprognostic (1.42e-1)	unprognostic (3.36e-1)	unprognostic (2.44e-2)	unprognostic (2.32e-2)	unprognostic (1.56e-2)	unprognostic (1.55e-1)	unprognostic (1.59e-1)	unprognostic (1.68e-1)	unprognostic (1.58e-1)	unprognostic (6.72e-3)	unprognostic (1.19e-1)	unprognostic (9.28e-3)	unprognostic (1.93e-2)	unprognostic (2.18e-1)	unprognostic (1.94e-1)	unprognostic (2.13e-1)	Erythroid cells
MPO		ENSG00000005381	Myeloperoxidase	P05164	17	58269855-58280935	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Hydrogen peroxide	Oxidoreductase, Peroxidase	Cancer-related genes, Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	61	bone marrow: 4023.1	Cell type enriched	Detected in some	10	Erythroid cells: 70.6	Cancer enhanced	Detected in single		stomach cancer: 1.1	Low region specificity	Detected in some			Immune cell enhanced	Detected in some		classical monocyte: 6.2	Low lineage specificity	Detected in many			Cancer enriched	Detected in many	583	Leukemia: 1029.7	Lung - Neutrophil_1	Not detected	Not detected			Not detected	Not detected			CAB000059, HPA021147, HPA061464	Enhanced		Supported	Nucleoplasm,Vesicles	Intracellular and membrane	No		576000000	24000000	Cluster 25: Monocytes - Inflammatory response	Cluster 67: Neutrophils - Humoral immune response	Cluster 66: Myeloid cells - Innate immune response	Cluster 71: Erythroid cells - Oxygen transport	Vesicles	Nucleoplasm	CAB000059: AB_2335676, HPA021147: AB_1854083, HPA061464: AB_2684531	unprognostic (1.91e-1)	unprognostic (9.08e-2)	unprognostic (4.62e-2)	unprognostic (2.90e-2)	unprognostic (2.13e-3)	unprognostic (2.78e-1)	unprognostic (3.23e-1)	unprognostic (2.91e-1)	unprognostic (2.56e-1)	unprognostic (1.68e-1)	unprognostic (6.92e-2)	unprognostic (8.34e-3)	unprognostic (4.91e-2)	unprognostic (3.07e-3)	unprognostic (2.83e-1)	unprognostic (1.14e-2)	unprognostic (8.05e-2)	Erythroid cells
HBQ1	HBQ	ENSG00000086506	Hemoglobin subunit theta 1	P09105	16	180459-181179	Predicted intracellular proteins	Oxygen transport, Transport			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	5	bone marrow: 25.6	Cell type enriched	Detected in some	4	Erythroid cells: 167.2	Low cancer specificity	Detected in some			Low region specificity	Detected in many			Low immune cell specificity	Detected in some			Group enriched	Detected in many	6	granulocytes: 1.3;T-cells: 1.3	Cancer enhanced	Detected in many		Rhabdoid: 13.7	Liver - Erythroid cells					Low region specificity	Detected in all			HPA062473	Enhanced		Approved	Lipid droplets					160000	Cluster 16: MAIT-cells - Unknown function	Cluster 67: Neutrophils - Humoral immune response	Cluster 32: Myeloid leukemia - Oxygen transport	Cluster 71: Erythroid cells - Oxygen transport	Lipid droplets		HPA062473: AB_2684774		unprognostic (4.24e-1)	unprognostic (3.38e-1)	unprognostic (2.11e-2)	unprognostic (2.20e-2)	unprognostic (1.30e-1)		unprognostic (1.28e-1)	unprognostic (1.48e-1)	unprognostic (1.75e-2)	unprognostic (2.33e-1)	unprognostic (8.92e-2)	unprognostic (2.02e-3)	unprognostic (8.24e-2)	unprognostic (1.68e-1)	unprognostic (1.02e-1)	unprognostic (5.55e-1)	Erythroid cells
GATA1	ERYF1, GATA-1, GF1, NF-E1, NFE1	ENSG00000102145	GATA binding protein 1	P15976	X	48786562-48794311	Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors	Transcription, Transcription regulation	Activator, DNA-binding, Repressor	Cancer-related genes, Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	30	bone marrow: 59.9	Cell type enriched	Detected in some	5	Erythroid cells: 159.9	Not detected	Not detected			Not detected	Not detected			Immune cell enriched	Detected in some	6	eosinophil: 471.7	Lineage enriched	Detected in single	1877	granulocytes: 471.7	Cancer enriched	Detected in single	265	Leukemia: 58.7	Adipose subcutaneous - Mast cells, Colon - Mast cells, Liver - Erythroid cells, Testis - Late spermatids	Not detected	Not detected			Low region specificity	Detected in single			HPA000232, HPA000233, CAB009195	Enhanced		Supported	Nucleoplasm						Cluster 45: Eosinophils - Innate immune response	Cluster 67: Neutrophils - Humoral immune response	Cluster 32: Myeloid leukemia - Oxygen transport	Cluster 71: Erythroid cells - Oxygen transport	Nucleoplasm		CAB009195: AB_2232148, HPA000232: AB_1078949, HPA000233: AB_1078951	unprognostic (1.93e-1)	unprognostic (7.54e-2)	unprognostic (8.95e-3)	unprognostic (3.84e-3)	unprognostic (2.25e-1)	unprognostic (3.00e-4)	unprognostic (4.87e-2)	unprognostic (3.48e-2)	unprognostic (4.44e-2)	unprognostic (1.95e-2)	unprognostic (6.04e-2)	unprognostic (7.71e-3)	unprognostic (4.13e-2)	unprognostic (2.24e-1)	unprognostic (2.78e-1)	unprognostic (9.10e-2)	unprognostic (2.71e-2)	Erythroid cells
CLC	Gal-10, LGALS10, MGC149659	ENSG00000105205	Charcot-Leyden crystal galectin	Q05315	19	39731255-39738029	Metabolic proteins, Predicted intracellular proteins				Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	11	bone marrow: 451.9	Cell type enriched	Detected in some	33	Erythroid cells: 67.2	Cancer enhanced	Detected in some		colorectal cancer: 3.0	Not detected	Not detected			Group enriched	Detected in all	312	basophil: 28756.2;eosinophil: 21481.0	Lineage enriched	Detected in all	2254	granulocytes: 28756.2	Cancer enriched	Detected in single	318	Leukemia: 110.4						Not detected	Not detected			HPA041751	Enhanced								400000	Cluster 2: Granulocytes - Unknown function	Cluster 67: Neutrophils - Humoral immune response	Cluster 62: Granulocytes - Innate immune response	Cluster 71: Erythroid cells - Oxygen transport			HPA041751: AB_10793973		unprognostic (4.53e-2)	unprognostic (3.04e-2)		unprognostic (4.09e-2)	unprognostic (1.45e-1)		unprognostic (2.72e-1)		unprognostic (1.34e-2)	unprognostic (6.60e-2)		unprognostic (2.21e-1)	unprognostic (4.28e-2)	unprognostic (5.74e-2)		unprognostic (1.24e-1)	Erythroid cells
KLF1	EKLF	ENSG00000105610	Kruppel like factor 1	Q13351	19	12884422-12887201	Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors	Transcription, Transcription regulation	Activator, DNA-binding	Congenital dyserythropoietic anemia, Disease variant, Hereditary hemolytic anemia	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	14	bone marrow: 41.2	Cell type enriched	Detected in some	167	Erythroid cells: 371.7	Not detected	Not detected			Not detected	Not detected			Immune cell enhanced	Detected in some		intermediate monocyte: 1.9;non-classical monocyte: 1.1	Lineage enriched	Detected in single	8	monocytes: 1.9	Cancer enriched	Detected in single	105	Leukemia: 40.9	Liver - Erythroid cells	Not detected	Not detected			Not detected	Not detected			HPA051850	Enhanced		Supported	Nucleoplasm						Cluster 7: Monocytes - Unknown function	Cluster 67: Neutrophils - Humoral immune response	Cluster 32: Myeloid leukemia - Oxygen transport	Cluster 71: Erythroid cells - Oxygen transport	Nucleoplasm		HPA051850: AB_2616460	unprognostic (1.17e-1)	unprognostic (1.38e-4)	unprognostic (2.96e-1)	unprognostic (1.17e-3)	unprognostic (7.13e-2)	unprognostic (3.90e-4)	unprognostic (3.25e-2)	unprognostic (3.19e-2)	unprognostic (1.97e-1)	unprognostic (1.08e-2)	unprognostic (6.51e-2)	unprognostic (7.71e-2)	unprognostic (2.69e-3)	unprognostic (1.05e-1)	unprognostic (1.06e-1)	unprognostic (3.76e-1)	unprognostic (2.44e-1)	Erythroid cells
RHAG	CD241, RH50A, SLC42A1	ENSG00000112077	Rh associated glycoprotein	Q02094	6	49605175-49636839	CD markers, Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters	Ammonia transport, Transport		Disease variant, Hereditary hemolytic anemia	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	54	bone marrow: 119.6	Cell type enriched	Detected in some	16	Erythroid cells: 370.3	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	6	Leukemia: 103.0	Liver - Erythroid cells, Lung - Neutrophil_1	Not detected	Not detected			Low region specificity	Detected in many			HPA046051, HPA055331	Approved		Approved	Endoplasmic reticulum							Cluster 67: Neutrophils - Humoral immune response	Cluster 32: Myeloid leukemia - Oxygen transport	Cluster 71: Erythroid cells - Oxygen transport	Endoplasmic reticulum		HPA046051: , HPA055331: AB_2682785					unprognostic (8.16e-2)						unprognostic (6.86e-2)	unprognostic (1.25e-3)		unprognostic (1.65e-1)				Erythroid cells
TSPO2	BZRPL1, dJ34B21.2	ENSG00000112212	Translocator protein 2	Q5TGU0	6	41042467-41044337	Predicted membrane proteins, Transporters	Transport	Receptor		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	30	bone marrow: 50.1	Cell type enriched	Detected in some	72	Erythroid cells: 156.5	Cancer enhanced	Detected in some		liver cancer: 0.8	Low region specificity	Detected in single			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		Leukemia: 2.0		Not detected	Not detected			Not detected	Not detected			HPA060691, HPA066996			Enhanced	Plasma membrane							Cluster 67: Neutrophils - Humoral immune response	Cluster 32: Myeloid leukemia - Oxygen transport	Cluster 71: Erythroid cells - Oxygen transport	Plasma membrane		HPA060691: , HPA066996: AB_2685761	unprognostic (1.89e-3)	unprognostic (8.35e-3)	unprognostic (2.57e-3)	unprognostic (2.29e-2)	unprognostic (1.63e-1)	unprognostic (2.66e-2)	unprognostic (6.61e-3)	unprognostic (2.29e-1)	unprognostic (3.37e-1)	unprognostic (2.89e-1)	unprognostic (2.71e-1)	unprognostic (4.92e-2)	unprognostic (1.86e-2)	unprognostic (2.70e-2)	unprognostic (1.16e-1)	unprognostic (5.37e-2)	unprognostic (1.76e-2)	Erythroid cells
NFE2	NF-E2	ENSG00000123405	Nuclear factor, erythroid 2	Q16621	12	54292111-54301015	Predicted intracellular proteins, Transcription factors	Transcription, Transcription regulation	Activator, DNA-binding		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in many	6	bone marrow: 112.5;lymphoid tissue: 45.3	Cell type enriched	Detected in some	4	Erythroid cells: 157.2	Low cancer specificity	Detected in many			Low region specificity	Detected in single			Group enriched	Detected in many	5	basophil: 1489.2;neutrophil: 810.6	Lineage enriched	Detected in many	6	granulocytes: 1489.2	Cancer enriched	Detected in many	7	Leukemia: 90.2	Adipose visceral - Neutrophils, Colon - Neutrophils, Heart muscle - Neutrophils, Liver - Neutrophils, Lung - Neutrophil_2, Skin - Keratinocyte (granular), Stomach - Neutrophils, Testis - Late spermatids	Not detected	Not detected			Not detected	Not detected			HPA001914	Enhanced		Approved	Nucleoplasm,Actin filaments						Cluster 38: Basophils - Unknown function	Cluster 40: Neutrophils - Inflammatory response	Cluster 32: Myeloid leukemia - Oxygen transport	Cluster 71: Erythroid cells - Oxygen transport	Nucleoplasm, Actin filaments		HPA001914: AB_1079475	unprognostic (2.68e-4)	unprognostic (2.93e-2)	unprognostic (2.20e-2)	unprognostic (2.31e-2)	unprognostic (2.33e-2)	unprognostic (1.85e-1)	unprognostic (1.20e-2)	unprognostic (4.55e-2)	unprognostic (4.12e-1)	unprognostic (4.55e-2)	unprognostic (3.47e-2)	unprognostic (2.57e-3)	unprognostic (9.90e-6)	unprognostic (1.81e-2)	unprognostic (8.99e-2)	unprognostic (1.51e-2)	unprognostic (3.46e-2)	Erythroid cells
UROD		ENSG00000126088	Uroporphyrinogen decarboxylase	P06132	1	45010950-45015575	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Heme biosynthesis, Porphyrin biosynthesis	Decarboxylase, Lyase	Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enriched	Detected in all	5	Erythroid cells: 605.5	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in all			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all				Low region specificity	Detected in all			Low region specificity	Detected in all			HPA027468, HPA028668, HPA030350	Uncertain		Supported	Nucleoplasm,Cytosol					2600000	Cluster 12: Non-specific - Basic cellular processes	Cluster 76: Brain & Bone marrow - Chromatin organization	Cluster 32: Myeloid leukemia - Oxygen transport	Cluster 71: Erythroid cells - Oxygen transport	Nucleoplasm, Cytosol		HPA027468: AB_1858654, HPA028668: AB_10603458, HPA030350: AB_2673440	unprognostic (5.90e-2)	unprognostic (2.94e-2)	unprognostic (2.49e-1)	unprognostic (9.61e-2)	unprognostic (7.94e-2)	unprognostic (1.96e-1)	prognostic unfavorable (2.48e-4)	unprognostic (2.31e-2)	unprognostic (4.76e-2)	unprognostic (6.75e-2)	unprognostic (7.72e-3)	unprognostic (3.92e-1)	unprognostic (1.24e-1)	unprognostic (4.68e-2)	unprognostic (1.41e-1)	unprognostic (8.73e-2)	unprognostic (8.12e-2)	Erythroid cells
