Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
NDUFS1	CI-75k	ENSG00000023228	NADH:ubiquinone oxidoreductase core subunit S1	P28331	2	206114817-206159509	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins	Electron transport, Respiratory chain, Transport	Oxidoreductase, Translocase	Disease variant, Primary mitochondrial disease	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in all		heart muscle: 181.7;skeletal muscle: 221.6;tongue: 225.2	Cell type enriched	Detected in all	6	Cardiomyocytes: 845.8	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in all			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all			Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Liver - Hepatocytes, Skeletal muscle - Skeletal myocytes	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA064605, CAB070844	Enhanced		Supported	Mitochondria					48000	Cluster 14: Monocytes - Unknown function	Cluster 8: Non-specific - Mitochondria	Cluster 45: Non-specific - Cell proliferation	Cluster 77: Cardiomyocytes - Muscle contraction	Mitochondria		CAB070844: , HPA064605: AB_2685297	prognostic unfavorable (3.85e-4)	unprognostic (1.76e-1)	unprognostic (9.22e-3)	unprognostic (5.01e-2)	unprognostic (8.63e-3)	unprognostic (3.75e-1)	unprognostic (3.72e-2)	unprognostic (6.18e-2)	unprognostic (2.30e-2)	unprognostic (3.28e-1)	unprognostic (2.00e-2)	unprognostic (1.28e-1)	prognostic favorable (1.47e-12)	unprognostic (1.17e-1)	unprognostic (1.29e-1)	unprognostic (4.76e-2)	unprognostic (4.73e-2)	Cardiomyocytes
TIMM21	C18orf55, HSPC154, TIM21	ENSG00000075336	Translocase of inner mitochondrial membrane 21	Q9BVV7	18	74148523-74160531	Predicted membrane proteins	Protein transport, Translocation, Transport			Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enriched	Detected in many	7	Cardiomyocytes: 246.1	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in all			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all			Heart muscle - Cardiomyocytes	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA010587, HPA051543	Uncertain									Cluster 27: Non-specific - Gene expression	Cluster 39: Non-specific - Mitochondria	Cluster 41: Non-specific - Cilium assembly	Cluster 77: Cardiomyocytes - Muscle contraction			HPA010587: AB_1851244, HPA051543: AB_2681528	unprognostic (4.88e-1)	unprognostic (2.20e-2)	unprognostic (1.16e-1)	unprognostic (8.61e-2)	unprognostic (3.81e-2)	unprognostic (3.19e-1)	prognostic unfavorable (9.22e-5)	unprognostic (1.42e-1)	unprognostic (1.59e-2)	unprognostic (1.93e-2)	unprognostic (4.79e-3)	unprognostic (1.55e-3)	prognostic favorable (1.38e-9)	unprognostic (2.37e-2)	unprognostic (5.39e-2)	unprognostic (1.31e-1)	unprognostic (6.66e-2)	Cardiomyocytes
NMRK2	ITGB1BP3, MIBP, NRK2	ENSG00000077009	Nicotinamide riboside kinase 2	Q9NPI5	19	3933103-3942416	Enzymes, Metabolic proteins, Predicted intracellular proteins	Pyridine nucleotide biosynthesis	Kinase, Transferase		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	116	heart muscle: 1438.4;skeletal muscle: 634.8;tongue: 722.1	Cell type enriched	Detected in some	10	Cardiomyocytes: 1153.8	Cancer enhanced	Detected in some		renal cancer: 32.8;testis cancer: 13.4	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in some	8	liver cancer: 2.8;skin cancer: 5.1;testis cancer: 6.2		Not detected	Not detected			Not detected	Not detected			HPA049909, HPA054792, HPA072450	Approved		Enhanced	Nucleoplasm,Vesicles							Cluster 38: Heart - Muscle contraction	Cluster 16: Skin cancer - Melanocyte processes	Cluster 77: Cardiomyocytes - Muscle contraction	Nucleoplasm	Vesicles	HPA049909: , HPA054792: AB_2682601, HPA072450: AB_2686522				unprognostic (3.61e-1)	unprognostic (5.92e-2)	unprognostic (1.18e-2)		unprognostic (2.54e-1)	unprognostic (1.03e-1)	unprognostic (7.61e-2)		unprognostic (3.30e-2)	prognostic favorable (1.19e-4)	unprognostic (1.72e-1)	unprognostic (3.29e-2)	unprognostic (5.38e-1)		Cardiomyocytes
TBX5	HOS	ENSG00000089225	T-box transcription factor 5	Q99593	12	114353911-114408442	Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors	Transcription, Transcription regulation	Developmental protein, DNA-binding	Atrial fibrillation, Cardiomyopathy, Disease variant	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in some		heart muscle: 88.1;lung: 20.8;placenta: 28.7	Cell type enriched	Detected in some	10	Cardiomyocytes: 111.4	Cancer enhanced	Detected in some		lung cancer: 1.7	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in single	9	Bone cancer: 4.0	Heart muscle - Cardiomyocytes, Prostate - Fibroblasts, Skin - Fibroblast_2	Not detected	Not detected			Low region specificity	Detected in single			HPA008786, HPA064683	Uncertain		Approved	Nucleoplasm							Cluster 44: Heart - Cardiac muscle contraction	Cluster 20: Connective tissue cells - ECM organization	Cluster 77: Cardiomyocytes - Muscle contraction	Nucleoplasm		HPA008786: AB_10601720, HPA064683: AB_2685320	unprognostic (3.09e-2)	unprognostic (1.53e-1)			unprognostic (3.79e-2)	unprognostic (2.75e-1)		unprognostic (1.62e-1)	unprognostic (1.42e-1)	unprognostic (1.66e-1)	unprognostic (1.09e-1)	unprognostic (8.67e-2)	unprognostic (3.36e-7)	unprognostic (2.29e-2)	unprognostic (1.68e-2)	unprognostic (7.34e-2)	unprognostic (4.38e-3)	Cardiomyocytes
MYH7	CMD1S, CMH1, MPD1	ENSG00000092054	Myosin heavy chain 7	P12883	14	23412740-23435660	Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins		Actin-binding, Calmodulin-binding, Motor protein, Muscle protein, Myosin	Cardiomyopathy, Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in many	71	heart muscle: 7569.2;skeletal muscle: 14554.3;tongue: 5378.8	Cell type enriched	Detected in some	31	Cardiomyocytes: 13557.3	Group enriched	Detected in some	9	head and neck cancer: 12.2;prostate cancer: 15.4	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes	Low region specificity	Detected in many							HPA001239, HPA001349, CAB015384	Enhanced		Uncertain	Focal adhesion sites					43000000		Cluster 13: Striated muscle - Muscle contraction	Cluster 42: Sarcoma - Muscle contraction	Cluster 77: Cardiomyocytes - Muscle contraction	Focal adhesion sites		CAB015384: AB_2147279, HPA001239: AB_1079438, HPA001349: AB_1079437	unprognostic (6.49e-2)	unprognostic (8.27e-5)	unprognostic (1.56e-1)	unprognostic (3.04e-3)	unprognostic (4.30e-1)	unprognostic (7.33e-3)		unprognostic (8.60e-2)	unprognostic (1.55e-1)	unprognostic (1.31e-1)	unprognostic (1.22e-1)	unprognostic (3.79e-1)	unprognostic (5.38e-3)	unprognostic (2.32e-1)	unprognostic (1.20e-1)	unprognostic (1.41e-1)	unprognostic (2.28e-2)	Cardiomyocytes
MYL12A	MLCB, MRCL3, MRLC3, MYL2B	ENSG00000101608	Myosin light chain 12A	P19105	18	3247481-3256236	Predicted intracellular proteins		Motor protein, Muscle protein, Myosin		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in all	5	heart muscle: 4234.5;skeletal muscle: 3072.7;tongue: 2082.4	Cell type enriched	Detected in all	4	Cardiomyocytes: 7352.7	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in all			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all			Skeletal muscle - Skeletal myocytes					Low region specificity	Detected in all			CAB004503, HPA039262, HPA045244, HPA059197	Supported						Yes			Cluster 44: Non-specific - Transcription	Cluster 38: Heart - Muscle contraction	Cluster 20: Connective tissue cells - ECM organization	Cluster 77: Cardiomyocytes - Muscle contraction			CAB004503: AB_2282358, HPA039262: AB_2676418, HPA045244: AB_2679269, HPA059197: AB_2683944	unprognostic (2.14e-3)	unprognostic (5.30e-2)	unprognostic (1.80e-1)	unprognostic (5.31e-2)	unprognostic (3.03e-2)	unprognostic (7.95e-2)	unprognostic (1.41e-1)	unprognostic (1.57e-3)	unprognostic (2.02e-1)	unprognostic (2.53e-2)	unprognostic (1.49e-3)	unprognostic (2.30e-1)	unprognostic (9.86e-2)	unprognostic (1.30e-1)	unprognostic (4.98e-2)	unprognostic (4.58e-3)	unprognostic (7.13e-2)	Cardiomyocytes
ZNF106	SH3BP3, ZFP106, ZNF474	ENSG00000103994	Zinc finger protein 106	Q9H2Y7	15	42412823-42491141	Plasma proteins, Predicted intracellular proteins				Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in all		skeletal muscle: 392.5;tongue: 465.5	Cell type enriched	Detected in all	5	Cardiomyocytes: 2425.7	Cancer enhanced	Detected in all		melanoma: 29.4	Low region specificity	Detected in all			Immune cell enhanced	Detected in all		neutrophil: 161.0	Low lineage specificity	Detected in all			Low cancer specificity	Detected in all			Adipose subcutaneous - Adipocytes (Subcutaneous), Breast - Adipocytes (Breast), Skin - Macrophages	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA054267	Approved		Approved	Nucleoplasm,Nucleoli,Cytosol						Cluster 1: Neutrophils - Mixed function	Cluster 13: Striated muscle - Muscle contraction	Cluster 22: Rhabdoid cancers - Neuronal signaling	Cluster 77: Cardiomyocytes - Muscle contraction	Nucleoli	Nucleoplasm, Cytosol	HPA054267: AB_2682431	unprognostic (2.15e-2)	unprognostic (3.31e-1)	unprognostic (7.10e-2)	unprognostic (2.61e-2)	unprognostic (4.01e-2)	unprognostic (1.34e-1)	unprognostic (9.32e-2)	unprognostic (2.49e-1)	unprognostic (3.96e-1)	unprognostic (1.33e-2)	unprognostic (2.27e-1)	unprognostic (2.07e-1)	unprognostic (1.76e-3)	unprognostic (8.71e-2)	unprognostic (1.78e-1)	unprognostic (4.36e-1)	unprognostic (4.09e-3)	Cardiomyocytes
MYL7	MYL2A, MYLC2A	ENSG00000106631	Myosin light chain 7	Q01449	7	44138864-44141332	Predicted intracellular proteins		Motor protein, Muscle protein, Myosin		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	1061	heart muscle: 23165.6	Cell type enriched	Detected in some	45	Cardiomyocytes: 8539.0	Cancer enriched	Detected in some	7	testis cancer: 3.6	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in some	7	testis cancer: 47.6;Uterine cancer: 12.5	Heart muscle - Cardiomyocytes	Not detected	Not detected							HPA013331, CAB033884, HPA039262	Enhanced										Cluster 44: Heart - Cardiac muscle contraction	Cluster 10: Ovarian & Endometrial cancers - Unknown function	Cluster 77: Cardiomyocytes - Muscle contraction			CAB033884: AB_2266773, HPA013331: AB_1854245, HPA039262: AB_2676418	unprognostic (1.00e-2)	unprognostic (7.99e-2)		unprognostic (4.36e-3)	unprognostic (2.31e-1)	unprognostic (2.51e-1)				unprognostic (1.28e-1)	unprognostic (7.85e-2)				unprognostic (1.67e-1)		unprognostic (7.28e-2)	Cardiomyocytes
MYL2	CMH10	ENSG00000111245	Myosin light chain 2	P10916	12	110910819-110921443	Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Predicted intracellular proteins		Motor protein, Muscle protein, Myosin	Cardiomyopathy, Disease variant, Myofibrillar myopathy	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in many	72	heart muscle: 27910.5;skeletal muscle: 28967.7;tongue: 19823.2	Cell type enriched	Detected in some	7	Cardiomyocytes: 26504.8	Group enriched	Detected in some	46	head and neck cancer: 31.5;prostate cancer: 25.5	Region enriched	Detected in some	6	hypothalamus: 6.0	Group enriched	Detected in some	12	memory B-cell: 1.1;naive B-cell: 1.2	Lineage enriched	Detected in single	12	B-cells: 1.2	Cancer enriched	Detected in some	12	Rhabdoid: 57.3	Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes	Not detected	Not detected			Low region specificity	Detected in some			HPA019763, HPA039262	Supported		Uncertain	Microtubules					180000	Cluster 19: B-cells - Humoral immune response	Cluster 38: Heart - Muscle contraction	Cluster 40: Non-specific - Enzymes	Cluster 77: Cardiomyocytes - Muscle contraction	Microtubules		HPA019763: AB_1854243, HPA039262: AB_2676418	unprognostic (2.07e-2)	unprognostic (1.37e-1)		unprognostic (1.39e-1)		prognostic unfavorable (2.60e-4)		unprognostic (1.32e-1)	unprognostic (4.05e-2)	unprognostic (4.82e-2)	unprognostic (2.05e-2)	unprognostic (2.20e-1)		unprognostic (1.76e-1)	unprognostic (2.84e-1)	unprognostic (3.55e-1)		Cardiomyocytes
MFN2	CMT2A2, CPRP1, KIAA0214, MARF	ENSG00000116688	Mitofusin 2	O95140	1	11980181-12015211	Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Apoptosis, Autophagy, Unfolded protein response	Hydrolase	Charcot-Marie-Tooth disease, Disease variant, Neurodegeneration, Neuropathy	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in all		heart muscle: 270.4;skeletal muscle: 310.5;tongue: 337.6	Cell type enriched	Detected in all	6	Cardiomyocytes: 404.0	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in all			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all			Colon - Smooth muscle cells, Prostate - Smooth muscle cells	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA030554, CAB079902	Uncertain		Supported	Mitochondria						Cluster 8: Neutrophils - Inflammatory response	Cluster 8: Non-specific - Mitochondria	Cluster 38: Non-specific - mRNA processing	Cluster 77: Cardiomyocytes - Muscle contraction	Mitochondria		CAB079902: AB_2724683, HPA030554: AB_10603018	unprognostic (9.52e-2)	unprognostic (1.80e-1)	unprognostic (1.42e-1)	unprognostic (4.38e-2)	unprognostic (8.36e-2)	unprognostic (9.71e-2)	unprognostic (1.89e-1)	unprognostic (2.44e-1)	unprognostic (3.45e-1)	unprognostic (2.19e-2)	unprognostic (1.43e-1)	unprognostic (3.55e-1)	prognostic favorable (2.36e-8)	unprognostic (4.69e-2)	unprognostic (2.76e-1)	unprognostic (8.84e-3)	unprognostic (2.12e-1)	Cardiomyocytes
