Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
GATB	PET112, PET112L	ENSG00000059691	Glutamyl-tRNA amidotransferase subunit B	O75879	4	151670504-151761007	Disease related genes, Human disease related genes, Predicted intracellular proteins	Protein biosynthesis	Ligase	Primary mitochondrial disease	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enriched	Detected in all	4	Muller glia cells: 313.4	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in many			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all			Adipose visceral - Adipocytes (Visceral), Heart muscle - Cardiomyocytes	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA042610	Uncertain		Supported	Mitochondria						Cluster 12: Non-specific - Basic cellular processes	Cluster 39: Non-specific - Mitochondria	Cluster 45: Non-specific - Cell proliferation	Cluster 68: Muller glia cells - Visual perception	Mitochondria		HPA042610: AB_10797502	unprognostic (2.52e-1)	unprognostic (3.33e-1)	unprognostic (1.01e-3)	unprognostic (5.08e-2)	unprognostic (2.31e-1)	unprognostic (6.91e-2)	unprognostic (2.24e-1)	unprognostic (5.77e-2)	unprognostic (2.06e-1)	unprognostic (6.76e-2)	unprognostic (1.37e-1)	unprognostic (8.17e-2)	prognostic favorable (1.20e-10)	unprognostic (1.91e-1)	unprognostic (8.39e-2)	unprognostic (3.09e-2)	unprognostic (2.46e-1)	Muller glia cells
SEC14L3	TAP2	ENSG00000100012	SEC14 like lipid binding 3	Q9UDX4	22	30447959-30472017	Predicted intracellular proteins	Transport			Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in some		bone marrow: 3.8;liver: 2.9;retina: 9.0	Cell type enriched	Detected in some	5	Muller glia cells: 22.6	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Liver - Hepatocytes, Lung - Respiratory ciliated cells, Skin - Sebaceous gland cells	Low region specificity	Detected in many							HPA059450	Uncertain										Cluster 77: Retina - Visual perception	Cluster 61: Liver - Metabolism	Cluster 68: Muller glia cells - Visual perception			HPA059450: AB_2684024		unprognostic (2.42e-1)		unprognostic (2.56e-1)	unprognostic (1.42e-1)	unprognostic (5.35e-2)	unprognostic (2.00e-4)	unprognostic (3.62e-3)		unprognostic (6.68e-2)	unprognostic (3.19e-1)		unprognostic (2.41e-10)	unprognostic (1.27e-1)	unprognostic (2.09e-1)	unprognostic (4.10e-1)		Muller glia cells
METRN	C16orf23, MGC2601	ENSG00000103260	Meteorin, glial cell differentiation regulator	Q9UJH8	16	715118-719655	Predicted intracellular proteins, Predicted secreted proteins	Differentiation, Neurogenesis	Developmental protein		Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	Tissue enhanced	Detected in all		brain: 299.3;choroid plexus: 238.6	Cell type enriched	Detected in many	4	Muller glia cells: 1042.1	Cancer enhanced	Detected in all		glioma: 69.7	Low region specificity	Detected in all			Low immune cell specificity	Detected in some			Low lineage specificity	Detected in many			Low cancer specificity	Detected in all			Colon - Enteric glia cells	Region enhanced	Detected in all		cerebellum: 612.9					HPA051164	Approved		Approved	Nucleoplasm,Nuclear membrane,Cytosol	Secreted in brain					Cluster 35: T-regs - Unknown function	Cluster 73: Brain - Neuropeptide signaling	Cluster 33: Skin cancer - Membrane components	Cluster 68: Muller glia cells - Visual perception	Nuclear membrane	Nucleoplasm, Cytosol	HPA051164: AB_2681369	unprognostic (1.60e-2)	unprognostic (3.49e-1)	unprognostic (4.47e-2)	unprognostic (2.96e-1)	unprognostic (1.45e-1)	unprognostic (7.49e-2)	unprognostic (1.82e-1)	unprognostic (2.59e-1)	unprognostic (8.13e-2)	unprognostic (2.35e-1)	unprognostic (2.12e-2)	unprognostic (3.32e-1)	unprognostic (5.03e-3)	unprognostic (3.62e-2)	unprognostic (1.26e-1)	unprognostic (3.09e-1)	unprognostic (2.17e-2)	Muller glia cells
NPVF	C7orf9, RFRP	ENSG00000105954	Neuropeptide VF precursor	Q9HCQ7	7	25224570-25228486	Predicted secreted proteins		Neuropeptide		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	62	retina: 220.5	Cell type enriched	Detected in some	78	Muller glia cells: 477.5	Not detected	Not detected			Region enriched	Detected in single	10	hypothalamus: 3.5	Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected				Region enriched	Detected in single	18	hypothalamus: 6.1	Region enriched	Detected in single	8	hypothalamus: 3.0	HPA041733	Enhanced				Secreted in other tissues						Cluster 79: Retina - Phototransduction		Cluster 68: Muller glia cells - Visual perception			HPA041733: AB_10794524																		Muller glia cells
ABHD12B	BEM46L3, C14orf29	ENSG00000131969	Abhydrolase domain containing 12B	Q7Z5M8	14	50872053-50904970	Predicted intracellular proteins		Hydrolase		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	7	brain: 6.8;retina: 15.6;skin 1: 10.5	Cell type enriched	Detected in some	7	Muller glia cells: 167.7	Cancer enriched	Detected in many	5	testis cancer: 7.6	Low region specificity	Detected in many			Immune cell enhanced	Detected in some		eosinophil: 1.0;neutrophil: 2.1	Lineage enriched	Detected in single	5	granulocytes: 2.1	Low cancer specificity	Detected in some			Adipose visceral - Mesothelial cells, Kidney - Podocytes, Skin - Keratinocyte (granular)	Region enriched	Detected in single	5	thalamus: 2.1	Low region specificity	Detected in many			HPA002873	Uncertain		Uncertain	Nucleoplasm						Cluster 52: Eosinophils - Transcription	Cluster 77: Retina - Visual perception	Cluster 2: DU4475 - Unknown function	Cluster 68: Muller glia cells - Visual perception	Nucleoplasm		HPA002873: AB_2220573	unprognostic (6.61e-2)	unprognostic (3.49e-2)	unprognostic (2.92e-3)	unprognostic (1.99e-3)	unprognostic (4.63e-2)	unprognostic (1.17e-2)	unprognostic (1.62e-2)	unprognostic (2.09e-1)	unprognostic (4.31e-2)	unprognostic (6.27e-2)	unprognostic (3.30e-1)	unprognostic (3.35e-1)	unprognostic (1.70e-3)	unprognostic (3.16e-2)	unprognostic (9.62e-2)	unprognostic (3.18e-3)	unprognostic (1.68e-1)	Muller glia cells
CNMD	BRICD3, CHM-I, CHM1, LECT1, MYETS1	ENSG00000136110	Chondromodulin	O75829	13	52703264-52739820	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Chondrogenesis, Differentiation	Developmental protein		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in some		brain: 4.9;retina: 8.4;salivary gland: 6.7	Cell type enriched	Detected in some	6	Muller glia cells: 85.5	Group enriched	Detected in many	5	glioma: 1.5;lung cancer: 6.0;testis cancer: 5.8;thyroid cancer: 4.6	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		Bone cancer: 1.5;testis cancer: 1.3	Pancreas - Beta cells, Testis - Spermatocytes	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA010510	Uncertain				Secreted to extracellular matrix				9500		Cluster 77: Retina - Visual perception	Cluster 41: Non-specific - Cilium assembly	Cluster 68: Muller glia cells - Visual perception			HPA010510: AB_10602021	unprognostic (7.52e-3)		unprognostic (1.34e-1)		unprognostic (7.36e-2)			unprognostic (1.45e-2)		unprognostic (1.15e-1)	unprognostic (3.22e-1)	unprognostic (2.84e-2)	unprognostic (2.63e-2)	unprognostic (1.42e-1)	unprognostic (2.78e-1)	unprognostic (1.96e-1)		Muller glia cells
RLBP1	CRALBP	ENSG00000140522	Retinaldehyde binding protein 1	P12271	15	89209869-89221614	Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins	Sensory transduction, Transport, Vision		Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	13	retina: 265.6	Cell type enriched	Detected in some	67	Muller glia cells: 2878.4	Group enriched	Detected in some	30	glioma: 3.7;melanoma: 7.4	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in some	11	Bile duct cancer: 10.1;colorectal cancer: 5.3;skin cancer: 7.9	Testis - Early spermatids	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA042051, HPA044083	Enhanced	Approved	Supported	Nucleoplasm,Centrosome,Cytosol						Cluster 46: Basophils - DNA binding	Cluster 77: Retina - Visual perception	Cluster 19: Stomach & Colon cancer - Absorption	Cluster 68: Muller glia cells - Visual perception	Cytosol	Nucleoplasm, Centrosome	HPA042051: AB_2732495, HPA044083: AB_2678802	unprognostic (3.19e-2)	unprognostic (2.66e-1)	unprognostic (1.86e-1)	unprognostic (1.25e-1)	unprognostic (8.68e-2)	unprognostic (1.76e-1)		unprognostic (8.24e-3)	unprognostic (5.21e-2)	unprognostic (3.17e-1)	unprognostic (2.63e-2)	unprognostic (1.76e-1)		unprognostic (2.78e-1)	unprognostic (1.13e-1)		unprognostic (8.42e-2)	Muller glia cells
STAC2	24b2	ENSG00000141750	SH3 and cysteine rich domain 2	Q6ZMT1	17	39210541-39225945	Predicted intracellular proteins				Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		brain: 59.5;breast: 56.2;retina: 120.9;skin 1: 53.1	Cell type enriched	Detected in many	4	Muller glia cells: 438.7	Cancer enhanced	Detected in many		breast cancer: 15.0	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in some	4	breast cancer: 6.6;cervical cancer: 11.9;Neuroblastoma: 3.8	Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Skin - Eccrine sweat gland cells	Low region specificity	Detected in all			Low region specificity	Detected in many			HPA076925			Approved	Cytosol							Cluster 77: Retina - Visual perception	Cluster 65: Breast cancer - Unknown function	Cluster 68: Muller glia cells - Visual perception	Cytosol		HPA076925: 	unprognostic (1.70e-3)	unprognostic (1.05e-1)	unprognostic (3.09e-2)	prognostic unfavorable (4.05e-5)	prognostic unfavorable (5.61e-4)	unprognostic (1.42e-1)	unprognostic (8.66e-2)	unprognostic (2.94e-2)	unprognostic (1.17e-2)	prognostic unfavorable (6.66e-4)	unprognostic (1.12e-2)	unprognostic (5.16e-2)	unprognostic (2.35e-3)	unprognostic (2.05e-2)	unprognostic (1.94e-1)	unprognostic (3.54e-2)	unprognostic (3.17e-1)	Muller glia cells
LIX1	C5orf11, Lft	ENSG00000145721	Limb and CNS expressed 1	Q8N485	5	97091867-97142753	Predicted intracellular proteins				Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	5	brain: 32.4;retina: 42.6	Cell type enriched	Detected in some	12	Muller glia cells: 266.5	Cancer enhanced	Detected in many		glioma: 13.0	Low region specificity	Detected in all			Immune cell enhanced	Detected in single		naive B-cell: 2.2	Lineage enriched	Detected in single	6	B-cells: 2.2	Cancer enhanced	Detected in some		ovarian cancer: 14.2;testis cancer: 31.3	Colon - Colon enteroendocrine cells	Low region specificity	Detected in all			Low region specificity	Detected in many			HPA058426	Uncertain		Approved	Vesicles,Cytokinetic bridge,Cytosol		Yes				Cluster 37: B-cells - Transcription	Cluster 77: Retina - Visual perception	Cluster 10: Ovarian & Endometrial cancers - Unknown function	Cluster 68: Muller glia cells - Visual perception	Cytosol	Vesicles, Cytokinetic bridge	HPA058426: AB_2683715	unprognostic (3.18e-1)	unprognostic (4.53e-2)	unprognostic (9.46e-2)	prognostic unfavorable (2.48e-4)	unprognostic (8.96e-2)	unprognostic (6.60e-2)		unprognostic (1.34e-1)	unprognostic (4.70e-1)	unprognostic (7.63e-2)	unprognostic (1.58e-2)	unprognostic (3.52e-1)	unprognostic (2.01e-1)	unprognostic (4.88e-2)	unprognostic (2.16e-1)	unprognostic (1.26e-1)	unprognostic (9.61e-2)	Muller glia cells
PRSS35	C6orf158, dJ223E3.1, MGC46520	ENSG00000146250	Serine protease 35	Q8N3Z0	6	83512534-83525704	Enzymes, Predicted secreted proteins		Serine protease homolog		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	5	retina: 50.5	Cell type enriched	Detected in some	39	Muller glia cells: 336.3	Group enriched	Detected in some	4	glioma: 2.8;testis cancer: 4.7	Low region specificity	Detected in all			Immune cell enriched	Detected in some	9	MAIT T-cell: 19.5	Lineage enriched	Detected in single	195	T-cells: 19.5	Group enriched	Detected in many	5	Bone cancer: 40.4;Brain cancer: 17.0;testis cancer: 17.9	Kidney - Ascending Loop of Henle cells, Liver - Hepatic stellate cells, Prostate - Fibroblasts, Thyroid - Fibroblasts	Low region specificity	Detected in all			Group enriched	Detected in many	4	amygdala: 2.9;cerebellum: 3.6;cerebral cortex: 5.8;hippocampal formation: 5.3;olfactory bulb: 2.7	HPA038787, HPA038788	Uncertain				Secreted in female reproductive system					Cluster 16: MAIT-cells - Unknown function	Cluster 77: Retina - Visual perception	Cluster 14: Bone cancer - Transcription	Cluster 68: Muller glia cells - Visual perception			HPA038787: AB_10675951, HPA038788: AB_2676208	unprognostic (6.17e-2)	unprognostic (8.75e-2)	unprognostic (1.19e-2)	unprognostic (2.63e-2)	unprognostic (1.16e-1)	unprognostic (4.03e-2)	unprognostic (3.70e-4)	unprognostic (6.08e-2)	unprognostic (1.18e-3)	unprognostic (2.33e-2)	unprognostic (7.01e-2)	unprognostic (9.07e-2)	unprognostic (3.88e-6)	unprognostic (7.15e-3)	unprognostic (5.81e-2)	unprognostic (2.82e-2)	unprognostic (3.54e-4)	Muller glia cells
