Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
PRDM13	PFM10	ENSG00000112238	PR/SET domain 13	Q9H4Q3	6	99606774-99615578	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Transcription, Transcription regulation	DNA-binding, Methyltransferase, Transferase	Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Not detected	Not detected			Cell type enriched	Detected in some	7	Horizontal cells: 16.7	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in some			Testis - Spermatogonia	Not detected	Not detected			Not detected	Not detected			HPA062648, HPA069705, HPA070592	Uncertain		Supported	Nucleoplasm								Cluster 41: Non-specific - Cilium assembly	Cluster 9: Neurons - Nervous system development	Nucleoplasm		HPA062648: , HPA069705: , HPA070592: AB_2686283		unprognostic (4.09e-1)	unprognostic (1.68e-2)	unprognostic (4.30e-1)	unprognostic (3.65e-1)	unprognostic (1.55e-1)		unprognostic (3.16e-2)	unprognostic (1.24e-2)	unprognostic (2.93e-1)				unprognostic (1.86e-2)	unprognostic (7.54e-2)		unprognostic (1.29e-1)	Horizontal cells
GJA10	CX62	ENSG00000135355	Gap junction protein alpha 10	Q969M2	6	89894469-89921760	Predicted membrane proteins				Evidence at protein level	No human protein/transcript evidence	Evidence at transcript level	Evidence at protein level	Not detected	Not detected			Cell type enriched	Detected in some	9	Horizontal cells: 16.7	Cancer enriched	Detected in single	7	testis cancer: 1.9	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Testis - Late spermatids	Not detected	Not detected			Not detected	Not detected			HPA021145	Uncertain											Cluster 64: Lymphoma - Humoral immune response	Cluster 9: Neurons - Nervous system development			HPA021145: AB_2670600															unprognostic (1.09e-1)			Horizontal cells
CHRNA6		ENSG00000147434	Cholinergic receptor nicotinic alpha 6 subunit	Q15825	8	42752620-42796392	Predicted intracellular proteins, Predicted membrane proteins	Ion transport, Transport	Ion channel, Ligand-gated ion channel, Receptor		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	6	brain: 9.3;retina: 3.0	Cell type enriched	Detected in some	5	Horizontal cells: 14.7	Low cancer specificity	Detected in some			Region enhanced	Detected in many		cerebellum: 9.3	Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	4	lymphoma: 4.5		Group enriched	Detected in many	7	midbrain: 20.2;thalamus: 6.3	Region enriched	Detected in all	6	midbrain: 76.1											Cluster 4: T-regs - Cell cycle regulation	Cluster 69: Cerebellum - Gene expression regulation	Cluster 50: L-1236 & L-428 - Unknown function	Cluster 9: Neurons - Nervous system development				unprognostic (1.91e-1)	unprognostic (7.49e-2)	unprognostic (2.66e-3)	unprognostic (1.25e-2)	unprognostic (5.23e-2)	unprognostic (7.60e-4)	unprognostic (4.99e-2)	unprognostic (2.48e-2)	unprognostic (7.73e-2)	unprognostic (6.24e-2)	unprognostic (2.13e-1)	unprognostic (6.56e-2)	unprognostic (2.63e-1)	unprognostic (3.97e-2)	unprognostic (1.92e-1)	unprognostic (3.27e-3)	unprognostic (3.66e-2)	Horizontal cells
NAT16	C7orf52, FLJ39237	ENSG00000167011	N-acetyltransferase 16 (putative)	Q8N8M0	7	101170496-101180293	Metabolic proteins, Predicted intracellular proteins		Acyltransferase, Transferase		Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	Group enriched	Detected in some	7	brain: 2.7;pancreas: 2.3;pituitary gland: 3.6;retina: 6.9;thyroid gland: 1.8	Cell type enriched	Detected in some	11	Horizontal cells: 84.6	Cancer enhanced	Detected in some		glioma: 1.3;melanoma: 2.1	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in some			Pancreas - Alpha cells, Pancreas - Beta cells									HPA021918	Uncertain		Approved	Nucleoplasm							Cluster 58: Brain - Synaptic function	Cluster 23: B-cell cancers - Adaptive immune response	Cluster 9: Neurons - Nervous system development	Nucleoplasm		HPA021918: AB_1848922	unprognostic (4.32e-2)	unprognostic (1.75e-1)	unprognostic (2.69e-3)	unprognostic (4.58e-3)	unprognostic (2.93e-2)	unprognostic (2.61e-2)	unprognostic (6.14e-2)	unprognostic (1.40e-2)	unprognostic (2.25e-3)	unprognostic (2.35e-2)	unprognostic (4.23e-2)	unprognostic (2.62e-2)	unprognostic (5.53e-5)	unprognostic (7.65e-2)	unprognostic (2.48e-1)	unprognostic (5.02e-5)	unprognostic (1.59e-1)	Horizontal cells
NPAS4	bHLHe79, Le-PAS, NXF, PASD10	ENSG00000174576	Neuronal PAS domain protein 4	Q8IUM7	11	66421004-66426707	Predicted intracellular proteins, Transcription factors	Differentiation, Neurogenesis, Transcription, Transcription regulation	Activator, DNA-binding		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	9	brain: 170.4	Cell type enriched	Detected in some	5	Horizontal cells: 26.9	Not detected	Not detected			Group enriched	Detected in many	13	cerebellum: 170.4;cerebral cortex: 55.3	Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Prostate - Smooth muscle cells, Skin - Smooth muscle cells	Low region specificity	Detected in many			Group enriched	Detected in many	4	basal ganglia: 4.9;cerebellum: 5.0;cerebral cortex: 7.5;hippocampal formation: 4.6;olfactory bulb: 3.8	HPA039255	Uncertain										Cluster 69: Cerebellum - Gene expression regulation	Cluster 7: Neuronal cell lines - Stereocilium	Cluster 9: Neurons - Nervous system development			HPA039255: AB_10674282	unprognostic (7.81e-2)	unprognostic (9.93e-2)	unprognostic (1.55e-2)	unprognostic (1.24e-1)	unprognostic (2.51e-1)	unprognostic (1.78e-3)		unprognostic (4.97e-1)	unprognostic (7.84e-2)	unprognostic (1.85e-2)	unprognostic (3.29e-2)	unprognostic (3.96e-2)	unprognostic (1.12e-3)	unprognostic (1.58e-1)	unprognostic (1.37e-1)	unprognostic (4.24e-1)	unprognostic (3.21e-2)	Horizontal cells
GPR88		ENSG00000181656	G protein-coupled receptor 88	Q9GZN0	1	100538139-100542021	Disease related genes, G-protein coupled receptors, Human disease related genes, Potential drug targets, Predicted membrane proteins		G-protein coupled receptor, Receptor, Transducer	Intellectual disability	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	Tissue enriched	Detected in some	9	brain: 93.9	Cell type enriched	Detected in some	8	Horizontal cells: 15.4	Cancer enriched	Detected in some	9	liver cancer: 12.0	Region enriched	Detected in many	7	basal ganglia: 93.9	Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected				Region enriched	Detected in many	10	basal ganglia: 718.8	Region enriched	Detected in many	42	basal ganglia: 273.1	HPA007488		Approved									Cluster 65: Brain - Ion transport	Cluster 12: Lymphoid cancers - Adaptive immune response	Cluster 9: Neurons - Nervous system development			HPA007488: AB_2667844	unprognostic (1.65e-1)	unprognostic (1.50e-1)	unprognostic (8.30e-2)	unprognostic (8.37e-3)	unprognostic (5.41e-1)	unprognostic (5.63e-2)	unprognostic (1.82e-1)	unprognostic (1.28e-1)	unprognostic (1.03e-2)	unprognostic (7.76e-2)	unprognostic (8.23e-3)	unprognostic (2.45e-1)	unprognostic (3.93e-4)	unprognostic (1.85e-2)	unprognostic (5.56e-2)	unprognostic (4.41e-1)	unprognostic (1.35e-2)	Horizontal cells
ONECUT3		ENSG00000205922	One cut homeobox 3	O60422	19	1753506-1780988	Predicted intracellular proteins, Transcription factors	Transcription, Transcription regulation	Activator, DNA-binding		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in some		retina: 2.1;stomach 1: 4.3	Cell type enriched	Detected in some	5	Horizontal cells: 78.8	Group enriched	Detected in some	7	pancreatic cancer: 3.5;stomach cancer: 3.9	Low region specificity	Detected in single			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		Gastric cancer: 15.7		Low region specificity	Detected in single			Not detected	Not detected			HPA059936			Supported	Nucleoplasm							Cluster 77: Retina - Visual perception	Cluster 19: Stomach & Colon cancer - Absorption	Cluster 9: Neurons - Nervous system development	Nucleoplasm		HPA059936: AB_2684172	unprognostic (9.43e-2)	unprognostic (1.36e-1)	unprognostic (6.28e-2)	unprognostic (1.36e-3)	unprognostic (2.27e-1)	unprognostic (1.09e-2)	unprognostic (2.21e-1)	unprognostic (3.61e-3)	unprognostic (2.02e-1)	unprognostic (1.84e-1)	unprognostic (3.87e-2)	unprognostic (3.64e-1)	unprognostic (3.08e-10)	unprognostic (1.18e-1)	unprognostic (9.86e-2)	unprognostic (4.62e-1)	unprognostic (1.21e-2)	Horizontal cells
SCRT2	ZNF898B	ENSG00000215397	Scratch family transcriptional repressor 2	Q9NQ03	20	661596-675802	Predicted intracellular proteins, Transcription factors	Transcription, Transcription regulation	DNA-binding		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level	Group enriched	Detected in some	44	brain: 7.8;retina: 3.9	Cell type enriched	Detected in some	15	Horizontal cells: 43.6	Cancer enriched	Detected in single	5	glioma: 1.0	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in single	10	Neuroblastoma: 6.5	Pancreas - Alpha cells, Pancreas - Beta cells	Low region specificity	Detected in all			Low region specificity	Detected in some			HPA067697			Approved	Nucleoplasm							Cluster 69: Cerebellum - Gene expression regulation	Cluster 21: Neuroblastoma - Neuronal signaling	Cluster 9: Neurons - Nervous system development	Nucleoplasm		HPA067697: AB_2685890					unprognostic (9.71e-2)					unprognostic (2.03e-1)	unprognostic (6.97e-2)			unprognostic (9.70e-2)	unprognostic (1.70e-1)			Horizontal cells
USP17L7		ENSG00000226430	Ubiquitin specific peptidase 17 like family member 7	P0C7H9	8	12132417-12134099	Enzymes, Predicted intracellular proteins				Evidence at protein level	No human protein/transcript evidence	No human protein/transcript evidence	Evidence at protein level	Not detected	Not detected			Cell type enriched	Detected in single	5	Horizontal cells: 1.3	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected												HPA045642	Uncertain												Cluster 9: Neurons - Nervous system development			HPA045642: AB_2679403															unprognostic (5.31e-2)			Horizontal cells
SHISA8	C22orf17, Orf26	ENSG00000234965	Shisa family member 8	B8ZZ34	22	41909554-41914667	Predicted membrane proteins, Transporters				Evidence at protein level	Evidence at transcript level	No human protein/transcript evidence	Evidence at protein level	Group enriched	Detected in some	13	adrenal gland: 13.8;brain: 51.1	Cell type enriched	Detected in some	5	Horizontal cells: 139.7	Low cancer specificity	Detected in some			Region enriched	Detected in many	9	cerebellum: 51.1	Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected				Group enriched	Detected in many	4	cerebellum: 7.8;olfactory bulb: 15.7;white matter: 4.0	Low region specificity	Detected in all			HPA059173	Uncertain										Cluster 69: Cerebellum - Gene expression regulation	Cluster 41: Non-specific - Cilium assembly	Cluster 30: Breast - Lactation			HPA059173: AB_2683938	unprognostic (8.76e-2)	unprognostic (2.98e-4)	unprognostic (1.03e-1)	prognostic favorable (2.76e-4)	unprognostic (4.42e-2)	unprognostic (1.45e-3)	unprognostic (4.40e-1)	unprognostic (1.16e-2)	unprognostic (2.13e-1)	unprognostic (2.57e-1)	unprognostic (1.45e-3)	unprognostic (2.16e-1)	unprognostic (1.12e-1)	unprognostic (8.59e-2)	unprognostic (2.60e-2)	unprognostic (6.22e-4)	unprognostic (7.84e-2)	Horizontal cells
