Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
ABCB5	ABCB5alpha, ABCB5beta, EST422562	ENSG00000004846	ATP binding cassette subfamily B member 5	Q2M3G0	7	20615207-20777038	Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Differentiation, Transport	Translocase		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	9	epididymis: 26.4	Cell type enriched	Detected in some	4	Early spermatids: 9.4	Cancer enriched	Detected in some	9	melanoma: 5.2	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	11	skin cancer: 31.5	Stomach - Fibroblasts	Not detected	Not detected			Not detected	Not detected													Cluster 33: Neutrophils - Chromatin organization	Cluster 30: Epididymis - Antimicrobial activity	Cluster 16: Skin cancer - Melanocyte processes	Cluster 65: Fibroblasts - ECM organization				unprognostic (3.82e-1)	unprognostic (1.57e-1)	unprognostic (2.55e-3)	unprognostic (1.55e-2)	unprognostic (1.14e-2)	unprognostic (2.98e-1)	unprognostic (2.60e-3)	unprognostic (1.65e-2)	unprognostic (2.05e-1)	unprognostic (2.63e-1)	unprognostic (6.23e-2)	unprognostic (5.26e-3)	unprognostic (3.56e-3)	unprognostic (9.30e-4)	unprognostic (1.29e-1)	unprognostic (1.80e-2)	unprognostic (2.70e-2)	Early spermatids
RNF14	ARA54, HFB30, TRIAD2	ENSG00000013561	Ring finger protein 14	Q9UBS8	5	141958328-141990292	Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	Transcription, Transcription regulation, Ubl conjugation pathway	Transferase		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enriched	Detected in all	4	Early spermatids: 323.6	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in all			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all			Adipose subcutaneous - Adipocytes (Subcutaneous), Testis - Spermatocytes, Thyroid - Thyroid glandular cells	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA008716, HPA064746	Approved		Supported	Nucleoplasm,Cytosol						Cluster 34: Basophils - Unknown function	Cluster 8: Non-specific - Mitochondria	Cluster 57: Non-specific - Translation	Cluster 57: Early spermatids - Flagellum & Golgi organization	Nucleoplasm	Cytosol	HPA008716: AB_1856337, HPA064746: 	unprognostic (7.45e-3)	unprognostic (1.38e-1)	unprognostic (8.56e-2)	unprognostic (1.20e-1)	unprognostic (3.47e-2)	unprognostic (7.24e-3)	unprognostic (2.35e-1)	unprognostic (4.05e-2)	unprognostic (5.22e-2)	unprognostic (7.42e-2)	unprognostic (7.92e-2)	unprognostic (1.46e-1)	prognostic favorable (1.71e-4)	unprognostic (6.89e-3)	unprognostic (2.82e-1)	prognostic unfavorable (2.21e-4)	unprognostic (1.06e-2)	Early spermatids
TFB1M	CGI-75, mtTFB	ENSG00000029639	Transcription factor B1, mitochondrial	Q8WVM0	6	155256134-155314493	Disease related genes, Metabolic proteins, Predicted intracellular proteins	rRNA processing, Transcription, Transcription regulation	DNA-binding, Methyltransferase, RNA-binding, Transferase		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in many			Cell type enriched	Detected in all	5	Early spermatids: 268.3	Low cancer specificity	Detected in all			Low region specificity	Detected in many			Low immune cell specificity	Detected in all			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all			Testis - Early spermatids	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA029428	Approved									Cluster 44: Non-specific - Transcription	Cluster 55: Non-specific - Mitochondria & Proteasome	Cluster 15: Non-specific - Protein binding	Cluster 57: Early spermatids - Flagellum & Golgi organization			HPA029428: AB_2673038	unprognostic (2.20e-2)	unprognostic (1.07e-1)	unprognostic (2.33e-3)	unprognostic (7.73e-2)	unprognostic (1.39e-1)	unprognostic (1.55e-1)	unprognostic (2.23e-2)	unprognostic (1.32e-1)	unprognostic (3.54e-2)	unprognostic (7.86e-2)	unprognostic (1.30e-1)	unprognostic (1.04e-1)	unprognostic (1.95e-3)	unprognostic (3.39e-2)	unprognostic (2.68e-1)	unprognostic (7.68e-3)	unprognostic (7.77e-2)	Early spermatids
ADAM7	EAPI, GP-83	ENSG00000069206	ADAM metallopeptidase domain 7	Q9H2U9	8	24440930-24526970	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins				Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	237	epididymis: 3726.4	Cell type enriched	Detected in some	10	Early spermatids: 118.5	Group enriched	Detected in some	16	prostate cancer: 1.0;renal cancer: 0.5	Low region specificity	Detected in single			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in single	8	prostate cancer: 1.0	Testis - Early spermatids, Testis - Late spermatids	Not detected	Not detected			Low region specificity	Detected in some			HPA008879	Enhanced				Intracellular and membrane						Cluster 30: Epididymis - Antimicrobial activity	Cluster 24: Prostate cancer - Lipid metabolism	Cluster 57: Early spermatids - Flagellum & Golgi organization			HPA008879: AB_10601789												unprognostic (1.03e-3)	unprognostic (3.96e-4)					Early spermatids
SIRT1	SIR2L1	ENSG00000096717	Sirtuin 1	Q96EB6	10	67884656-67918390	Enzymes, Metabolic proteins, Predicted intracellular proteins	Apoptosis, Biological rhythms, Differentiation, Host-virus interaction, Myogenesis, Transcription, Transcription regulation	Developmental protein, Transferase		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enriched	Detected in all	7	Early spermatids: 368.0	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in many			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all			Testis - Early spermatids, Testis - Spermatocytes	Low region specificity	Detected in all			Low region specificity	Detected in all			CAB003855, HPA006295, HPA052351	Approved		Supported	Nucleoplasm,Nucleoli fibrillar center,Mitochondria,Cytosol						Cluster 46: Basophils - DNA binding	Cluster 23: Testis - Cell cycle regulation	Cluster 67: Non-specific - Mitochondria & RNA binding	Cluster 57: Early spermatids - Flagellum & Golgi organization	Nucleoplasm	Nucleoli fibrillar center, Mitochondria, Cytosol	CAB003855: AB_365497, HPA006295: AB_1079975, HPA052351: AB_2681796	unprognostic (1.55e-1)	unprognostic (2.78e-1)	unprognostic (9.13e-2)	unprognostic (1.05e-1)	unprognostic (1.91e-1)	unprognostic (2.05e-2)	unprognostic (2.48e-1)	unprognostic (4.95e-2)	unprognostic (1.41e-1)	unprognostic (4.64e-2)	unprognostic (1.72e-1)	unprognostic (9.61e-2)	unprognostic (2.18e-2)	unprognostic (2.83e-2)	unprognostic (9.67e-2)	unprognostic (1.12e-1)	unprognostic (1.39e-1)	Early spermatids
ZNF85	HPF4, HTF1	ENSG00000105750	Zinc finger protein 85	Q03923	19	20923222-20950697	Predicted intracellular proteins, Transcription factors	Transcription, Transcription regulation	DNA-binding, Repressor		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in many			Cell type enriched	Detected in many	7	Early spermatids: 166.3	Low cancer specificity	Detected in many			Low region specificity	Detected in many			Low immune cell specificity	Detected in many			Low lineage specificity	Detected in all			Low cancer specificity	Detected in many			Testis - Early spermatids									HPA044760	Approved		Supported	Nucleoplasm						Cluster 15: NK-cells - Transcription	Cluster 71: Testis - DNA repair	Cluster 4: Non-specific - Transcription	Cluster 57: Early spermatids - Flagellum & Golgi organization	Nucleoplasm		HPA044760: AB_10960412	unprognostic (1.26e-2)	unprognostic (1.92e-1)	unprognostic (4.69e-2)	prognostic unfavorable (5.20e-5)	unprognostic (1.98e-2)	unprognostic (4.27e-2)	unprognostic (2.01e-2)	unprognostic (1.31e-1)	unprognostic (2.01e-4)	prognostic favorable (6.45e-6)	unprognostic (2.51e-1)	unprognostic (1.01e-1)	unprognostic (1.75e-2)	unprognostic (2.05e-1)	unprognostic (2.24e-1)	unprognostic (3.90e-3)	unprognostic (6.01e-2)	Early spermatids
MTPAP	FLJ10486, PAPD1, SPAX4, TENT6	ENSG00000107951	Mitochondrial poly(A) polymerase	Q9NVV4	10	30309801-30374448	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins	mRNA processing, Transcription	Nucleotidyltransferase, RNA-binding, Transferase	Disease variant, Neurodegeneration	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in all		bone marrow: 36.8	Cell type enriched	Detected in all	4	Early spermatids: 196.4	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in all			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all			Testis - Early spermatids, Testis - Late spermatids	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA038620, HPA058232	Approved		Supported	Nucleoplasm,Vesicles,Mitochondria						Cluster 27: Non-specific - Gene expression	Cluster 75: Bone marrow - mRNA splicing & Cell cycle	Cluster 67: Non-specific - Mitochondria & RNA binding	Cluster 57: Early spermatids - Flagellum & Golgi organization	Mitochondria	Nucleoplasm, Vesicles	HPA038620: AB_10673015, HPA058232: AB_2683646	unprognostic (2.76e-2)	unprognostic (2.04e-1)	unprognostic (1.73e-1)	unprognostic (3.43e-3)	unprognostic (3.05e-2)	unprognostic (1.01e-1)	prognostic unfavorable (4.20e-6)	unprognostic (1.16e-1)	unprognostic (2.04e-1)	unprognostic (4.78e-2)	unprognostic (1.77e-1)	unprognostic (3.56e-2)	unprognostic (9.02e-2)	unprognostic (6.28e-3)	unprognostic (3.77e-1)	unprognostic (1.14e-2)	unprognostic (4.39e-2)	Early spermatids
MYH3	HEMHC, MYHC-EMB, MYHSE1, SMHCE	ENSG00000109063	Myosin heavy chain 3	P11055	17	10628526-10657309	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins		Actin-binding, Calmodulin-binding, Motor protein, Muscle protein, Myosin	Disease variant	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Tissue enhanced	Detected in many		prostate: 29.0;seminal vesicle: 18.3;skeletal muscle: 20.6	Cell type enriched	Detected in many	6	Early spermatids: 474.6	Group enriched	Detected in many	4	head and neck cancer: 3.3;prostate cancer: 4.6;testis cancer: 2.4	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in many	10	Sarcoma: 22.7	Skeletal muscle - Fibroblasts	Low region specificity	Detected in some			Low region specificity	Detected in single			HPA021808	Enhanced								29000000		Cluster 13: Striated muscle - Muscle contraction	Cluster 42: Sarcoma - Muscle contraction	Cluster 57: Early spermatids - Flagellum & Golgi organization			HPA021808: AB_1854242	unprognostic (1.70e-2)	unprognostic (1.10e-3)	unprognostic (4.19e-4)	unprognostic (3.35e-1)	unprognostic (7.66e-2)	unprognostic (1.08e-1)	unprognostic (1.10e-2)	unprognostic (1.28e-1)	unprognostic (1.67e-2)	unprognostic (3.54e-1)	unprognostic (7.84e-4)	unprognostic (1.29e-1)	unprognostic (3.24e-4)	unprognostic (1.91e-2)	unprognostic (6.17e-3)	unprognostic (3.40e-2)	unprognostic (3.49e-1)	Early spermatids
SPACA1	SAMP32	ENSG00000118434	Sperm acrosome associated 1	Q9HBV2	6	88047841-88066838	Predicted membrane proteins				Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	371	testis: 41.9	Cell type enriched	Detected in some	22	Early spermatids: 1202.2	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Testis - Early spermatids, Testis - Late spermatids	Not detected	Not detected			Not detected	Not detected			HPA026744, HPA043297	Enhanced										Cluster 36: Testis - Spermatogenesis		Cluster 57: Early spermatids - Flagellum & Golgi organization			HPA026744: AB_2194642, HPA043297: AB_2678413															unprognostic (4.15e-2)			Early spermatids
EQTN	AFAF, C9orf11, equatorin, SPACA8	ENSG00000120160	Equatorin	Q9NQ60	9	27284654-27297150	Predicted membrane proteins, Predicted secreted proteins				Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Tissue enriched	Detected in some	19	testis: 37.8	Cell type enriched	Detected in some	16	Early spermatids: 914.9	Not detected	Not detected			Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Testis - Early spermatids, Testis - Late spermatids	Not detected	Not detected							HPA015089, HPA015504	Enhanced		Approved	Plasma membrane,Actin filaments	Secreted in male reproductive system						Cluster 78: Testis - Spermatogenesis	Cluster 60: Keratinocytes - Epithelial cell function	Cluster 57: Early spermatids - Flagellum & Golgi organization	Plasma membrane, Actin filaments		HPA015089: AB_1845795, HPA015504: AB_2067598	unprognostic (7.83e-2)	unprognostic (1.55e-1)	unprognostic (5.64e-2)	unprognostic (8.12e-3)	unprognostic (1.34e-3)	unprognostic (4.41e-2)	unprognostic (3.21e-1)	unprognostic (1.06e-1)	unprognostic (4.32e-1)	unprognostic (1.89e-1)	unprognostic (5.67e-2)		unprognostic (1.14e-1)	unprognostic (4.59e-2)	unprognostic (8.46e-2)	unprognostic (3.90e-2)	unprognostic (1.42e-1)	Early spermatids
