Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
MAGEB2	CT3.2, DAM6, MAGE-XP-2, MGC26438	ENSG00000099399	MAGE family member B2	O15479	X	30215563-30220089	Predicted intracellular proteins	Ubl conjugation pathway	Tumor antigen		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	60	testis: 29.1	Cell type enriched	Detected in some	4	Spermatogonia: 111.0	Cancer enriched	Detected in many	7	testis cancer: 33.7	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		Gallbladder cancer: 64.4	Testis - Spermatogonia	Not detected	Not detected			Not detected	Not detected			HPA065224, HPA074544, HPA075519	Enhanced		Approved	Cytosol			Yes				Cluster 36: Testis - Spermatogenesis	Cluster 44: Myeloma - Humoral immune response	Cluster 47: Spermatogonia - Spermatogenesis	Cytosol		HPA065224: AB_2685437, HPA074544: AB_2732258, HPA075519: AB_2732294					unprognostic (4.52e-1)	unprognostic (2.55e-2)		unprognostic (6.39e-2)	unprognostic (5.02e-1)					unprognostic (6.57e-2)	unprognostic (1.79e-2)		unprognostic (1.00e-1)	Spermatogonia
RHOXF1	OTEX, PEPP1	ENSG00000101883	Rhox homeobox family member 1	Q8NHV9	X	120109051-120115913	Predicted intracellular proteins, Transcription factors	Transcription, Transcription regulation	DNA-binding		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	4	testis: 15.1	Cell type enriched	Detected in some	18	Spermatogonia: 149.8	Low cancer specificity	Detected in some			Low region specificity	Detected in all			Immune cell enriched	Detected in single	6	T-reg: 4.9	Lineage enriched	Detected in single	33	T-cells: 4.9	Not detected	Not detected			Testis - Spermatogonia	Not detected	Not detected			Not detected	Not detected			HPA052560, HPA056506	Approved		Enhanced	Nucleoplasm,Cytosol						Cluster 4: T-regs - Cell cycle regulation	Cluster 43: Testis - Unknown function	Cluster 12: Lymphoid cancers - Adaptive immune response	Cluster 47: Spermatogonia - Spermatogenesis	Nucleoplasm	Cytosol	HPA052560: , HPA056506: AB_2683157	unprognostic (5.03e-3)	unprognostic (1.22e-2)	unprognostic (5.22e-2)	unprognostic (2.31e-2)	unprognostic (8.65e-2)	unprognostic (1.07e-3)	unprognostic (2.46e-1)	unprognostic (3.15e-1)	unprognostic (3.89e-1)	unprognostic (2.15e-1)	unprognostic (7.50e-4)	unprognostic (1.97e-1)	unprognostic (5.85e-4)	unprognostic (3.00e-1)	unprognostic (7.96e-2)	unprognostic (2.26e-1)	unprognostic (1.73e-3)	Spermatogonia
ASB9	DKFZP564L0862, FLJ20636, MGC4954	ENSG00000102048	Ankyrin repeat and SOCS box containing 9	Q96DX5	X	15235288-15270467	Predicted intracellular proteins	Ubl conjugation pathway			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in many	4	kidney: 16.8;liver: 17.4;lymphoid tissue: 11.7;pancreas: 9.5;testis: 25.8	Cell type enriched	Detected in many	5	Spermatogonia: 157.9	Low cancer specificity	Detected in all			Low region specificity	Detected in some			Immune cell enhanced	Detected in some		myeloid DC: 1.6	Low lineage specificity	Detected in many			Cancer enhanced	Detected in many		skin cancer: 20.8	Colon - Endothelial cells, Liver - Hepatocytes, Pancreas - Beta cells, Stomach - Chief cells, Thyroid - Fibroblasts	Not detected	Not detected			Low region specificity	Detected in many			HPA003014, HPA003060, CAB004997	Enhanced									Cluster 28: Myeloid DCs - Unknown function	Cluster 71: Testis - DNA repair	Cluster 33: Skin cancer - Membrane components	Cluster 47: Spermatogonia - Spermatogenesis			CAB004997: AB_426132, HPA003014: AB_1078226, HPA003060: AB_1078225	unprognostic (8.26e-3)	unprognostic (1.70e-1)	unprognostic (8.82e-2)	unprognostic (2.25e-3)	unprognostic (1.31e-1)	unprognostic (2.70e-2)	unprognostic (6.44e-2)	unprognostic (1.45e-2)	unprognostic (2.39e-1)	unprognostic (9.23e-2)	unprognostic (9.30e-2)	prognostic unfavorable (4.36e-4)	unprognostic (2.88e-1)	unprognostic (2.27e-2)	unprognostic (9.22e-2)	unprognostic (1.27e-1)	unprognostic (2.57e-1)	Spermatogonia
ACTL8	CT57	ENSG00000117148	Actin like 8	Q9H568	1	17755333-17827063	Predicted intracellular proteins				Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	26	testis: 7.1	Cell type enriched	Detected in some	12	Spermatogonia: 57.0	Low cancer specificity	Detected in many			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		Myeloma: 27.1	Testis - Spermatogonia					Not detected	Not detected			HPA027176			Approved	Cytosol							Cluster 74: Testis - Spermatogenesis	Cluster 31: Non-specific - Transcription	Cluster 47: Spermatogonia - Spermatogenesis	Cytosol		HPA027176: AB_1844553	unprognostic (1.79e-3)	unprognostic (3.18e-2)	unprognostic (4.62e-2)	prognostic unfavorable (1.62e-6)	unprognostic (6.18e-2)	prognostic unfavorable (7.02e-4)	unprognostic (1.63e-3)	unprognostic (2.33e-2)	unprognostic (3.18e-1)	unprognostic (2.01e-1)	unprognostic (3.69e-1)	unprognostic (4.89e-1)		unprognostic (1.43e-1)	unprognostic (5.49e-2)		unprognostic (4.68e-2)	Spermatogonia
ESX1	ESX1L, ESXR1	ENSG00000123576	ESX homeobox 1	Q8N693	X	104250038-104254933	Predicted intracellular proteins, Transcription factors	Transcription, Transcription regulation	DNA-binding, Repressor		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	69	testis: 8.9	Cell type enriched	Detected in some	15	Spermatogonia: 111.0	Cancer enriched	Detected in single	5	testis cancer: 0.8	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Testis - Spermatogonia	Not detected	Not detected			Low region specificity	Detected in some			HPA051992, HPA073330	Enhanced		Supported	Nuclear speckles							Cluster 36: Testis - Spermatogenesis	Cluster 3: HUVEC & TIME - Signal transduction	Cluster 47: Spermatogonia - Spermatogenesis	Nuclear speckles		HPA051992: AB_2681684, HPA073330: 															unprognostic (1.87e-1)			Spermatogonia
USP26		ENSG00000134588	Ubiquitin specific peptidase 26	Q9BXU7	X	133024631-133097109	Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	Ubl conjugation pathway	Hydrolase, Protease, Thiol protease		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Not detected	Not detected			Cell type enriched	Detected in single	7	Spermatogonia: 4.3	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in single	7	Sarcoma: 1.4	Testis - Spermatocytes, Testis - Spermatogonia									HPA000424, HPA027310, HPA079124	Approved		Supported	Nucleoplasm,Cytosol								Cluster 44: Myeloma - Humoral immune response	Cluster 47: Spermatogonia - Spermatogenesis	Nucleoplasm	Cytosol	HPA000424: , HPA027310: , HPA079124: 	unprognostic (7.92e-4)		unprognostic (3.59e-2)											unprognostic (1.99e-2)	unprognostic (2.08e-1)			Spermatogonia
TRIM43	TRIM43A	ENSG00000144015	Tripartite motif containing 43	Q96BQ3	2	95592001-95599778	Predicted intracellular proteins				Evidence at protein level	No human protein/transcript evidence	Evidence at protein level	Evidence at protein level	Not detected	Not detected			Cell type enriched	Detected in single	5	Spermatogonia: 1.8	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in single		ovarian cancer: 1.3										HPA042223, HPA042772	Uncertain											Cluster 10: Ovarian & Endometrial cancers - Unknown function	Cluster 47: Spermatogonia - Spermatogenesis			HPA042223: AB_10962361, HPA042772: AB_10964436				unprognostic (7.17e-3)						unprognostic (1.42e-1)					unprognostic (9.27e-2)			Spermatogonia
STRA8		ENSG00000146857	Stimulated by retinoic acid 8	Q7Z7C7	7	135231979-135258492	Predicted intracellular proteins	Differentiation, DNA replication, Meiosis, Oogenesis, Spermatogenesis, Transcription, Transcription regulation		Disease variant	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	7	choroid plexus: 6.6	Cell type enriched	Detected in some	6	Spermatogonia: 10.7	Cancer enhanced	Detected in many		renal cancer: 2.1	Low region specificity	Detected in single			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Skin - Keratinocyte (granular)	Not detected	Not detected			Not detected	Not detected			HPA078044			Approved	Cytosol						Cluster 41: Basophils - Cellular respiration	Cluster 88: Choroid plexus - Transmembrane transport	Cluster 23: B-cell cancers - Adaptive immune response	Cluster 47: Spermatogonia - Spermatogenesis	Cytosol		HPA078044: 		unprognostic (2.84e-1)		unprognostic (4.86e-2)	unprognostic (3.89e-2)	unprognostic (9.67e-4)	unprognostic (1.21e-1)	unprognostic (1.01e-1)	unprognostic (1.02e-1)	unprognostic (1.26e-3)	unprognostic (1.25e-1)		unprognostic (8.55e-3)	unprognostic (1.45e-1)	unprognostic (2.69e-1)			Spermatogonia
PHOX2A	ARIX, CFEOM2, FEOM2, PMX2A	ENSG00000165462	Paired like homeobox 2A	O14813	11	72239077-72245664	Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors	Transcription, Transcription regulation	Activator, DNA-binding	Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	7	adrenal gland: 19.9;brain: 18.3	Cell type enriched	Detected in single	13	Spermatogonia: 3.5	Cancer enriched	Detected in some	9	ovarian cancer: 9.3	Region enriched	Detected in some	9	pons: 18.3	Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in single	593	Neuroblastoma: 322.2	Colon - Colon enteroendocrine cells, Testis - Spermatogonia	Not detected	Not detected			Low region specificity	Detected in single			HPA053810, HPA065621, HPA078004	Enhanced		Supported	Nucleoplasm		No					Cluster 73: Brain - Neuropeptide signaling	Cluster 21: Neuroblastoma - Neuronal signaling	Cluster 9: Neurons - Nervous system development	Nucleoplasm		HPA053810: , HPA065621: AB_2685522, HPA078004: AB_2732367			unprognostic (5.84e-2)		unprognostic (8.51e-2)					unprognostic (5.07e-2)	unprognostic (2.19e-1)		unprognostic (2.13e-1)	unprognostic (9.92e-4)	unprognostic (3.03e-2)			Spermatogonia
SOHLH1	bA100C15.3, bHLHe80, C9orf157, NOHLH, SPATA27, TEB2	ENSG00000165643	Spermatogenesis and oogenesis specific basic helix-loop-helix 1	Q5JUK2	9	135693407-135704498	Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors	Differentiation, Spermatogenesis, Transcription, Transcription regulation	Developmental protein, DNA-binding	Disease variant	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	6	brain: 28.9;choroid plexus: 13.1;testis: 16.9	Cell type enriched	Detected in some	4	Spermatogonia: 92.0	Group enriched	Detected in some	5	cervical cancer: 2.3;endometrial cancer: 0.6;head and neck cancer: 2.3;lung cancer: 2.1	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	5	Myeloma: 10.2		Not detected	Not detected			Low region specificity	Detected in single			HPA059439			Approved	Nuclear speckles							Cluster 65: Brain - Ion transport	Cluster 2: DU4475 - Unknown function	Cluster 47: Spermatogonia - Spermatogenesis	Nuclear speckles		HPA059439: AB_2684017	unprognostic (2.93e-1)			unprognostic (1.23e-3)	unprognostic (9.85e-3)	unprognostic (2.84e-2)		unprognostic (3.55e-1)		unprognostic (2.59e-3)				unprognostic (4.98e-3)	unprognostic (2.17e-1)		unprognostic (1.63e-1)	Spermatogonia
