Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
SCML1		ENSG00000047634	Scm polycomb group protein like 1	Q9UN30	X	17737449-17754988	Predicted intracellular proteins	Transcription, Transcription regulation	Repressor		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enriched	Detected in all	5	Spermatocytes: 613.4	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Immune cell enhanced	Detected in many		naive CD4 T-cell: 19.0	Low lineage specificity	Detected in all			Low cancer specificity	Detected in many												HPA035270, HPA035271, HPA061397	Enhanced		Approved	Nucleoplasm						Cluster 32: T-cells - Unknown function	Cluster 23: Testis - Cell cycle regulation	Cluster 48: Non-specific - RNA binding	Cluster 76: Spermatocytes & Spermatogonia - Spermatogenesis	Nucleoplasm		HPA035270: AB_10672860, HPA035271: AB_10602795, HPA061397: AB_2684503	unprognostic (6.36e-2)	unprognostic (5.86e-3)	unprognostic (3.83e-1)	unprognostic (3.18e-1)	unprognostic (1.73e-1)	unprognostic (5.18e-1)	unprognostic (2.12e-3)	unprognostic (9.49e-2)	unprognostic (8.40e-2)	unprognostic (2.04e-1)	unprognostic (3.75e-2)	unprognostic (7.56e-2)	unprognostic (1.44e-3)	unprognostic (2.84e-1)	unprognostic (1.18e-1)	unprognostic (1.41e-1)	unprognostic (1.07e-3)	Spermatocytes
SPO11	CT35, SPATA43, TOPVIA	ENSG00000054796	SPO11 initiator of meiotic double stranded breaks	Q9Y5K1	20	57329803-57343994	Enzymes, Plasma proteins, Predicted intracellular proteins	Meiosis	DNA-binding, Hydrolase, Isomerase		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	85	testis: 8.5	Cell type enriched	Detected in some	15	Spermatocytes: 89.5	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Testis - Spermatocytes	Not detected	Not detected			Low region specificity	Detected in some														Cluster 74: Testis - Spermatogenesis	Cluster 23: B-cell cancers - Adaptive immune response	Cluster 76: Spermatocytes & Spermatogonia - Spermatogenesis																					Spermatocytes
ZCWPW1	DKFZp434N0510, FLJ10057, ZCW1	ENSG00000078487	Zinc finger CW-type and PWWP domain containing 1	Q9H0M4	7	100400826-100428992	Predicted intracellular proteins	Differentiation, Spermatogenesis			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in all	5	testis: 42.4	Cell type enriched	Detected in many	4	Spermatocytes: 1011.4	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in all			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all			Testis - Spermatocytes	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA020911			Approved	Golgi apparatus						Cluster 37: B-cells - Transcription	Cluster 78: Testis - Spermatogenesis	Cluster 66: Myeloid cells - Innate immune response	Cluster 76: Spermatocytes & Spermatogonia - Spermatogenesis	Golgi apparatus		HPA020911: AB_1858990	unprognostic (1.86e-2)	prognostic favorable (1.99e-4)	unprognostic (1.92e-3)	unprognostic (6.74e-2)	unprognostic (2.58e-2)	unprognostic (8.46e-3)	unprognostic (1.99e-1)	prognostic favorable (4.84e-4)	unprognostic (1.66e-1)	unprognostic (1.73e-1)	prognostic favorable (1.93e-4)	unprognostic (2.43e-3)	unprognostic (1.72e-2)	unprognostic (2.84e-1)	unprognostic (1.22e-1)	unprognostic (1.19e-2)	prognostic favorable (5.26e-4)	Spermatocytes
DMC1	LIM15	ENSG00000100206	DNA meiotic recombinase 1	Q14565	22	38518948-38570204	Predicted intracellular proteins	Cell cycle, Meiosis	DNA-binding		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		testis: 12.3	Cell type enriched	Detected in many	7	Spermatocytes: 116.0	Cancer enhanced	Detected in some		testis cancer: 1.7	Low region specificity	Detected in single			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in many			Prostate - Fibroblasts, Testis - Spermatocytes	Not detected	Not detected			Low region specificity	Detected in single			HPA001232, CAB015397	Enhanced		Approved	Nucleoplasm						Cluster 11: Basophils - Unknown function	Cluster 23: Testis - Cell cycle regulation	Cluster 45: Non-specific - Cell proliferation	Cluster 76: Spermatocytes & Spermatogonia - Spermatogenesis	Nucleoplasm		CAB015397: AB_629406, HPA001232: AB_1078683	unprognostic (1.29e-2)	unprognostic (3.11e-3)	unprognostic (4.48e-3)	unprognostic (5.71e-2)	unprognostic (6.43e-2)	unprognostic (2.22e-1)	unprognostic (8.22e-2)	unprognostic (2.61e-2)	unprognostic (4.23e-2)	unprognostic (3.99e-3)	unprognostic (7.40e-3)	unprognostic (1.00e-2)	unprognostic (2.16e-4)	unprognostic (3.94e-1)	unprognostic (2.79e-1)	unprognostic (7.27e-2)	unprognostic (2.99e-1)	Spermatocytes
GML	LY6DL	ENSG00000104499	Glycosylphosphatidylinositol anchored molecule like	Q99445	8	142834247-142916506	Predicted intracellular proteins, Transporters				Evidence at transcript level	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level	Tissue enriched	Detected in some	56	adrenal gland: 194.0	Cell type enriched	Detected in some	4	Spermatocytes: 26.7	Not detected	Not detected			Region enhanced	Detected in some		basal ganglia: 2.7	Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected								Not detected	Not detected								Intracellular and membrane					Cluster 16: MAIT-cells - Unknown function	Cluster 17: Adrenal gland - Steroid metabolism		Cluster 76: Spermatocytes & Spermatogonia - Spermatogenesis																					Spermatocytes
SYNGR4		ENSG00000105467	Synaptogyrin 4	O95473	19	48364367-48376377	Predicted intracellular proteins, Predicted membrane proteins				Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Tissue enriched	Detected in some	14	testis: 54.4	Cell type enriched	Detected in some	4	Spermatocytes: 155.2	Low cancer specificity	Detected in some			Low region specificity	Detected in some			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		colorectal cancer: 22.3	Pancreas - Alpha cells, Pancreas - Beta cells, Testis - Early spermatids	Not detected	Not detected			Not detected	Not detected			HPA030075, HPA059286	Enhanced		Approved	Golgi apparatus							Cluster 78: Testis - Spermatogenesis	Cluster 26: NCI-H716 - Unknown function	Cluster 31: Spermatocytes - Spermatogenesis	Golgi apparatus		HPA030075: AB_10610559, HPA059286: AB_2683965	unprognostic (1.58e-2)	unprognostic (3.44e-2)	unprognostic (3.18e-2)	unprognostic (9.49e-4)	unprognostic (2.51e-2)	unprognostic (7.10e-2)	unprognostic (2.52e-3)	unprognostic (3.72e-3)	unprognostic (2.87e-2)	unprognostic (6.19e-2)	unprognostic (6.69e-2)	unprognostic (2.41e-2)	unprognostic (2.02e-7)	unprognostic (1.06e-2)	unprognostic (1.74e-4)	unprognostic (1.58e-1)	unprognostic (9.77e-2)	Spermatocytes
IL5	EDF, IL-5, TRF	ENSG00000113525	Interleukin 5	P05113	5	132541445-132556838	Cancer-related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted secreted proteins		Cytokine, Growth factor	Cancer-related genes, FDA approved drug targets	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in some		brain: 1.7;testis: 5.1	Cell type enriched	Detected in some	13	Spermatocytes: 17.5	Not detected	Not detected			Low region specificity	Detected in some			Immune cell enriched	Detected in single	8	memory B-cell: 1.4	Lineage enriched	Detected in single	8	B-cells: 1.4	Cancer enriched	Detected in single	4	lymphoma: 1.9		Not detected	Not detected			Low region specificity	Detected in some			CAB010304	Approved				Secreted to blood			4130		Cluster 37: B-cells - Transcription	Cluster 78: Testis - Spermatogenesis	Cluster 12: Lymphoid cancers - Adaptive immune response	Cluster 31: Spermatocytes - Spermatogenesis			CAB010304: AB_2296159	unprognostic (1.66e-1)	unprognostic (4.76e-2)	unprognostic (5.30e-3)	unprognostic (2.35e-1)	unprognostic (9.07e-2)		unprognostic (7.98e-2)	unprognostic (2.03e-2)		unprognostic (3.51e-2)	unprognostic (1.97e-1)	unprognostic (1.44e-2)	unprognostic (1.53e-1)	unprognostic (2.09e-1)	unprognostic (5.27e-2)	unprognostic (5.84e-3)	unprognostic (1.91e-1)	Spermatocytes
MAGEA9	CT1.9, MAGE9, MGC8421	ENSG00000123584	MAGE family member A9	P43362	X	149781930-149787737	Predicted intracellular proteins		Tumor antigen		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	38	testis: 3.7	Cell type enriched	Detected in single	18	Spermatocytes: 2.2	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		Esophageal cancer: 3.7;lung cancer: 3.8;Myeloma: 3.8;Sarcoma: 4.3										HPA045401, HPA051687			Approved	Nucleoplasm,Golgi apparatus							Cluster 74: Testis - Spermatogenesis	Cluster 44: Myeloma - Humoral immune response	Cluster 76: Spermatocytes & Spermatogonia - Spermatogenesis	Nucleoplasm, Golgi apparatus		HPA045401: AB_2679315, HPA051687: 																		Spermatocytes
PRDM7	ZNF910	ENSG00000126856	PR/SET domain 7	Q9NQW5	16	90056566-90092072	Predicted intracellular proteins		Chromatin regulator, Methyltransferase, Transferase		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	8	testis: 1.0	Cell type enriched	Detected in some	14	Spermatocytes: 14.6	Cancer enriched	Detected in single	30	melanoma: 3.1	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in single	30	skin cancer: 2.9	Kidney - Proximal tubular cells	Low region specificity	Detected in some			Not detected	Not detected			HPA059944	Approved		Uncertain	Nuclear speckles							Cluster 78: Testis - Spermatogenesis	Cluster 16: Skin cancer - Melanocyte processes	Cluster 76: Spermatocytes & Spermatogonia - Spermatogenesis	Nuclear speckles		HPA059944: AB_2684174	unprognostic (3.98e-1)	unprognostic (8.89e-2)		unprognostic (8.02e-3)	unprognostic (8.26e-2)		unprognostic (9.01e-2)	unprognostic (5.61e-3)	unprognostic (1.05e-2)	unprognostic (1.46e-1)		unprognostic (5.73e-1)	unprognostic (5.52e-4)	unprognostic (1.36e-1)	unprognostic (1.61e-1)	unprognostic (4.03e-3)		Spermatocytes
YEATS4	GAS41, NuBI-1, YAF9	ENSG00000127337	YEATS domain containing 4	O95619	12	69359710-69390870	Predicted intracellular proteins	Growth regulation, Transcription, Transcription regulation	Chromatin regulator		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enriched	Detected in all	4	Spermatocytes: 360.8	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in all			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all			Testis - Early spermatids, Testis - Spermatocytes, Thyroid - Thyroid glandular cells	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA072532			Approved	Nucleoplasm,Nuclear membrane						Cluster 33: Neutrophils - Chromatin organization	Cluster 75: Bone marrow - mRNA splicing & Cell cycle	Cluster 45: Non-specific - Cell proliferation	Cluster 31: Spermatocytes - Spermatogenesis	Nucleoplasm	Nuclear membrane	HPA072532: AB_2686530	unprognostic (7.23e-2)	unprognostic (8.50e-3)	unprognostic (2.05e-3)	unprognostic (8.07e-3)	unprognostic (1.64e-1)	unprognostic (1.06e-1)	prognostic unfavorable (3.52e-6)	unprognostic (1.77e-2)	unprognostic (3.03e-3)	unprognostic (1.80e-2)	unprognostic (6.15e-2)	unprognostic (2.13e-1)	unprognostic (7.19e-2)	unprognostic (8.47e-2)	unprognostic (2.04e-1)	unprognostic (1.96e-1)	unprognostic (1.78e-1)	Spermatocytes
