Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
CAMK2B	CAM2, CAMK2, CAMKB, CaMKIIÃŽÂ²	ENSG00000058404	Calcium/calmodulin dependent protein kinase II beta	Q13554	7	44217150-44334577	Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Differentiation, Neurogenesis	Actin-binding, Calmodulin-binding, Developmental protein, Kinase, Serine/threonine-protein kinase, Transferase	Intellectual disability	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		brain: 248.8;skeletal muscle: 132.5	Cell type enriched	Detected in many	4	Bipolar cells: 708.3	Cancer enhanced	Detected in many		glioma: 6.0;thyroid cancer: 6.1	Low region specificity	Detected in all			Low immune cell specificity	Detected in single			Low lineage specificity	Detected in single			Cancer enhanced	Detected in many		prostate cancer: 11.2	Colon - Colon enteroendocrine cells, Heart muscle - Cardiomyocytes, Pancreas - Alpha cells, Pancreas - Beta cells, Skin - Sebaceous gland cells, Stomach - Gastric enteroendocrine cells	Low region specificity	Detected in all			Low region specificity	Detected in all			CAB006849, HPA026307, HPA051783, HPA051785, HPA053973	Enhanced	Supported	Supported	Plasma membrane,Cell Junctions,Cytosol					600000	Cluster 11: Basophils - Unknown function	Cluster 47: Non-specific - Unknown function	Cluster 41: Non-specific - Cilium assembly	Cluster 35: Bipolar cells - Visual perception	Plasma membrane	Cell Junctions, Cytosol	CAB006849: , HPA026307: AB_1845941, HPA051783: AB_2681608, HPA051785: AB_2681609, HPA053973: AB_2682328	unprognostic (1.88e-3)	unprognostic (4.49e-2)	unprognostic (3.55e-3)	unprognostic (1.36e-2)	unprognostic (5.25e-2)	unprognostic (2.90e-2)	unprognostic (8.78e-2)	unprognostic (1.09e-1)	unprognostic (1.44e-1)	unprognostic (2.71e-1)	unprognostic (1.17e-2)	unprognostic (1.60e-2)	unprognostic (5.23e-7)	unprognostic (7.04e-2)	unprognostic (2.34e-1)	unprognostic (3.15e-2)	unprognostic (3.95e-2)	Bipolar cells
VSX1	PPCD, PPCD1, PPD	ENSG00000100987	Visual system homeobox 1	Q9NZR4	20	25070885-25082141	Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors	Sensory transduction, Transcription, Transcription regulation, Vision	Developmental protein, DNA-binding	Corneal dystrophy, Disease variant	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	9	brain: 14.8;retina: 35.5	Cell type enriched	Detected in some	24	Bipolar cells: 454.1	Not detected	Not detected			Region enriched	Detected in all	4	cerebellum: 14.8	Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected				Not detected	Not detected			Not detected	Not detected			HPA079607			Approved	Nucleoli						Cluster 6: Non-specific - Transcription	Cluster 77: Retina - Visual perception	Cluster 29: TT & NCI-H1385 - Synaptic signal transduction	Cluster 35: Bipolar cells - Visual perception	Nucleoli		HPA079607: 	unprognostic (1.93e-1)	unprognostic (6.63e-2)		unprognostic (9.68e-3)	unprognostic (4.33e-2)		unprognostic (2.27e-1)	unprognostic (1.97e-1)	unprognostic (4.01e-1)	unprognostic (8.64e-3)	unprognostic (2.70e-2)	unprognostic (1.35e-1)	unprognostic (2.31e-9)	unprognostic (1.53e-2)	unprognostic (2.35e-1)	unprognostic (3.07e-4)	unprognostic (2.38e-1)	Bipolar cells
LHX3		ENSG00000107187	LIM homeobox 3	Q9UBR4	9	136196250-136205128	Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors	Transcription, Transcription regulation	Activator, DNA-binding	Disease variant, Dwarfism	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	53	pituitary gland: 58.3	Cell type enriched	Detected in some	6	Bipolar cells: 23.3	Not detected	Not detected			Region enhanced	Detected in single		pons: 1.0	Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in single		Brain cancer: 2.7		Not detected	Not detected			Not detected	Not detected														Cluster 26: Pituitary gland - Hormone signaling	Cluster 47: Retina - Visual perception	Cluster 9: Neurons - Nervous system development					unprognostic (4.17e-2)			unprognostic (4.72e-1)	unprognostic (1.33e-1)	unprognostic (2.57e-1)							unprognostic (3.31e-2)	unprognostic (6.18e-2)			Bipolar cells
GABRR2		ENSG00000111886	Gamma-aminobutyric acid type A receptor subunit rho2	P28476	6	89254464-89315299	Predicted membrane proteins	Ion transport, Transport	Chloride channel, Ion channel		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level	Tissue enriched	Detected in some	25	retina: 31.4	Cell type enriched	Detected in some	21	Bipolar cells: 153.9	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	4	Myeloma: 4.7	Liver - Vascular Endothelial cells, Testis - Late spermatids	Low region specificity	Detected in many			Low region specificity	Detected in many														Cluster 79: Retina - Phototransduction	Cluster 44: Myeloma - Humoral immune response	Cluster 35: Bipolar cells - Visual perception				unprognostic (2.05e-2)	unprognostic (1.47e-4)	unprognostic (1.56e-1)	unprognostic (1.88e-4)	unprognostic (4.19e-1)	unprognostic (1.07e-1)	unprognostic (2.24e-2)	unprognostic (9.13e-2)	unprognostic (2.87e-1)	unprognostic (1.10e-2)	unprognostic (2.65e-1)	unprognostic (1.41e-1)	unprognostic (1.54e-6)	unprognostic (3.69e-2)	unprognostic (7.81e-2)	unprognostic (5.79e-2)	unprognostic (7.15e-3)	Bipolar cells
GRM6	CSNB1B, GPRC1F, mGlu6, MGLUR6	ENSG00000113262	Glutamate metabotropic receptor 6	O15303	5	178977587-178996206	Disease related genes, G-protein coupled receptors, Human disease related genes, Potential drug targets, Predicted membrane proteins	Sensory transduction, Vision	G-protein coupled receptor, Receptor, Transducer	Congenital stationary night blindness, Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	57	retina: 42.6	Cell type enriched	Detected in some	35	Bipolar cells: 490.0	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in single	13	Brain cancer: 1.5		Not detected	Not detected			Not detected	Not detected			HPA014511	Enhanced										Cluster 79: Retina - Phototransduction	Cluster 47: Retina - Visual perception	Cluster 35: Bipolar cells - Visual perception			HPA014511: AB_2669025	unprognostic (1.85e-1)	unprognostic (1.54e-1)	unprognostic (8.41e-2)	unprognostic (1.27e-1)	unprognostic (4.16e-1)	unprognostic (2.25e-3)	unprognostic (7.72e-2)	unprognostic (2.32e-2)	unprognostic (2.12e-3)	unprognostic (6.27e-2)	unprognostic (3.34e-4)	unprognostic (2.58e-1)	unprognostic (3.36e-4)	unprognostic (1.23e-1)	unprognostic (6.45e-2)	unprognostic (7.59e-3)	unprognostic (1.97e-1)	Bipolar cells
CRHR1	CRF-R, CRF1, CRHR	ENSG00000120088	Corticotropin releasing hormone receptor 1	P34998	17	45784280-45835828	FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters		G-protein coupled receptor, Receptor, Transducer	FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	5	brain: 10.4;pituitary gland: 22.6	Cell type enriched	Detected in single	10	Bipolar cells: 1.6	Low cancer specificity	Detected in some			Region enhanced	Detected in many		cerebellum: 10.4	Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in single		Neuroblastoma: 1.3										CAB025251	Enhanced				Intracellular and membrane						Cluster 26: Pituitary gland - Hormone signaling	Cluster 47: Retina - Visual perception	Cluster 35: Bipolar cells - Visual perception			CAB025251: 	unprognostic (4.59e-2)	unprognostic (1.43e-2)		unprognostic (2.59e-7)	unprognostic (1.76e-1)	unprognostic (2.71e-1)		unprognostic (3.94e-2)	unprognostic (2.48e-1)	unprognostic (4.55e-4)	unprognostic (1.65e-2)	unprognostic (2.21e-1)	unprognostic (3.33e-4)	unprognostic (2.07e-5)	unprognostic (3.26e-1)	unprognostic (1.49e-1)	unprognostic (1.59e-1)	Bipolar cells
NEUROD4	ATH-3, Atoh3, bHLHa4, MATH-3	ENSG00000123307	Neuronal differentiation 4	Q9HD90	12	55019974-55030017	Predicted intracellular proteins, Transcription factors	Differentiation, Neurogenesis, Transcription, Transcription regulation	Activator, Developmental protein, DNA-binding		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	11	pituitary gland: 8.1;retina: 30.2	Cell type enriched	Detected in some	14	Bipolar cells: 180.7	Not detected	Not detected			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in some	4	lung cancer: 1.6;Neuroblastoma: 1.6;Uterine cancer: 1.1	Testis - Early spermatids, Testis - Late spermatids	Not detected	Not detected			Not detected	Not detected			HPA015545	Enhanced										Cluster 77: Retina - Visual perception	Cluster 7: Neuronal cell lines - Stereocilium	Cluster 35: Bipolar cells - Visual perception			HPA015545: AB_2669215					unprognostic (1.78e-2)													Bipolar cells
GNG13	G(gamma)13, h2-35	ENSG00000127588	G protein subunit gamma 13	Q9P2W3	16	798041-800734	Predicted intracellular proteins, RAS pathway related proteins		Transducer		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Group enriched	Detected in some	37	brain: 47.4;retina: 55.8	Cell type enriched	Detected in some	23	Bipolar cells: 222.9	Low cancer specificity	Detected in some			Group enriched	Detected in many	7	cerebellum: 47.4;thalamus: 23.2	Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in many				Region enhanced	Detected in all		cerebellum: 940.0	Group enriched	Detected in many	6	cerebellum: 37.7;olfactory bulb: 14.0	HPA046272	Enhanced										Cluster 77: Retina - Visual perception	Cluster 56: Neurons - Neuronal signaling	Cluster 35: Bipolar cells - Visual perception			HPA046272: AB_10960062	unprognostic (1.84e-1)	unprognostic (2.75e-1)	unprognostic (3.78e-2)	unprognostic (2.48e-1)	unprognostic (2.57e-2)	unprognostic (5.41e-2)		unprognostic (8.47e-2)	unprognostic (9.16e-3)	unprognostic (4.04e-2)	unprognostic (1.78e-1)	unprognostic (6.77e-2)		unprognostic (7.12e-2)	unprognostic (1.55e-1)		unprognostic (3.38e-1)	Bipolar cells
CLN6	FLJ20561, HsT18960, nclf	ENSG00000128973	CLN6 transmembrane ER protein	Q9NWW5	15	68206992-68257211	Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters			Disease variant, Neurodegeneration, Neuronal ceroid lipofuscinosis	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enriched	Detected in many	4	Bipolar cells: 110.7	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in many			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all			Adipose subcutaneous - Macrophages, Lung - Macrophages, Stomach - Mitotic cells (Stomach)	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA066046, HPA066759	Approved		Approved	Nucleoli,Endoplasmic reticulum,Vesicles						Cluster 51: Monocytes - Innate immune response	Cluster 55: Non-specific - Mitochondria & Proteasome	Cluster 44: Myeloma - Humoral immune response	Cluster 9: Neurons - Nervous system development	Endoplasmic reticulum	Nucleoli, Vesicles	HPA066046: AB_2685604, HPA066759: 	unprognostic (1.01e-1)	unprognostic (1.54e-3)	unprognostic (7.01e-2)	unprognostic (3.58e-2)	unprognostic (2.71e-2)	unprognostic (3.08e-1)	unprognostic (2.24e-2)	unprognostic (5.07e-2)	unprognostic (2.40e-2)	unprognostic (2.11e-1)	unprognostic (1.69e-1)	unprognostic (1.85e-1)	prognostic favorable (4.87e-4)	unprognostic (1.22e-2)	unprognostic (2.22e-1)	unprognostic (2.49e-1)	unprognostic (6.78e-2)	Bipolar cells
AANAT	SNAT	ENSG00000129673	Aralkylamine N-acetyltransferase	Q16613	17	76453351-76470117	Enzymes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins	Biological rhythms, Melatonin biosynthesis	Acyltransferase, Transferase	Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in some		retina: 11.0;testis: 4.7	Cell type enriched	Detected in some	12	Bipolar cells: 231.2	Not detected	Not detected			Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in many			Testis - Early spermatids, Testis - Late spermatids	Not detected	Not detected			Low region specificity	Detected in many			HPA054321			Supported	Cytosol	Intracellular and membrane					Cluster 2: Granulocytes - Unknown function	Cluster 77: Retina - Visual perception	Cluster 47: Retina - Visual perception	Cluster 35: Bipolar cells - Visual perception	Cytosol		HPA054321: AB_2682449	unprognostic (7.89e-2)	unprognostic (2.62e-1)	unprognostic (1.41e-1)	unprognostic (2.44e-1)	unprognostic (1.83e-2)	unprognostic (2.03e-2)	unprognostic (1.05e-2)	unprognostic (3.09e-1)	unprognostic (1.01e-2)	unprognostic (3.61e-1)	unprognostic (9.30e-2)	unprognostic (4.19e-1)	unprognostic (2.81e-7)	unprognostic (1.04e-1)	unprognostic (6.00e-2)	unprognostic (4.47e-2)	unprognostic (1.34e-2)	Bipolar cells
