Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Cell line expression cluster	Single cell expression cluster	Subcellular main location	Subcellular additional location	Antibody RRID	Pathology prognostics - Breast cancer	Pathology prognostics - Cervical cancer	Pathology prognostics - Colorectal cancer	Pathology prognostics - Endometrial cancer	Pathology prognostics - Glioma	Pathology prognostics - Head and neck cancer	Pathology prognostics - Liver cancer	Pathology prognostics - Lung cancer	Pathology prognostics - Melanoma	Pathology prognostics - Ovarian cancer	Pathology prognostics - Pancreatic cancer	Pathology prognostics - Prostate cancer	Pathology prognostics - Renal cancer	Pathology prognostics - Stomach cancer	Pathology prognostics - Testis cancer	Pathology prognostics - Thyroid cancer	Pathology prognostics - Urothelial cancer	RNAsingleCellTypeSpecific
FSTL3	FLRG, FSRP	ENSG00000070404	Follistatin like 3	O95633	19	676392-683392	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Osteogenesis, Transcription, Transcription regulation		Cancer-related genes, Proto-oncogene	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enriched	Detected in many	5	Extravillous trophoblasts: 4345.3	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in some			Low lineage specificity	Detected in many			Low cancer specificity	Detected in all			Pancreas - Ductal cells, Testis - Sertoli cells	Not detected	Not detected			Low region specificity	Detected in all			CAB024899, HPA045378	Approved		Supported	Nucleoplasm	Secreted in other tissues		Yes		7000000	Cluster 7: Monocytes - Unknown function	Cluster 82: Adipose tissue - ECM organization	Cluster 68: Kidney - Mixed function	Cluster 54: Extravillous trophoblasts - Unknown function	Nucleoplasm		CAB024899: , HPA045378: AB_2679300	unprognostic (9.86e-3)	unprognostic (1.32e-3)	prognostic unfavorable (3.01e-4)	prognostic unfavorable (3.03e-4)	unprognostic (2.19e-3)	unprognostic (1.51e-3)	unprognostic (8.64e-3)	prognostic unfavorable (4.61e-7)	unprognostic (9.50e-2)	prognostic unfavorable (1.65e-4)	unprognostic (3.50e-2)	unprognostic (5.91e-2)	unprognostic (1.03e-3)	unprognostic (7.22e-3)	unprognostic (3.07e-1)	unprognostic (3.75e-1)	unprognostic (5.89e-3)	Extravillous trophoblasts
PLOD1	LH1, LLH, PLOD	ENSG00000083444	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	Q02809	1	11934205-11975538	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins		Dioxygenase, Oxidoreductase	Disease variant, Ehlers-Danlos syndrome	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enriched	Detected in many	4	Extravillous trophoblasts: 265.3	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in many			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all				Low region specificity	Detected in all			Low region specificity	Detected in all			HPA049137, HPA055799	Uncertain		Uncertain	Nucleoplasm,Vesicles	Intracellular and membrane				3600000	Cluster 8: Neutrophils - Inflammatory response	Cluster 15: Liver - Metabolism	Cluster 20: Connective tissue cells - ECM organization	Cluster 54: Extravillous trophoblasts - Unknown function	Vesicles	Nucleoplasm	HPA049137: AB_2680649, HPA055799: AB_2682924	unprognostic (1.00e-1)	unprognostic (2.69e-3)	unprognostic (9.21e-3)	unprognostic (5.43e-2)	unprognostic (7.53e-3)	unprognostic (1.12e-2)	prognostic unfavorable (2.79e-4)	unprognostic (1.13e-3)	unprognostic (1.23e-1)	unprognostic (1.79e-1)	unprognostic (4.15e-3)	unprognostic (2.32e-1)	prognostic unfavorable (1.91e-12)	unprognostic (2.79e-1)	unprognostic (7.12e-2)	unprognostic (5.92e-2)	prognostic unfavorable (2.43e-4)	Extravillous trophoblasts
CCNE1	CCNE	ENSG00000105173	Cyclin E1	P24864	19	29811991-29824312	Cancer-related genes, Human disease related genes, Predicted intracellular proteins	Cell cycle, Cell division	Cyclin	Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		bone marrow: 35.8;placenta: 30.8	Cell type enriched	Detected in many	14	Extravillous trophoblasts: 2085.4	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in all			Lung - Mitotic cells (Lung), Skin - Keratinocyte (granular), Testis - Early spermatids	Low region specificity	Detected in all			Low region specificity	Detected in all			CAB000308, CAB016682, HPA018169	Approved		Enhanced	Nucleoplasm		Yes	Yes			Cluster 43: B-cells - Humoral immune response	Cluster 40: Neutrophils - Inflammatory response	Cluster 10: Ovarian & Endometrial cancers - Unknown function	Cluster 54: Extravillous trophoblasts - Unknown function	Nucleoplasm		CAB000308: , CAB016682: AB_1614564, HPA018169: AB_1847384	unprognostic (2.90e-3)	unprognostic (1.33e-2)	unprognostic (1.47e-3)	prognostic unfavorable (6.35e-6)	unprognostic (5.78e-2)	unprognostic (4.77e-2)	prognostic unfavorable (3.89e-5)	unprognostic (1.26e-3)	unprognostic (3.14e-3)	prognostic unfavorable (2.97e-4)	unprognostic (3.29e-2)	unprognostic (7.07e-2)	unprognostic (1.11e-16)	unprognostic (5.61e-2)	unprognostic (1.92e-1)	unprognostic (6.63e-2)	unprognostic (1.46e-1)	Extravillous trophoblasts
DLX4	BP1, DLX7, DLX8, DLX9	ENSG00000108813	Distal-less homeobox 4	Q92988	17	49968970-49974959	Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Transcription factors		Developmental protein, DNA-binding		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in some		placenta: 3.7;skin 1: 3.0	Cell type enriched	Detected in some	5	Extravillous trophoblasts: 86.5	Low cancer specificity	Detected in many			Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in many				Not detected	Not detected			Not detected	Not detected			HPA059933	Uncertain		Supported	Nucleoplasm						Cluster 7: Monocytes - Unknown function	Cluster 61: Skin - Cornification	Cluster 2: DU4475 - Unknown function	Cluster 54: Extravillous trophoblasts - Unknown function	Nucleoplasm		HPA059933: AB_2684169	unprognostic (8.12e-2)	unprognostic (2.48e-1)	unprognostic (1.26e-2)	unprognostic (2.29e-3)	unprognostic (7.49e-2)	unprognostic (2.71e-1)	unprognostic (9.35e-3)	unprognostic (2.85e-2)	unprognostic (8.73e-2)	unprognostic (5.93e-2)	unprognostic (1.29e-2)	unprognostic (4.34e-2)	unprognostic (2.88e-13)	unprognostic (8.79e-3)	unprognostic (2.77e-1)	unprognostic (5.00e-2)	unprognostic (6.86e-2)	Extravillous trophoblasts
KISS1R	AXOR12, GPR54, HOT7T175	ENSG00000116014	KISS1 receptor	Q969F8	19	917287-921005	Disease related genes, G-protein coupled receptors, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters		G-protein coupled receptor, Receptor, Transducer	Disease variant, Hypogonadotropic hypogonadism	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	6	brain: 8.5	Cell type enriched	Detected in some	12	Extravillous trophoblasts: 52.8	Cancer enhanced	Detected in many		renal cancer: 3.6	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		Myeloma: 10.6		Low region specificity	Detected in all			Low region specificity	Detected in single			HPA007156, HPA071913	Approved		Supported	Vesicles,Plasma membrane						Cluster 30: Non-specific - Translation	Cluster 73: Brain - Neuropeptide signaling	Cluster 44: Myeloma - Humoral immune response	Cluster 54: Extravillous trophoblasts - Unknown function	Plasma membrane	Vesicles	HPA007156: , HPA071913: AB_2686471	unprognostic (1.54e-1)	unprognostic (3.01e-2)	unprognostic (9.42e-2)	unprognostic (2.15e-1)	unprognostic (8.46e-3)	unprognostic (9.23e-2)	unprognostic (1.65e-2)	unprognostic (3.23e-1)	unprognostic (1.37e-1)	unprognostic (1.16e-1)	unprognostic (1.48e-2)	unprognostic (7.17e-2)	prognostic unfavorable (3.33e-6)	unprognostic (1.87e-1)	unprognostic (8.09e-3)	unprognostic (1.05e-1)	unprognostic (2.05e-2)	Extravillous trophoblasts
QSOX1	QSCN6	ENSG00000116260	Quiescin sulfhydryl oxidase 1	O00391	1	180154869-180204030	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins		Oxidoreductase		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Low tissue specificity	Detected in all			Cell type enriched	Detected in many	8	Extravillous trophoblasts: 1885.3	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in all			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all			Prostate - Fibroblasts	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA056243			Supported	Golgi apparatus,Vesicles	Secreted to extracellular matrix				2600000000	Cluster 25: Monocytes - Inflammatory response	Cluster 46: Fibroblasts - ECM organization	Cluster 20: Connective tissue cells - ECM organization	Cluster 54: Extravillous trophoblasts - Unknown function	Golgi apparatus	Vesicles	HPA056243: AB_2683077	unprognostic (1.13e-1)	unprognostic (2.62e-3)	unprognostic (2.46e-1)	unprognostic (2.49e-2)	unprognostic (2.00e-2)	unprognostic (2.73e-1)	unprognostic (5.47e-2)	unprognostic (2.22e-1)	unprognostic (3.94e-1)	unprognostic (3.12e-2)	unprognostic (5.07e-2)	unprognostic (2.80e-3)	prognostic unfavorable (1.86e-5)	unprognostic (3.25e-1)	unprognostic (2.14e-1)	unprognostic (3.53e-2)	unprognostic (1.40e-1)	Extravillous trophoblasts
C1QTNF6	CTRP6, ZACRP6	ENSG00000133466	C1q and TNF related 6	Q9BXI9	22	37180166-37199385	Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins				Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		endometrium 1: 31.7;placenta: 29.6	Cell type enriched	Detected in many	15	Extravillous trophoblasts: 480.3	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in some			Low lineage specificity	Detected in many			Low cancer specificity	Detected in many			Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA002042	Enhanced		Approved	Nucleoplasm	Secreted to blood	No	No	354000000		Cluster 48: NK-cells - Unknown function	Cluster 86: Liver & Placenta - Transport via ER	Cluster 60: Keratinocytes - Epithelial cell function	Cluster 54: Extravillous trophoblasts - Unknown function	Nucleoplasm		HPA002042: AB_1078342	unprognostic (9.65e-2)	unprognostic (1.21e-2)	unprognostic (2.32e-1)	unprognostic (2.23e-3)	unprognostic (1.25e-3)	unprognostic (3.01e-2)	unprognostic (3.17e-2)	prognostic unfavorable (9.60e-6)	unprognostic (6.96e-2)	unprognostic (5.11e-2)	unprognostic (2.61e-2)	unprognostic (1.72e-1)	prognostic unfavorable (0.00e+0)	unprognostic (1.61e-2)	unprognostic (5.36e-2)	unprognostic (1.08e-3)	unprognostic (1.52e-2)	Extravillous trophoblasts
CCNB1	CCNB	ENSG00000134057	Cyclin B1	P14635	5	69167135-69178245	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transporters	Cell cycle, Cell division, Mitosis	Cyclin	Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in all		bone marrow: 52.9;lymphoid tissue: 76.2	Cell type enriched	Detected in many	5	Extravillous trophoblasts: 824.4	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Low immune cell specificity	Detected in all			Low lineage specificity	Detected in all			Low cancer specificity	Detected in all			Lung - Mitotic cells (Lung), Skin - Mitotic cells (Skin), Stomach - Mitotic cells (Stomach), Testis - Spermatocytes	Group enriched	Detected in many	5	basal ganglia: 3.0;white matter: 8.3	Not detected	Not detected			CAB000115, CAB003804, HPA030741, HPA061448	Enhanced		Enhanced	Cytosol		Yes	Yes			Cluster 4: T-regs - Cell cycle regulation	Cluster 53: Non-specific - Cell cycle regulation	Cluster 45: Non-specific - Cell proliferation	Cluster 54: Extravillous trophoblasts - Unknown function	Cytosol		CAB000115: , CAB003804: AB_562272, HPA030741: AB_2673586, HPA061448: AB_2684522	unprognostic (4.12e-2)	unprognostic (2.75e-2)	unprognostic (1.91e-3)	unprognostic (4.08e-3)	unprognostic (2.78e-1)	unprognostic (1.39e-1)	prognostic unfavorable (1.54e-7)	prognostic unfavorable (3.38e-4)	unprognostic (1.43e-2)	unprognostic (1.63e-2)	unprognostic (2.49e-3)	unprognostic (1.40e-1)	prognostic unfavorable (1.11e-16)	unprognostic (2.44e-1)	unprognostic (3.73e-1)	unprognostic (1.44e-1)	unprognostic (5.15e-3)	Extravillous trophoblasts
HAPLN3	EXLD1, HsT19883	ENSG00000140511	Hyaluronan and proteoglycan link protein 3	Q96S86	15	88877294-88895597	Predicted membrane proteins, Predicted secreted proteins				Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Low tissue specificity	Detected in many			Cell type enriched	Detected in many	9	Extravillous trophoblasts: 1166.4	Low cancer specificity	Detected in all			Low region specificity	Detected in all			Immune cell enhanced	Detected in many		T-reg: 50.9	Lineage enriched	Detected in all	5	T-cells: 50.9	Cancer enhanced	Detected in many		Uterine cancer: 51.2	Colon - Endothelial cells, Testis - Endothelial cells	Low region specificity	Detected in many			Low region specificity	Detected in all			HPA039237	Approved		Approved	Plasma membrane,Cytosol	Secreted to extracellular matrix					Cluster 4: T-regs - Cell cycle regulation	Cluster 64: Macrophages - Immune response	Cluster 20: Connective tissue cells - ECM organization	Cluster 54: Extravillous trophoblasts - Unknown function	Plasma membrane, Cytosol		HPA039237: AB_10805357	unprognostic (1.67e-2)	unprognostic (1.04e-3)	unprognostic (2.57e-1)	unprognostic (2.53e-2)	unprognostic (3.27e-1)	unprognostic (2.24e-2)	unprognostic (4.21e-1)	unprognostic (3.82e-1)	unprognostic (3.37e-3)	unprognostic (7.37e-3)	unprognostic (1.13e-3)	unprognostic (4.30e-1)	prognostic unfavorable (4.18e-13)	unprognostic (1.95e-1)	unprognostic (3.01e-2)	unprognostic (6.12e-2)	unprognostic (1.12e-1)	Extravillous trophoblasts
N4BP3	LZTS4	ENSG00000145911	NEDD4 binding protein 3	O15049	5	178113532-178126081	Predicted intracellular proteins	Immunity, Innate immunity, Neurogenesis	Developmental protein		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enhanced	Detected in many		esophagus: 15.7	Cell type enriched	Detected in many	4	Extravillous trophoblasts: 156.1	Low cancer specificity	Detected in many			Low region specificity	Detected in many			Group enriched	Detected in some	4	memory B-cell: 1.7;naive B-cell: 1.6;naive CD8 T-cell: 1.2;plasmacytoid DC: 2.1	Group enriched	Detected in many	16	B-cells: 1.7;dendritic cells: 2.1;T-cells: 1.2	Cancer enhanced	Detected in many		lymphoma: 12.8	Skin - Keratinocyte (granular), Testis - Spermatogonia	Low region specificity	Detected in all			Low region specificity	Detected in all			HPA030972, HPA030973, HPA061387	Approved		Supported	Nucleoplasm,Centrosome						Cluster 21: B-cells - Adaptive immune response	Cluster 84: Esophagus - Epithelial cell function	Cluster 23: B-cell cancers - Adaptive immune response	Cluster 54: Extravillous trophoblasts - Unknown function	Nucleoplasm	Centrosome	HPA030972: AB_2673680, HPA030973: AB_10603574, HPA061387: 	unprognostic (1.84e-1)	unprognostic (1.70e-2)	unprognostic (4.96e-3)	unprognostic (6.64e-3)	unprognostic (2.06e-1)	unprognostic (3.18e-3)	unprognostic (1.88e-6)	unprognostic (1.45e-1)	unprognostic (1.61e-1)	unprognostic (1.92e-2)	unprognostic (3.28e-3)	unprognostic (9.55e-2)	prognostic favorable (2.38e-4)	unprognostic (2.62e-1)	unprognostic (1.16e-1)	unprognostic (1.22e-1)	unprognostic (1.06e-1)	Extravillous trophoblasts
